"name","genre"
"Juice WRLD","rap"
"Lil Uzi Vert","rap"
"Post Malone","rap"
"Lil Baby","rap"
"Kanye West","rap"
"Travis Scott","rap"
"Lil Wayne","rap"
"Young Thug","rap"
"Future","rap"
"Eminem","rap"
"XXXTENTACION","rap"
"Lil Durk","rap"
"Gunna","rap"
"Chris Brown","rap"
"Polo G","rap"
"Kendrick Lamar","rap"
"Mac Miller","rap"
"YoungBoy Never Broke Again","rap"
"Megan Thee Stallion","rap"
"A Boogie Wit da Hoodie","rap"
"Lil Tjay","rap"
"Cardi B","rap"
"Machine Gun Kelly","rap"
"21 Savage","rap"
"Roddy Ricch","rap"
"SZA","rap"
"J. Cole","rap"
"NF","rap"
"Ty Dolla $ign","rap"
"blackbear","rap"
"Kid Cudi","rap"
"Tyler, The Creator","rap"
"Big Sean","rap"
"Lil Peep","rap"
"Nicki Minaj","rap"
"Kodak Black","rap"
"6LACK","rap"
"Metro Boomin","rap"
"iann dior","rap"
"JAY-Z","rap"
"Kevin Gates","rap"
"Rick Ross","rap"
"NAV","rap"
"Jack Harlow","rap"
"Tory Lanez","rap"
"Playboi Carti","rap"
"Brent Faiyaz","rap"
"Chance the Rapper","rap"
"2 Chainz","rap"
"King Von","rap"
"Bon Iver","folk"
"The Lumineers","folk"
"Billy Joel","folk"
"Eagles","folk"
"Dermot Kennedy","folk"
"Van Morrison","folk"
"Mumford & Sons","folk"
"Bob Dylan","folk"
"Lord Huron","folk"
"Simon & Garfunkel","folk"
"Jimmy Buffett","folk"
"The Beach Boys","folk"
"James Taylor","folk"
"The Head And The Heart","folk"
"John Denver","folk"
"Steely Dan","folk"
"Caamp","folk"
"Sufjan Stevens","folk"
"Paul Simon","folk"
"Novo Amor","folk"
"Electric Light Orchestra","folk"
"Rainbow Kitten Surprise","folk"
"NEEDTOBREATHE","folk"
"Yusuf / Cat Stevens","folk"
"Tom Petty and the Heartbreakers","folk"
"Brandi Carlile","folk"
"Sturgill Simpson","folk"
"Gregory Alan Isakov","folk"
"Passenger","folk"
"Beck","folk"
"Mt. Joy","folk"
"Raffi","folk"
