"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.677,0.361,7,-11.115,1,0.468,0.875,0,0.358,0.73,126.194,"0bDcGbfExo1XTwm3yvFfzo","https://api.spotify.com/v1/audio-analysis/0bDcGbfExo1XTwm3yvFfzo",4,1,46179,FALSE,"https://api.spotify.com/v1/tracks/0bDcGbfExo1XTwm3yvFfzo",FALSE,"Kitty Ca$h Intro (with Kitty Ca$h)",NA,1,"track","spotify:track:0bDcGbfExo1XTwm3yvFfzo","https://open.spotify.com/track/0bDcGbfExo1XTwm3yvFfzo","Home For The Holidays","G","major","G major","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.526,0.428,9,-9.252,1,0.0607,0.084,0.00359,0.11,0.24,153.999,"5ycUatWaShR7L5aXhW4uf2","https://api.spotify.com/v1/audio-analysis/5ycUatWaShR7L5aXhW4uf2",4,1,155933,TRUE,"https://api.spotify.com/v1/tracks/5ycUatWaShR7L5aXhW4uf2",FALSE,"Ghetto Christmas (with 6LACK & Summer Walker)",NA,2,"track","spotify:track:5ycUatWaShR7L5aXhW4uf2","https://open.spotify.com/track/5ycUatWaShR7L5aXhW4uf2","Home For The Holidays","A","major","A major","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.735,0.483,11,-6.324,0,0.0357,0.593,0.00232,0.0868,0.615,132.961,"78EBmRtLZtZrLK0qv6eQS9","https://api.spotify.com/v1/audio-analysis/78EBmRtLZtZrLK0qv6eQS9",4,1,148182,FALSE,"https://api.spotify.com/v1/tracks/78EBmRtLZtZrLK0qv6eQS9",FALSE,"Feliz Navidad (with Young Rog & Shelley FKA DRAM)",NA,3,"track","spotify:track:78EBmRtLZtZrLK0qv6eQS9","https://open.spotify.com/track/78EBmRtLZtZrLK0qv6eQS9","Home For The Holidays","B","minor","B minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.746,0.377,7,-12.972,1,0.884,0.588,0,0.816,0.377,89.884,"4YqH4cdPOOeWUOnY96NFcy","https://api.spotify.com/v1/audio-analysis/4YqH4cdPOOeWUOnY96NFcy",3,1,24959,FALSE,"https://api.spotify.com/v1/tracks/4YqH4cdPOOeWUOnY96NFcy",FALSE,"Kitty's Wish List (with Kitty Ca$h)",NA,4,"track","spotify:track:4YqH4cdPOOeWUOnY96NFcy","https://open.spotify.com/track/4YqH4cdPOOeWUOnY96NFcy","Home For The Holidays","G","major","G major","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.691,0.613,5,-7.975,0,0.0495,0.0122,0,0.357,0.0993,144.051,"6rRzIoA5r8yK8BgFvXWlE2","https://api.spotify.com/v1/audio-analysis/6rRzIoA5r8yK8BgFvXWlE2",4,1,133410,TRUE,"https://api.spotify.com/v1/tracks/6rRzIoA5r8yK8BgFvXWlE2",FALSE,"12 Days Of Bhristmas (with OMB Bloodbath & WESTSIDE BOOGIE)",NA,5,"track","spotify:track:6rRzIoA5r8yK8BgFvXWlE2","https://open.spotify.com/track/6rRzIoA5r8yK8BgFvXWlE2","Home For The Holidays","F","minor","F minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.588,0.413,5,-11.78,0,0.497,0.911,0,0.367,0.6,90.901,"2XGARZGIG7kyiqpuTttyDV","https://api.spotify.com/v1/audio-analysis/2XGARZGIG7kyiqpuTttyDV",3,1,25083,FALSE,"https://api.spotify.com/v1/tracks/2XGARZGIG7kyiqpuTttyDV",FALSE,"Ca$h Invitation (with Kitty Ca$h)",NA,6,"track","spotify:track:2XGARZGIG7kyiqpuTttyDV","https://open.spotify.com/track/2XGARZGIG7kyiqpuTttyDV","Home For The Holidays","F","minor","F minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.67,0.349,8,-10.235,1,0.0617,0.243,2.48e-06,0.105,0.231,92.065,"20u1JM0k85WDXSYfmy92Km","https://api.spotify.com/v1/audio-analysis/20u1JM0k85WDXSYfmy92Km",4,1,140140,FALSE,"https://api.spotify.com/v1/tracks/20u1JM0k85WDXSYfmy92Km",FALSE,"Santa Baby (with Summer Walker)",NA,7,"track","spotify:track:20u1JM0k85WDXSYfmy92Km","https://open.spotify.com/track/20u1JM0k85WDXSYfmy92Km","Home For The Holidays","G#","major","G# major","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.567,0.438,7,-6.762,0,0.0525,0.0326,1.03e-05,0.22,0.293,176.066,"73Akab3offnV8XRTb8rUk5","https://api.spotify.com/v1/audio-analysis/73Akab3offnV8XRTb8rUk5",4,1,201564,FALSE,"https://api.spotify.com/v1/tracks/73Akab3offnV8XRTb8rUk5",FALSE,"This Christmas (with Eli Derby)",NA,8,"track","spotify:track:73Akab3offnV8XRTb8rUk5","https://open.spotify.com/track/73Akab3offnV8XRTb8rUk5","Home For The Holidays","G","minor","G minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","36FCfBWbs9gwznVCWC4gg4","album","2020-11-16",2020,"day",0.384,0.0922,11,-15.497,1,0.0366,0.954,2.5e-06,0.0884,0.143,140.936,"4g69QMNi1u09FCGhBSyTLp","https://api.spotify.com/v1/audio-analysis/4g69QMNi1u09FCGhBSyTLp",5,1,182715,FALSE,"https://api.spotify.com/v1/tracks/4g69QMNi1u09FCGhBSyTLp",FALSE,"The Christmas Song (Chestnuts Roasting On An Open Fire) (with Shelley FKA DRAM)",NA,9,"track","spotify:track:4g69QMNi1u09FCGhBSyTLp","https://open.spotify.com/track/4g69QMNi1u09FCGhBSyTLp","Home For The Holidays","B","major","B major","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","3fc97ZWLIMc1xawhxbKrh2","album","2018-09-14",2018,"day",0.397,0.257,5,-11.134,0,0.0499,0.79,0.00235,0.12,0.0382,115.783,"3Q33RhbyoFul9LdKKjticI","https://api.spotify.com/v1/audio-analysis/3Q33RhbyoFul9LdKKjticI",4,1,136915,TRUE,"https://api.spotify.com/v1/tracks/3Q33RhbyoFul9LdKKjticI",FALSE,"Unfair",NA,1,"track","spotify:track:3Q33RhbyoFul9LdKKjticI","https://open.spotify.com/track/3Q33RhbyoFul9LdKKjticI","East Atlanta Love Letter","F","minor","F minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","3fc97ZWLIMc1xawhxbKrh2","album","2018-09-14",2018,"day",0.646,0.549,1,-6.515,0,0.0704,0.1,2.06e-05,0.12,0.241,127.994,"1wb7Mqon4o1ViLjaLV9f8U","https://api.spotify.com/v1/audio-analysis/1wb7Mqon4o1ViLjaLV9f8U",4,1,198441,TRUE,"https://api.spotify.com/v1/tracks/1wb7Mqon4o1ViLjaLV9f8U",FALSE,"Loaded Gun",NA,2,"track","spotify:track:1wb7Mqon4o1ViLjaLV9f8U","https://open.spotify.com/track/1wb7Mqon4o1ViLjaLV9f8U","East Atlanta Love Letter","C#","minor","C# minor","rap"
"6LACK","4IVAbR2w4JJNJDDRFP3E83","3fc97ZWLIMc1xawhxbKrh2","album","2018-09-14",2018,"day",0.581,0.315,5,-11.947,0,0.0781,0.389,1.68e-05,0.0766,0.185,61.381,"6rJmWa5DvQ3Nby3tdcX2L0","https://api.spotify.com/v1/audio-analysis/6rJmWa5DvQ3Nby3tdcX2L0",4,1,246088,TRUE,"https://api.spotify.com/v1/tracks/6rJmWa5DvQ3Nby3tdcX2L0",FALSE,"East Atlanta Love Letter (feat. Future)",NA,3,"track","spotify:track:6rJmWa5DvQ3Nby3tdcX2L0","https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0","East Atlanta Love Letter","F","minor","F minor","rap"
