"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.298,0.941,9,-9.705,1,0.0875,0.0941,0.0178,0.626,0.396,150.279,"2IC8VHvvpzGNSRkX7030xC","https://api.spotify.com/v1/audio-analysis/2IC8VHvvpzGNSRkX7030xC",4,1,686053,FALSE,"https://api.spotify.com/v1/tracks/2IC8VHvvpzGNSRkX7030xC",FALSE,"<U+30A6><U+30A9><U+30FC><U+30AD><U+30F3><U+30B0>·<U+30B6>·<U+30C9><U+30C3><U+30B0> / S.O.S. / <U+30B5><U+30E0><U+30D0><U+30C7><U+30A3> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/ddb1b2ba287d53c993dc62bb6778dc140779ca0a?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2IC8VHvvpzGNSRkX7030xC","https://open.spotify.com/track/2IC8VHvvpzGNSRkX7030xC","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","A","major","A major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.3,0.876,2,-9.511,1,0.088,0.216,0.00502,0.761,0.678,176.546,"0SUk4KwBaEi0Cgv148xuLF","https://api.spotify.com/v1/audio-analysis/0SUk4KwBaEi0Cgv148xuLF",4,1,222693,FALSE,"https://api.spotify.com/v1/tracks/0SUk4KwBaEi0Cgv148xuLF",FALSE,"<U+30D3><U+30C3><U+30B0>10<U+30A4><U+30F3><U+30C1>·<U+30EC><U+30B3><U+30FC><U+30C9> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/718cd6aeff0ce77f24e1fc90cc11b7d9fad00655?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0SUk4KwBaEi0Cgv148xuLF","https://open.spotify.com/track/0SUk4KwBaEi0Cgv148xuLF","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","D","major","D major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.372,0.847,9,-10.633,1,0.0539,0.0366,0.0367,0.762,0.455,103.744,"1quE4ey6pusoualCpKYmkP","https://api.spotify.com/v1/audio-analysis/1quE4ey6pusoualCpKYmkP",4,1,348773,FALSE,"https://api.spotify.com/v1/tracks/1quE4ey6pusoualCpKYmkP",FALSE,"<U+30B9><U+30A6><U+30A3><U+30FC><U+30C8>·<U+30A8><U+30E2><U+30FC><U+30B7><U+30E7><U+30F3> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/f1f2f305bb611d512a6ba6cec5cd8183976a0e9f?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1quE4ey6pusoualCpKYmkP","https://open.spotify.com/track/1quE4ey6pusoualCpKYmkP","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","A","major","A major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.198,0.609,5,-9.548,0,0.0384,0.658,3.29e-05,0.776,0.364,79.2,"78hyrqVORBnhzEhEkeQXYN","https://api.spotify.com/v1/audio-analysis/78hyrqVORBnhzEhEkeQXYN",4,1,282000,FALSE,"https://api.spotify.com/v1/tracks/78hyrqVORBnhzEhEkeQXYN",FALSE,"<U+30C9><U+30EA><U+30FC><U+30E0>·<U+30AA><U+30F3> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/69dc0f48b4b2bdd31e39498d51acb767f90ab88b?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:78hyrqVORBnhzEhEkeQXYN","https://open.spotify.com/track/78hyrqVORBnhzEhEkeQXYN","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","F","minor","F minor","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.292,0.899,7,-8.926,1,0.0625,0.131,0.00959,0.65,0.574,143.228,"6t1Zw30va2NYMGutKaDzlF","https://api.spotify.com/v1/audio-analysis/6t1Zw30va2NYMGutKaDzlF",4,1,309240,FALSE,"https://api.spotify.com/v1/tracks/6t1Zw30va2NYMGutKaDzlF",FALSE,"<U+30E9><U+30A4><U+30C8>·<U+30DF><U+30FC>·<U+30A2>·<U+30EC><U+30BF><U+30FC> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/30943a13af3da9d2666bed44fc3525b037de8f9c?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:6t1Zw30va2NYMGutKaDzlF","https://open.spotify.com/track/6t1Zw30va2NYMGutKaDzlF","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","G","major","G major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.44,0.881,5,-9.555,1,0.0748,0.0258,0.000788,0.954,0.487,108.071,"5KYrjYGliBXAyMTkJl0RDB","https://api.spotify.com/v1/audio-analysis/5KYrjYGliBXAyMTkJl0RDB",4,1,277426,FALSE,"https://api.spotify.com/v1/tracks/5KYrjYGliBXAyMTkJl0RDB",FALSE,"<U+30A6><U+30A9><U+30FC><U+30AF>·<U+30C7><U+30A3><U+30B9>·<U+30A6><U+30A7><U+30A4> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/c27fe2a88265b811b368fa1a2d259fb1c77de496?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5KYrjYGliBXAyMTkJl0RDB","https://open.spotify.com/track/5KYrjYGliBXAyMTkJl0RDB","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","F","major","F major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.29,0.878,4,-9.053,1,0.054,0.0238,0.068,0.622,0.597,137.668,"7mzNTk6AdOEXXFqFjkERRw","https://api.spotify.com/v1/audio-analysis/7mzNTk6AdOEXXFqFjkERRw",4,1,554080,FALSE,"https://api.spotify.com/v1/tracks/7mzNTk6AdOEXXFqFjkERRw",FALSE,"<U+623B><U+308C><U+306A><U+3044> / <U+30BB><U+30A4><U+30E0>·<U+30AA><U+30FC><U+30EB><U+30C9>·<U+30BD><U+30F3><U+30B0>·<U+30A2><U+30F3><U+30C9>·<U+30C0><U+30F3><U+30B9> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/08b20f52925c0887ed027d268063f4812665db41?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:7mzNTk6AdOEXXFqFjkERRw","https://open.spotify.com/track/7mzNTk6AdOEXXFqFjkERRw","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","E","major","E major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.37,0.89,2,-11.626,1,0.136,0.00572,0.474,0.924,0.145,91.187,"3ldw2kQOJ6gG28rIDExLG3","https://api.spotify.com/v1/audio-analysis/3ldw2kQOJ6gG28rIDExLG3",4,1,911853,FALSE,"https://api.spotify.com/v1/tracks/3ldw2kQOJ6gG28rIDExLG3",FALSE,"<U+30C8><U+30EC><U+30A4><U+30F3>·<U+30B1><U+30D7><U+30C8>·<U+30A2>·<U+30ED><U+30FC><U+30EA><U+30F3> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/70902932c5ed7aef0f2b6cf92a1a5b0e67444a87?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:3ldw2kQOJ6gG28rIDExLG3","https://open.spotify.com/track/3ldw2kQOJ6gG28rIDExLG3","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","D","major","D major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.299,0.934,4,-9.092,1,0.0708,0.00815,0.0636,0.962,0.399,93.899,"1hgcozzvbDd2hwlAoAZcAr","https://api.spotify.com/v1/audio-analysis/1hgcozzvbDd2hwlAoAZcAr",4,1,267120,FALSE,"https://api.spotify.com/v1/tracks/1hgcozzvbDd2hwlAoAZcAr",FALSE,"<U+95C7><U+591C><U+306E><U+30D8><U+30F4><U+30A3>·<U+30ED><U+30C3><U+30AF> (Central Park, New York, August 29th, 1975) [Remastered]","https://p.scdn.co/mp3-preview/4725d1a323a822aadc464905c4e4420c2e6a84aa?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:1hgcozzvbDd2hwlAoAZcAr","https://open.spotify.com/track/1hgcozzvbDd2hwlAoAZcAr","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","E","major","E major","rock"
"Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","48hFAR8aql1QHCJWNmYiUX","album","2017-12-22",2017,"day",0.246,0.764,0,-7.905,0,0.062,0.155,0.7,0.953,0.39,125.291,"6mwaybQBYFf0Td69pdRTQj","https://api.spotify.com/v1/audio-analysis/6mwaybQBYFf0Td69pdRTQj",4,1,272373,FALSE,"https://api.spotify.com/v1/tracks/6mwaybQBYFf0Td69pdRTQj",FALSE,"<U+30D0><U+30C3><U+30AF>·<U+30A4><U+30F3>·<U+30B6>·<U+30B5><U+30C9><U+30EB> (Stage West, Hartford Connecticut June 12th 1980) [Remastered]","https://p.scdn.co/mp3-preview/b6daa247314ca4b2fd9c68451468f0317e8243e1?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:6mwaybQBYFf0Td69pdRTQj","https://open.spotify.com/track/6mwaybQBYFf0Td69pdRTQj","<U+30E9><U+30A4><U+30F4>1975/1980 ~<U+30AD><U+30F3><U+30B0>·<U+30D3><U+30B9><U+30B1><U+30C3><U+30C8>·<U+30D5><U+30E9><U+30EF><U+30FC>·<U+30A2><U+30EF><U+30FC>~ (Live) [Remastered]","C","minor","C minor","rock"
