"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.55,0.837,11,-5.411,1,0.044,0.0104,0,0.306,0.637,89.821,"02lU0Hj680zVexT4GqJJZ4","https://api.spotify.com/v1/audio-analysis/02lU0Hj680zVexT4GqJJZ4",4,1,223994,FALSE,"https://api.spotify.com/v1/tracks/02lU0Hj680zVexT4GqJJZ4",FALSE,"Some Kind of Disaster","https://p.scdn.co/mp3-preview/a20a7f16267b7742e7d68afb5ee6b6ae3bc267c4?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:02lU0Hj680zVexT4GqJJZ4","https://open.spotify.com/track/02lU0Hj680zVexT4GqJJZ4","Wake Up, Sunshine","B","major","B major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.656,0.955,7,-3.842,1,0.0462,0.00865,0,0.342,0.558,105.031,"402Ecma69MRxeQK6ml6YbI","https://api.spotify.com/v1/audio-analysis/402Ecma69MRxeQK6ml6YbI",4,1,180599,FALSE,"https://api.spotify.com/v1/tracks/402Ecma69MRxeQK6ml6YbI",FALSE,"Sleeping In","https://p.scdn.co/mp3-preview/77cf1019123abdf09888f68a5e564a43f9eb1c81?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:402Ecma69MRxeQK6ml6YbI","https://open.spotify.com/track/402Ecma69MRxeQK6ml6YbI","Wake Up, Sunshine","G","major","G major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.556,0.899,4,-3.372,1,0.0711,0.00251,0,0.08,0.831,102.056,"6lMPUipRF49L8AxLW3F40B","https://api.spotify.com/v1/audio-analysis/6lMPUipRF49L8AxLW3F40B",4,1,167041,FALSE,"https://api.spotify.com/v1/tracks/6lMPUipRF49L8AxLW3F40B",FALSE,"Getaway Green","https://p.scdn.co/mp3-preview/3ccfe120d81da6c7e729f9909de030b2886fe222?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6lMPUipRF49L8AxLW3F40B","https://open.spotify.com/track/6lMPUipRF49L8AxLW3F40B","Wake Up, Sunshine","E","major","E major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.643,0.927,2,-2.82,1,0.0533,0.00193,0,0.103,0.682,102.037,"1wQsTZ4AxGoXB9FmD9Nf4o","https://api.spotify.com/v1/audio-analysis/1wQsTZ4AxGoXB9FmD9Nf4o",4,1,174895,FALSE,"https://api.spotify.com/v1/tracks/1wQsTZ4AxGoXB9FmD9Nf4o",FALSE,"Melancholy Kaleidoscope","https://p.scdn.co/mp3-preview/7d96c8967217f270b6262d8ac324cc5e2629a841?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1wQsTZ4AxGoXB9FmD9Nf4o","https://open.spotify.com/track/1wQsTZ4AxGoXB9FmD9Nf4o","Wake Up, Sunshine","D","major","D major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.511,0.903,6,-4.194,0,0.0685,0.000707,0,0.0725,0.882,175.021,"4nOi9YbtFt7e9I4bbI1FKd","https://api.spotify.com/v1/audio-analysis/4nOi9YbtFt7e9I4bbI1FKd",3,1,147059,FALSE,"https://api.spotify.com/v1/tracks/4nOi9YbtFt7e9I4bbI1FKd",FALSE,"Trouble Is...","https://p.scdn.co/mp3-preview/5da0cd918de2f87ed56f67991263a38fded8ca1e?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4nOi9YbtFt7e9I4bbI1FKd","https://open.spotify.com/track/4nOi9YbtFt7e9I4bbI1FKd","Wake Up, Sunshine","F#","minor","F# minor","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.508,0.951,11,-2.75,1,0.0709,0.00125,0,0.2,0.466,146.048,"0xUvmXH7JO3klazeWlOyup","https://api.spotify.com/v1/audio-analysis/0xUvmXH7JO3klazeWlOyup",4,1,196192,FALSE,"https://api.spotify.com/v1/tracks/0xUvmXH7JO3klazeWlOyup",FALSE,"Wake Up, Sunshine","https://p.scdn.co/mp3-preview/45b648fa1bf27348d22fe7466b4c7df9fd721ea4?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:0xUvmXH7JO3klazeWlOyup","https://open.spotify.com/track/0xUvmXH7JO3klazeWlOyup","Wake Up, Sunshine","B","major","B major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.369,0.845,0,-3.449,0,0.0611,0.0493,0,0.416,0.782,78.532,"0tyR7Bu9P086aWBFZ4QJoo","https://api.spotify.com/v1/audio-analysis/0tyR7Bu9P086aWBFZ4QJoo",4,1,174067,TRUE,"https://api.spotify.com/v1/tracks/0tyR7Bu9P086aWBFZ4QJoo",FALSE,"Monsters (feat. blackbear)","https://p.scdn.co/mp3-preview/738d2f5131e44208169d150ecd9fb0968639c9f5?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:0tyR7Bu9P086aWBFZ4QJoo","https://open.spotify.com/track/0tyR7Bu9P086aWBFZ4QJoo","Wake Up, Sunshine","C","minor","C minor","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.686,0.591,3,-8.365,1,0.045,0.569,0.000813,0.366,0.465,129.015,"2nZ3LmQbY2rEd4awJVkQpd","https://api.spotify.com/v1/audio-analysis/2nZ3LmQbY2rEd4awJVkQpd",4,1,182450,TRUE,"https://api.spotify.com/v1/tracks/2nZ3LmQbY2rEd4awJVkQpd",FALSE,"Pretty Venom (Interlude)","https://p.scdn.co/mp3-preview/385d8f07320bae893243713894b4767045c0356f?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:2nZ3LmQbY2rEd4awJVkQpd","https://open.spotify.com/track/2nZ3LmQbY2rEd4awJVkQpd","Wake Up, Sunshine","D#","major","D# major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.598,0.886,8,-4.203,1,0.0412,0.000588,4.81e-05,0.0264,0.648,129.972,"2uVNn2pFpDlx1XrFcEfary","https://api.spotify.com/v1/audio-analysis/2uVNn2pFpDlx1XrFcEfary",4,1,193948,FALSE,"https://api.spotify.com/v1/tracks/2uVNn2pFpDlx1XrFcEfary",FALSE,"Favorite Place (feat. The Band CAMINO)","https://p.scdn.co/mp3-preview/60a62ee9ebf92def982f43a5c1b10a382c05d642?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2uVNn2pFpDlx1XrFcEfary","https://open.spotify.com/track/2uVNn2pFpDlx1XrFcEfary","Wake Up, Sunshine","G#","major","G# major","rock"
"All Time Low","46gyXjRIvN1NL1eCB8GBxo","1kwAv74rVTTGMpawGsXtiE","album","2020-04-03",2020,"day",0.583,0.859,1,-3.568,1,0.0432,0.00236,0,0.19,0.483,122.976,"3IDgkcLETJkpp43cad5SwB","https://api.spotify.com/v1/audio-analysis/3IDgkcLETJkpp43cad5SwB",4,1,220121,FALSE,"https://api.spotify.com/v1/tracks/3IDgkcLETJkpp43cad5SwB",FALSE,"Safe","https://p.scdn.co/mp3-preview/76fc23ab26c016a86623c43a2a09a08ecc01926d?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3IDgkcLETJkpp43cad5SwB","https://open.spotify.com/track/3IDgkcLETJkpp43cad5SwB","Wake Up, Sunshine","C#","major","C# major","rock"
