"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.663,0.152,5,-17.429,0,0.0452,0.892,0.000566,0.116,0.375,130.001,"26h3ilmkuMELgFLVPb4f65","https://api.spotify.com/v1/audio-analysis/26h3ilmkuMELgFLVPb4f65",4,1,322613,FALSE,"https://api.spotify.com/v1/tracks/26h3ilmkuMELgFLVPb4f65",FALSE,"The Girl From Ipanema - Single Version",NA,1,"track","spotify:track:26h3ilmkuMELgFLVPb4f65","https://open.spotify.com/track/26h3ilmkuMELgFLVPb4f65","Summer Samba! - Astrud Gilberto","F","minor","F minor","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.584,0.695,3,-9.584,0,0.0316,0.804,3.52e-05,0.0987,0.843,121.816,"5Hi0SglQuqjY0LISGhBwg2","https://api.spotify.com/v1/audio-analysis/5Hi0SglQuqjY0LISGhBwg2",4,1,161013,FALSE,"https://api.spotify.com/v1/tracks/5Hi0SglQuqjY0LISGhBwg2",FALSE,"Summer Samba (So Nice) - Edit",NA,2,"track","spotify:track:5Hi0SglQuqjY0LISGhBwg2","https://open.spotify.com/track/5Hi0SglQuqjY0LISGhBwg2","Summer Samba! - Astrud Gilberto","D#","minor","D# minor","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.798,0.736,1,-8.878,0,0.0644,0.26,0.0703,0.17,0.714,120.991,"3kXoY38TS2q5KYplZr2ZCN","https://api.spotify.com/v1/audio-analysis/3kXoY38TS2q5KYplZr2ZCN",4,1,238146,FALSE,"https://api.spotify.com/v1/tracks/3kXoY38TS2q5KYplZr2ZCN",FALSE,"Agua De Beber",NA,3,"track","spotify:track:3kXoY38TS2q5KYplZr2ZCN","https://open.spotify.com/track/3kXoY38TS2q5KYplZr2ZCN","Summer Samba! - Astrud Gilberto","C#","minor","C# minor","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.585,0.225,5,-14.882,1,0.0345,0.626,0,0.0532,0.662,147.741,"7jBnk4dBARAuQO5BErpmoM","https://api.spotify.com/v1/audio-analysis/7jBnk4dBARAuQO5BErpmoM",4,1,141426,FALSE,"https://api.spotify.com/v1/tracks/7jBnk4dBARAuQO5BErpmoM",FALSE,"So Finha De Ser Com Voce",NA,4,"track","spotify:track:7jBnk4dBARAuQO5BErpmoM","https://open.spotify.com/track/7jBnk4dBARAuQO5BErpmoM","Summer Samba! - Astrud Gilberto","F","major","F major","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.639,0.263,7,-15.631,1,0.0349,0.885,0.00995,0.0846,0.571,127.657,"6ol2TDHJcwHLVtfoMIyBvl","https://api.spotify.com/v1/audio-analysis/6ol2TDHJcwHLVtfoMIyBvl",4,1,207306,FALSE,"https://api.spotify.com/v1/tracks/6ol2TDHJcwHLVtfoMIyBvl",FALSE,"Look To The Rainbow",NA,5,"track","spotify:track:6ol2TDHJcwHLVtfoMIyBvl","https://open.spotify.com/track/6ol2TDHJcwHLVtfoMIyBvl","Summer Samba! - Astrud Gilberto","G","major","G major","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.456,0.103,2,-18.617,0,0.0308,0.904,0.0202,0.105,0.352,97.915,"21t05zzki5jo4g3ARH13G2","https://api.spotify.com/v1/audio-analysis/21t05zzki5jo4g3ARH13G2",4,1,115440,FALSE,"https://api.spotify.com/v1/tracks/21t05zzki5jo4g3ARH13G2",FALSE,"Manha De Carnaval",NA,6,"track","spotify:track:21t05zzki5jo4g3ARH13G2","https://open.spotify.com/track/21t05zzki5jo4g3ARH13G2","Summer Samba! - Astrud Gilberto","D","minor","D minor","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.529,0.212,0,-12.437,1,0.0429,0.96,0.00166,0.129,0.316,127.869,"67V42flVHmN28hwHUeRYvi","https://api.spotify.com/v1/audio-analysis/67V42flVHmN28hwHUeRYvi",4,1,254026,FALSE,"https://api.spotify.com/v1/tracks/67V42flVHmN28hwHUeRYvi",FALSE,"Corcovado (Quiet Nights Of Quiet Stars)",NA,7,"track","spotify:track:67V42flVHmN28hwHUeRYvi","https://open.spotify.com/track/67V42flVHmN28hwHUeRYvi","Summer Samba! - Astrud Gilberto","C","major","C major","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.417,0.33,0,-9.226,1,0.0304,0.838,0,0.316,0.25,133.09,"1yX1mH7YYkI9ZhNEsU6FWd","https://api.spotify.com/v1/audio-analysis/1yX1mH7YYkI9ZhNEsU6FWd",4,1,162600,FALSE,"https://api.spotify.com/v1/tracks/1yX1mH7YYkI9ZhNEsU6FWd",FALSE,"Meditation",NA,8,"track","spotify:track:1yX1mH7YYkI9ZhNEsU6FWd","https://open.spotify.com/track/1yX1mH7YYkI9ZhNEsU6FWd","Summer Samba! - Astrud Gilberto","C","major","C major","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.527,0.377,1,-14.054,1,0.0293,0.726,0.201,0.148,0.608,116.19,"5HSc5lngekflI8hOXPKM6M","https://api.spotify.com/v1/audio-analysis/5HSc5lngekflI8hOXPKM6M",4,1,159240,FALSE,"https://api.spotify.com/v1/tracks/5HSc5lngekflI8hOXPKM6M",FALSE,"Misty Roses",NA,9,"track","spotify:track:5HSc5lngekflI8hOXPKM6M","https://open.spotify.com/track/5HSc5lngekflI8hOXPKM6M","Summer Samba! - Astrud Gilberto","C#","major","C# major","jazz"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5QZYNEhb6o5KYozZT30Atc","album","2020-07-31",2020,"day",0.305,0.138,11,-16.804,0,0.0338,0.746,0,0.0929,0.171,82.596,"6DLEueAVE3Px3rXHSLIfgS","https://api.spotify.com/v1/audio-analysis/6DLEueAVE3Px3rXHSLIfgS",4,1,161346,FALSE,"https://api.spotify.com/v1/tracks/6DLEueAVE3Px3rXHSLIfgS",FALSE,"Dindi",NA,10,"track","spotify:track:6DLEueAVE3Px3rXHSLIfgS","https://open.spotify.com/track/6DLEueAVE3Px3rXHSLIfgS","Summer Samba! - Astrud Gilberto","B","minor","B minor","jazz"
