"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.778,0.727,1,-6.115,0,0.0837,0.0212,0,0.101,0.218,119.972,"46hDiH4YvAWXE04GskkIHS","https://api.spotify.com/v1/audio-analysis/46hDiH4YvAWXE04GskkIHS",4,1,152263,TRUE,"https://api.spotify.com/v1/tracks/46hDiH4YvAWXE04GskkIHS",FALSE,"Why Would I Stop?",NA,1,"track","spotify:track:46hDiH4YvAWXE04GskkIHS","https://open.spotify.com/track/46hDiH4YvAWXE04GskkIHS","Detroit 2","C#","minor","C# minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.519,0.664,1,-7.274,1,0.277,0.0785,0,0.146,0.518,73.019,"6wVnQMRXd1z2iPEo24f9db","https://api.spotify.com/v1/audio-analysis/6wVnQMRXd1z2iPEo24f9db",4,1,248359,TRUE,"https://api.spotify.com/v1/tracks/6wVnQMRXd1z2iPEo24f9db",FALSE,"Lucky Me",NA,2,"track","spotify:track:6wVnQMRXd1z2iPEo24f9db","https://open.spotify.com/track/6wVnQMRXd1z2iPEo24f9db","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.631,0.848,9,-4.839,0,0.31,0.138,0,0.379,0.265,91.879,"2CDcXWYWilHTXrsOXJza8n","https://api.spotify.com/v1/audio-analysis/2CDcXWYWilHTXrsOXJza8n",4,1,231351,TRUE,"https://api.spotify.com/v1/tracks/2CDcXWYWilHTXrsOXJza8n",FALSE,"Deep Reverence (feat. Nipsey Hussle)",NA,3,"track","spotify:track:2CDcXWYWilHTXrsOXJza8n","https://open.spotify.com/track/2CDcXWYWilHTXrsOXJza8n","Detroit 2","A","minor","A minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,"33gwZOGJWEZ7dRWPqPxBEZ","https://api.spotify.com/v1/audio-analysis/33gwZOGJWEZ7dRWPqPxBEZ",4,1,199758,TRUE,"https://api.spotify.com/v1/tracks/33gwZOGJWEZ7dRWPqPxBEZ",FALSE,"Wolves (feat. Post Malone)",NA,4,"track","spotify:track:33gwZOGJWEZ7dRWPqPxBEZ","https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ","Detroit 2","D","major","D major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.711,0.838,11,-3.553,0,0.122,0.00607,0,0.0898,0.53,80.024,"6FXsrAH7Zol1jusSeJIoYA","https://api.spotify.com/v1/audio-analysis/6FXsrAH7Zol1jusSeJIoYA",4,1,224770,TRUE,"https://api.spotify.com/v1/tracks/6FXsrAH7Zol1jusSeJIoYA",FALSE,"Body Language (feat. Ty Dolla $ign, and Jhené Aiko)",NA,5,"track","spotify:track:6FXsrAH7Zol1jusSeJIoYA","https://open.spotify.com/track/6FXsrAH7Zol1jusSeJIoYA","Detroit 2","B","minor","B minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.666,0.391,1,-11.667,1,0.813,0.615,0,0.236,0.538,75.093,"5rtUKt6YbKTBb8hVIbsMsv","https://api.spotify.com/v1/audio-analysis/5rtUKt6YbKTBb8hVIbsMsv",4,1,155166,TRUE,"https://api.spotify.com/v1/tracks/5rtUKt6YbKTBb8hVIbsMsv",FALSE,"Story By Dave Chappelle",NA,6,"track","spotify:track:5rtUKt6YbKTBb8hVIbsMsv","https://open.spotify.com/track/5rtUKt6YbKTBb8hVIbsMsv","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.736,0.735,1,-6.2,1,0.112,0.0907,0,0.209,0.398,107.029,"23XTYrwfHXY8H1PuQYJbDA","https://api.spotify.com/v1/audio-analysis/23XTYrwfHXY8H1PuQYJbDA",4,1,131274,TRUE,"https://api.spotify.com/v1/tracks/23XTYrwfHXY8H1PuQYJbDA",FALSE,"Harder Than My Demons",NA,7,"track","spotify:track:23XTYrwfHXY8H1PuQYJbDA","https://open.spotify.com/track/23XTYrwfHXY8H1PuQYJbDA","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.405,0.51,8,-10.343,0,0.411,0.692,2.41e-06,0.245,0.396,183.057,"2LxudmRpMzYTsb37Oi1RWD","https://api.spotify.com/v1/audio-analysis/2LxudmRpMzYTsb37Oi1RWD",4,1,194051,TRUE,"https://api.spotify.com/v1/tracks/2LxudmRpMzYTsb37Oi1RWD",FALSE,"Everything That's Missing (feat. Dwele)",NA,8,"track","spotify:track:2LxudmRpMzYTsb37Oi1RWD","https://open.spotify.com/track/2LxudmRpMzYTsb37Oi1RWD","Detroit 2","G#","minor","G# minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.72,0.542,1,-7.583,1,0.0482,0.0514,3.5e-06,0.136,0.374,74.977,"0z36JaXXoFXuPuQucKEsdx","https://api.spotify.com/v1/audio-analysis/0z36JaXXoFXuPuQucKEsdx",4,1,136461,TRUE,"https://api.spotify.com/v1/tracks/0z36JaXXoFXuPuQucKEsdx",FALSE,"ZTFO",NA,9,"track","spotify:track:0z36JaXXoFXuPuQucKEsdx","https://open.spotify.com/track/0z36JaXXoFXuPuQucKEsdx","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.608,0.664,11,-5.788,0,0.184,0.457,0,0.0795,0.432,81.978,"7LYgVPxRvlN7OavmyrnOGe","https://api.spotify.com/v1/audio-analysis/7LYgVPxRvlN7OavmyrnOGe",4,1,258112,TRUE,"https://api.spotify.com/v1/tracks/7LYgVPxRvlN7OavmyrnOGe",FALSE,"Guard Your Heart (feat. Anderson .Paak, Earlly Mac, and Wale)",NA,10,"track","spotify:track:7LYgVPxRvlN7OavmyrnOGe","https://open.spotify.com/track/7LYgVPxRvlN7OavmyrnOGe","Detroit 2","B","minor","B minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.703,0.717,8,-6.035,0,0.23,0.0693,0,0.285,0.417,77.016,"4QqTDl0Po7cbaZMcGsZmBg","https://api.spotify.com/v1/audio-analysis/4QqTDl0Po7cbaZMcGsZmBg",4,1,207243,TRUE,"https://api.spotify.com/v1/tracks/4QqTDl0Po7cbaZMcGsZmBg",FALSE,"Respect It (with Hit-Boy feat. Young Thug)",NA,11,"track","spotify:track:4QqTDl0Po7cbaZMcGsZmBg","https://open.spotify.com/track/4QqTDl0Po7cbaZMcGsZmBg","Detroit 2","G#","minor","G# minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.676,0.82,7,-5.217,1,0.0554,0.0493,0,0.615,0.618,152.028,"4VLTxHOyFX5FRtkpsFm5Pc","https://api.spotify.com/v1/audio-analysis/4VLTxHOyFX5FRtkpsFm5Pc",4,1,199250,TRUE,"https://api.spotify.com/v1/tracks/4VLTxHOyFX5FRtkpsFm5Pc",FALSE,"Lithuania (feat. Travis Scott)",NA,12,"track","spotify:track:4VLTxHOyFX5FRtkpsFm5Pc","https://open.spotify.com/track/4VLTxHOyFX5FRtkpsFm5Pc","Detroit 2","G","major","G major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.549,0.931,11,-3.458,0,0.176,0.392,0,0.101,0.566,82.142,"4Na2Xo5yQCr5ucwfg8EGIQ","https://api.spotify.com/v1/audio-analysis/4Na2Xo5yQCr5ucwfg8EGIQ",4,1,178852,TRUE,"https://api.spotify.com/v1/tracks/4Na2Xo5yQCr5ucwfg8EGIQ",FALSE,"Full Circle (feat. Key Wane, and Diddy)",NA,13,"track","spotify:track:4Na2Xo5yQCr5ucwfg8EGIQ","https://open.spotify.com/track/4Na2Xo5yQCr5ucwfg8EGIQ","Detroit 2","B","minor","B minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.641,0.524,7,-9.513,0,0.423,0.176,0,0.197,0.525,133.132,"4lfXTKmZ7fZC6LEPRRC9YL","https://api.spotify.com/v1/audio-analysis/4lfXTKmZ7fZC6LEPRRC9YL",4,1,177424,TRUE,"https://api.spotify.com/v1/tracks/4lfXTKmZ7fZC6LEPRRC9YL",FALSE,"Time In",NA,14,"track","spotify:track:4lfXTKmZ7fZC6LEPRRC9YL","https://open.spotify.com/track/4lfXTKmZ7fZC6LEPRRC9YL","Detroit 2","G","minor","G minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.673,0.331,1,-15.649,1,0.408,0.858,4.72e-05,0.12,0.543,80.759,"3jiNZ1WUAzCpAYlWW1EY5B","https://api.spotify.com/v1/audio-analysis/3jiNZ1WUAzCpAYlWW1EY5B",4,1,130408,FALSE,"https://api.spotify.com/v1/tracks/3jiNZ1WUAzCpAYlWW1EY5B",FALSE,"Story By Erykah Badu",NA,15,"track","spotify:track:3jiNZ1WUAzCpAYlWW1EY5B","https://open.spotify.com/track/3jiNZ1WUAzCpAYlWW1EY5B","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.58,0.672,1,-4.652,1,0.579,0.0927,0,0.157,0.181,158.041,"2UnYYdvyWndHU4yPdoyAtZ","https://api.spotify.com/v1/audio-analysis/2UnYYdvyWndHU4yPdoyAtZ",4,1,182992,TRUE,"https://api.spotify.com/v1/tracks/2UnYYdvyWndHU4yPdoyAtZ",FALSE,"FEED",NA,16,"track","spotify:track:2UnYYdvyWndHU4yPdoyAtZ","https://open.spotify.com/track/2UnYYdvyWndHU4yPdoyAtZ","Detroit 2","C#","major","C# major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.639,0.726,9,-3.764,1,0.324,0.0637,0,0.713,0.232,81.846,"6UQkEcZNvGORn3R9oGi9c9","https://api.spotify.com/v1/audio-analysis/6UQkEcZNvGORn3R9oGi9c9",4,1,189055,TRUE,"https://api.spotify.com/v1/tracks/6UQkEcZNvGORn3R9oGi9c9",FALSE,"The Baddest",NA,17,"track","spotify:track:6UQkEcZNvGORn3R9oGi9c9","https://open.spotify.com/track/6UQkEcZNvGORn3R9oGi9c9","Detroit 2","A","major","A major","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.626,0.776,10,-4.951,0,0.231,0.0736,0,0.217,0.468,97.934,"5lxQ9BW2xOzgRIxQAZzHSK","https://api.spotify.com/v1/audio-analysis/5lxQ9BW2xOzgRIxQAZzHSK",4,1,194637,TRUE,"https://api.spotify.com/v1/tracks/5lxQ9BW2xOzgRIxQAZzHSK",FALSE,"Don Life (feat. Lil Wayne)",NA,18,"track","spotify:track:5lxQ9BW2xOzgRIxQAZzHSK","https://open.spotify.com/track/5lxQ9BW2xOzgRIxQAZzHSK","Detroit 2","A#","minor","A# minor","rap"
"Big Sean","0c173mlxpT3dSFRgMO8XPh","6slkiHeFK3wW2D1mao0TX3","album","2020-09-04",2020,"day",0.584,0.658,1,-6.537,1,0.377,0.0906,0,0.0694,0.381,89.387,"2kY2ROHIGdp3aA6ahqaUKm","https://api.spotify.com/v1/audio-analysis/2kY2ROHIGdp3aA6ahqaUKm",4,1,568129,TRUE,"https://api.spotify.com/v1/tracks/2kY2ROHIGdp3aA6ahqaUKm",FALSE,"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)",NA,19,"track","spotify:track:2kY2ROHIGdp3aA6ahqaUKm","https://open.spotify.com/track/2kY2ROHIGdp3aA6ahqaUKm","Detroit 2","C#","major","C# major","rap"
