"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.586,0.421,8,-4.18,1,0.0876,0.76,0,0.256,0.761,76.873,"6fHhGCwYsZqAxsW5tQNcTS","https://api.spotify.com/v1/audio-analysis/6fHhGCwYsZqAxsW5tQNcTS",4,1,169615,FALSE,"https://api.spotify.com/v1/tracks/6fHhGCwYsZqAxsW5tQNcTS",FALSE,"Them There Eyes - Single Version",NA,1,"track","spotify:track:6fHhGCwYsZqAxsW5tQNcTS","https://open.spotify.com/track/6fHhGCwYsZqAxsW5tQNcTS","All of Me: Spotlight on Billie Holiday","G#","major","G# major","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.5,0.418,0,-11.686,0,0.077,0.988,0.334,0.901,0.804,77.757,"3z2wFTtK97EUx1zDkOuh4g","https://api.spotify.com/v1/audio-analysis/3z2wFTtK97EUx1zDkOuh4g",4,1,121826,FALSE,"https://api.spotify.com/v1/tracks/3z2wFTtK97EUx1zDkOuh4g",FALSE,"All Of Me - Live At Carnegie Hall,1946",NA,2,"track","spotify:track:3z2wFTtK97EUx1zDkOuh4g","https://open.spotify.com/track/3z2wFTtK97EUx1zDkOuh4g","All of Me: Spotlight on Billie Holiday","C","minor","C minor","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.439,0.153,8,-9.645,1,0.0328,0.978,5.34e-05,0.0999,0.189,71.655,"1v5WsROReH5jWnbKlouq4m","https://api.spotify.com/v1/audio-analysis/1v5WsROReH5jWnbKlouq4m",4,1,190266,FALSE,"https://api.spotify.com/v1/tracks/1v5WsROReH5jWnbKlouq4m",FALSE,"Solitude - Single Version",NA,3,"track","spotify:track:1v5WsROReH5jWnbKlouq4m","https://open.spotify.com/track/1v5WsROReH5jWnbKlouq4m","All of Me: Spotlight on Billie Holiday","G#","major","G# major","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.356,0.0992,10,-17.072,0,0.0356,0.961,0.000674,0.176,0.0784,121.407,"7GL9ZZ9MpS4muAovRUVXkp","https://api.spotify.com/v1/audio-analysis/7GL9ZZ9MpS4muAovRUVXkp",4,1,189360,FALSE,"https://api.spotify.com/v1/tracks/7GL9ZZ9MpS4muAovRUVXkp",FALSE,"Strange Fruit",NA,4,"track","spotify:track:7GL9ZZ9MpS4muAovRUVXkp","https://open.spotify.com/track/7GL9ZZ9MpS4muAovRUVXkp","All of Me: Spotlight on Billie Holiday","A#","minor","A# minor","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.479,0.182,8,-12.076,1,0.0387,0.961,0,0.124,0.328,135.962,"1jkwGRWXeNEAb8nMdtXhcu","https://api.spotify.com/v1/audio-analysis/1jkwGRWXeNEAb8nMdtXhcu",4,1,237733,FALSE,"https://api.spotify.com/v1/tracks/1jkwGRWXeNEAb8nMdtXhcu",FALSE,"God Bless The Child - 1956 Version",NA,5,"track","spotify:track:1jkwGRWXeNEAb8nMdtXhcu","https://open.spotify.com/track/1jkwGRWXeNEAb8nMdtXhcu","All of Me: Spotlight on Billie Holiday","G#","major","G# major","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.545,0.345,5,-11.527,0,0.0512,0.892,0,0.113,0.668,110.582,"5GXUeKAq0w2FVEtJMCw604","https://api.spotify.com/v1/audio-analysis/5GXUeKAq0w2FVEtJMCw604",4,1,146706,FALSE,"https://api.spotify.com/v1/tracks/5GXUeKAq0w2FVEtJMCw604",FALSE,"I Cried For You",NA,6,"track","spotify:track:5GXUeKAq0w2FVEtJMCw604","https://open.spotify.com/track/5GXUeKAq0w2FVEtJMCw604","All of Me: Spotlight on Billie Holiday","F","minor","F minor","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.617,0.149,7,-12.376,1,0.0706,0.855,0,0.118,0.261,99.24,"7t67zTxmFjP4VKwZKVJ3o8","https://api.spotify.com/v1/audio-analysis/7t67zTxmFjP4VKwZKVJ3o8",4,1,199053,FALSE,"https://api.spotify.com/v1/tracks/7t67zTxmFjP4VKwZKVJ3o8",FALSE,"Ain't Nobody's Business If I Do - Single Version",NA,7,"track","spotify:track:7t67zTxmFjP4VKwZKVJ3o8","https://open.spotify.com/track/7t67zTxmFjP4VKwZKVJ3o8","All of Me: Spotlight on Billie Holiday","G","major","G major","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.317,0.197,0,-12.251,0,0.0374,0.948,0,0.109,0.194,176.861,"3MLpY1tasUh51RaQ7YxQxo","https://api.spotify.com/v1/audio-analysis/3MLpY1tasUh51RaQ7YxQxo",3,1,226693,FALSE,"https://api.spotify.com/v1/tracks/3MLpY1tasUh51RaQ7YxQxo",FALSE,"Lady Sings The Blues",NA,8,"track","spotify:track:3MLpY1tasUh51RaQ7YxQxo","https://open.spotify.com/track/3MLpY1tasUh51RaQ7YxQxo","All of Me: Spotlight on Billie Holiday","C","minor","C minor","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.443,0.168,0,-11.127,1,0.0349,0.907,0,0.161,0.301,100.82,"5XfEhmakIqsqdqPeIeBHoP","https://api.spotify.com/v1/audio-analysis/5XfEhmakIqsqdqPeIeBHoP",3,1,195173,FALSE,"https://api.spotify.com/v1/tracks/5XfEhmakIqsqdqPeIeBHoP",FALSE,"Lover Man - Single Version",NA,9,"track","spotify:track:5XfEhmakIqsqdqPeIeBHoP","https://open.spotify.com/track/5XfEhmakIqsqdqPeIeBHoP","All of Me: Spotlight on Billie Holiday","C","major","C major","jazz"
"Billie Holiday","1YzCsTRb22dQkh9lghPIrp","4Nee4kJMdAUUquE1wlU4Vh","album","2021-02-26",2021,"day",0.713,0.328,7,-5.169,1,0.0538,0.833,0,0.273,0.697,97.332,"1h973jZtW0LsrSS2nRngne","https://api.spotify.com/v1/audio-analysis/1h973jZtW0LsrSS2nRngne",4,1,165106,FALSE,"https://api.spotify.com/v1/tracks/1h973jZtW0LsrSS2nRngne",FALSE,"Gimme A Pigfoot And A Bottle Of Beer - Single Version",NA,10,"track","spotify:track:1h973jZtW0LsrSS2nRngne","https://open.spotify.com/track/1h973jZtW0LsrSS2nRngne","All of Me: Spotlight on Billie Holiday","G","major","G major","jazz"
