"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.492,0.391,4,-12.563,1,0.057,0.64,0,0.192,0.615,99.625,"1FPKMooGfbOGzESM1G2ffC","https://api.spotify.com/v1/audio-analysis/1FPKMooGfbOGzESM1G2ffC",4,1,364040,FALSE,"https://api.spotify.com/v1/tracks/1FPKMooGfbOGzESM1G2ffC",FALSE,"Up to Me - Take 1","https://p.scdn.co/mp3-preview/ca3d5c825ff50a255902df73b19ccb768df4fbca?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1FPKMooGfbOGzESM1G2ffC","https://open.spotify.com/track/1FPKMooGfbOGzESM1G2ffC","The Best of The Bootleg Series","E","major","E major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.467,0.212,1,-13.209,1,0.031,0.851,6.35e-06,0.0812,0.412,157.395,"4pmiUthPjTO9wSiYhwsccL","https://api.spotify.com/v1/audio-analysis/4pmiUthPjTO9wSiYhwsccL",4,1,351986,FALSE,"https://api.spotify.com/v1/tracks/4pmiUthPjTO9wSiYhwsccL",FALSE,"Blind Willie McTell - Studio Outtake - 1983","https://p.scdn.co/mp3-preview/bfec797e9ffb611b1a0f31a36f894bff85e12c33?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4pmiUthPjTO9wSiYhwsccL","https://open.spotify.com/track/4pmiUthPjTO9wSiYhwsccL","The Best of The Bootleg Series","C#","major","C# major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.289,0.902,2,-8.442,1,0.137,0.263,0.00497,0.584,0.335,136.304,"6mVHvEPuKxqVLDNuX7KkJ3","https://api.spotify.com/v1/audio-analysis/6mVHvEPuKxqVLDNuX7KkJ3",4,1,223333,FALSE,"https://api.spotify.com/v1/tracks/6mVHvEPuKxqVLDNuX7KkJ3",FALSE,"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966","https://p.scdn.co/mp3-preview/30057880615f0308f1e3d4b9645a60474b9d7936?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6mVHvEPuKxqVLDNuX7KkJ3","https://open.spotify.com/track/6mVHvEPuKxqVLDNuX7KkJ3","The Best of The Bootleg Series","D","major","D major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.567,0.886,2,-7.238,1,0.053,0.00512,0.000116,0.154,0.646,121.599,"6tJLnC0kXLbYY2Nkp1swq6","https://api.spotify.com/v1/audio-analysis/6tJLnC0kXLbYY2Nkp1swq6",4,1,303080,FALSE,"https://api.spotify.com/v1/tracks/6tJLnC0kXLbYY2Nkp1swq6",FALSE,"Maggie's Farm - Live at Newport Folk Festival, Newport, RI - July 1965","https://p.scdn.co/mp3-preview/2a9ee08f7f180fc175217e3cad0ca443004fe6fa?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6tJLnC0kXLbYY2Nkp1swq6","https://open.spotify.com/track/6tJLnC0kXLbYY2Nkp1swq6","The Best of The Bootleg Series","D","major","D major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.424,0.71,9,-12.293,1,0.0449,0.695,0,0.935,0.539,123.847,"251RoQStLc0fLsCuulS6H8","https://api.spotify.com/v1/audio-analysis/251RoQStLc0fLsCuulS6H8",3,1,361133,FALSE,"https://api.spotify.com/v1/tracks/251RoQStLc0fLsCuulS6H8",FALSE,"The Groom's Still Waiting at the Altar - Live at the Warfield Theatre, San Francisco, CA - November 13, 1979","https://p.scdn.co/mp3-preview/3bca8f639852bb209ea6cc208416f1ab50d798f4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:251RoQStLc0fLsCuulS6H8","https://open.spotify.com/track/251RoQStLc0fLsCuulS6H8","The Best of The Bootleg Series","A","major","A major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.669,0.341,3,-13.33,1,0.0425,0.81,0.00172,0.427,0.679,91.953,"7vx5Kmbi9KZlazyEzfPaao","https://api.spotify.com/v1/audio-analysis/7vx5Kmbi9KZlazyEzfPaao",4,1,278026,FALSE,"https://api.spotify.com/v1/tracks/7vx5Kmbi9KZlazyEzfPaao",FALSE,"Dink's Song","https://p.scdn.co/mp3-preview/469c9963c14194e21725655ddc1b0c2751b53911?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:7vx5Kmbi9KZlazyEzfPaao","https://open.spotify.com/track/7vx5Kmbi9KZlazyEzfPaao","The Best of The Bootleg Series","D#","major","D# major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.574,0.142,7,-11.818,1,0.0306,0.948,0.00129,0.11,0.453,100.745,"2b1N18LLjmnLPjNKtcmebm","https://api.spotify.com/v1/audio-analysis/2b1N18LLjmnLPjNKtcmebm",4,1,136666,FALSE,"https://api.spotify.com/v1/tracks/2b1N18LLjmnLPjNKtcmebm",FALSE,"Pretty Saro - Unreleased from ""Self Portrait"" Sessions","https://p.scdn.co/mp3-preview/41801db7098a9d0a6b1f1530d0ba8ebda1f37e3c?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2b1N18LLjmnLPjNKtcmebm","https://open.spotify.com/track/2b1N18LLjmnLPjNKtcmebm","The Best of The Bootleg Series","G","major","G major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.472,0.131,11,-14.266,1,0.0484,0.871,0,0.118,0.311,174.459,"7BcxB2IFnOHBpRcGm7ICDO","https://api.spotify.com/v1/audio-analysis/7BcxB2IFnOHBpRcGm7ICDO",3,1,175373,FALSE,"https://api.spotify.com/v1/tracks/7BcxB2IFnOHBpRcGm7ICDO",FALSE,"Mama, You Been On My Mind - Studio Outtake - 1964","https://p.scdn.co/mp3-preview/fa0fbfb4fedc91136cb41c4b6b26c5669ca050e0?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:7BcxB2IFnOHBpRcGm7ICDO","https://open.spotify.com/track/7BcxB2IFnOHBpRcGm7ICDO","The Best of The Bootleg Series","B","major","B major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.552,0.332,4,-13.147,1,0.135,0.891,0,0.138,0.354,87.185,"2fvp509d1yE8hpoayA81d0","https://api.spotify.com/v1/audio-analysis/2fvp509d1yE8hpoayA81d0",4,1,363266,FALSE,"https://api.spotify.com/v1/tracks/2fvp509d1yE8hpoayA81d0",FALSE,"Mississippi - Outtake from ""Time Out Of Mind"" Sessions","https://p.scdn.co/mp3-preview/127b190304fd4f41b91292c4535ed07a36226541?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2fvp509d1yE8hpoayA81d0","https://open.spotify.com/track/2fvp509d1yE8hpoayA81d0","The Best of The Bootleg Series","E","major","E major","folk"
"Bob Dylan","74ASZWbe4lXaubB36ztrGX","4aqiclrXiQGRvBfLv1ukG6","album","2020-10-02",2020,"day",0.311,0.765,9,-8.886,1,0.0456,0.1,3.72e-05,0.164,0.641,182.615,"2DwvI9rCFo0w7dBQWM9rE6","https://api.spotify.com/v1/audio-analysis/2DwvI9rCFo0w7dBQWM9rE6",4,1,459453,FALSE,"https://api.spotify.com/v1/tracks/2DwvI9rCFo0w7dBQWM9rE6",FALSE,"Visions of Johanna - Take 5, Rehearsal","https://p.scdn.co/mp3-preview/08d28e224062a1b9b3e82cdd019002b7f3f6fc56?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2DwvI9rCFo0w7dBQWM9rE6","https://open.spotify.com/track/2DwvI9rCFo0w7dBQWM9rE6","The Best of The Bootleg Series","A","major","A major","folk"
