"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.239,0.876,9,-12.118,1,0.0682,0.000266,0.122,0.525,0.371,167.858,"38cssMZV1VvIz1kgbEoTx8","https://api.spotify.com/v1/audio-analysis/38cssMZV1VvIz1kgbEoTx8",4,1,250440,FALSE,"https://api.spotify.com/v1/tracks/38cssMZV1VvIz1kgbEoTx8",FALSE,"Feel Like A Number","https://p.scdn.co/mp3-preview/5898683785d3c2b0229e33c158638f65895ed7ff?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:38cssMZV1VvIz1kgbEoTx8","https://open.spotify.com/track/38cssMZV1VvIz1kgbEoTx8","The Classic 1980 Broadcasts","A","major","A major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.268,0.836,2,-10.426,1,0.141,0.0101,0.0112,0.384,0.251,122.09,"0OpuIGpWFY7v1f6H2nTWF2","https://api.spotify.com/v1/audio-analysis/0OpuIGpWFY7v1f6H2nTWF2",4,1,280226,FALSE,"https://api.spotify.com/v1/tracks/0OpuIGpWFY7v1f6H2nTWF2",FALSE,"Travelin' Man","https://p.scdn.co/mp3-preview/50e29e04f480c82c71c63842654ab9f8e4494b63?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0OpuIGpWFY7v1f6H2nTWF2","https://open.spotify.com/track/0OpuIGpWFY7v1f6H2nTWF2","The Classic 1980 Broadcasts","D","major","D major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.395,0.869,7,-11.249,1,0.0691,0.0302,0.166,0.693,0.374,122.35,"3QYE4o6E6b8IZsy7sEF0p8","https://api.spotify.com/v1/audio-analysis/3QYE4o6E6b8IZsy7sEF0p8",4,1,230040,FALSE,"https://api.spotify.com/v1/tracks/3QYE4o6E6b8IZsy7sEF0p8",FALSE,"Beautiful Loser","https://p.scdn.co/mp3-preview/7fbc6eb872de66e16982e159988ffed0acd6f57f?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3QYE4o6E6b8IZsy7sEF0p8","https://open.spotify.com/track/3QYE4o6E6b8IZsy7sEF0p8","The Classic 1980 Broadcasts","G","major","G major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.507,0.893,0,-10.836,1,0.0788,0.146,0.0155,0.978,0.366,121.202,"2hc6m39Vyudk8XdQY3oa1i","https://api.spotify.com/v1/audio-analysis/2hc6m39Vyudk8XdQY3oa1i",4,1,208333,FALSE,"https://api.spotify.com/v1/tracks/2hc6m39Vyudk8XdQY3oa1i",FALSE,"Still The Same","https://p.scdn.co/mp3-preview/449aad52e595e8d9288dc6105c4275357a659c38?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2hc6m39Vyudk8XdQY3oa1i","https://open.spotify.com/track/2hc6m39Vyudk8XdQY3oa1i","The Classic 1980 Broadcasts","C","major","C major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.335,0.724,7,-11.139,1,0.0701,0.102,0.25,0.966,0.261,140.312,"0XHbgunEf80mbtLFF3aNIN","https://api.spotify.com/v1/audio-analysis/0XHbgunEf80mbtLFF3aNIN",4,1,246493,FALSE,"https://api.spotify.com/v1/tracks/0XHbgunEf80mbtLFF3aNIN",FALSE,"Main Street","https://p.scdn.co/mp3-preview/0f91b9946a706f61874154e44d365ff400f72c27?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:0XHbgunEf80mbtLFF3aNIN","https://open.spotify.com/track/0XHbgunEf80mbtLFF3aNIN","The Classic 1980 Broadcasts","G","major","G major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.377,0.974,9,-9.564,0,0.147,0.0351,0.639,0.949,0.181,126.806,"6O8ZADTs8dVJj00nGRrjC7","https://api.spotify.com/v1/audio-analysis/6O8ZADTs8dVJj00nGRrjC7",4,1,349040,FALSE,"https://api.spotify.com/v1/tracks/6O8ZADTs8dVJj00nGRrjC7",FALSE,"Old Time Rock 'n' Roll","https://p.scdn.co/mp3-preview/bd8325e1a2ec8aec5a715608c2d452dba2ab4bed?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6O8ZADTs8dVJj00nGRrjC7","https://open.spotify.com/track/6O8ZADTs8dVJj00nGRrjC7","The Classic 1980 Broadcasts","A","minor","A minor","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.57,0.585,8,-13.434,1,0.0455,0.0718,0.0501,0.717,0.564,118.315,"63n6IMQdtkxR0et0CQ6RV5","https://api.spotify.com/v1/audio-analysis/63n6IMQdtkxR0et0CQ6RV5",4,1,328493,FALSE,"https://api.spotify.com/v1/tracks/63n6IMQdtkxR0et0CQ6RV5",FALSE,"Against The Wind","https://p.scdn.co/mp3-preview/75b3e973ce327816283fe0998a7cdc294ab81e68?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:63n6IMQdtkxR0et0CQ6RV5","https://open.spotify.com/track/63n6IMQdtkxR0et0CQ6RV5","The Classic 1980 Broadcasts","G#","major","G# major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.372,0.853,5,-10.937,0,0.0741,0.000206,0.494,0.809,0.218,126.098,"3s8OHJMKCVuViFxJXn8PBi","https://api.spotify.com/v1/audio-analysis/3s8OHJMKCVuViFxJXn8PBi",4,1,228400,FALSE,"https://api.spotify.com/v1/tracks/3s8OHJMKCVuViFxJXn8PBi",FALSE,"Her Strut","https://p.scdn.co/mp3-preview/29d921d9d2f6f73da2e16ead27a75a141a08ea3b?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:3s8OHJMKCVuViFxJXn8PBi","https://open.spotify.com/track/3s8OHJMKCVuViFxJXn8PBi","The Classic 1980 Broadcasts","F","minor","F minor","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.207,0.865,8,-10.105,1,0.0855,0.00825,0.422,0.875,0.536,155.272,"6rHsPPMZ2N5uHjwiPo1hjL","https://api.spotify.com/v1/audio-analysis/6rHsPPMZ2N5uHjwiPo1hjL",4,1,249040,FALSE,"https://api.spotify.com/v1/tracks/6rHsPPMZ2N5uHjwiPo1hjL",FALSE,"The Horizontal Bop","https://p.scdn.co/mp3-preview/c6ba9f32618540634adb4e8752b191999cfe1b88?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:6rHsPPMZ2N5uHjwiPo1hjL","https://open.spotify.com/track/6rHsPPMZ2N5uHjwiPo1hjL","The Classic 1980 Broadcasts","G#","major","G# major","folk"
"Bob Seger","485uL27bPomh29R4JmQehQ","40LoJbogTPqR6iEJWBkIcm","album","2019-04-05",2019,"day",0.271,0.653,7,-10.812,0,0.0517,0.0345,3.84e-05,0.545,0.354,135.468,"3L5qgaXYkviCVBH4Xj437Z","https://api.spotify.com/v1/audio-analysis/3L5qgaXYkviCVBH4Xj437Z",4,1,214093,FALSE,"https://api.spotify.com/v1/tracks/3L5qgaXYkviCVBH4Xj437Z",FALSE,"Fire Lake","https://p.scdn.co/mp3-preview/26a29d1bdd91dd20216cfa9f9eb8d9c30f370704?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3L5qgaXYkviCVBH4Xj437Z","https://open.spotify.com/track/3L5qgaXYkviCVBH4Xj437Z","The Classic 1980 Broadcasts","G","minor","G minor","folk"
