"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.586,0.433,0,-13.388,1,0.0288,0.766,0.0117,0.127,0.878,100.868,"4ix1xcc9sRIR21KWtX4zeg","https://api.spotify.com/v1/audio-analysis/4ix1xcc9sRIR21KWtX4zeg",4,1,129160,FALSE,"https://api.spotify.com/v1/tracks/4ix1xcc9sRIR21KWtX4zeg",FALSE,"Rondette - Instrumental",NA,1,"track","spotify:track:4ix1xcc9sRIR21KWtX4zeg","https://open.spotify.com/track/4ix1xcc9sRIR21KWtX4zeg","Chet In Paris","C","major","C major","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.567,0.505,0,-13.284,0,0.0466,0.579,0.00524,0.252,0.813,126.049,"13EngtFSIRXMB4dyztTg0K","https://api.spotify.com/v1/audio-analysis/13EngtFSIRXMB4dyztTg0K",4,1,186000,FALSE,"https://api.spotify.com/v1/tracks/13EngtFSIRXMB4dyztTg0K",FALSE,"Mid-Forte - Instrumental",NA,2,"track","spotify:track:13EngtFSIRXMB4dyztTg0K","https://open.spotify.com/track/13EngtFSIRXMB4dyztTg0K","Chet In Paris","C","minor","C minor","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.547,0.226,5,-14.174,0,0.0351,0.882,0.104,0.0978,0.431,128.444,"5YiHJIVfcMbMeAVsTTlX6p","https://api.spotify.com/v1/audio-analysis/5YiHJIVfcMbMeAVsTTlX6p",4,1,252946,FALSE,"https://api.spotify.com/v1/tracks/5YiHJIVfcMbMeAVsTTlX6p",FALSE,"Sad Walk",NA,3,"track","spotify:track:5YiHJIVfcMbMeAVsTTlX6p","https://open.spotify.com/track/5YiHJIVfcMbMeAVsTTlX6p","Chet In Paris","F","minor","F minor","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.615,0.433,7,-14.272,1,0.0355,0.494,0.0872,0.0369,0.776,91.74,"4400Apil4B2BeyNDuBHCzT","https://api.spotify.com/v1/audio-analysis/4400Apil4B2BeyNDuBHCzT",4,1,297666,FALSE,"https://api.spotify.com/v1/tracks/4400Apil4B2BeyNDuBHCzT",FALSE,"Re-Search - Instrumental",NA,4,"track","spotify:track:4400Apil4B2BeyNDuBHCzT","https://open.spotify.com/track/4400Apil4B2BeyNDuBHCzT","Chet In Paris","G","major","G major","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.636,0.0767,4,-16.997,0,0.0455,0.964,0.786,0.125,0.198,122.792,"49CQHRsVqEW5DgSdLhvzjH","https://api.spotify.com/v1/audio-analysis/49CQHRsVqEW5DgSdLhvzjH",4,1,251346,FALSE,"https://api.spotify.com/v1/tracks/49CQHRsVqEW5DgSdLhvzjH",FALSE,"Just Duo",NA,5,"track","spotify:track:49CQHRsVqEW5DgSdLhvzjH","https://open.spotify.com/track/49CQHRsVqEW5DgSdLhvzjH","Chet In Paris","E","minor","E minor","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.58,0.249,5,-14.867,1,0.0366,0.501,9.15e-06,0.116,0.503,130.485,"1E30KfRSMuhtYAfXDjcmIg","https://api.spotify.com/v1/audio-analysis/1E30KfRSMuhtYAfXDjcmIg",4,1,310773,FALSE,"https://api.spotify.com/v1/tracks/1E30KfRSMuhtYAfXDjcmIg",FALSE,"Piece Caprice - Instrumental",NA,6,"track","spotify:track:1E30KfRSMuhtYAfXDjcmIg","https://open.spotify.com/track/1E30KfRSMuhtYAfXDjcmIg","Chet In Paris","F","major","F major","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.704,0.274,10,-15.234,1,0.0409,0.767,0.00107,0.0909,0.421,118.053,"4OrZk3nXd2rHPkDTozz9f7","https://api.spotify.com/v1/audio-analysis/4OrZk3nXd2rHPkDTozz9f7",4,1,279826,FALSE,"https://api.spotify.com/v1/tracks/4OrZk3nXd2rHPkDTozz9f7",FALSE,"Pomp - Instrumental",NA,7,"track","spotify:track:4OrZk3nXd2rHPkDTozz9f7","https://open.spotify.com/track/4OrZk3nXd2rHPkDTozz9f7","Chet In Paris","A#","major","A# major","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.517,0.293,4,-15.025,0,0.0325,0.694,0.00324,0.245,0.719,158.363,"77rCFgk7VE0i6cl7sTmBFx","https://api.spotify.com/v1/audio-analysis/77rCFgk7VE0i6cl7sTmBFx",4,1,313333,FALSE,"https://api.spotify.com/v1/tracks/77rCFgk7VE0i6cl7sTmBFx",FALSE,"The Girl From Greenland - Instrumental",NA,8,"track","spotify:track:77rCFgk7VE0i6cl7sTmBFx","https://open.spotify.com/track/77rCFgk7VE0i6cl7sTmBFx","Chet In Paris","E","minor","E minor","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.405,0.259,8,-16.467,1,0.0288,0.789,0.000393,0.076,0.232,69.739,"1R6pK9fC8ZCJd3D5wUnQvj","https://api.spotify.com/v1/audio-analysis/1R6pK9fC8ZCJd3D5wUnQvj",4,1,353493,FALSE,"https://api.spotify.com/v1/tracks/1R6pK9fC8ZCJd3D5wUnQvj",FALSE,"Brash - Instrumental",NA,9,"track","spotify:track:1R6pK9fC8ZCJd3D5wUnQvj","https://open.spotify.com/track/1R6pK9fC8ZCJd3D5wUnQvj","Chet In Paris","G#","major","G# major","jazz"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","1skODdysfW1drSWZebnrxB","album","2020-11-21",2020,"day",0.59,0.258,10,-13.693,0,0.0389,0.838,0.028,0.0712,0.475,127.567,"5Bd5wM5gF7P79Qqp1WviXB","https://api.spotify.com/v1/audio-analysis/5Bd5wM5gF7P79Qqp1WviXB",4,1,195000,FALSE,"https://api.spotify.com/v1/tracks/5Bd5wM5gF7P79Qqp1WviXB",FALSE,"Chet - Master Take 5",NA,10,"track","spotify:track:5Bd5wM5gF7P79Qqp1WviXB","https://open.spotify.com/track/5Bd5wM5gF7P79Qqp1WviXB","Chet In Paris","A#","minor","A# minor","jazz"
