"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.372,0.755,5,-14.909,0,0.061,0.0708,0.893,0.28,0.637,131.234,"2UZGnD0aH4KX9whWFZZCE0","https://api.spotify.com/v1/audio-analysis/2UZGnD0aH4KX9whWFZZCE0",4,1,246897,FALSE,"https://api.spotify.com/v1/tracks/2UZGnD0aH4KX9whWFZZCE0",FALSE,"Hymn Of The Seventh Galaxy (with Return To Forever) - Live 1973","https://p.scdn.co/mp3-preview/8075e6bbcf362738cea1922dcbbc63483d0de399?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2UZGnD0aH4KX9whWFZZCE0","https://open.spotify.com/track/2UZGnD0aH4KX9whWFZZCE0","Return To Tomorrow (Live)","F","minor","F minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.347,0.83,0,-16.407,1,0.0606,0.184,0.478,0.109,0.329,138.366,"4Uw02a4ITsVsdjfnq5IbtC","https://api.spotify.com/v1/audio-analysis/4Uw02a4ITsVsdjfnq5IbtC",4,1,909859,FALSE,"https://api.spotify.com/v1/tracks/4Uw02a4ITsVsdjfnq5IbtC",FALSE,"Spain (with Return To Forever) - Live 1973","https://p.scdn.co/mp3-preview/8e0273e0cc4e01f6c824ad288f2ac2342d14c38e?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4Uw02a4ITsVsdjfnq5IbtC","https://open.spotify.com/track/4Uw02a4ITsVsdjfnq5IbtC","Return To Tomorrow (Live)","C","major","C major","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.347,0.77,9,-16.167,0,0.0555,0.18,0.316,0.23,0.379,143.203,"067Ld2LV14bDL1i2CRyQGA","https://api.spotify.com/v1/audio-analysis/067Ld2LV14bDL1i2CRyQGA",4,1,1891671,FALSE,"https://api.spotify.com/v1/tracks/067Ld2LV14bDL1i2CRyQGA",FALSE,"Sometime Ago (with Return To Forever) - Live 1973","https://p.scdn.co/mp3-preview/ae911c7d407ffcbd49f80d10839b7713595286b6?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:067Ld2LV14bDL1i2CRyQGA","https://open.spotify.com/track/067Ld2LV14bDL1i2CRyQGA","Return To Tomorrow (Live)","A","minor","A minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.469,0.185,8,-17.146,0,0.052,0.986,0.803,0.42,0.39,83.286,"18MqppLNhSku654wc6XmGw","https://api.spotify.com/v1/audio-analysis/18MqppLNhSku654wc6XmGw",4,1,353764,FALSE,"https://api.spotify.com/v1/tracks/18MqppLNhSku654wc6XmGw",FALSE,"Improvisation Pour Les Insectes Et Les Arbres - Live 1984","https://p.scdn.co/mp3-preview/b3417afed0462b6e1f077dcfb09c88ae58479cb0?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:18MqppLNhSku654wc6XmGw","https://open.spotify.com/track/18MqppLNhSku654wc6XmGw","Return To Tomorrow (Live)","G#","minor","G# minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.413,0.212,11,-16.016,1,0.0383,0.986,0.893,0.136,0.31,98.713,"1Tv4eFMbFMiealVfW9NQP9","https://api.spotify.com/v1/audio-analysis/1Tv4eFMbFMiealVfW9NQP9",3,1,471759,FALSE,"https://api.spotify.com/v1/tracks/1Tv4eFMbFMiealVfW9NQP9",FALSE,"Round Midnight - Live 1984","https://p.scdn.co/mp3-preview/d6365646ad88d8963fe3339c6c50e42ab3b110f1?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1Tv4eFMbFMiealVfW9NQP9","https://open.spotify.com/track/1Tv4eFMbFMiealVfW9NQP9","Return To Tomorrow (Live)","B","major","B major","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.603,0.238,10,-15.235,0,0.0715,0.988,0.899,0.707,0.333,87.357,"6Zu3SocCcs5BL3f1h5ZjUE","https://api.spotify.com/v1/audio-analysis/6Zu3SocCcs5BL3f1h5ZjUE",4,1,203508,FALSE,"https://api.spotify.com/v1/tracks/6Zu3SocCcs5BL3f1h5ZjUE",FALSE,"Trinkle Tinkle - Live 1984","https://p.scdn.co/mp3-preview/19e8f1df6bf2862ca4db15bbc6a2ed535209d304?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6Zu3SocCcs5BL3f1h5ZjUE","https://open.spotify.com/track/6Zu3SocCcs5BL3f1h5ZjUE","Return To Tomorrow (Live)","A#","minor","A# minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.352,0.37,7,-15.593,1,0.0408,0.978,0.897,0.232,0.269,82.412,"1VW1JIYw6G0BWzfKltq3M5","https://api.spotify.com/v1/audio-analysis/1VW1JIYw6G0BWzfKltq3M5",4,1,227070,FALSE,"https://api.spotify.com/v1/tracks/1VW1JIYw6G0BWzfKltq3M5",FALSE,"Children's Songs No.6 - Live 1984","https://p.scdn.co/mp3-preview/86bf32154e536bbe1bfab0bf71922e8791295257?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:1VW1JIYw6G0BWzfKltq3M5","https://open.spotify.com/track/1VW1JIYw6G0BWzfKltq3M5","Return To Tomorrow (Live)","G","major","G major","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.44,0.286,6,-17.07,0,0.0347,0.991,0.947,0.116,0.4,125.147,"7l6qDGfmuBP4hscu3NCeMD","https://api.spotify.com/v1/audio-analysis/7l6qDGfmuBP4hscu3NCeMD",4,1,61558,FALSE,"https://api.spotify.com/v1/tracks/7l6qDGfmuBP4hscu3NCeMD",FALSE,"Children's Songs No.9 - Live 1984","https://p.scdn.co/mp3-preview/72d6144020cac11cf98e964f4b1b82f868d7d867?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:7l6qDGfmuBP4hscu3NCeMD","https://open.spotify.com/track/7l6qDGfmuBP4hscu3NCeMD","Return To Tomorrow (Live)","F#","minor","F# minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.423,0.0814,2,-19.121,0,0.0469,0.993,0.771,0.48,0.0686,97.204,"46Z8EsBllBww3T1ts8N49p","https://api.spotify.com/v1/audio-analysis/46Z8EsBllBww3T1ts8N49p",4,1,88699,FALSE,"https://api.spotify.com/v1/tracks/46Z8EsBllBww3T1ts8N49p",FALSE,"Children's Songs No.10 - Live 1984","https://p.scdn.co/mp3-preview/272dc6a378f86a58cd47fcc8496104c872fa071a?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:46Z8EsBllBww3T1ts8N49p","https://open.spotify.com/track/46Z8EsBllBww3T1ts8N49p","Return To Tomorrow (Live)","D","minor","D minor","jazz"
"Chick Corea","5olDKSsFhhmwh8UCWwKtpq","2u1PCzI2rUMW3KsNBPLh5a","album","2021-02-22",2021,"day",0.574,0.136,7,-15.736,0,0.103,0.992,0.818,0.137,0.282,82.441,"0qjQ0X0GXgJ1GAxtiPsoyh","https://api.spotify.com/v1/audio-analysis/0qjQ0X0GXgJ1GAxtiPsoyh",5,1,40660,FALSE,"https://api.spotify.com/v1/tracks/0qjQ0X0GXgJ1GAxtiPsoyh",FALSE,"Children's Songs No.11 - Live 1984","https://p.scdn.co/mp3-preview/f14a9399b5d92b12069a932cced1b61c9429349a?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:0qjQ0X0GXgJ1GAxtiPsoyh","https://open.spotify.com/track/0qjQ0X0GXgJ1GAxtiPsoyh","Return To Tomorrow (Live)","G","minor","G minor","jazz"
