"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.348,0.441,4,-10.989,0,0.0465,0.54,0.406,0.182,0.464,124.231,"3ohNHsEHe2vBMCIRI3UzHy","https://api.spotify.com/v1/audio-analysis/3ohNHsEHe2vBMCIRI3UzHy",4,1,230466,FALSE,"https://api.spotify.com/v1/tracks/3ohNHsEHe2vBMCIRI3UzHy",FALSE,"<U+30A8><U+30A4><U+30D7><U+30EA><U+30EB>·<U+30A4><U+30F3>·<U+30D1><U+30EA>","https://p.scdn.co/mp3-preview/65a556835cc48d98c70735359a9e2645a71cd896?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3ohNHsEHe2vBMCIRI3UzHy","https://open.spotify.com/track/3ohNHsEHe2vBMCIRI3UzHy","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","E","minor","E minor","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.52,0.29,7,-11.497,1,0.031,0.369,0.595,0.0365,0.609,143.933,"49ATi9TZBEyELhP2hlN4EO","https://api.spotify.com/v1/audio-analysis/49ATi9TZBEyELhP2hlN4EO",4,1,289866,FALSE,"https://api.spotify.com/v1/tracks/49ATi9TZBEyELhP2hlN4EO",FALSE,"<U+30C7><U+30A3><U+30C9><U+30F3>·<U+30E6><U+30FC>","https://p.scdn.co/mp3-preview/b0e43b1cd736c1a24473ae12e01708c163d3f617?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:49ATi9TZBEyELhP2hlN4EO","https://open.spotify.com/track/49ATi9TZBEyELhP2hlN4EO","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","G","major","G major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.638,0.156,5,-13.82,1,0.0311,0.738,0.57,0.125,0.442,107.903,"3BGb4n6NnAVxhPH4QGqlUv","https://api.spotify.com/v1/audio-analysis/3BGb4n6NnAVxhPH4QGqlUv",4,1,241293,FALSE,"https://api.spotify.com/v1/tracks/3BGb4n6NnAVxhPH4QGqlUv",FALSE,"<U+30B9><U+30A6><U+30A3><U+30FC><U+30C6><U+30A3>·<U+30B1><U+30A4><U+30AF><U+30B9>","https://p.scdn.co/mp3-preview/62cf9d8907248780c70edba370098000e138b49c?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3BGb4n6NnAVxhPH4QGqlUv","https://open.spotify.com/track/3BGb4n6NnAVxhPH4QGqlUv","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","F","major","F major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.638,0.208,0,-13.508,1,0.0343,0.89,0.0977,0.131,0.448,110.661,"6BfAQ7Qg60RuojsoxD1XL2","https://api.spotify.com/v1/audio-analysis/6BfAQ7Qg60RuojsoxD1XL2",4,1,206266,FALSE,"https://api.spotify.com/v1/tracks/6BfAQ7Qg60RuojsoxD1XL2",FALSE,"<U+30DB><U+30EF><U+30C3><U+30C8>·<U+30A2><U+30E0>·<U+30A2><U+30A4>·<U+30D2><U+30A2>·<U+30D5><U+30A9><U+30FC>","https://p.scdn.co/mp3-preview/36343b3d89f1e9b1e0211840ee5a3dc461d638d9?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6BfAQ7Qg60RuojsoxD1XL2","https://open.spotify.com/track/6BfAQ7Qg60RuojsoxD1XL2","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","C","major","C major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.667,0.332,5,-16.856,1,0.161,0.828,0.0421,0.0845,0.891,147.981,"5BiHhusegFI4mjVyqFooof","https://api.spotify.com/v1/audio-analysis/5BiHhusegFI4mjVyqFooof",4,1,197440,FALSE,"https://api.spotify.com/v1/tracks/5BiHhusegFI4mjVyqFooof",FALSE,"<U+30DF><U+30B8><U+30A7><U+30C3><U+30C4>","https://p.scdn.co/mp3-preview/28b84f7d778fe0c4a0ada285b6d86a566123418c?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:5BiHhusegFI4mjVyqFooof","https://open.spotify.com/track/5BiHhusegFI4mjVyqFooof","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","F","major","F major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.524,0.763,8,-10.122,1,0.0868,0.59,0.0203,0.165,0.656,116.26,"5kzWzMrqphlYvUkA5wtOgk","https://api.spotify.com/v1/audio-analysis/5kzWzMrqphlYvUkA5wtOgk",4,1,209133,FALSE,"https://api.spotify.com/v1/tracks/5kzWzMrqphlYvUkA5wtOgk",FALSE,"<U+30DE><U+30F3><U+30DC>·<U+30A4><U+30F3>","https://p.scdn.co/mp3-preview/caca96e370caea9c16088e0eb4ced48365215aa6?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5kzWzMrqphlYvUkA5wtOgk","https://open.spotify.com/track/5kzWzMrqphlYvUkA5wtOgk","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","G#","major","G# major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.491,0.826,5,-10.239,0,0.121,0.648,0.872,0.119,0.586,138.843,"2Yc7xDf77kUAcXnYOJ7Wsv","https://api.spotify.com/v1/audio-analysis/2Yc7xDf77kUAcXnYOJ7Wsv",4,1,188133,FALSE,"https://api.spotify.com/v1/tracks/2Yc7xDf77kUAcXnYOJ7Wsv",FALSE,"<U+30C7><U+30A3><U+30CA><U+30FC>·<U+30A6><U+30A3><U+30BA>·<U+30D5><U+30EC><U+30F3><U+30BA>","https://p.scdn.co/mp3-preview/20337a4d72e4df72742922ea1281d30127b22628?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2Yc7xDf77kUAcXnYOJ7Wsv","https://open.spotify.com/track/2Yc7xDf77kUAcXnYOJ7Wsv","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","F","minor","F minor","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.652,0.219,0,-19.052,0,0.0653,0.813,0.743,0.309,0.687,96.696,"4BDw1c0s2ilaj11jDXli6F","https://api.spotify.com/v1/audio-analysis/4BDw1c0s2ilaj11jDXli6F",4,1,252400,FALSE,"https://api.spotify.com/v1/tracks/4BDw1c0s2ilaj11jDXli6F",FALSE,"<U+30BB><U+30CD><U+30BF><U+30FC>·<U+30DB><U+30EF><U+30A4><U+30C8><U+30D8><U+30C3><U+30C9>","https://p.scdn.co/mp3-preview/687d193eb728aba128cbffed9f6dc297f118c5ad?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4BDw1c0s2ilaj11jDXli6F","https://open.spotify.com/track/4BDw1c0s2ilaj11jDXli6F","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","C","minor","C minor","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.647,0.217,0,-18.807,1,0.0578,0.719,0.905,0.0614,0.679,93.841,"1bPAdsLtMHkGnqoTjCwoKB","https://api.spotify.com/v1/audio-analysis/1bPAdsLtMHkGnqoTjCwoKB",4,1,268826,FALSE,"https://api.spotify.com/v1/tracks/1bPAdsLtMHkGnqoTjCwoKB",FALSE,"<U+30BF><U+30EA><U+30FC>·<U+30DB><U+30FC>·<U+30DF><U+30B9><U+30BF><U+30FC>·<U+30D9><U+30A4><U+30B7><U+30FC>","https://p.scdn.co/mp3-preview/b5efa44980b9469ec1a93a2198657a6a1bbff28b?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:1bPAdsLtMHkGnqoTjCwoKB","https://open.spotify.com/track/1bPAdsLtMHkGnqoTjCwoKB","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","C","major","C major","jazz"
"Count Basie","2jFZlvIea42ZvcCw4OeEdA","7lgGPvpRoRTiIXFD0dT1j6","album","2020-10-16",2020,"day",0.532,0.152,0,-19.824,1,0.0606,0.645,0.239,0.155,0.527,132.214,"3jWOWoCSRlM0M09FlImiqk","https://api.spotify.com/v1/audio-analysis/3jWOWoCSRlM0M09FlImiqk",4,1,299933,FALSE,"https://api.spotify.com/v1/tracks/3jWOWoCSRlM0M09FlImiqk",FALSE,"<U+30DB><U+30EF><U+30C3><U+30C1><U+30E3>·<U+30C8><U+30FC><U+30AD><U+30F3>","https://p.scdn.co/mp3-preview/7b22ed0080458188f52b6bdc8533851b290db563?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3jWOWoCSRlM0M09FlImiqk","https://open.spotify.com/track/3jWOWoCSRlM0M09FlImiqk","<U+30AB><U+30A6><U+30F3><U+30C8>·<U+30D9><U+30A4><U+30B7><U+30FC>","C","major","C major","jazz"
