"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.433,0.63,9,-7.607,1,0.0451,0.0101,0.192,0.823,0.749,120.51,"5NXnwFgYVD54fLxQrFGO66","https://api.spotify.com/v1/audio-analysis/5NXnwFgYVD54fLxQrFGO66",4,1,333493,FALSE,"https://api.spotify.com/v1/tracks/5NXnwFgYVD54fLxQrFGO66",FALSE,"Born On The Bayou - Live At The Woodstock Music & Art Fair / 1969",NA,1,"track","spotify:track:5NXnwFgYVD54fLxQrFGO66","https://open.spotify.com/track/5NXnwFgYVD54fLxQrFGO66","Live At Woodstock","A","major","A major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.497,0.833,9,-8.084,1,0.0299,0.00338,0.00196,0.358,0.819,140.118,"67TuRJQf89xTR8DNnFgdgn","https://api.spotify.com/v1/audio-analysis/67TuRJQf89xTR8DNnFgdgn",4,1,196293,FALSE,"https://api.spotify.com/v1/tracks/67TuRJQf89xTR8DNnFgdgn",FALSE,"Green River - Live At The Woodstock Music & Art Fair / 1969",NA,2,"track","spotify:track:67TuRJQf89xTR8DNnFgdgn","https://open.spotify.com/track/67TuRJQf89xTR8DNnFgdgn","Live At Woodstock","A","major","A major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.444,0.749,9,-9.168,1,0.0456,0.013,0.0346,0.0927,0.549,117.317,"2QMalV0fm2gAuvEwwKvWSf","https://api.spotify.com/v1/audio-analysis/2QMalV0fm2gAuvEwwKvWSf",4,1,285626,FALSE,"https://api.spotify.com/v1/tracks/2QMalV0fm2gAuvEwwKvWSf",FALSE,"Ninety-Nine And A Half (Won’t Do) - Live At The Woodstock Music & Art Fair / 1969",NA,3,"track","spotify:track:2QMalV0fm2gAuvEwwKvWSf","https://open.spotify.com/track/2QMalV0fm2gAuvEwwKvWSf","Live At Woodstock","A","major","A major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.572,0.81,7,-8.337,1,0.0317,0.00703,0.0559,0.643,0.957,142.379,"2MYW7zcYMng58MzYnd21PB","https://api.spotify.com/v1/audio-analysis/2MYW7zcYMng58MzYnd21PB",4,1,217746,FALSE,"https://api.spotify.com/v1/tracks/2MYW7zcYMng58MzYnd21PB",FALSE,"Bootleg - Live At The Woodstock Music & Art Fair / 1969",NA,4,"track","spotify:track:2MYW7zcYMng58MzYnd21PB","https://open.spotify.com/track/2MYW7zcYMng58MzYnd21PB","Live At Woodstock","G","major","G major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.492,0.801,0,-7.45,1,0.0339,0.00661,0.00333,0.801,0.724,134.447,"6SZrvJrHCRnd3mVvDkt4zg","https://api.spotify.com/v1/audio-analysis/6SZrvJrHCRnd3mVvDkt4zg",4,1,167920,FALSE,"https://api.spotify.com/v1/tracks/6SZrvJrHCRnd3mVvDkt4zg",FALSE,"Commotion - Live At The Woodstock Music & Art Fair / 1969",NA,5,"track","spotify:track:6SZrvJrHCRnd3mVvDkt4zg","https://open.spotify.com/track/6SZrvJrHCRnd3mVvDkt4zg","Live At Woodstock","C","major","C major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.318,0.866,2,-6.787,1,0.0441,0.0124,0.000852,0.686,0.916,192.538,"2akJIE6FLmtnnO0DJcWjOj","https://api.spotify.com/v1/audio-analysis/2akJIE6FLmtnnO0DJcWjOj",4,1,133253,FALSE,"https://api.spotify.com/v1/tracks/2akJIE6FLmtnnO0DJcWjOj",FALSE,"Bad Moon Rising - Live At The Woodstock Music & Art Fair / 1969",NA,6,"track","spotify:track:2akJIE6FLmtnnO0DJcWjOj","https://open.spotify.com/track/2akJIE6FLmtnnO0DJcWjOj","Live At Woodstock","D","major","D major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.494,0.865,2,-7.761,1,0.0512,0.183,0.0334,0.8,0.418,125.655,"3OhxEn7mrESfZguYIgornM","https://api.spotify.com/v1/audio-analysis/3OhxEn7mrESfZguYIgornM",4,1,231666,FALSE,"https://api.spotify.com/v1/tracks/3OhxEn7mrESfZguYIgornM",FALSE,"Proud Mary - Live At The Woodstock Music & Art Fair / 1969",NA,7,"track","spotify:track:3OhxEn7mrESfZguYIgornM","https://open.spotify.com/track/3OhxEn7mrESfZguYIgornM","Live At Woodstock","D","major","D major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.33,0.922,0,-6.189,1,0.0609,0.0156,0.03,0.839,0.64,112.907,"5gHpG5x4uyXWylwxTXSAIx","https://api.spotify.com/v1/audio-analysis/5gHpG5x4uyXWylwxTXSAIx",4,1,268080,FALSE,"https://api.spotify.com/v1/tracks/5gHpG5x4uyXWylwxTXSAIx",FALSE,"I Put A Spell On You - Live At The Woodstock Music & Art Fair / 1969",NA,8,"track","spotify:track:5gHpG5x4uyXWylwxTXSAIx","https://open.spotify.com/track/5gHpG5x4uyXWylwxTXSAIx","Live At Woodstock","C","major","C major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.454,0.885,4,-6.387,1,0.0487,0.0205,0.000399,0.756,0.592,112.878,"1FcD3kWVQRYZnIe1S2ytnu","https://api.spotify.com/v1/audio-analysis/1FcD3kWVQRYZnIe1S2ytnu",3,1,209693,FALSE,"https://api.spotify.com/v1/tracks/1FcD3kWVQRYZnIe1S2ytnu",FALSE,"The Night Time Is The Right Time - Live At The Woodstock Music & Art Fair / 1969",NA,9,"track","spotify:track:1FcD3kWVQRYZnIe1S2ytnu","https://open.spotify.com/track/1FcD3kWVQRYZnIe1S2ytnu","Live At Woodstock","E","major","E major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.266,0.764,4,-6.459,1,0.0461,0.00199,0.19,0.363,0.34,89.156,"4e9BBnzUOQfLAmfZ35HHts","https://api.spotify.com/v1/audio-analysis/4e9BBnzUOQfLAmfZ35HHts",4,1,629093,FALSE,"https://api.spotify.com/v1/tracks/4e9BBnzUOQfLAmfZ35HHts",FALSE,"Keep On Chooglin’ - Live At The Woodstock Music & Art Fair / 1969",NA,10,"track","spotify:track:4e9BBnzUOQfLAmfZ35HHts","https://open.spotify.com/track/4e9BBnzUOQfLAmfZ35HHts","Live At Woodstock","E","major","E major","rock"
"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd","56jhCxU4IQs54Od4ariSaY","album","2019-08-02",2019,"day",0.332,0.899,9,-5.638,1,0.0463,0.0348,0.432,0.684,0.66,136.696,"5r2LpFOMcl33DHi9tsIO0B","https://api.spotify.com/v1/audio-analysis/5r2LpFOMcl33DHi9tsIO0B",4,1,652186,FALSE,"https://api.spotify.com/v1/tracks/5r2LpFOMcl33DHi9tsIO0B",FALSE,"Suzie Q - Live At The Woodstock Music & Art Fair / 1969",NA,11,"track","spotify:track:5r2LpFOMcl33DHi9tsIO0B","https://open.spotify.com/track/5r2LpFOMcl33DHi9tsIO0B","Live At Woodstock","A","major","A major","rock"
