"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.572,0.833,8,-5.291,0,0.0754,0.014,5.77e-05,0.129,0.588,158.104,"43CHdbHYdcbUWP10UFKyZ7","https://api.spotify.com/v1/audio-analysis/43CHdbHYdcbUWP10UFKyZ7",4,1,177173,FALSE,"https://api.spotify.com/v1/tracks/43CHdbHYdcbUWP10UFKyZ7",FALSE,"Giants",NA,1,"track","spotify:track:43CHdbHYdcbUWP10UFKyZ7","https://open.spotify.com/track/43CHdbHYdcbUWP10UFKyZ7","Without Fear","G#","minor","G# minor","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.646,0.549,9,-8.637,0,0.0615,0.224,5.03e-06,0.165,0.405,121.972,"7AYW91ev3Iu3cEuWNsObea","https://api.spotify.com/v1/audio-analysis/7AYW91ev3Iu3cEuWNsObea",4,1,245924,FALSE,"https://api.spotify.com/v1/tracks/7AYW91ev3Iu3cEuWNsObea",FALSE,"An Evening I Will Not Forget",NA,2,"track","spotify:track:7AYW91ev3Iu3cEuWNsObea","https://open.spotify.com/track/7AYW91ev3Iu3cEuWNsObea","Without Fear","A","minor","A minor","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.506,0.659,0,-6.348,1,0.0757,0.227,0,0.329,0.194,104.377,"265QoqhAAazfYv1PXV8PBA","https://api.spotify.com/v1/audio-analysis/265QoqhAAazfYv1PXV8PBA",4,1,247060,FALSE,"https://api.spotify.com/v1/tracks/265QoqhAAazfYv1PXV8PBA",FALSE,"All My Friends",NA,3,"track","spotify:track:265QoqhAAazfYv1PXV8PBA","https://open.spotify.com/track/265QoqhAAazfYv1PXV8PBA","Without Fear","C","major","C major","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.32,0.841,9,-4.232,0,0.15,0.0513,0,0.106,0.486,172.813,"1puJrWFGmUpPNsq1VvBzZI","https://api.spotify.com/v1/audio-analysis/1puJrWFGmUpPNsq1VvBzZI",3,1,206960,FALSE,"https://api.spotify.com/v1/tracks/1puJrWFGmUpPNsq1VvBzZI",FALSE,"Power Over Me",NA,4,"track","spotify:track:1puJrWFGmUpPNsq1VvBzZI","https://open.spotify.com/track/1puJrWFGmUpPNsq1VvBzZI","Without Fear","A","minor","A minor","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.628,0.581,9,-5.466,1,0.0357,0.191,3.57e-06,0.117,0.318,121.951,"0cNB6cvIGPQI80eu6sAv6F","https://api.spotify.com/v1/audio-analysis/0cNB6cvIGPQI80eu6sAv6F",3,1,217081,FALSE,"https://api.spotify.com/v1/tracks/0cNB6cvIGPQI80eu6sAv6F",FALSE,"What Have I Done",NA,5,"track","spotify:track:0cNB6cvIGPQI80eu6sAv6F","https://open.spotify.com/track/0cNB6cvIGPQI80eu6sAv6F","Without Fear","A","major","A major","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.378,0.723,9,-6.961,0,0.0657,0.0518,1.78e-05,0.0999,0.421,119.835,"6uFHrkohNIK2omaSoKfYgd","https://api.spotify.com/v1/audio-analysis/6uFHrkohNIK2omaSoKfYgd",4,1,271357,FALSE,"https://api.spotify.com/v1/tracks/6uFHrkohNIK2omaSoKfYgd",FALSE,"Moments Passed",NA,6,"track","spotify:track:6uFHrkohNIK2omaSoKfYgd","https://open.spotify.com/track/6uFHrkohNIK2omaSoKfYgd","Without Fear","A","minor","A minor","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.483,0.573,2,-8.787,1,0.0479,0.0802,5.23e-06,0.0845,0.387,147.609,"6GHFiHz4eA9UEpSQ9UVfKl","https://api.spotify.com/v1/audio-analysis/6GHFiHz4eA9UEpSQ9UVfKl",4,1,201326,FALSE,"https://api.spotify.com/v1/tracks/6GHFiHz4eA9UEpSQ9UVfKl",FALSE,"The Corner",NA,7,"track","spotify:track:6GHFiHz4eA9UEpSQ9UVfKl","https://open.spotify.com/track/6GHFiHz4eA9UEpSQ9UVfKl","Without Fear","D","major","D major","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.575,0.71,7,-6.047,0,0.0885,0.328,0,0.112,0.532,139.441,"5b7rcHzK8adIWEfKfWsKl5","https://api.spotify.com/v1/audio-analysis/5b7rcHzK8adIWEfKfWsKl5",4,1,224305,FALSE,"https://api.spotify.com/v1/tracks/5b7rcHzK8adIWEfKfWsKl5",FALSE,"Lost",NA,8,"track","spotify:track:5b7rcHzK8adIWEfKfWsKl5","https://open.spotify.com/track/5b7rcHzK8adIWEfKfWsKl5","Without Fear","G","minor","G minor","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.484,0.541,8,-5.596,1,0.0481,0.507,0,0.113,0.13,102.844,"5MFVmwO2DRHpz0nI37gs7C","https://api.spotify.com/v1/audio-analysis/5MFVmwO2DRHpz0nI37gs7C",4,1,202346,FALSE,"https://api.spotify.com/v1/tracks/5MFVmwO2DRHpz0nI37gs7C",FALSE,"Rome",NA,9,"track","spotify:track:5MFVmwO2DRHpz0nI37gs7C","https://open.spotify.com/track/5MFVmwO2DRHpz0nI37gs7C","Without Fear","G#","major","G# major","folk"
"Dermot Kennedy","5KNNVgR6LBIABRIomyCwKJ","4VyUvPueWuM8Jnkk62gcos","album","2019-10-04",2019,"day",0.614,0.684,0,-5.79,1,0.157,0.249,0,0.0976,0.258,156.861,"6TJpah1mAyA8wh60Tqfx5i","https://api.spotify.com/v1/audio-analysis/6TJpah1mAyA8wh60Tqfx5i",4,1,245699,FALSE,"https://api.spotify.com/v1/tracks/6TJpah1mAyA8wh60Tqfx5i",FALSE,"Outnumbered",NA,10,"track","spotify:track:6TJpah1mAyA8wh60Tqfx5i","https://open.spotify.com/track/6TJpah1mAyA8wh60Tqfx5i","Without Fear","C","major","C major","folk"
