"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.362,0.153,10,-13.055,0,0.033,0.91,0.000691,0.14,0.186,114.646,"2QJTjKjGH9JUHRwXKUrLFI","https://api.spotify.com/v1/audio-analysis/2QJTjKjGH9JUHRwXKUrLFI",4,1,290440,FALSE,"https://api.spotify.com/v1/tracks/2QJTjKjGH9JUHRwXKUrLFI",FALSE,"But Beautiful",NA,1,"track","spotify:track:2QJTjKjGH9JUHRwXKUrLFI","https://open.spotify.com/track/2QJTjKjGH9JUHRwXKUrLFI","This Dream Of You","A#","minor","A# minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.5,0.202,0,-13.201,0,0.0471,0.938,2.9e-05,0.132,0.228,74.695,"6T1YLtkRfA53loQb6OrtU9","https://api.spotify.com/v1/audio-analysis/6T1YLtkRfA53loQb6OrtU9",4,1,244973,FALSE,"https://api.spotify.com/v1/tracks/6T1YLtkRfA53loQb6OrtU9",FALSE,"That's All / Azure-Te",NA,2,"track","spotify:track:6T1YLtkRfA53loQb6OrtU9","https://open.spotify.com/track/6T1YLtkRfA53loQb6OrtU9","This Dream Of You","C","minor","C minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.503,0.109,3,-15.336,0,0.0356,0.94,0.0014,0.252,0.201,118.024,"4TUYXBMD004ZwWTeYcynFH","https://api.spotify.com/v1/audio-analysis/4TUYXBMD004ZwWTeYcynFH",4,1,319226,FALSE,"https://api.spotify.com/v1/tracks/4TUYXBMD004ZwWTeYcynFH",FALSE,"Autumn In New York",NA,3,"track","spotify:track:4TUYXBMD004ZwWTeYcynFH","https://open.spotify.com/track/4TUYXBMD004ZwWTeYcynFH","This Dream Of You","D#","minor","D# minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.674,0.283,7,-12.475,0,0.0433,0.907,0.00388,0.0865,0.402,138.084,"5xdgrltzlz2A5RH7VtShJx","https://api.spotify.com/v1/audio-analysis/5xdgrltzlz2A5RH7VtShJx",4,1,220093,FALSE,"https://api.spotify.com/v1/tracks/5xdgrltzlz2A5RH7VtShJx",FALSE,"Almost Like Being In Love",NA,4,"track","spotify:track:5xdgrltzlz2A5RH7VtShJx","https://open.spotify.com/track/5xdgrltzlz2A5RH7VtShJx","This Dream Of You","G","minor","G minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.522,0.0345,3,-17.074,1,0.0405,0.985,4.73e-05,0.101,0.0968,129.295,"3HxLvDyxje1VIFwTMCTTis","https://api.spotify.com/v1/audio-analysis/3HxLvDyxje1VIFwTMCTTis",3,1,237400,FALSE,"https://api.spotify.com/v1/tracks/3HxLvDyxje1VIFwTMCTTis",FALSE,"More Than You Know",NA,5,"track","spotify:track:3HxLvDyxje1VIFwTMCTTis","https://open.spotify.com/track/3HxLvDyxje1VIFwTMCTTis","This Dream Of You","D#","major","D# major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.617,0.538,0,-6.388,1,0.142,0.5,0.0787,0.132,0.71,151.437,"0Dvn6bjMSqv2N50h1AESbu","https://api.spotify.com/v1/audio-analysis/0Dvn6bjMSqv2N50h1AESbu",4,1,144973,FALSE,"https://api.spotify.com/v1/tracks/0Dvn6bjMSqv2N50h1AESbu",FALSE,"Just You, Just Me",NA,6,"track","spotify:track:0Dvn6bjMSqv2N50h1AESbu","https://open.spotify.com/track/0Dvn6bjMSqv2N50h1AESbu","This Dream Of You","C","major","C major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.439,0.091,8,-17.49,1,0.046,0.944,0.0283,0.132,0.0978,183.31,"2CkKOGvbmPntrNs7ntLiTk","https://api.spotify.com/v1/audio-analysis/2CkKOGvbmPntrNs7ntLiTk",3,1,287973,FALSE,"https://api.spotify.com/v1/tracks/2CkKOGvbmPntrNs7ntLiTk",FALSE,"There's No You",NA,7,"track","spotify:track:2CkKOGvbmPntrNs7ntLiTk","https://open.spotify.com/track/2CkKOGvbmPntrNs7ntLiTk","This Dream Of You","G#","major","G# major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.459,0.0297,4,-18.634,0,0.0472,0.984,0.000403,0.104,0.137,166.916,"28fsotOOOY0BQYpt9VZ6Tr","https://api.spotify.com/v1/audio-analysis/28fsotOOOY0BQYpt9VZ6Tr",3,1,197533,FALSE,"https://api.spotify.com/v1/tracks/28fsotOOOY0BQYpt9VZ6Tr",FALSE,"Don’t Smoke In Bed",NA,8,"track","spotify:track:28fsotOOOY0BQYpt9VZ6Tr","https://open.spotify.com/track/28fsotOOOY0BQYpt9VZ6Tr","This Dream Of You","E","minor","E minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.355,0.0976,7,-16.031,1,0.0326,0.841,0.00144,0.191,0.332,146.25,"1xPOqaOv6zSPqgytLBoNQl","https://api.spotify.com/v1/audio-analysis/1xPOqaOv6zSPqgytLBoNQl",4,1,421893,FALSE,"https://api.spotify.com/v1/tracks/1xPOqaOv6zSPqgytLBoNQl",FALSE,"This Dream Of You",NA,9,"track","spotify:track:1xPOqaOv6zSPqgytLBoNQl","https://open.spotify.com/track/1xPOqaOv6zSPqgytLBoNQl","This Dream Of You","G","major","G major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.616,0.131,7,-14.663,1,0.0452,0.919,0.000419,0.11,0.449,130.182,"6RfVBfVzVofWRRQp2U3FaM","https://api.spotify.com/v1/audio-analysis/6RfVBfVzVofWRRQp2U3FaM",3,1,158000,FALSE,"https://api.spotify.com/v1/tracks/6RfVBfVzVofWRRQp2U3FaM",FALSE,"I Wished On The Moon",NA,10,"track","spotify:track:6RfVBfVzVofWRRQp2U3FaM","https://open.spotify.com/track/6RfVBfVzVofWRRQp2U3FaM","This Dream Of You","G","major","G major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.675,0.0685,5,-19.131,0,0.0312,0.853,0.0664,0.108,0.231,103.664,"224OIJI89a5EkEsZq8Tjfs","https://api.spotify.com/v1/audio-analysis/224OIJI89a5EkEsZq8Tjfs",4,1,318280,FALSE,"https://api.spotify.com/v1/tracks/224OIJI89a5EkEsZq8Tjfs",FALSE,"How Deep Is The Ocean",NA,11,"track","spotify:track:224OIJI89a5EkEsZq8Tjfs","https://open.spotify.com/track/224OIJI89a5EkEsZq8Tjfs","This Dream Of You","F","minor","F minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","2axVAnC2sE98xigU2BV1TY","album","2020-09-25",2020,"day",0.701,0.122,8,-15.451,1,0.0408,0.771,0.000796,0.11,0.343,96.775,"5TwQDfr3Ag1IWNkoYvefay","https://api.spotify.com/v1/audio-analysis/5TwQDfr3Ag1IWNkoYvefay",3,1,207893,FALSE,"https://api.spotify.com/v1/tracks/5TwQDfr3Ag1IWNkoYvefay",FALSE,"Singing In The Rain",NA,12,"track","spotify:track:5TwQDfr3Ag1IWNkoYvefay","https://open.spotify.com/track/5TwQDfr3Ag1IWNkoYvefay","This Dream Of You","G#","major","G# major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","7dj3N9Ue8kXeMjXyxesD2t","album","2018-09-14",2018,"day",0.546,0.244,7,-12.515,0,0.0435,0.885,9.21e-05,0.108,0.412,77.248,"4tqGZzY8YmngfaTqUAHENj","https://api.spotify.com/v1/audio-analysis/4tqGZzY8YmngfaTqUAHENj",4,1,170186,FALSE,"https://api.spotify.com/v1/tracks/4tqGZzY8YmngfaTqUAHENj",FALSE,"'S Wonderful",NA,1,"track","spotify:track:4tqGZzY8YmngfaTqUAHENj","https://open.spotify.com/track/4tqGZzY8YmngfaTqUAHENj","Love Is Here To Stay","G","minor","G minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","7dj3N9Ue8kXeMjXyxesD2t","album","2018-09-14",2018,"day",0.671,0.262,5,-11.473,0,0.0388,0.879,1.88e-06,0.0957,0.233,114.461,"2BFogvYT7o55N6O63Tw9Ca","https://api.spotify.com/v1/audio-analysis/2BFogvYT7o55N6O63Tw9Ca",4,1,168680,FALSE,"https://api.spotify.com/v1/tracks/2BFogvYT7o55N6O63Tw9Ca",FALSE,"My One And Only",NA,2,"track","spotify:track:2BFogvYT7o55N6O63Tw9Ca","https://open.spotify.com/track/2BFogvYT7o55N6O63Tw9Ca","Love Is Here To Stay","F","minor","F minor","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","7dj3N9Ue8kXeMjXyxesD2t","album","2018-09-14",2018,"day",0.52,0.0503,5,-14.661,1,0.0433,0.976,1.22e-06,0.123,0.296,105.371,"07vtuaY3Ym8jf76SJ8g7ar","https://api.spotify.com/v1/audio-analysis/07vtuaY3Ym8jf76SJ8g7ar",3,1,185306,FALSE,"https://api.spotify.com/v1/tracks/07vtuaY3Ym8jf76SJ8g7ar",FALSE,"But Not For Me",NA,3,"track","spotify:track:07vtuaY3Ym8jf76SJ8g7ar","https://open.spotify.com/track/07vtuaY3Ym8jf76SJ8g7ar","Love Is Here To Stay","F","major","F major","jazz"
"Diana Krall","5z1VAFwT35EVvCp1XlZZuL","7dj3N9Ue8kXeMjXyxesD2t","album","2018-09-14",2018,"day",0.632,0.223,10,-12.703,1,0.0421,0.871,2.68e-06,0.107,0.19,112.925,"0voKz9hHJcNGiY3KtNRl4I","https://api.spotify.com/v1/audio-analysis/0voKz9hHJcNGiY3KtNRl4I",4,1,165080,FALSE,"https://api.spotify.com/v1/tracks/0voKz9hHJcNGiY3KtNRl4I",FALSE,"Nice Work If You Can Get It",NA,4,"track","spotify:track:0voKz9hHJcNGiY3KtNRl4I","https://open.spotify.com/track/0voKz9hHJcNGiY3KtNRl4I","Love Is Here To Stay","A#","major","A# major","jazz"
