"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.441,0.401,1,-11.774,1,0.0753,0.949,0.683,0.685,0.319,142.135,"1WGNdakfkXLmpnObxpBVgJ","https://api.spotify.com/v1/audio-analysis/1WGNdakfkXLmpnObxpBVgJ",4,1,221861,FALSE,"https://api.spotify.com/v1/tracks/1WGNdakfkXLmpnObxpBVgJ",FALSE,"The new look (Live)","https://p.scdn.co/mp3-preview/9e153b0de2bd2ac9a9c719e39b0ad84cc4bd2ea1?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1WGNdakfkXLmpnObxpBVgJ","https://open.spotify.com/track/1WGNdakfkXLmpnObxpBVgJ","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","C#","major","C# major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.286,0.24,0,-16.361,0,0.0414,0.973,0.911,0.837,0.211,81.839,"5QKFPbqj86YAvHnEjIslF5","https://api.spotify.com/v1/audio-analysis/5QKFPbqj86YAvHnEjIslF5",4,1,229379,FALSE,"https://api.spotify.com/v1/tracks/5QKFPbqj86YAvHnEjIslF5",FALSE,"Blue Serge (Live)","https://p.scdn.co/mp3-preview/7a0c3df50a73fba1550ead95ce2d747d241e1125?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5QKFPbqj86YAvHnEjIslF5","https://open.spotify.com/track/5QKFPbqj86YAvHnEjIslF5","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","C","minor","C minor","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.376,0.269,7,-14.235,1,0.0523,0.975,0.857,0.651,0.337,82.415,"1ESGSKrRLrzn2rNBARI3X8","https://api.spotify.com/v1/audio-analysis/1ESGSKrRLrzn2rNBARI3X8",4,1,373328,FALSE,"https://api.spotify.com/v1/tracks/1ESGSKrRLrzn2rNBARI3X8",FALSE,"Triple Play (Live)","https://p.scdn.co/mp3-preview/785a035aa75fecf97757a57fa3361452cb004289?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1ESGSKrRLrzn2rNBARI3X8","https://open.spotify.com/track/1ESGSKrRLrzn2rNBARI3X8","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","G","major","G major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.362,0.557,8,-13.028,1,0.239,0.925,0.747,0.652,0.573,178.818,"6Az7TDyNJ7DuRYSPdjeIJ3","https://api.spotify.com/v1/audio-analysis/6Az7TDyNJ7DuRYSPdjeIJ3",4,1,230550,FALSE,"https://api.spotify.com/v1/tracks/6Az7TDyNJ7DuRYSPdjeIJ3",FALSE,"Harlem Airshaft (Live)","https://p.scdn.co/mp3-preview/5b12b017512cb919354f69f39aea69790f85a075?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6Az7TDyNJ7DuRYSPdjeIJ3","https://open.spotify.com/track/6Az7TDyNJ7DuRYSPdjeIJ3","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","G#","major","G# major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.409,0.266,10,-13.55,1,0.0975,0.958,0.749,0.709,0.589,86.207,"4rXYZUpRRu0PMDQXbp7Kvs","https://api.spotify.com/v1/audio-analysis/4rXYZUpRRu0PMDQXbp7Kvs",4,1,403507,FALSE,"https://api.spotify.com/v1/tracks/4rXYZUpRRu0PMDQXbp7Kvs",FALSE,"Johnny Hodges Medley (Live)","https://p.scdn.co/mp3-preview/51952f36e94a0647c0a2d9067af467f9205d2bb4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4rXYZUpRRu0PMDQXbp7Kvs","https://open.spotify.com/track/4rXYZUpRRu0PMDQXbp7Kvs","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","A#","major","A# major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.486,0.356,1,-13.28,1,0.133,0.972,0.737,0.795,0.525,115.488,"4ls5ZfuGqnoYM6UAHeYHQU","https://api.spotify.com/v1/audio-analysis/4ls5ZfuGqnoYM6UAHeYHQU",4,1,243832,FALSE,"https://api.spotify.com/v1/tracks/4ls5ZfuGqnoYM6UAHeYHQU",FALSE,"Mella Brava (Live)","https://p.scdn.co/mp3-preview/516f87ef970621a9003b7627ef4d3d3ed92de00b?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4ls5ZfuGqnoYM6UAHeYHQU","https://open.spotify.com/track/4ls5ZfuGqnoYM6UAHeYHQU","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","C#","major","C# major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.415,0.49,7,-12.735,0,0.39,0.915,0.782,0.7,0.712,175.695,"6DWJqeO1LBk8SaRchvx4L4","https://api.spotify.com/v1/audio-analysis/6DWJqeO1LBk8SaRchvx4L4",4,1,237153,FALSE,"https://api.spotify.com/v1/tracks/6DWJqeO1LBk8SaRchvx4L4",FALSE,"Kickapoo Joy Juice (Live)","https://p.scdn.co/mp3-preview/9b78d65f20336f62c19400765bf2cea8bf02f96c?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6DWJqeO1LBk8SaRchvx4L4","https://open.spotify.com/track/6DWJqeO1LBk8SaRchvx4L4","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","G","minor","G minor","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.174,0.171,1,-21.432,1,0.0567,0.978,0.923,0.68,0.1,78.437,"0TDXWP03LSZGWHjlH6jWKT","https://api.spotify.com/v1/audio-analysis/0TDXWP03LSZGWHjlH6jWKT",4,1,240495,FALSE,"https://api.spotify.com/v1/tracks/0TDXWP03LSZGWHjlH6jWKT",FALSE,"On a tourquoise cloud (Live)","https://p.scdn.co/mp3-preview/79a054929fd43ccad4067555735aa15495d9b655?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0TDXWP03LSZGWHjlH6jWKT","https://open.spotify.com/track/0TDXWP03LSZGWHjlH6jWKT","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","C#","major","C# major","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.309,0.194,7,-19.526,0,0.2,0.954,0.775,0.91,0.481,185.5,"0aYpVcbVF84uHvLv2QJFjR","https://api.spotify.com/v1/audio-analysis/0aYpVcbVF84uHvLv2QJFjR",4,1,378484,FALSE,"https://api.spotify.com/v1/tracks/0aYpVcbVF84uHvLv2QJFjR",FALSE,"Bakiff (Live)","https://p.scdn.co/mp3-preview/24d972f88825fd6c8ea5346eda9d5f723fb17019?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0aYpVcbVF84uHvLv2QJFjR","https://open.spotify.com/track/0aYpVcbVF84uHvLv2QJFjR","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","G","minor","G minor","jazz"
"Duke Ellington","4F7Q5NV6h5TSwCainz8S5A","0TUGZyozFpHc0WtpF33yJb","album","2020-03-13",2020,"day",0.231,0.232,2,-16.585,0,0.0754,0.984,0.299,0.126,0.21,59.349,"1ieR67kvtuQkjqEPlyu2V9","https://api.spotify.com/v1/audio-analysis/1ieR67kvtuQkjqEPlyu2V9",4,2,329786,FALSE,"https://api.spotify.com/v1/tracks/1ieR67kvtuQkjqEPlyu2V9",FALSE,"Liberia Suite: I love the sunrise (Live)","https://p.scdn.co/mp3-preview/eaadf6a8cd2265dec34ae7b519e5a8cc588f45fa?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1ieR67kvtuQkjqEPlyu2V9","https://open.spotify.com/track/1ieR67kvtuQkjqEPlyu2V9","All that Jazz, Vol. 126: Duke Ellington at Carnegie Hall, 27th December 1947 (2020 Remaster)","D","minor","D minor","jazz"
