"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.315,0.912,9,-11.649,1,0.107,0.0943,0.000314,0.956,0.363,144.252,"4hKDKBADidJ4XXFuP0HYLZ","https://api.spotify.com/v1/audio-analysis/4hKDKBADidJ4XXFuP0HYLZ",4,1,369333,FALSE,"https://api.spotify.com/v1/tracks/4hKDKBADidJ4XXFuP0HYLZ",FALSE,"September - Live 1988","https://p.scdn.co/mp3-preview/494edef77314ca04dd733231130beece0b3c7ab5?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4hKDKBADidJ4XXFuP0HYLZ","https://open.spotify.com/track/4hKDKBADidJ4XXFuP0HYLZ","Elemental (Live 1988)","A","major","A major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.302,0.906,7,-10.415,1,0.176,0.222,0.000256,0.447,0.0997,89.003,"5h252sjM9NM5rPfxoJpptW","https://api.spotify.com/v1/audio-analysis/5h252sjM9NM5rPfxoJpptW",4,1,325839,FALSE,"https://api.spotify.com/v1/tracks/5h252sjM9NM5rPfxoJpptW",FALSE,"Fantasy - Live 1988","https://p.scdn.co/mp3-preview/36a5ef34b1dfca2c13b6e9d7c148e8f7321485e3?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5h252sjM9NM5rPfxoJpptW","https://open.spotify.com/track/5h252sjM9NM5rPfxoJpptW","Elemental (Live 1988)","G","major","G major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.41,0.584,10,-12.982,0,0.0714,0.236,0.000259,0.156,0.421,125.952,"7IRFtjVz63PNDG6DWhmgOq","https://api.spotify.com/v1/audio-analysis/7IRFtjVz63PNDG6DWhmgOq",4,1,430512,FALSE,"https://api.spotify.com/v1/tracks/7IRFtjVz63PNDG6DWhmgOq",FALSE,"After The Love Has Gone - Live 1988","https://p.scdn.co/mp3-preview/4c4bb11aeda5129037f630f776ca9466a02408c1?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:7IRFtjVz63PNDG6DWhmgOq","https://open.spotify.com/track/7IRFtjVz63PNDG6DWhmgOq","Elemental (Live 1988)","A#","minor","A# minor","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.563,0.879,2,-12.684,1,0.0778,0.0504,0.000152,0.779,0.351,122.457,"2FZiSMZBssYKspTZnaEkAF","https://api.spotify.com/v1/audio-analysis/2FZiSMZBssYKspTZnaEkAF",4,1,271713,FALSE,"https://api.spotify.com/v1/tracks/2FZiSMZBssYKspTZnaEkAF",FALSE,"Shining Star - Live 1988","https://p.scdn.co/mp3-preview/6e559923fb7b6fcdfb7189e0ba7aa3f0734dfa6f?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2FZiSMZBssYKspTZnaEkAF","https://open.spotify.com/track/2FZiSMZBssYKspTZnaEkAF","Elemental (Live 1988)","D","major","D major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.312,0.658,4,-10.926,0,0.122,0.439,3.78e-05,0.968,0.225,123.507,"7lpizePw6oX21sNLqqA9oH","https://api.spotify.com/v1/audio-analysis/7lpizePw6oX21sNLqqA9oH",4,1,386835,FALSE,"https://api.spotify.com/v1/tracks/7lpizePw6oX21sNLqqA9oH",FALSE,"You And I - Live 1988","https://p.scdn.co/mp3-preview/1e2926694b52fb7dd87e2a599218cb91f678bc91?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:7lpizePw6oX21sNLqqA9oH","https://open.spotify.com/track/7lpizePw6oX21sNLqqA9oH","Elemental (Live 1988)","E","minor","E minor","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.447,0.834,11,-14.24,0,0.0514,0.0014,0.02,0.982,0.287,142.867,"4eLctwz2Nd6gaOOHNd6CV1","https://api.spotify.com/v1/audio-analysis/4eLctwz2Nd6gaOOHNd6CV1",4,1,407916,FALSE,"https://api.spotify.com/v1/tracks/4eLctwz2Nd6gaOOHNd6CV1",FALSE,"Let's Groove - Live 1988","https://p.scdn.co/mp3-preview/f054b90710721d00244c4672e9d060afe21a14ed?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4eLctwz2Nd6gaOOHNd6CV1","https://open.spotify.com/track/4eLctwz2Nd6gaOOHNd6CV1","Elemental (Live 1988)","B","minor","B minor","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.399,0.872,1,-11.496,1,0.105,0.161,0.000515,0.971,0.479,99.576,"5OTjpHM7o2M9UYpQj0pkn6","https://api.spotify.com/v1/audio-analysis/5OTjpHM7o2M9UYpQj0pkn6",4,1,646074,FALSE,"https://api.spotify.com/v1/tracks/5OTjpHM7o2M9UYpQj0pkn6",FALSE,"That's The Way Of The World - Live 1988","https://p.scdn.co/mp3-preview/7209286b73188c7c006c3d5cd0d83ccc40c0d9e9?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5OTjpHM7o2M9UYpQj0pkn6","https://open.spotify.com/track/5OTjpHM7o2M9UYpQj0pkn6","Elemental (Live 1988)","C#","major","C# major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.585,0.697,0,-13.759,1,0.0412,0.713,0.00347,0.133,0.264,118.347,"6juHuhN4NA2Cw7HGZdoOia","https://api.spotify.com/v1/audio-analysis/6juHuhN4NA2Cw7HGZdoOia",4,1,235821,FALSE,"https://api.spotify.com/v1/tracks/6juHuhN4NA2Cw7HGZdoOia",FALSE,"Sheldon Guitar Interlude - Live 1988","https://p.scdn.co/mp3-preview/dfdc0a32b2458204fbd6937ad71fff718ed4d5b1?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:6juHuhN4NA2Cw7HGZdoOia","https://open.spotify.com/track/6juHuhN4NA2Cw7HGZdoOia","Elemental (Live 1988)","C","major","C major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.436,0.83,0,-13.199,1,0.049,0.633,0.0557,0.121,0.19,116.29,"0SgDCJDGoWwsCh7kTHDEDT","https://api.spotify.com/v1/audio-analysis/0SgDCJDGoWwsCh7kTHDEDT",4,1,337672,FALSE,"https://api.spotify.com/v1/tracks/0SgDCJDGoWwsCh7kTHDEDT",FALSE,"Kalimba Interlude - Live 1988","https://p.scdn.co/mp3-preview/4a861330fcb09ac2b55a63f489fdf6409637b589?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0SgDCJDGoWwsCh7kTHDEDT","https://open.spotify.com/track/0SgDCJDGoWwsCh7kTHDEDT","Elemental (Live 1988)","C","major","C major","jazz"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","4k1eRdUlWU7Inpwd1oYdKl","album","2021-01-29",2021,"day",0.672,0.969,0,-10.146,1,0.0549,0.0932,5.31e-05,0.891,0.661,132.025,"4WxY3FoxdqqvXRoAopvwlA","https://api.spotify.com/v1/audio-analysis/4WxY3FoxdqqvXRoAopvwlA",4,1,269885,FALSE,"https://api.spotify.com/v1/tracks/4WxY3FoxdqqvXRoAopvwlA",FALSE,"Boogie Wonderland - Live 1988","https://p.scdn.co/mp3-preview/a033e1c91f8c386e8c757794f6dd9984b7aef589?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4WxY3FoxdqqvXRoAopvwlA","https://open.spotify.com/track/4WxY3FoxdqqvXRoAopvwlA","Elemental (Live 1988)","C","major","C major","jazz"
