"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.535,0.691,2,-4.817,0,0.0598,0.384,0,0.95,0.702,79.418,"1OuLuZQmbiuQSqdaXjMLD8","https://api.spotify.com/v1/audio-analysis/1OuLuZQmbiuQSqdaXjMLD8",4,1,235614,FALSE,"https://api.spotify.com/v1/tracks/1OuLuZQmbiuQSqdaXjMLD8",FALSE,"Cheek To Cheek - Live",NA,1,"track","spotify:track:1OuLuZQmbiuQSqdaXjMLD8","https://open.spotify.com/track/1OuLuZQmbiuQSqdaXjMLD8","Ella: The Lost Berlin Tapes (Live)","D","minor","D minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.424,0.602,7,-4.748,0,0.0483,0.523,0,0.847,0.638,141.644,"2kj9S2VGwb6bHSWUV58Nv9","https://api.spotify.com/v1/audio-analysis/2kj9S2VGwb6bHSWUV58Nv9",4,1,179465,FALSE,"https://api.spotify.com/v1/tracks/2kj9S2VGwb6bHSWUV58Nv9",FALSE,"My Kind Of Boy - Live",NA,2,"track","spotify:track:2kj9S2VGwb6bHSWUV58Nv9","https://open.spotify.com/track/2kj9S2VGwb6bHSWUV58Nv9","Ella: The Lost Berlin Tapes (Live)","G","minor","G minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.351,0.607,8,-5.047,0,0.0475,0.721,0,0.978,0.386,97.71,"0jsgtLWtZVQ9ZFV554uGsx","https://api.spotify.com/v1/audio-analysis/0jsgtLWtZVQ9ZFV554uGsx",4,1,276909,FALSE,"https://api.spotify.com/v1/tracks/0jsgtLWtZVQ9ZFV554uGsx",FALSE,"Cry Me A River - Live",NA,3,"track","spotify:track:0jsgtLWtZVQ9ZFV554uGsx","https://open.spotify.com/track/0jsgtLWtZVQ9ZFV554uGsx","Ella: The Lost Berlin Tapes (Live)","G#","minor","G# minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.499,0.696,8,-4.984,1,0.107,0.479,0,0.908,0.56,78.34,"4iPBgi2SUXssjkHPFqUR4c","https://api.spotify.com/v1/audio-analysis/4iPBgi2SUXssjkHPFqUR4c",4,1,178890,FALSE,"https://api.spotify.com/v1/tracks/4iPBgi2SUXssjkHPFqUR4c",FALSE,"I Won't Dance - Live",NA,4,"track","spotify:track:4iPBgi2SUXssjkHPFqUR4c","https://open.spotify.com/track/4iPBgi2SUXssjkHPFqUR4c","Ella: The Lost Berlin Tapes (Live)","G#","major","G# major","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.37,0.393,5,-9.978,1,0.0428,0.966,8.12e-06,0.948,0.276,65.529,"1FNdlRunFXMrIAds73XEt6","https://api.spotify.com/v1/audio-analysis/1FNdlRunFXMrIAds73XEt6",4,1,252646,FALSE,"https://api.spotify.com/v1/tracks/1FNdlRunFXMrIAds73XEt6",FALSE,"Someone To Watch Over Me - Live",NA,5,"track","spotify:track:1FNdlRunFXMrIAds73XEt6","https://open.spotify.com/track/1FNdlRunFXMrIAds73XEt6","Ella: The Lost Berlin Tapes (Live)","F","major","F major","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.596,0.721,2,-4.193,0,0.0749,0.529,0,0.708,0.719,144.74,"4YT0P48b1fgqgk4movzbAd","https://api.spotify.com/v1/audio-analysis/4YT0P48b1fgqgk4movzbAd",4,1,212145,FALSE,"https://api.spotify.com/v1/tracks/4YT0P48b1fgqgk4movzbAd",FALSE,"Jersey Bounce - Live",NA,6,"track","spotify:track:4YT0P48b1fgqgk4movzbAd","https://open.spotify.com/track/4YT0P48b1fgqgk4movzbAd","Ella: The Lost Berlin Tapes (Live)","D","minor","D minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.252,0.295,2,-10.991,0,0.0425,0.97,2.7e-06,0.951,0.184,87.832,"1i3iLCCHok3j2g0PbERl6J","https://api.spotify.com/v1/audio-analysis/1i3iLCCHok3j2g0PbERl6J",3,1,231352,FALSE,"https://api.spotify.com/v1/tracks/1i3iLCCHok3j2g0PbERl6J",FALSE,"Angel Eyes - Live",NA,7,"track","spotify:track:1i3iLCCHok3j2g0PbERl6J","https://open.spotify.com/track/1i3iLCCHok3j2g0PbERl6J","Ella: The Lost Berlin Tapes (Live)","D","minor","D minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.491,0.877,8,-4.724,1,0.498,0.318,0,0.883,0.695,79.737,"4lQHTt9KxjhfoEW1BvCa48","https://api.spotify.com/v1/audio-analysis/4lQHTt9KxjhfoEW1BvCa48",4,1,223030,FALSE,"https://api.spotify.com/v1/tracks/4lQHTt9KxjhfoEW1BvCa48",FALSE,"Clap Hands, Here Comes Charlie! - Live",NA,8,"track","spotify:track:4lQHTt9KxjhfoEW1BvCa48","https://open.spotify.com/track/4lQHTt9KxjhfoEW1BvCa48","Ella: The Lost Berlin Tapes (Live)","G#","major","G# major","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.453,0.68,4,-5.089,0,0.138,0.739,0,0.756,0.516,157.323,"1P27FnXFDoaHruO4csXtvq","https://api.spotify.com/v1/audio-analysis/1P27FnXFDoaHruO4csXtvq",4,1,152797,FALSE,"https://api.spotify.com/v1/tracks/1P27FnXFDoaHruO4csXtvq",FALSE,"Taking A Chance On Love - Live",NA,9,"track","spotify:track:1P27FnXFDoaHruO4csXtvq","https://open.spotify.com/track/1P27FnXFDoaHruO4csXtvq","Ella: The Lost Berlin Tapes (Live)","E","minor","E minor","jazz"
"Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","4sJuVKmdtSwFFpeE2FtHGv","album","2020-10-02",2020,"day",0.329,0.428,7,-7.296,0,0.0397,0.946,0,0.873,0.214,144.218,"6tCfdenwZCEnwm5v3QBaCF","https://api.spotify.com/v1/audio-analysis/6tCfdenwZCEnwm5v3QBaCF",3,1,231176,FALSE,"https://api.spotify.com/v1/tracks/6tCfdenwZCEnwm5v3QBaCF",FALSE,"C'est Magnifique - Live",NA,10,"track","spotify:track:6tCfdenwZCEnwm5v3QBaCF","https://open.spotify.com/track/6tCfdenwZCEnwm5v3QBaCF","Ella: The Lost Berlin Tapes (Live)","G","minor","G minor","jazz"
