"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.556,0.924,9,-4.331,0,0.0635,0.028,3.8e-06,0.37,0.56,151.995,"1rKRVRXykfmOga4BM9h53E","https://api.spotify.com/v1/audio-analysis/1rKRVRXykfmOga4BM9h53E",4,1,187680,FALSE,"https://api.spotify.com/v1/tracks/1rKRVRXykfmOga4BM9h53E",FALSE,"My Songs Know What You Did In The Dark (Light Em Up)",NA,1,"track","spotify:track:1rKRVRXykfmOga4BM9h53E","https://open.spotify.com/track/1rKRVRXykfmOga4BM9h53E","Believers Never Die (Volume Two)","A","minor","A minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.564,0.956,4,-3.498,0,0.074,0.000464,0,0.392,0.39,138.078,"4ozPOpuCucEvKQp9pVjUDx","https://api.spotify.com/v1/audio-analysis/4ozPOpuCucEvKQp9pVjUDx",4,1,246240,FALSE,"https://api.spotify.com/v1/tracks/4ozPOpuCucEvKQp9pVjUDx",FALSE,"The Phoenix",NA,2,"track","spotify:track:4ozPOpuCucEvKQp9pVjUDx","https://open.spotify.com/track/4ozPOpuCucEvKQp9pVjUDx","Believers Never Die (Volume Two)","E","minor","E minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.551,0.91,9,-3.792,1,0.0543,0.00131,2.27e-05,0.176,0.662,90.019,"1XqiB54KW2wHvPDSjVYWSB","https://api.spotify.com/v1/audio-analysis/1XqiB54KW2wHvPDSjVYWSB",4,1,204640,FALSE,"https://api.spotify.com/v1/tracks/1XqiB54KW2wHvPDSjVYWSB",FALSE,"Alone Together",NA,3,"track","spotify:track:1XqiB54KW2wHvPDSjVYWSB","https://open.spotify.com/track/1XqiB54KW2wHvPDSjVYWSB","Believers Never Die (Volume Two)","A","major","A major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.597,0.856,11,-3.9,0,0.0415,0.00146,0.00027,0.364,0.673,95.058,"423RD3Z3e5fSlL6wNINvmS","https://api.spotify.com/v1/audio-analysis/423RD3Z3e5fSlL6wNINvmS",4,1,205133,FALSE,"https://api.spotify.com/v1/tracks/423RD3Z3e5fSlL6wNINvmS",FALSE,"Young Volcanoes",NA,4,"track","spotify:track:423RD3Z3e5fSlL6wNINvmS","https://open.spotify.com/track/423RD3Z3e5fSlL6wNINvmS","Believers Never Die (Volume Two)","B","minor","B minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.39,0.864,4,-2.841,0,0.0729,0.00409,0,0.1,0.523,176.023,"1fsXI6na0RSHMqubY5imZJ","https://api.spotify.com/v1/audio-analysis/1fsXI6na0RSHMqubY5imZJ",4,1,228760,FALSE,"https://api.spotify.com/v1/tracks/1fsXI6na0RSHMqubY5imZJ",FALSE,"Centuries",NA,5,"track","spotify:track:1fsXI6na0RSHMqubY5imZJ","https://open.spotify.com/track/1fsXI6na0RSHMqubY5imZJ","Believers Never Die (Volume Two)","E","minor","E minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.62,0.874,2,-3.604,1,0.0696,0.00123,1.23e-06,0.751,0.478,108.006,"3nOMB2LHRIZOVfgUr0A4cJ","https://api.spotify.com/v1/audio-analysis/3nOMB2LHRIZOVfgUr0A4cJ",4,1,188493,FALSE,"https://api.spotify.com/v1/tracks/3nOMB2LHRIZOVfgUr0A4cJ",FALSE,"Immortals",NA,6,"track","spotify:track:3nOMB2LHRIZOVfgUr0A4cJ","https://open.spotify.com/track/3nOMB2LHRIZOVfgUr0A4cJ","Believers Never Die (Volume Two)","D","major","D major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.627,0.941,4,-2.961,0,0.0535,0.123,8.64e-05,0.149,0.841,149.957,"0KpuroGrGdzkSVFXQK510i","https://api.spotify.com/v1/audio-analysis/0KpuroGrGdzkSVFXQK510i",4,1,213613,FALSE,"https://api.spotify.com/v1/tracks/0KpuroGrGdzkSVFXQK510i",FALSE,"Uma Thurman",NA,7,"track","spotify:track:0KpuroGrGdzkSVFXQK510i","https://open.spotify.com/track/0KpuroGrGdzkSVFXQK510i","Believers Never Die (Volume Two)","E","minor","E minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.484,0.938,2,-3.114,1,0.105,0.0633,0,0.248,0.397,164.992,"0dlPMffXHEUcMO8yG16bzJ","https://api.spotify.com/v1/audio-analysis/0dlPMffXHEUcMO8yG16bzJ",4,1,206506,FALSE,"https://api.spotify.com/v1/tracks/0dlPMffXHEUcMO8yG16bzJ",FALSE,"Irresistible",NA,8,"track","spotify:track:0dlPMffXHEUcMO8yG16bzJ","https://open.spotify.com/track/0dlPMffXHEUcMO8yG16bzJ","Believers Never Die (Volume Two)","D","major","D major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.31,0.912,0,-4.109,1,0.26,0.00109,4.22e-05,0.427,0.294,187.892,"3W2QpAKv3zRnwtiQtFyNPF","https://api.spotify.com/v1/audio-analysis/3W2QpAKv3zRnwtiQtFyNPF",4,1,191680,FALSE,"https://api.spotify.com/v1/tracks/3W2QpAKv3zRnwtiQtFyNPF",FALSE,"Champion",NA,9,"track","spotify:track:3W2QpAKv3zRnwtiQtFyNPF","https://open.spotify.com/track/3W2QpAKv3zRnwtiQtFyNPF","Believers Never Die (Volume Two)","C","major","C major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.573,0.871,8,-5.264,1,0.0503,0.00552,0,0.117,0.583,115.085,"2GAPteUTKLdb2B8FM6U39l","https://api.spotify.com/v1/audio-analysis/2GAPteUTKLdb2B8FM6U39l",4,1,232280,FALSE,"https://api.spotify.com/v1/tracks/2GAPteUTKLdb2B8FM6U39l",FALSE,"The Last Of The Real Ones",NA,10,"track","spotify:track:2GAPteUTKLdb2B8FM6U39l","https://open.spotify.com/track/2GAPteUTKLdb2B8FM6U39l","Believers Never Die (Volume Two)","G#","major","G# major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.743,0.85,5,-3.568,0,0.0399,0.156,0,0.163,0.942,129.926,"6ulUsbo0byNEgHHloz55Rp","https://api.spotify.com/v1/audio-analysis/6ulUsbo0byNEgHHloz55Rp",4,1,233146,TRUE,"https://api.spotify.com/v1/tracks/6ulUsbo0byNEgHHloz55Rp",FALSE,"I've Been Waiting",NA,11,"track","spotify:track:6ulUsbo0byNEgHHloz55Rp","https://open.spotify.com/track/6ulUsbo0byNEgHHloz55Rp","Believers Never Die (Volume Two)","F","minor","F minor","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.535,0.925,7,-3.012,1,0.239,0.0032,0.000359,0.0316,0.949,169.901,"1tm4Bl2E5RwTevOiBs4gtH","https://api.spotify.com/v1/audio-analysis/1tm4Bl2E5RwTevOiBs4gtH",4,1,170040,FALSE,"https://api.spotify.com/v1/tracks/1tm4Bl2E5RwTevOiBs4gtH",FALSE,"Dear Future Self (Hands Up)",NA,12,"track","spotify:track:1tm4Bl2E5RwTevOiBs4gtH","https://open.spotify.com/track/1tm4Bl2E5RwTevOiBs4gtH","Believers Never Die (Volume Two)","G","major","G major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","2MlgtDuxXXz8c8Toc9kKTd","album","2019-11-15",2019,"day",0.494,0.915,9,-3.623,1,0.0484,0.000353,0.0491,0.352,0.522,100.08,"3liDoBAc3NGI8tmWUTOAed","https://api.spotify.com/v1/audio-analysis/3liDoBAc3NGI8tmWUTOAed",4,1,193040,FALSE,"https://api.spotify.com/v1/tracks/3liDoBAc3NGI8tmWUTOAed",FALSE,"Bob Dylan",NA,13,"track","spotify:track:3liDoBAc3NGI8tmWUTOAed","https://open.spotify.com/track/3liDoBAc3NGI8tmWUTOAed","Believers Never Die (Volume Two)","A","major","A major","rock"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","4IUklIRLDk5I2w8jil9lQ5","album","2019-11-15",2019,"day",0.556,0.924,9,-4.331,0,0.0635,0.028,3.8e-06,0.37,0.56,151.995,"2uRR91Z2MrGmNOs7fak1ah","https://api.spotify.com/v1/audio-analysis/2uRR91Z2MrGmNOs7fak1ah",4,1,187680,FALSE,"https://api.spotify.com/v1/tracks/2uRR91Z2MrGmNOs7fak1ah",FALSE,"My Songs Know What You Did In The Dark (Light Em Up)",NA,1,"track","spotify:track:2uRR91Z2MrGmNOs7fak1ah","https://open.spotify.com/track/2uRR91Z2MrGmNOs7fak1ah","Believers Never Die (Volume Two)","A","minor","A minor","rock"
