"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.65,0.729,1,-5.455,1,0.0349,0.227,0.0469,0.975,0.818,111.584,"3K37ohRMz27e5OMSEaBlna","https://api.spotify.com/v1/audio-analysis/3K37ohRMz27e5OMSEaBlna",4,1,445853,FALSE,"https://api.spotify.com/v1/tracks/3K37ohRMz27e5OMSEaBlna",FALSE,"Give Me The Night - Live","https://p.scdn.co/mp3-preview/9f8bda681c49e5e37bbe2e6d3fba593ad7fc634b?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3K37ohRMz27e5OMSEaBlna","https://open.spotify.com/track/3K37ohRMz27e5OMSEaBlna","Weekend in London (Live)","C#","major","C# major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.597,0.791,9,-5.14,0,0.0459,0.353,0.000568,0.923,0.736,104.793,"0AKWYXP0kSAQT9jjyukC17","https://api.spotify.com/v1/audio-analysis/0AKWYXP0kSAQT9jjyukC17",4,1,264320,FALSE,"https://api.spotify.com/v1/tracks/0AKWYXP0kSAQT9jjyukC17",FALSE,"Turn Your Love Around - Live","https://p.scdn.co/mp3-preview/d970466c296baec82ffcd7c49c3ce3441abaa25c?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0AKWYXP0kSAQT9jjyukC17","https://open.spotify.com/track/0AKWYXP0kSAQT9jjyukC17","Weekend in London (Live)","A","minor","A minor","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.696,0.743,1,-6.311,1,0.059,0.485,0.00162,0.938,0.686,111.812,"4rFLe0yj8I4RCUZrtl0Itz","https://api.spotify.com/v1/audio-analysis/4rFLe0yj8I4RCUZrtl0Itz",4,1,362440,FALSE,"https://api.spotify.com/v1/tracks/4rFLe0yj8I4RCUZrtl0Itz",FALSE,"Love X Love - Live","https://p.scdn.co/mp3-preview/f19c9e9db4cecb72b132dcc3526a48556e82bf90?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:4rFLe0yj8I4RCUZrtl0Itz","https://open.spotify.com/track/4rFLe0yj8I4RCUZrtl0Itz","Weekend in London (Live)","C#","major","C# major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.518,0.623,8,-8.433,1,0.046,0.776,2.93e-05,0.725,0.316,130.163,"3LKBOdRcJEf82c4Zx7VhOU","https://api.spotify.com/v1/audio-analysis/3LKBOdRcJEf82c4Zx7VhOU",4,1,294546,FALSE,"https://api.spotify.com/v1/tracks/3LKBOdRcJEf82c4Zx7VhOU",FALSE,"In Your Eyes - Live","https://p.scdn.co/mp3-preview/b85e207f81b5cbf435e726f3c0d73f88c2851b5c?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3LKBOdRcJEf82c4Zx7VhOU","https://open.spotify.com/track/3LKBOdRcJEf82c4Zx7VhOU","Weekend in London (Live)","G#","major","G# major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.704,0.691,0,-5.638,1,0.0268,0.539,0.0137,0.937,0.753,90.199,"3zc1AzFmBfSi8KDx13HXjk","https://api.spotify.com/v1/audio-analysis/3zc1AzFmBfSi8KDx13HXjk",4,1,165640,FALSE,"https://api.spotify.com/v1/tracks/3zc1AzFmBfSi8KDx13HXjk",FALSE,"I Hear You Knocking - Live","https://p.scdn.co/mp3-preview/757aa8b263547aee42737ebdae5eaa46f21aef7b?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:3zc1AzFmBfSi8KDx13HXjk","https://open.spotify.com/track/3zc1AzFmBfSi8KDx13HXjk","Weekend in London (Live)","C","major","C major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.567,0.544,1,-7.538,1,0.0489,0.788,1.66e-05,0.874,0.42,130.738,"44qLuw4q8Yq4Mtoyp0upw3","https://api.spotify.com/v1/audio-analysis/44qLuw4q8Yq4Mtoyp0upw3",4,1,246893,FALSE,"https://api.spotify.com/v1/tracks/44qLuw4q8Yq4Mtoyp0upw3",FALSE,"Nothing's Gonna Change My Love For You - Live","https://p.scdn.co/mp3-preview/9857815311ab06c920b61fdfba1c8fb4984cb29d?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:44qLuw4q8Yq4Mtoyp0upw3","https://open.spotify.com/track/44qLuw4q8Yq4Mtoyp0upw3","Weekend in London (Live)","C#","major","C# major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.647,0.741,0,-5.707,0,0.0395,0.602,0.0133,0.989,0.777,107.988,"1BXEGfW93tCGazVnS2n2my","https://api.spotify.com/v1/audio-analysis/1BXEGfW93tCGazVnS2n2my",4,1,319453,FALSE,"https://api.spotify.com/v1/tracks/1BXEGfW93tCGazVnS2n2my",FALSE,"Feel Like Makin' Love - Live","https://p.scdn.co/mp3-preview/7964d542f1c536b7ec7d6a5f2895ab2019792551?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:1BXEGfW93tCGazVnS2n2my","https://open.spotify.com/track/1BXEGfW93tCGazVnS2n2my","Weekend in London (Live)","C","minor","C minor","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.629,0.643,5,-7.027,1,0.043,0.722,0.0961,0.971,0.379,83.716,"4KiE4dfEnhnD4fAZu83tG8","https://api.spotify.com/v1/audio-analysis/4KiE4dfEnhnD4fAZu83tG8",4,1,256000,FALSE,"https://api.spotify.com/v1/tracks/4KiE4dfEnhnD4fAZu83tG8",FALSE,"Don't Let Me Be Lonely Tonight - Live","https://p.scdn.co/mp3-preview/c4b8d19a9b405b100e942832d8ae28cc5a35f481?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4KiE4dfEnhnD4fAZu83tG8","https://open.spotify.com/track/4KiE4dfEnhnD4fAZu83tG8","Weekend in London (Live)","F","major","F major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.667,0.71,1,-5.692,1,0.0359,0.444,0.665,0.961,0.807,111.461,"1PUasLyweT9f8Xww79sdiL","https://api.spotify.com/v1/audio-analysis/1PUasLyweT9f8Xww79sdiL",4,1,374800,FALSE,"https://api.spotify.com/v1/tracks/1PUasLyweT9f8Xww79sdiL",FALSE,"The Ghetto - Live","https://p.scdn.co/mp3-preview/b71c0fa6d8fabb0610e9d18b02c1672d2417c258?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:1PUasLyweT9f8Xww79sdiL","https://open.spotify.com/track/1PUasLyweT9f8Xww79sdiL","Weekend in London (Live)","C#","major","C# major","jazz"
"George Benson","4N8BwYTEC6XqykGvXXlmfv","08t9LSqZ5UtSIHez4mYLkJ","album","2020-11-13",2020,"day",0.49,0.574,0,-6.709,0,0.079,0.86,0,0.925,0.481,58.85,"2P3L0VcvkHKC68WFpcv34l","https://api.spotify.com/v1/audio-analysis/2P3L0VcvkHKC68WFpcv34l",4,1,244573,FALSE,"https://api.spotify.com/v1/tracks/2P3L0VcvkHKC68WFpcv34l",FALSE,"Moody's Mood - Live","https://p.scdn.co/mp3-preview/0efaef21fcec89c998562d728a1d014b6fed3edc?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2P3L0VcvkHKC68WFpcv34l","https://open.spotify.com/track/2P3L0VcvkHKC68WFpcv34l","Weekend in London (Live)","C","minor","C minor","jazz"
