"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.353,0.467,1,-10.444,0,0.0266,0.878,0.809,0.112,0.118,52.345,"77A5mKz70kQRtCS6e985RM","https://api.spotify.com/v1/audio-analysis/77A5mKz70kQRtCS6e985RM",4,1,293693,FALSE,"https://api.spotify.com/v1/tracks/77A5mKz70kQRtCS6e985RM",FALSE,"Berth","https://p.scdn.co/mp3-preview/ceae1475882e681c38b25fe68788a99cafa5aaf8?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:77A5mKz70kQRtCS6e985RM","https://open.spotify.com/track/77A5mKz70kQRtCS6e985RM","Evening Machines","C#","minor","C# minor","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459,"7gDNQLV9cr8449LFrQbk5J","https://api.spotify.com/v1/audio-analysis/7gDNQLV9cr8449LFrQbk5J",4,1,272346,FALSE,"https://api.spotify.com/v1/tracks/7gDNQLV9cr8449LFrQbk5J",FALSE,"San Luis","https://p.scdn.co/mp3-preview/8f791306e81307c99a084a150505c74a34ff3a43?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7gDNQLV9cr8449LFrQbk5J","https://open.spotify.com/track/7gDNQLV9cr8449LFrQbk5J","Evening Machines","G","minor","G minor","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.559,0.343,0,-10.623,1,0.031,0.746,0.00236,0.101,0.228,132.659,"6YXbSjabsKQ1pNvj6zcJ9V","https://api.spotify.com/v1/audio-analysis/6YXbSjabsKQ1pNvj6zcJ9V",3,1,139240,FALSE,"https://api.spotify.com/v1/tracks/6YXbSjabsKQ1pNvj6zcJ9V",FALSE,"Southern Star","https://p.scdn.co/mp3-preview/a65aea4059851e9649e0bd07ba2f1b50b15ff247?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6YXbSjabsKQ1pNvj6zcJ9V","https://open.spotify.com/track/6YXbSjabsKQ1pNvj6zcJ9V","Evening Machines","C","major","C major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.498,0.393,4,-10.6,0,0.0289,0.739,0.771,0.114,0.118,112.986,"0gcN4mJqOgwDl9az069Jup","https://api.spotify.com/v1/audio-analysis/0gcN4mJqOgwDl9az069Jup",4,1,192226,FALSE,"https://api.spotify.com/v1/tracks/0gcN4mJqOgwDl9az069Jup",FALSE,"Powder","https://p.scdn.co/mp3-preview/634f95fff533efcd98d9dd1cfb50c501a193ef2c?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:0gcN4mJqOgwDl9az069Jup","https://open.spotify.com/track/0gcN4mJqOgwDl9az069Jup","Evening Machines","E","minor","E minor","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.533,0.328,7,-11.023,1,0.0289,0.953,0.43,0.107,0.177,90.813,"7MBr2B7kXBAh9UV45ZGNJZ","https://api.spotify.com/v1/audio-analysis/7MBr2B7kXBAh9UV45ZGNJZ",4,1,209946,FALSE,"https://api.spotify.com/v1/tracks/7MBr2B7kXBAh9UV45ZGNJZ",FALSE,"Bullet Holes","https://p.scdn.co/mp3-preview/16c18ff0f11b60bcbcbca567cedb8146fbd83fae?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:7MBr2B7kXBAh9UV45ZGNJZ","https://open.spotify.com/track/7MBr2B7kXBAh9UV45ZGNJZ","Evening Machines","G","major","G major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.281,0.278,1,-12.912,1,0.0327,0.507,0.25,0.112,0.0464,130.961,"1WCwH2Lps0FvmiLpNdvMpk","https://api.spotify.com/v1/audio-analysis/1WCwH2Lps0FvmiLpNdvMpk",4,1,177173,FALSE,"https://api.spotify.com/v1/tracks/1WCwH2Lps0FvmiLpNdvMpk",FALSE,"Was I Just Another One","https://p.scdn.co/mp3-preview/72b3f15d8d00473ecc015c1dbf50de9a2c214164?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1WCwH2Lps0FvmiLpNdvMpk","https://open.spotify.com/track/1WCwH2Lps0FvmiLpNdvMpk","Evening Machines","C#","major","C# major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.446,0.744,9,-7.622,1,0.0394,0.372,0.114,0.12,0.186,81.548,"6byLrvbXmnUMdMWmSBgjKX","https://api.spotify.com/v1/audio-analysis/6byLrvbXmnUMdMWmSBgjKX",4,1,289426,FALSE,"https://api.spotify.com/v1/tracks/6byLrvbXmnUMdMWmSBgjKX",FALSE,"Caves","https://p.scdn.co/mp3-preview/b52a18f5856e1c4e9c468a74c6a8ac6d55c3d892?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6byLrvbXmnUMdMWmSBgjKX","https://open.spotify.com/track/6byLrvbXmnUMdMWmSBgjKX","Evening Machines","A","major","A major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.608,0.238,0,-13.604,1,0.0434,0.885,0.125,0.111,0.27,78.013,"6Eyt039etvBOx2V612yu4y","https://api.spotify.com/v1/audio-analysis/6Eyt039etvBOx2V612yu4y",4,1,199906,FALSE,"https://api.spotify.com/v1/tracks/6Eyt039etvBOx2V612yu4y",FALSE,"Chemicals","https://p.scdn.co/mp3-preview/736d0e7f56bd0f7849144ca1ae15f33e44a9bc23?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:6Eyt039etvBOx2V612yu4y","https://open.spotify.com/track/6Eyt039etvBOx2V612yu4y","Evening Machines","C","major","C major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.485,0.618,2,-8.192,1,0.0637,0.829,4.22e-06,0.17,0.456,130.234,"17Tsr2TVbU8qqfZdz68LVO","https://api.spotify.com/v1/audio-analysis/17Tsr2TVbU8qqfZdz68LVO",4,1,179480,FALSE,"https://api.spotify.com/v1/tracks/17Tsr2TVbU8qqfZdz68LVO",FALSE,"Dark, Dark, Dark","https://p.scdn.co/mp3-preview/07298c62b98643c09b55a018eacaca179c5413fe?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:17Tsr2TVbU8qqfZdz68LVO","https://open.spotify.com/track/17Tsr2TVbU8qqfZdz68LVO","Evening Machines","D","major","D major","folk"
"Gregory Alan Isakov","5sXaGoRLSpd7VeyZrLkKwt","5K7PZiOlAn8sxxhh0QTFuJ","album","2018-10-05",2018,"day",0.323,0.292,11,-12.269,1,0.0346,0.755,0.258,0.11,0.123,119.65,"2ZB1LX9r7xgNYQxb2yZdz5","https://api.spotify.com/v1/audio-analysis/2ZB1LX9r7xgNYQxb2yZdz5",3,1,204440,FALSE,"https://api.spotify.com/v1/tracks/2ZB1LX9r7xgNYQxb2yZdz5",FALSE,"Too Far Away","https://p.scdn.co/mp3-preview/4a587bf45366dac7fa8d39a4327033a4dec08e70?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2ZB1LX9r7xgNYQxb2yZdz5","https://open.spotify.com/track/2ZB1LX9r7xgNYQxb2yZdz5","Evening Machines","B","major","B major","folk"
