"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.513,0.581,1,-9.074,0,0.0461,0.352,2.57e-05,0.0714,0.418,162.872,"0HLmrFMCywebKhQBwFA451","https://api.spotify.com/v1/audio-analysis/0HLmrFMCywebKhQBwFA451",4,1,291613,FALSE,"https://api.spotify.com/v1/tracks/0HLmrFMCywebKhQBwFA451",FALSE,"Only for You (Siempre para Ti Sere)","https://p.scdn.co/mp3-preview/f20b16fe2e23558060e9be96288fadb6ff02902f?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:0HLmrFMCywebKhQBwFA451","https://open.spotify.com/track/0HLmrFMCywebKhQBwFA451","Icons of Jazz - Grover Washington, Jr.","C#","minor","C# minor","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.54,0.74,0,-7.802,1,0.0741,0.334,0.0946,0.0682,0.837,185.941,"4bcVLKdz2KjTRlC6OpOJPM","https://api.spotify.com/v1/audio-analysis/4bcVLKdz2KjTRlC6OpOJPM",4,1,257333,FALSE,"https://api.spotify.com/v1/tracks/4bcVLKdz2KjTRlC6OpOJPM",FALSE,"Summer Nights","https://p.scdn.co/mp3-preview/2dcbeff25070724321495eea9e359516c2c1b44d?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4bcVLKdz2KjTRlC6OpOJPM","https://open.spotify.com/track/4bcVLKdz2KjTRlC6OpOJPM","Icons of Jazz - Grover Washington, Jr.","C","major","C major","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.404,0.273,7,-12.369,0,0.0318,0.958,0.259,0.121,0.154,119.557,"4pbPVQJdQ1k3MkpvAAfNpp","https://api.spotify.com/v1/audio-analysis/4pbPVQJdQ1k3MkpvAAfNpp",4,1,265666,FALSE,"https://api.spotify.com/v1/tracks/4pbPVQJdQ1k3MkpvAAfNpp",FALSE,"Heat Index","https://p.scdn.co/mp3-preview/7263057e80549310a9b09008093c379ade3a00d8?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:4pbPVQJdQ1k3MkpvAAfNpp","https://open.spotify.com/track/4pbPVQJdQ1k3MkpvAAfNpp","Icons of Jazz - Grover Washington, Jr.","G","minor","G minor","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.709,0.615,2,-7.001,0,0.028,0.368,0.00224,0.102,0.849,111.704,"6UX80K46Q7fB2rtLPkAO6Y","https://api.spotify.com/v1/audio-analysis/6UX80K46Q7fB2rtLPkAO6Y",4,1,263840,FALSE,"https://api.spotify.com/v1/tracks/6UX80K46Q7fB2rtLPkAO6Y",FALSE,"Blues for DP","https://p.scdn.co/mp3-preview/55366080bc91d07496b442faf9144c2ea4c961d1?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6UX80K46Q7fB2rtLPkAO6Y","https://open.spotify.com/track/6UX80K46Q7fB2rtLPkAO6Y","Icons of Jazz - Grover Washington, Jr.","D","minor","D minor","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.725,0.474,8,-8.553,1,0.0343,0.678,1.82e-05,0.15,0.533,110.349,"6M2nW6hAzGsru1i1erjdAc","https://api.spotify.com/v1/audio-analysis/6M2nW6hAzGsru1i1erjdAc",4,1,278613,FALSE,"https://api.spotify.com/v1/tracks/6M2nW6hAzGsru1i1erjdAc",FALSE,"The Love In His Infant Eyes","https://p.scdn.co/mp3-preview/0659e5f5ed0b4b2c38b017b54d423fcecd39994b?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:6M2nW6hAzGsru1i1erjdAc","https://open.spotify.com/track/6M2nW6hAzGsru1i1erjdAc","Icons of Jazz - Grover Washington, Jr.","G#","major","G# major","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.717,0.663,9,-8.734,0,0.0413,0.0286,0.732,0.204,0.792,115.201,"7anaGuJUl62H1pD6Qz4IqY","https://api.spotify.com/v1/audio-analysis/7anaGuJUl62H1pD6Qz4IqY",4,1,375146,FALSE,"https://api.spotify.com/v1/tracks/7anaGuJUl62H1pD6Qz4IqY",FALSE,"Strawberry Moon","https://p.scdn.co/mp3-preview/757667a79ceacd3f1d5c00033a10bb71afcb896f?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:7anaGuJUl62H1pD6Qz4IqY","https://open.spotify.com/track/7anaGuJUl62H1pD6Qz4IqY","Icons of Jazz - Grover Washington, Jr.","A","minor","A minor","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.59,0.538,4,-9.531,0,0.0352,0.0015,0.721,0.271,0.516,89.561,"3yUF00xitMmNWc4pu3Dlev","https://api.spotify.com/v1/audio-analysis/3yUF00xitMmNWc4pu3Dlev",5,1,300906,FALSE,"https://api.spotify.com/v1/tracks/3yUF00xitMmNWc4pu3Dlev",FALSE,"Love Like This","https://p.scdn.co/mp3-preview/e0caefcf70a01b26601e7ce2b7cc20f46ae059ab?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:3yUF00xitMmNWc4pu3Dlev","https://open.spotify.com/track/3yUF00xitMmNWc4pu3Dlev","Icons of Jazz - Grover Washington, Jr.","E","minor","E minor","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.631,0.552,0,-9.209,1,0.0265,0.12,0.0564,0.312,0.592,143.114,"5PjmU4Tqoeu0VLNClrMxla","https://api.spotify.com/v1/audio-analysis/5PjmU4Tqoeu0VLNClrMxla",4,1,314760,FALSE,"https://api.spotify.com/v1/tracks/5PjmU4Tqoeu0VLNClrMxla",FALSE,"Take Five (Take Another Five)","https://p.scdn.co/mp3-preview/ef289bd4b43eceac2e345053192a5f1f18164cd0?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5PjmU4Tqoeu0VLNClrMxla","https://open.spotify.com/track/5PjmU4Tqoeu0VLNClrMxla","Icons of Jazz - Grover Washington, Jr.","C","major","C major","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.733,0.41,8,-9.49,1,0.0344,0.17,0.255,0.111,0.708,144.164,"2O6SjNIK9LI9byLupbH93n","https://api.spotify.com/v1/audio-analysis/2O6SjNIK9LI9byLupbH93n",4,1,213213,FALSE,"https://api.spotify.com/v1/tracks/2O6SjNIK9LI9byLupbH93n",FALSE,"The Night Fantastic","https://p.scdn.co/mp3-preview/787c1387dc5f6c1f83c62c26c09410f9e7eb9357?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2O6SjNIK9LI9byLupbH93n","https://open.spotify.com/track/2O6SjNIK9LI9byLupbH93n","Icons of Jazz - Grover Washington, Jr.","G#","major","G# major","jazz"
"Grover Washington, Jr.","05YVYeV4HxYp5rrWalvuE1","5AejbHPatXCyyB86vZWkzR","album","2016-05-20",2016,"day",0.429,0.486,2,-9.454,1,0.0352,0.282,0.0509,0.107,0.332,70.697,"2ZkZBrbyv75OXUa0LlTY4A","https://api.spotify.com/v1/audio-analysis/2ZkZBrbyv75OXUa0LlTY4A",4,1,509520,FALSE,"https://api.spotify.com/v1/tracks/2ZkZBrbyv75OXUa0LlTY4A",FALSE,"Protect the Dream","https://p.scdn.co/mp3-preview/cd2dc60564603cb1fb17f465ce5b3e1aab6189e9?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2ZkZBrbyv75OXUa0LlTY4A","https://open.spotify.com/track/2ZkZBrbyv75OXUa0LlTY4A","Icons of Jazz - Grover Washington, Jr.","D","major","D major","jazz"
