"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.782,0.504,4,-11.666,0,0.0401,0.54,0.304,0.161,0.038,119.962,"0bwDDYrh0fD5jHiAOD1reP","https://api.spotify.com/v1/audio-analysis/0bwDDYrh0fD5jHiAOD1reP",4,1,160366,TRUE,"https://api.spotify.com/v1/tracks/0bwDDYrh0fD5jHiAOD1reP",FALSE,"Under My Skin","https://p.scdn.co/mp3-preview/7ced438343910d19f08bc9a9d3a17cbe1855ea42?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:0bwDDYrh0fD5jHiAOD1reP","https://open.spotify.com/track/0bwDDYrh0fD5jHiAOD1reP","Red Moon Rising","E","minor","E minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.537,0.577,5,-11.625,1,0.082,0.643,0.0033,0.13,0.118,118.006,"7cAyp1xcl0jjVU8Y6HTIm7","https://api.spotify.com/v1/audio-analysis/7cAyp1xcl0jjVU8Y6HTIm7",4,1,170763,TRUE,"https://api.spotify.com/v1/tracks/7cAyp1xcl0jjVU8Y6HTIm7",FALSE,"Dreaming of Freedom","https://p.scdn.co/mp3-preview/e63cd624ce756d2eee8c1ad73c2b436ee894b29c?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7cAyp1xcl0jjVU8Y6HTIm7","https://open.spotify.com/track/7cAyp1xcl0jjVU8Y6HTIm7","Red Moon Rising","F","major","F major","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.7,0.57,6,-6.926,0,0.0924,0.477,0.00637,0.295,0.248,129.013,"5zRHcUrbJYn4blbZEdLK6Q","https://api.spotify.com/v1/audio-analysis/5zRHcUrbJYn4blbZEdLK6Q",4,1,279145,TRUE,"https://api.spotify.com/v1/tracks/5zRHcUrbJYn4blbZEdLK6Q",FALSE,"Enough","https://p.scdn.co/mp3-preview/3a3ad64fb741ea3f6f22657925be7aecbd91322c?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5zRHcUrbJYn4blbZEdLK6Q","https://open.spotify.com/track/5zRHcUrbJYn4blbZEdLK6Q","Red Moon Rising","F#","minor","F# minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.66,0.478,5,-11.19,0,0.0459,0.831,0.12,0.135,0.284,115.995,"4B1cm9UWea5hPOqFOlXKLm","https://api.spotify.com/v1/audio-analysis/4B1cm9UWea5hPOqFOlXKLm",4,1,227579,TRUE,"https://api.spotify.com/v1/tracks/4B1cm9UWea5hPOqFOlXKLm",FALSE,"1000 Blunts","https://p.scdn.co/mp3-preview/da70f9f6d0a106ba80c2e08716aa0966029fb752?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:4B1cm9UWea5hPOqFOlXKLm","https://open.spotify.com/track/4B1cm9UWea5hPOqFOlXKLm","Red Moon Rising","F","minor","F minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.399,0.447,11,-10.095,1,0.282,0.907,0.00176,0.196,0.326,163.775,"1WqgM254IIFUF88gM91wNw","https://api.spotify.com/v1/audio-analysis/1WqgM254IIFUF88gM91wNw",5,1,201561,FALSE,"https://api.spotify.com/v1/tracks/1WqgM254IIFUF88gM91wNw",FALSE,"Two Rivers","https://p.scdn.co/mp3-preview/b60e5f446f9382950ac32eca19f9f3b4ca2240a9?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1WqgM254IIFUF88gM91wNw","https://open.spotify.com/track/1WqgM254IIFUF88gM91wNw","Red Moon Rising","B","major","B major","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.727,0.403,8,-10.941,0,0.0308,0.759,0.000416,0.1,0.197,121.059,"5Ddu69hAXHNuD7vlsi2Y5a","https://api.spotify.com/v1/audio-analysis/5Ddu69hAXHNuD7vlsi2Y5a",4,1,198061,FALSE,"https://api.spotify.com/v1/tracks/5Ddu69hAXHNuD7vlsi2Y5a",FALSE,"Red Moon Rising","https://p.scdn.co/mp3-preview/dd6aeb4d0b86ca4556de4f28ffba0619de1f8578?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5Ddu69hAXHNuD7vlsi2Y5a","https://open.spotify.com/track/5Ddu69hAXHNuD7vlsi2Y5a","Red Moon Rising","G#","minor","G# minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.568,0.328,0,-12.582,1,0.0361,0.727,0.00297,0.113,0.136,130.996,"60KTYno5vTtI1dTx55Ei9P","https://api.spotify.com/v1/audio-analysis/60KTYno5vTtI1dTx55Ei9P",4,1,366786,TRUE,"https://api.spotify.com/v1/tracks/60KTYno5vTtI1dTx55Ei9P",FALSE,"Whiskey","https://p.scdn.co/mp3-preview/a8936b863afd0912b3a90c2d3cbb318fe3511dcc?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:60KTYno5vTtI1dTx55Ei9P","https://open.spotify.com/track/60KTYno5vTtI1dTx55Ei9P","Red Moon Rising","C","major","C major","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.499,0.566,10,-10.398,0,0.0451,0.788,0.0197,0.102,0.0759,126.216,"1j7XxpsoET4MgXBcYaItrp","https://api.spotify.com/v1/audio-analysis/1j7XxpsoET4MgXBcYaItrp",4,1,274077,TRUE,"https://api.spotify.com/v1/tracks/1j7XxpsoET4MgXBcYaItrp",FALSE,"Play with Fire","https://p.scdn.co/mp3-preview/f472cc0d4141df9afe44af087c3993d08be83743?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:1j7XxpsoET4MgXBcYaItrp","https://open.spotify.com/track/1j7XxpsoET4MgXBcYaItrp","Red Moon Rising","A#","minor","A# minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.717,0.482,1,-12.498,0,0.179,0.716,5.12e-06,0.178,0.712,127.968,"7C0NEB22Dq1mXxwBiYsWdY","https://api.spotify.com/v1/audio-analysis/7C0NEB22Dq1mXxwBiYsWdY",4,1,210182,TRUE,"https://api.spotify.com/v1/tracks/7C0NEB22Dq1mXxwBiYsWdY",FALSE,"Get There","https://p.scdn.co/mp3-preview/38cd8c1ed72e38fb75834b84310e87c707623d7b?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:7C0NEB22Dq1mXxwBiYsWdY","https://open.spotify.com/track/7C0NEB22Dq1mXxwBiYsWdY","Red Moon Rising","C#","minor","C# minor","electronic"
"Hippie Sabotage","4dM6NDYSfLcspt8GLoT5aE","2MDKt37tHcJWqYsrhZgSia","album","2020-09-08",2020,"day",0.702,0.424,10,-12.179,0,0.0302,0.457,0.00994,0.124,0.245,111.032,"5efT3nKgH3ZhkpsxwAzZa6","https://api.spotify.com/v1/audio-analysis/5efT3nKgH3ZhkpsxwAzZa6",4,1,272536,TRUE,"https://api.spotify.com/v1/tracks/5efT3nKgH3ZhkpsxwAzZa6",FALSE,"Wild One","https://p.scdn.co/mp3-preview/24168190881ea422993e038029e70f07dc9e18ce?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5efT3nKgH3ZhkpsxwAzZa6","https://open.spotify.com/track/5efT3nKgH3ZhkpsxwAzZa6","Red Moon Rising","A#","minor","A# minor","electronic"
