"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100,"2FY7b99s15jUprqC0M5NCT","https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT",4,1,189466,FALSE,"https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT",FALSE,"Natural",NA,1,"track","spotify:track:2FY7b99s15jUprqC0M5NCT","https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT","Origins (Deluxe)","D","major","D major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.429,0.559,2,-7.493,1,0.152,0.139,0.00928,0.121,0.347,100.073,"2B1fuWoWaYnCXbjYp1gXg5","https://api.spotify.com/v1/audio-analysis/2B1fuWoWaYnCXbjYp1gXg5",4,1,187800,FALSE,"https://api.spotify.com/v1/tracks/2B1fuWoWaYnCXbjYp1gXg5",FALSE,"Boomerang",NA,2,"track","spotify:track:2B1fuWoWaYnCXbjYp1gXg5","https://open.spotify.com/track/2B1fuWoWaYnCXbjYp1gXg5","Origins (Deluxe)","D","major","D major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.638,0.679,4,-5.278,1,0.0425,0.0016,0.00655,0.121,0.596,81.045,"4uGY9CqDtGtaTTLg1cgsWD","https://api.spotify.com/v1/audio-analysis/4uGY9CqDtGtaTTLg1cgsWD",4,1,181880,FALSE,"https://api.spotify.com/v1/tracks/4uGY9CqDtGtaTTLg1cgsWD",FALSE,"Machine",NA,3,"track","spotify:track:4uGY9CqDtGtaTTLg1cgsWD","https://open.spotify.com/track/4uGY9CqDtGtaTTLg1cgsWD","Origins (Deluxe)","E","major","E major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.636,0.718,1,-4.833,0,0.0313,0.00483,6.51e-06,0.292,0.437,143.929,"6LXMUR2rpxFBDo6nilS3yX","https://api.spotify.com/v1/audio-analysis/6LXMUR2rpxFBDo6nilS3yX",4,1,217866,FALSE,"https://api.spotify.com/v1/tracks/6LXMUR2rpxFBDo6nilS3yX",FALSE,"Cool Out",NA,4,"track","spotify:track:6LXMUR2rpxFBDo6nilS3yX","https://open.spotify.com/track/6LXMUR2rpxFBDo6nilS3yX","Origins (Deluxe)","C#","minor","C# minor","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,"2RSHsoi04658QL5xgQVov3","https://api.spotify.com/v1/audio-analysis/2RSHsoi04658QL5xgQVov3",4,1,260773,FALSE,"https://api.spotify.com/v1/tracks/2RSHsoi04658QL5xgQVov3",FALSE,"Bad Liar",NA,5,"track","spotify:track:2RSHsoi04658QL5xgQVov3","https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3","Origins (Deluxe)","D#","major","D# major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.672,0.715,0,-6.18,1,0.0268,0.581,2.08e-06,0.101,0.677,104.989,"2nkoWsTZa8LKPNGdjI5uxj","https://api.spotify.com/v1/audio-analysis/2nkoWsTZa8LKPNGdjI5uxj",4,1,217173,FALSE,"https://api.spotify.com/v1/tracks/2nkoWsTZa8LKPNGdjI5uxj",FALSE,"West Coast",NA,6,"track","spotify:track:2nkoWsTZa8LKPNGdjI5uxj","https://open.spotify.com/track/2nkoWsTZa8LKPNGdjI5uxj","Origins (Deluxe)","C","major","C major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.634,0.662,6,-7.543,1,0.0325,0.000479,0.00142,0.111,0.244,90.011,"2bzitsPcImYC6DZWvvLCQi","https://api.spotify.com/v1/audio-analysis/2bzitsPcImYC6DZWvvLCQi",4,1,210933,FALSE,"https://api.spotify.com/v1/tracks/2bzitsPcImYC6DZWvvLCQi",FALSE,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",NA,7,"track","spotify:track:2bzitsPcImYC6DZWvvLCQi","https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi","Origins (Deluxe)","F#","major","F# major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.816,0.735,8,-5.49,1,0.0539,0.16,0.000108,0.0665,0.476,130.029,"3R4Xk37WTagjzODMNEQLvs","https://api.spotify.com/v1/audio-analysis/3R4Xk37WTagjzODMNEQLvs",4,1,204853,FALSE,"https://api.spotify.com/v1/tracks/3R4Xk37WTagjzODMNEQLvs",FALSE,"Bullet In A Gun",NA,8,"track","spotify:track:3R4Xk37WTagjzODMNEQLvs","https://open.spotify.com/track/3R4Xk37WTagjzODMNEQLvs","Origins (Deluxe)","G#","major","G# major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.49,0.889,7,-5.179,1,0.17,0.00155,2.76e-06,0.162,0.383,166.779,"4qhDA6s0MkD5XpDqGLHIEY","https://api.spotify.com/v1/audio-analysis/4qhDA6s0MkD5XpDqGLHIEY",4,1,201040,FALSE,"https://api.spotify.com/v1/tracks/4qhDA6s0MkD5XpDqGLHIEY",FALSE,"Digital",NA,9,"track","spotify:track:4qhDA6s0MkD5XpDqGLHIEY","https://open.spotify.com/track/4qhDA6s0MkD5XpDqGLHIEY","Origins (Deluxe)","G","major","G major","rock"
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","3JfSxDfmwS5OeHPwLSkrfr","album","2018-11-09",2018,"day",0.691,0.803,9,-5.029,1,0.0355,0.015,0,0.0862,0.424,104.997,"1uRBbjQ3uNFXCncWyNomHf","https://api.spotify.com/v1/audio-analysis/1uRBbjQ3uNFXCncWyNomHf",4,1,180733,FALSE,"https://api.spotify.com/v1/tracks/1uRBbjQ3uNFXCncWyNomHf",FALSE,"Only",NA,10,"track","spotify:track:1uRBbjQ3uNFXCncWyNomHf","https://open.spotify.com/track/1uRBbjQ3uNFXCncWyNomHf","Origins (Deluxe)","A","major","A major","rock"
