"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.723,0.656,0,-6.432,1,0.338,0.539,0,0.298,0.155,138.836,"5pu7aEkjSMFVxFiboIDixE","https://api.spotify.com/v1/audio-analysis/5pu7aEkjSMFVxFiboIDixE",4,1,201773,TRUE,"https://api.spotify.com/v1/tracks/5pu7aEkjSMFVxFiboIDixE",FALSE,"Under The Sun (with J. Cole & Lute feat. DaBaby)",NA,1,"track","spotify:track:5pu7aEkjSMFVxFiboIDixE","https://open.spotify.com/track/5pu7aEkjSMFVxFiboIDixE","Revenge Of The Dreamers III: Director's Cut","C","major","C major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.81,0.584,0,-5.364,1,0.339,0.038,0,0.0559,0.715,149.814,"1SYZeqExX1250udNlaEAze","https://api.spotify.com/v1/audio-analysis/1SYZeqExX1250udNlaEAze",4,1,169146,TRUE,"https://api.spotify.com/v1/tracks/1SYZeqExX1250udNlaEAze",FALSE,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",NA,2,"track","spotify:track:1SYZeqExX1250udNlaEAze","https://open.spotify.com/track/1SYZeqExX1250udNlaEAze","Revenge Of The Dreamers III: Director's Cut","C","major","C major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.659,0.693,10,-5.268,0,0.298,0.0514,0,0.184,0.261,135.001,"7KNE7h5dcOP8HgfrlAkHuE","https://api.spotify.com/v1/audio-analysis/7KNE7h5dcOP8HgfrlAkHuE",4,1,229386,TRUE,"https://api.spotify.com/v1/tracks/7KNE7h5dcOP8HgfrlAkHuE",FALSE,"LamboTruck (with Cozz feat. REASON & Childish Major)",NA,3,"track","spotify:track:7KNE7h5dcOP8HgfrlAkHuE","https://open.spotify.com/track/7KNE7h5dcOP8HgfrlAkHuE","Revenge Of The Dreamers III: Director's Cut","A#","minor","A# minor","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.594,0.545,2,-7.208,1,0.416,0.247,0,0.239,0.404,109.839,"4ucPhGibPjInOykvVNViRU","https://api.spotify.com/v1/audio-analysis/4ucPhGibPjInOykvVNViRU",5,1,194613,TRUE,"https://api.spotify.com/v1/tracks/4ucPhGibPjInOykvVNViRU",FALSE,"Swivel (with EARTHGANG) - From The Album ""Mirrorland""",NA,4,"track","spotify:track:4ucPhGibPjInOykvVNViRU","https://open.spotify.com/track/4ucPhGibPjInOykvVNViRU","Revenge Of The Dreamers III: Director's Cut","D","major","D major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.518,0.713,1,-6.143,1,0.508,0.375,1.09e-06,0.279,0.307,165.265,"5bnMRsrpblLaINuPh6b6QA","https://api.spotify.com/v1/audio-analysis/5bnMRsrpblLaINuPh6b6QA",3,1,275986,TRUE,"https://api.spotify.com/v1/tracks/5bnMRsrpblLaINuPh6b6QA",FALSE,"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)",NA,5,"track","spotify:track:5bnMRsrpblLaINuPh6b6QA","https://open.spotify.com/track/5bnMRsrpblLaINuPh6b6QA","Revenge Of The Dreamers III: Director's Cut","C#","major","C# major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.78,0.59,10,-6.587,0,0.123,0.59,0,0.151,0.493,123.98,"5NiJFLsaw1cUP80CPyMjdN","https://api.spotify.com/v1/audio-analysis/5NiJFLsaw1cUP80CPyMjdN",4,1,174360,TRUE,"https://api.spotify.com/v1/tracks/5NiJFLsaw1cUP80CPyMjdN",FALSE,"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",NA,6,"track","spotify:track:5NiJFLsaw1cUP80CPyMjdN","https://open.spotify.com/track/5NiJFLsaw1cUP80CPyMjdN","Revenge Of The Dreamers III: Director's Cut","A#","minor","A# minor","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.799,0.827,1,-3.198,1,0.103,0.0728,5.3e-06,0.181,0.24,148.022,"1tJfLhetVOhr9QtvMVTDrg","https://api.spotify.com/v1/audio-analysis/1tJfLhetVOhr9QtvMVTDrg",4,1,123413,TRUE,"https://api.spotify.com/v1/tracks/1tJfLhetVOhr9QtvMVTDrg",FALSE,"Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude",NA,7,"track","spotify:track:1tJfLhetVOhr9QtvMVTDrg","https://open.spotify.com/track/1tJfLhetVOhr9QtvMVTDrg","Revenge Of The Dreamers III: Director's Cut","C#","major","C# major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.56,0.798,11,-4.282,0,0.355,0.286,0,0.522,0.716,88.174,"0qkiLDGEMIvrpSRIyAU6Xy","https://api.spotify.com/v1/audio-analysis/0qkiLDGEMIvrpSRIyAU6Xy",4,1,238453,TRUE,"https://api.spotify.com/v1/tracks/0qkiLDGEMIvrpSRIyAU6Xy",FALSE,"Sleep Deprived (with Lute & Omen feat. Mez & DaVionne)",NA,8,"track","spotify:track:0qkiLDGEMIvrpSRIyAU6Xy","https://open.spotify.com/track/0qkiLDGEMIvrpSRIyAU6Xy","Revenge Of The Dreamers III: Director's Cut","B","minor","B minor","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.759,0.7,5,-6.161,1,0.0593,0.189,0,0.119,0.199,106.05,"6icmAHgt5ZcKijVxGme5ug","https://api.spotify.com/v1/audio-analysis/6icmAHgt5ZcKijVxGme5ug",4,1,223013,TRUE,"https://api.spotify.com/v1/tracks/6icmAHgt5ZcKijVxGme5ug",FALSE,"Self Love (with Ari Lennox & Bas feat. Baby Rose)",NA,9,"track","spotify:track:6icmAHgt5ZcKijVxGme5ug","https://open.spotify.com/track/6icmAHgt5ZcKijVxGme5ug","Revenge Of The Dreamers III: Director's Cut","F","major","F major","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.558,0.671,6,-5.955,0,0.292,0.638,0,0.301,0.485,80.436,"001tGjS4WX77wtQGCP8Sfm","https://api.spotify.com/v1/audio-analysis/001tGjS4WX77wtQGCP8Sfm",4,1,167786,TRUE,"https://api.spotify.com/v1/tracks/001tGjS4WX77wtQGCP8Sfm",FALSE,"Ladies, Ladies, Ladies (with JID feat. T.I.)",NA,10,"track","spotify:track:001tGjS4WX77wtQGCP8Sfm","https://open.spotify.com/track/001tGjS4WX77wtQGCP8Sfm","Revenge Of The Dreamers III: Director's Cut","F#","minor","F# minor","rap"
"J. Cole","6l3HvQ5sa6mXTsMTB19rO5","5PerfGh9Smd6XjwkxpmL4V","album","2020-01-16",2020,"day",0.832,0.648,7,-6.383,0,0.37,0.532,0,0.0705,0.624,120.933,"6stSUCyAY8mfBX00Nc5UuI","https://api.spotify.com/v1/audio-analysis/6stSUCyAY8mfBX00Nc5UuI",4,1,217866,TRUE,"https://api.spotify.com/v1/tracks/6stSUCyAY8mfBX00Nc5UuI",FALSE,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",NA,11,"track","spotify:track:6stSUCyAY8mfBX00Nc5UuI","https://open.spotify.com/track/6stSUCyAY8mfBX00Nc5UuI","Revenge Of The Dreamers III: Director's Cut","G","minor","G minor","rap"
