"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.726,0.556,7,-8.481,1,0.206,0.0754,1.42e-05,0.392,0.664,89.034,"6SdQfCiVae1EXK1pQ6b92o","https://api.spotify.com/v1/audio-analysis/6SdQfCiVae1EXK1pQ6b92o",4,1,113287,TRUE,"https://api.spotify.com/v1/tracks/6SdQfCiVae1EXK1pQ6b92o",FALSE,"Rendezvous","https://p.scdn.co/mp3-preview/1941ada96645b6d526144a9f44449b6a4d2d5225?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6SdQfCiVae1EXK1pQ6b92o","https://open.spotify.com/track/6SdQfCiVae1EXK1pQ6b92o","Thats What They All Say","G","major","G major","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.74,0.566,1,-8.389,0,0.32,0.0034,0,0.589,0.342,156.197,"6MDdceLYec4AxohmorE4vH","https://api.spotify.com/v1/audio-analysis/6MDdceLYec4AxohmorE4vH",4,1,123446,TRUE,"https://api.spotify.com/v1/tracks/6MDdceLYec4AxohmorE4vH",FALSE,"Face Of My City (feat. Lil Baby)","https://p.scdn.co/mp3-preview/d7d5837f6a393f332acb1625b5d0b2a8bd65d23a?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6MDdceLYec4AxohmorE4vH","https://open.spotify.com/track/6MDdceLYec4AxohmorE4vH","Thats What They All Say","C#","minor","C# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.729,0.588,6,-7.494,0,0.248,0.0132,0.000688,0.147,0.198,97.45,"54FJWt8YIA1IHjmUxuDxwi","https://api.spotify.com/v1/audio-analysis/54FJWt8YIA1IHjmUxuDxwi",4,1,214000,TRUE,"https://api.spotify.com/v1/tracks/54FJWt8YIA1IHjmUxuDxwi",FALSE,"21C/Delta","https://p.scdn.co/mp3-preview/4b3d9e0a270ac0ccfb1a1c0826de8a3155fd3bb2?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:54FJWt8YIA1IHjmUxuDxwi","https://open.spotify.com/track/54FJWt8YIA1IHjmUxuDxwi","Thats What They All Say","F#","minor","F# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.667,0.72,6,-9.079,0,0.621,0.468,0,0.111,0.458,80.422,"4qksq0n5lAvp6dl9M3iXWU","https://api.spotify.com/v1/audio-analysis/4qksq0n5lAvp6dl9M3iXWU",4,1,154062,TRUE,"https://api.spotify.com/v1/tracks/4qksq0n5lAvp6dl9M3iXWU",FALSE,"Funny Seeing You Here","https://p.scdn.co/mp3-preview/3f1e106ae3a92c4a31ae9b7e6420c067202a8b53?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:4qksq0n5lAvp6dl9M3iXWU","https://open.spotify.com/track/4qksq0n5lAvp6dl9M3iXWU","Thats What They All Say","F#","minor","F# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.945,0.582,11,-8.357,0,0.0719,0.114,0,0.103,0.907,108.025,"57VeLYXrvNxe8Vs18K2M9W","https://api.spotify.com/v1/audio-analysis/57VeLYXrvNxe8Vs18K2M9W",4,1,168906,TRUE,"https://api.spotify.com/v1/tracks/57VeLYXrvNxe8Vs18K2M9W",FALSE,"Way Out (feat. Big Sean)","https://p.scdn.co/mp3-preview/8b8016f68d0ea3dac17dbe62cee733b13e67067a?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:57VeLYXrvNxe8Vs18K2M9W","https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W","Thats What They All Say","B","minor","B minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.873,0.575,10,-7.284,0,0.0702,0.0891,0,0.108,0.872,103.005,"4RKJRRd4VJfZWiqQTYsleE","https://api.spotify.com/v1/audio-analysis/4RKJRRd4VJfZWiqQTYsleE",4,1,197031,TRUE,"https://api.spotify.com/v1/tracks/4RKJRRd4VJfZWiqQTYsleE",FALSE,"Already Best Friends (feat. Chris Brown)","https://p.scdn.co/mp3-preview/d75523b5f19e01795eb9a61029a76c0ce34d287a?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4RKJRRd4VJfZWiqQTYsleE","https://open.spotify.com/track/4RKJRRd4VJfZWiqQTYsleE","Thats What They All Say","A#","minor","A# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.663,0.645,3,-7.37,0,0.248,0.538,6.84e-05,0.214,0.587,71.968,"2BUP8KOWDlCsdEV8DJPQQn","https://api.spotify.com/v1/audio-analysis/2BUP8KOWDlCsdEV8DJPQQn",4,1,203500,TRUE,"https://api.spotify.com/v1/tracks/2BUP8KOWDlCsdEV8DJPQQn",FALSE,"Keep It Light","https://p.scdn.co/mp3-preview/9611ca652c86b97730ab4ebfd749289b56851d46?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2BUP8KOWDlCsdEV8DJPQQn","https://open.spotify.com/track/2BUP8KOWDlCsdEV8DJPQQn","Thats What They All Say","D#","minor","D# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.857,0.477,11,-8.547,0,0.21,0.275,7.58e-05,0.14,0.589,92.049,"3DR7shAbkNyqgZjYnHZLh2","https://api.spotify.com/v1/audio-analysis/3DR7shAbkNyqgZjYnHZLh2",4,1,156531,TRUE,"https://api.spotify.com/v1/tracks/3DR7shAbkNyqgZjYnHZLh2",FALSE,"Creme","https://p.scdn.co/mp3-preview/7a07cd0b4511a77f867e43dd12d2683a06697f1b?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:3DR7shAbkNyqgZjYnHZLh2","https://open.spotify.com/track/3DR7shAbkNyqgZjYnHZLh2","Thats What They All Say","B","minor","B minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.797,0.573,10,-6.329,0,0.101,0.184,0,0.104,0.653,93.539,"2InNHqO69Nu6lH8169ncxR","https://api.spotify.com/v1/audio-analysis/2InNHqO69Nu6lH8169ncxR",4,1,164031,TRUE,"https://api.spotify.com/v1/tracks/2InNHqO69Nu6lH8169ncxR",FALSE,"Same Guy (feat. Adam Levine)","https://p.scdn.co/mp3-preview/c92712fe8fd636a6bb055bcad185782d36ca4cbb?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2InNHqO69Nu6lH8169ncxR","https://open.spotify.com/track/2InNHqO69Nu6lH8169ncxR","Thats What They All Say","A#","minor","A# minor","rap"
"Jack Harlow","2LIk90788K0zvyj2JJVwkJ","5g2INX6dnMIJG0xKygXwF3","album","2020-12-11",2020,"day",0.914,0.463,6,-10.187,0,0.174,0.038,0,0.0833,0.532,144.039,"5faz5WYRJdRDiCa42DSgHR","https://api.spotify.com/v1/audio-analysis/5faz5WYRJdRDiCa42DSgHR",4,1,153360,TRUE,"https://api.spotify.com/v1/tracks/5faz5WYRJdRDiCa42DSgHR",FALSE,"Route 66 (feat. EST Gee)","https://p.scdn.co/mp3-preview/89bf352d3e74615e1065ee7ac0d75b9fabdf64fa?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5faz5WYRJdRDiCa42DSgHR","https://open.spotify.com/track/5faz5WYRJdRDiCa42DSgHR","Thats What They All Say","F#","minor","F# minor","rap"
