"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.628,0.334,0,-14.06,1,0.0613,0.523,1.05e-06,0.563,0.732,125.019,"7yZ1CQNI5ohilKKNEHSCvC","https://api.spotify.com/v1/audio-analysis/7yZ1CQNI5ohilKKNEHSCvC",4,1,197313,FALSE,"https://api.spotify.com/v1/tracks/7yZ1CQNI5ohilKKNEHSCvC",FALSE,"Next Time, This Time (Harper College 2/5/73)","https://p.scdn.co/mp3-preview/c53018b2d01615eae7ae0361d84eb77406dbaf03?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:7yZ1CQNI5ohilKKNEHSCvC","https://open.spotify.com/track/7yZ1CQNI5ohilKKNEHSCvC","Lost Time in a Bottle","C","major","C major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.523,0.334,11,-16.788,0,0.0379,0.436,0.000187,0.137,0.507,127.133,"0nkJ1G1NEKKF9KFpgqKoBb","https://api.spotify.com/v1/audio-analysis/0nkJ1G1NEKKF9KFpgqKoBb",4,1,203106,FALSE,"https://api.spotify.com/v1/tracks/0nkJ1G1NEKKF9KFpgqKoBb",FALSE,"New York's Not My Home (Harper College 2/5/73)","https://p.scdn.co/mp3-preview/f8e4c85d7ba3b9f829552b9db48f653ae00fbbf3?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0nkJ1G1NEKKF9KFpgqKoBb","https://open.spotify.com/track/0nkJ1G1NEKKF9KFpgqKoBb","Lost Time in a Bottle","B","minor","B minor","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.503,0.483,2,-10.367,1,0.057,0.291,0,0.871,0.848,171.648,"5xcjnS7J20QkLOBmCXx3ND","https://api.spotify.com/v1/audio-analysis/5xcjnS7J20QkLOBmCXx3ND",4,1,171241,FALSE,"https://api.spotify.com/v1/tracks/5xcjnS7J20QkLOBmCXx3ND",FALSE,"You Don't Mess Around with Jim (Harper College 2/5/73)","https://p.scdn.co/mp3-preview/fcbc8519c25d685d5fe5070e7ea17dd1a426fcce?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5xcjnS7J20QkLOBmCXx3ND","https://open.spotify.com/track/5xcjnS7J20QkLOBmCXx3ND","Lost Time in a Bottle","D","major","D major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.709,0.313,11,-14.55,1,0.0885,0.51,1.01e-06,0.783,0.593,87.085,"793HViC6b7Zt5FLNZjar25","https://api.spotify.com/v1/audio-analysis/793HViC6b7Zt5FLNZjar25",4,1,118770,FALSE,"https://api.spotify.com/v1/tracks/793HViC6b7Zt5FLNZjar25",FALSE,"Careful Man (Harper College 2/5/73)","https://p.scdn.co/mp3-preview/d5d42ba459e7fec1e9dbbe8e0d11de5cc08d77aa?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:793HViC6b7Zt5FLNZjar25","https://open.spotify.com/track/793HViC6b7Zt5FLNZjar25","Lost Time in a Bottle","B","major","B major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.708,0.304,4,-12.575,1,0.0375,0.879,2.69e-06,0.125,0.758,134.819,"2zk1IffKkL0KV4yoGWVcng","https://api.spotify.com/v1/audio-analysis/2zk1IffKkL0KV4yoGWVcng",4,1,126772,FALSE,"https://api.spotify.com/v1/tracks/2zk1IffKkL0KV4yoGWVcng",FALSE,"A Good Time Man Like Me (Demo)","https://p.scdn.co/mp3-preview/5686352df068c51234534e627e7b6dda96803ae4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2zk1IffKkL0KV4yoGWVcng","https://open.spotify.com/track/2zk1IffKkL0KV4yoGWVcng","Lost Time in a Bottle","E","major","E major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.587,0.311,3,-19.798,1,0.937,0.585,0,0.293,0.344,92.326,"6x2ukT2TpcirRUPp9u5B7T","https://api.spotify.com/v1/audio-analysis/6x2ukT2TpcirRUPp9u5B7T",3,1,383825,FALSE,"https://api.spotify.com/v1/tracks/6x2ukT2TpcirRUPp9u5B7T",FALSE,"Tractor Trailer Story Intro (Harper College 2/5/73)","https://p.scdn.co/mp3-preview/cab3091e8380088e6ce31934e6c5a0c4eeb74578?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6x2ukT2TpcirRUPp9u5B7T","https://open.spotify.com/track/6x2ukT2TpcirRUPp9u5B7T","Lost Time in a Bottle","D#","major","D# major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.548,0.443,5,-11.498,1,0.164,0.716,0,0.132,0.739,182.061,"47KvX0LVIMbhcUO8kn46wU","https://api.spotify.com/v1/audio-analysis/47KvX0LVIMbhcUO8kn46wU",4,1,50681,FALSE,"https://api.spotify.com/v1/tracks/47KvX0LVIMbhcUO8kn46wU",FALSE,"Speedball Tucker (Demo)","https://p.scdn.co/mp3-preview/eba10adbf032e053a821ea3d4352fbf601301933?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:47KvX0LVIMbhcUO8kn46wU","https://open.spotify.com/track/47KvX0LVIMbhcUO8kn46wU","Lost Time in a Bottle","F","major","F major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.673,0.296,7,-12.635,1,0.0337,0.866,1.33e-06,0.0762,0.833,132.323,"4hDTlGAGTVCzlTOzQ87EEi","https://api.spotify.com/v1/audio-analysis/4hDTlGAGTVCzlTOzQ87EEi",4,1,228737,FALSE,"https://api.spotify.com/v1/tracks/4hDTlGAGTVCzlTOzQ87EEi",FALSE,"Operator (Demo)","https://p.scdn.co/mp3-preview/bea08ebb596e6a2aad1dfd5cba1a96fa4213dfcc?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4hDTlGAGTVCzlTOzQ87EEi","https://open.spotify.com/track/4hDTlGAGTVCzlTOzQ87EEi","Lost Time in a Bottle","G","major","G major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.571,0.429,9,-11.579,1,0.181,0.796,0,0.113,0.851,186.253,"0urNaP6pwOFR9nK22V6p3U","https://api.spotify.com/v1/audio-analysis/0urNaP6pwOFR9nK22V6p3U",4,1,133610,FALSE,"https://api.spotify.com/v1/tracks/0urNaP6pwOFR9nK22V6p3U",FALSE,"Hard Time Losin' Man (Demo)","https://p.scdn.co/mp3-preview/68ec3eed7a777c67cd2387647f38af3ef391e514?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0urNaP6pwOFR9nK22V6p3U","https://open.spotify.com/track/0urNaP6pwOFR9nK22V6p3U","Lost Time in a Bottle","A","major","A major","folk"
"Jim Croce","1R6Hx1tJ2VOUyodEpC12xM","4BV1WsXQAcbuhABYcIVAxg","album","2014-07-22",2014,"day",0.686,0.19,7,-16.047,1,0.0384,0.802,5.64e-06,0.112,0.812,112.918,"76IkNNCOGF3JXTtsBzU9Om","https://api.spotify.com/v1/audio-analysis/76IkNNCOGF3JXTtsBzU9Om",4,1,141826,FALSE,"https://api.spotify.com/v1/tracks/76IkNNCOGF3JXTtsBzU9Om",FALSE,"Seems Like Such a Long Time Ago (Demo)","https://p.scdn.co/mp3-preview/a4c11e6b62a93175f4c28155308c4d8719e535ed?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:76IkNNCOGF3JXTtsBzU9Om","https://open.spotify.com/track/76IkNNCOGF3JXTtsBzU9Om","Lost Time in a Bottle","G","major","G major","folk"
