"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.367,0.603,5,-13.198,0,0.0553,0.52,9.25e-06,0.354,0.529,125.187,"5u35y4hRSJbCRceGLHyOZ4","https://api.spotify.com/v1/audio-analysis/5u35y4hRSJbCRceGLHyOZ4",4,1,462853,FALSE,"https://api.spotify.com/v1/tracks/5u35y4hRSJbCRceGLHyOZ4",FALSE,"A Love Supreme, Pt. I – Acknowledgement",NA,1,"track","spotify:track:5u35y4hRSJbCRceGLHyOZ4","https://open.spotify.com/track/5u35y4hRSJbCRceGLHyOZ4","On Impulse: John Coltrane","F","minor","F minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.367,0.727,0,-8.768,1,0.098,0.355,2.65e-06,0.169,0.529,134.72,"5Zxl1Bn5HaVg2aeQnFxRgs","https://api.spotify.com/v1/audio-analysis/5Zxl1Bn5HaVg2aeQnFxRgs",4,1,275426,FALSE,"https://api.spotify.com/v1/tracks/5Zxl1Bn5HaVg2aeQnFxRgs",FALSE,"Impressions",NA,2,"track","spotify:track:5Zxl1Bn5HaVg2aeQnFxRgs","https://open.spotify.com/track/5Zxl1Bn5HaVg2aeQnFxRgs","On Impulse: John Coltrane","C","major","C major","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.432,0.413,5,-9.371,0,0.033,0.666,0,0.256,0.627,180.393,"1XXtmsl1bCkOD9RLQywwRj","https://api.spotify.com/v1/audio-analysis/1XXtmsl1bCkOD9RLQywwRj",4,1,212360,FALSE,"https://api.spotify.com/v1/tracks/1XXtmsl1bCkOD9RLQywwRj",FALSE,"Bessie's Blues",NA,3,"track","spotify:track:1XXtmsl1bCkOD9RLQywwRj","https://open.spotify.com/track/1XXtmsl1bCkOD9RLQywwRj","On Impulse: John Coltrane","F","minor","F minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.378,0.0914,0,-16.564,0,0.0347,0.985,0.166,0.164,0.2,70.136,"7mHTuEFGzZzrLxeV6JAgt2","https://api.spotify.com/v1/audio-analysis/7mHTuEFGzZzrLxeV6JAgt2",4,1,321973,FALSE,"https://api.spotify.com/v1/tracks/7mHTuEFGzZzrLxeV6JAgt2",FALSE,"My Little Brown Book",NA,4,"track","spotify:track:7mHTuEFGzZzrLxeV6JAgt2","https://open.spotify.com/track/7mHTuEFGzZzrLxeV6JAgt2","On Impulse: John Coltrane","C","minor","C minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.37,0.418,9,-12.824,0,0.0321,0.71,0.00326,0.0825,0.414,107.242,"05vVtkB3v4JJjCkshUsJd3","https://api.spotify.com/v1/audio-analysis/05vVtkB3v4JJjCkshUsJd3",4,1,599466,FALSE,"https://api.spotify.com/v1/tracks/05vVtkB3v4JJjCkshUsJd3",FALSE,"Greensleeves",NA,5,"track","spotify:track:05vVtkB3v4JJjCkshUsJd3","https://open.spotify.com/track/05vVtkB3v4JJjCkshUsJd3","On Impulse: John Coltrane","A","minor","A minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.298,0.704,5,-8.512,0,0.0369,0.149,0.012,0.595,0.598,99.965,"7EgoqjZVHtQLf8fpBa5QlZ","https://api.spotify.com/v1/audio-analysis/7EgoqjZVHtQLf8fpBa5QlZ",3,1,649466,FALSE,"https://api.spotify.com/v1/tracks/7EgoqjZVHtQLf8fpBa5QlZ",FALSE,"Afro-Blue - Live At Birdland Jazzclub, New York City, NY, 10/8/1963",NA,6,"track","spotify:track:7EgoqjZVHtQLf8fpBa5QlZ","https://open.spotify.com/track/7EgoqjZVHtQLf8fpBa5QlZ","On Impulse: John Coltrane","F","minor","F minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.313,0.0961,8,-15.973,1,0.0347,0.979,0.0503,0.178,0.122,132.608,"6XIbUOukg8iqI074tm1VHm","https://api.spotify.com/v1/audio-analysis/6XIbUOukg8iqI074tm1VHm",3,1,249826,FALSE,"https://api.spotify.com/v1/tracks/6XIbUOukg8iqI074tm1VHm",FALSE,"After The Rain",NA,7,"track","spotify:track:6XIbUOukg8iqI074tm1VHm","https://open.spotify.com/track/6XIbUOukg8iqI074tm1VHm","On Impulse: John Coltrane","G#","major","G# major","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.373,0.119,6,-15.81,1,0.0521,0.95,4.66e-05,0.156,0.122,53.877,"3HekQ96l1kMkil29w8kaDY","https://api.spotify.com/v1/audio-analysis/3HekQ96l1kMkil29w8kaDY",3,1,329613,FALSE,"https://api.spotify.com/v1/tracks/3HekQ96l1kMkil29w8kaDY",FALSE,"Lush Life",NA,8,"track","spotify:track:3HekQ96l1kMkil29w8kaDY","https://open.spotify.com/track/3HekQ96l1kMkil29w8kaDY","On Impulse: John Coltrane","F#","major","F# major","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.439,0.34,4,-12.767,0,0.0296,0.768,0.000623,0.0758,0.125,130.114,"7B2CIwTT8FHJR0m8WnJCn8","https://api.spotify.com/v1/audio-analysis/7B2CIwTT8FHJR0m8WnJCn8",4,1,543573,FALSE,"https://api.spotify.com/v1/tracks/7B2CIwTT8FHJR0m8WnJCn8",FALSE,"Wise One",NA,9,"track","spotify:track:7B2CIwTT8FHJR0m8WnJCn8","https://open.spotify.com/track/7B2CIwTT8FHJR0m8WnJCn8","On Impulse: John Coltrane","E","minor","E minor","jazz"
"John Coltrane","2hGh5VOeeqimQFxqXvfCUf","6yPS0oVk1bztYkyerUAF8N","album","2021-02-12",2021,"day",0.339,0.522,7,-12.283,0,0.0369,0.41,0.00955,0.133,0.263,171.979,"24rK7JOkSnUVHiDQZP6Kgc","https://api.spotify.com/v1/audio-analysis/24rK7JOkSnUVHiDQZP6Kgc",3,1,812240,FALSE,"https://api.spotify.com/v1/tracks/24rK7JOkSnUVHiDQZP6Kgc",FALSE,"Spiritual - Live At The Village Vanguard, New York/1961",NA,10,"track","spotify:track:24rK7JOkSnUVHiDQZP6Kgc","https://open.spotify.com/track/24rK7JOkSnUVHiDQZP6Kgc","On Impulse: John Coltrane","G","minor","G minor","jazz"
