"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.351,0.521,11,-13.407,1,0.0401,0.682,0.0279,0.644,0.298,124.126,"0jZYdJ7a8vuwNdHOmwPodz","https://api.spotify.com/v1/audio-analysis/0jZYdJ7a8vuwNdHOmwPodz",4,1,379183,FALSE,"https://api.spotify.com/v1/tracks/0jZYdJ7a8vuwNdHOmwPodz",FALSE,"Hot Night In A Cold Town - Live","https://p.scdn.co/mp3-preview/e3c7972e8c82e467f2309903ccf843656f69c39d?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:0jZYdJ7a8vuwNdHOmwPodz","https://open.spotify.com/track/0jZYdJ7a8vuwNdHOmwPodz","Big Red Apple (Live New York 1980)","B","major","B major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.376,0.693,7,-12.957,1,0.0637,0.654,0.0291,0.872,0.583,130.015,"1V2CyuKc5dARBS9FqVWhja","https://api.spotify.com/v1/audio-analysis/1V2CyuKc5dARBS9FqVWhja",4,1,345395,FALSE,"https://api.spotify.com/v1/tracks/1V2CyuKc5dARBS9FqVWhja",FALSE,"A Little Night Dancin' - Live","https://p.scdn.co/mp3-preview/f848d78a23b1aa855e805ff4a126d96a8835f1fc?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:1V2CyuKc5dARBS9FqVWhja","https://open.spotify.com/track/1V2CyuKc5dARBS9FqVWhja","Big Red Apple (Live New York 1980)","G","major","G major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.386,0.593,7,-12.205,1,0.0372,0.666,0.00233,0.573,0.531,128.026,"1Z3ipv7I0d3I20VIxJcCdP","https://api.spotify.com/v1/audio-analysis/1Z3ipv7I0d3I20VIxJcCdP",4,1,261307,FALSE,"https://api.spotify.com/v1/tracks/1Z3ipv7I0d3I20VIxJcCdP",FALSE,"Sugar Marie - Live","https://p.scdn.co/mp3-preview/635ed527eda6336c81b92696ff81b3efbc97b3a0?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1Z3ipv7I0d3I20VIxJcCdP","https://open.spotify.com/track/1Z3ipv7I0d3I20VIxJcCdP","Big Red Apple (Live New York 1980)","G","major","G major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.513,0.505,9,-12.988,1,0.0304,0.734,0.473,0.643,0.481,129.872,"1k6ipqr3NrlyOPlFnSFlYc","https://api.spotify.com/v1/audio-analysis/1k6ipqr3NrlyOPlFnSFlYc",4,1,208296,FALSE,"https://api.spotify.com/v1/tracks/1k6ipqr3NrlyOPlFnSFlYc",FALSE,"Small Paradise - Live","https://p.scdn.co/mp3-preview/7ddd444be181532aa8eb1aaeac7b7d74d770f79e?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1k6ipqr3NrlyOPlFnSFlYc","https://open.spotify.com/track/1k6ipqr3NrlyOPlFnSFlYc","Big Red Apple (Live New York 1980)","A","major","A major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.293,0.874,9,-12.337,1,0.185,0.346,0.00181,0.684,0.701,168.665,"6cWicGaQdNUedmlmgNa3rq","https://api.spotify.com/v1/audio-analysis/6cWicGaQdNUedmlmgNa3rq",4,1,349387,FALSE,"https://api.spotify.com/v1/tracks/6cWicGaQdNUedmlmgNa3rq",FALSE,"Cheap Shot - Live","https://p.scdn.co/mp3-preview/4c5400d428880d5f79d514f3bf109f87133c3e3c?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:6cWicGaQdNUedmlmgNa3rq","https://open.spotify.com/track/6cWicGaQdNUedmlmgNa3rq","Big Red Apple (Live New York 1980)","A","major","A major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.254,0.313,2,-15.25,1,0.0504,0.639,0,0.577,0.211,183.509,"0SIt2BtUmPEmdJz9BX28Cv","https://api.spotify.com/v1/audio-analysis/0SIt2BtUmPEmdJz9BX28Cv",4,1,228333,FALSE,"https://api.spotify.com/v1/tracks/0SIt2BtUmPEmdJz9BX28Cv",FALSE,"Taxi Dancing - Live","https://p.scdn.co/mp3-preview/983cce5e88f936c60c5d9159eff0be6e09b8cb10?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:0SIt2BtUmPEmdJz9BX28Cv","https://open.spotify.com/track/0SIt2BtUmPEmdJz9BX28Cv","Big Red Apple (Live New York 1980)","D","major","D major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.34,0.535,0,-12.64,1,0.0429,0.69,0.000376,0.191,0.258,107.151,"1n13V9VfWwKx4FDyYfg3NC","https://api.spotify.com/v1/audio-analysis/1n13V9VfWwKx4FDyYfg3NC",4,1,303918,FALSE,"https://api.spotify.com/v1/tracks/1n13V9VfWwKx4FDyYfg3NC",FALSE,"Great Mid-West - Live","https://p.scdn.co/mp3-preview/d27467221ffb8213b39d15cf1de1787571bfcc60?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:1n13V9VfWwKx4FDyYfg3NC","https://open.spotify.com/track/1n13V9VfWwKx4FDyYfg3NC","Big Red Apple (Live New York 1980)","C","major","C major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.551,0.613,11,-12.664,1,0.0379,0.689,0.248,0.3,0.914,124.493,"2krTFNUGeky2NTGJZHVEJJ","https://api.spotify.com/v1/audio-analysis/2krTFNUGeky2NTGJZHVEJJ",4,1,230033,FALSE,"https://api.spotify.com/v1/tracks/2krTFNUGeky2NTGJZHVEJJ",FALSE,"Ain't Even Done With The Night - Live","https://p.scdn.co/mp3-preview/4c1623ace320eb6b7d0d193bdfad63dbd1c19d35?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2krTFNUGeky2NTGJZHVEJJ","https://open.spotify.com/track/2krTFNUGeky2NTGJZHVEJJ","Big Red Apple (Live New York 1980)","B","major","B major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.468,0.498,0,-11.319,1,0.0314,0.582,0.000724,0.511,0.601,108.678,"3qU4gHSbXxKqffwx6wpqKs","https://api.spotify.com/v1/audio-analysis/3qU4gHSbXxKqffwx6wpqKs",4,1,248566,FALSE,"https://api.spotify.com/v1/tracks/3qU4gHSbXxKqffwx6wpqKs",FALSE,"This Time - Live","https://p.scdn.co/mp3-preview/4592449bf17a64271f749edccb97558499b6a176?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3qU4gHSbXxKqffwx6wpqKs","https://open.spotify.com/track/3qU4gHSbXxKqffwx6wpqKs","Big Red Apple (Live New York 1980)","C","major","C major","folk"
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","6v2HjsWMFk2CDu8BPk6NK3","album","2021-01-19",2021,"day",0.428,0.714,9,-10.42,1,0.0516,0.516,0.202,0.205,0.589,130.695,"4VbdQYgKdULZKcHwnDdy9h","https://api.spotify.com/v1/audio-analysis/4VbdQYgKdULZKcHwnDdy9h",4,1,452624,FALSE,"https://api.spotify.com/v1/tracks/4VbdQYgKdULZKcHwnDdy9h",FALSE,"Welcome To Chinatown - Live","https://p.scdn.co/mp3-preview/e3c6fbdd59eb52af7f910fe361de95465ff059cf?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:4VbdQYgKdULZKcHwnDdy9h","https://open.spotify.com/track/4VbdQYgKdULZKcHwnDdy9h","Big Red Apple (Live New York 1980)","A","major","A major","folk"
