"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.307,0.528,11,-11.337,0,0.108,0.972,0.00056,0.222,0.58,174.795,"02XcRGWPkvomFvzTamEKHg","https://api.spotify.com/v1/audio-analysis/02XcRGWPkvomFvzTamEKHg",4,1,70394,TRUE,"https://api.spotify.com/v1/tracks/02XcRGWPkvomFvzTamEKHg",FALSE,"Anxiety - Intro",NA,1,"track","spotify:track:02XcRGWPkvomFvzTamEKHg","https://open.spotify.com/track/02XcRGWPkvomFvzTamEKHg","Legends Never Die","B","minor","B minor","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,"4K06PO78fW4mnBVenxGNob","https://api.spotify.com/v1/audio-analysis/4K06PO78fW4mnBVenxGNob",4,1,181661,TRUE,"https://api.spotify.com/v1/tracks/4K06PO78fW4mnBVenxGNob",FALSE,"Conversations",NA,2,"track","spotify:track:4K06PO78fW4mnBVenxGNob","https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob","Legends Never Die","B","major","B major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.567,0.545,1,-6.668,0,0.0448,0.168,0,0.112,0.234,174.146,"1YM6c2sxbf2Jacl9IFgn4I","https://api.spotify.com/v1/audio-analysis/1YM6c2sxbf2Jacl9IFgn4I",4,1,176649,TRUE,"https://api.spotify.com/v1/tracks/1YM6c2sxbf2Jacl9IFgn4I",FALSE,"Titanic",NA,3,"track","spotify:track:1YM6c2sxbf2Jacl9IFgn4I","https://open.spotify.com/track/1YM6c2sxbf2Jacl9IFgn4I","Legends Never Die","C#","minor","C# minor","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.654,0.452,7,-6.36,1,0.0439,0.17,0,0.114,0.532,138.034,"7d94IqWX2UmSKMGUYSGFJG","https://api.spotify.com/v1/audio-analysis/7d94IqWX2UmSKMGUYSGFJG",4,1,186749,TRUE,"https://api.spotify.com/v1/tracks/7d94IqWX2UmSKMGUYSGFJG",FALSE,"Bad Energy",NA,4,"track","spotify:track:7d94IqWX2UmSKMGUYSGFJG","https://open.spotify.com/track/7d94IqWX2UmSKMGUYSGFJG","Legends Never Die","G","major","G major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,"5dOxHHMOFAbG3VH23t0xNm","https://api.spotify.com/v1/audio-analysis/5dOxHHMOFAbG3VH23t0xNm",4,1,242180,TRUE,"https://api.spotify.com/v1/tracks/5dOxHHMOFAbG3VH23t0xNm",FALSE,"Righteous",NA,5,"track","spotify:track:5dOxHHMOFAbG3VH23t0xNm","https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm","Legends Never Die","C","major","C major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.868,0.55,6,-6.417,1,0.226,0.183,0,0.109,0.464,117.943,"0fCwrjKfWxF3xQhZrYUw4T","https://api.spotify.com/v1/audio-analysis/0fCwrjKfWxF3xQhZrYUw4T",4,1,154767,TRUE,"https://api.spotify.com/v1/tracks/0fCwrjKfWxF3xQhZrYUw4T",FALSE,"Blood On My Jeans",NA,6,"track","spotify:track:0fCwrjKfWxF3xQhZrYUw4T","https://open.spotify.com/track/0fCwrjKfWxF3xQhZrYUw4T","Legends Never Die","F#","major","F# major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,"6wQlQrTY5mVS8EGaFZVwVF","https://api.spotify.com/v1/audio-analysis/6wQlQrTY5mVS8EGaFZVwVF",4,1,196180,TRUE,"https://api.spotify.com/v1/tracks/6wQlQrTY5mVS8EGaFZVwVF",FALSE,"Smile (with The Weeknd)",NA,7,"track","spotify:track:6wQlQrTY5mVS8EGaFZVwVF","https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF","Legends Never Die","F#","minor","F# minor","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.66,0.76,2,-5.726,1,0.0787,0.291,0,0.632,0.394,127.984,"5JAYDuLRkODlVt6dgoalKk","https://api.spotify.com/v1/audio-analysis/5JAYDuLRkODlVt6dgoalKk",4,1,180129,TRUE,"https://api.spotify.com/v1/tracks/5JAYDuLRkODlVt6dgoalKk",FALSE,"Tell Me U Luv Me (with Trippie Redd)",NA,8,"track","spotify:track:5JAYDuLRkODlVt6dgoalKk","https://open.spotify.com/track/5JAYDuLRkODlVt6dgoalKk","Legends Never Die","D","major","D major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.701,0.65,6,-6.313,1,0.104,0.291,0,0.112,0.647,90.003,"0ada5XsQGLPUVbmTCkAP49","https://api.spotify.com/v1/audio-analysis/0ada5XsQGLPUVbmTCkAP49",4,1,160212,TRUE,"https://api.spotify.com/v1/tracks/0ada5XsQGLPUVbmTCkAP49",FALSE,"Hate The Other Side (with Marshmello & The Kid Laroi)",NA,9,"track","spotify:track:0ada5XsQGLPUVbmTCkAP49","https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49","Legends Never Die","F#","major","F# major","rap"
"Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","6n9DKpOxwifT5hOXtgLZSL","album","2020-07-10",2020,"day",0.348,0.231,0,-16.23,1,0.045,0.918,0.857,0.159,0.2,89.098,"2wg81gBz6PZSwbZrXObeW4","https://api.spotify.com/v1/audio-analysis/2wg81gBz6PZSwbZrXObeW4",1,1,20929,TRUE,"https://api.spotify.com/v1/tracks/2wg81gBz6PZSwbZrXObeW4",FALSE,"Get Through It - Interlude",NA,10,"track","spotify:track:2wg81gBz6PZSwbZrXObeW4","https://open.spotify.com/track/2wg81gBz6PZSwbZrXObeW4","Legends Never Die","C","major","C major","rap"
