"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.618,0.582,1,-9.454,1,0.297,0.625,3.84e-06,0.265,0.48,90.035,"5qN4HFkapdAOV94XPryVof","https://api.spotify.com/v1/audio-analysis/5qN4HFkapdAOV94XPryVof",4,1,130613,TRUE,"https://api.spotify.com/v1/tracks/5qN4HFkapdAOV94XPryVof",FALSE,"Black Panther",NA,1,"track","spotify:track:5qN4HFkapdAOV94XPryVof","https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof","Black Panther The Album Music From And Inspired By","C#","major","C# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,"3GCdLUSnKSMJhs4Tj6CV3s","https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s",4,1,232186,TRUE,"https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s",FALSE,"All The Stars (with SZA)",NA,2,"track","spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s","Black Panther The Album Music From And Inspired By","G#","major","G# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.768,0.471,2,-8.406,1,0.259,0.0201,0,0.268,0.405,131.023,"4LmAnpjlhWTahvRkYR8xJa","https://api.spotify.com/v1/audio-analysis/4LmAnpjlhWTahvRkYR8xJa",4,1,267426,TRUE,"https://api.spotify.com/v1/tracks/4LmAnpjlhWTahvRkYR8xJa",FALSE,"X (with 2 Chainz & Saudi)",NA,3,"track","spotify:track:4LmAnpjlhWTahvRkYR8xJa","https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa","Black Panther The Album Music From And Inspired By","D","major","D major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.727,0.72,11,-5.856,0,0.0488,0.0626,1.21e-06,0.176,0.589,140.08,"5jyyPsIGM2yqkZN9R3TmvN","https://api.spotify.com/v1/audio-analysis/5jyyPsIGM2yqkZN9R3TmvN",4,1,238893,TRUE,"https://api.spotify.com/v1/tracks/5jyyPsIGM2yqkZN9R3TmvN",FALSE,"The Ways (with Swae Lee)",NA,4,"track","spotify:track:5jyyPsIGM2yqkZN9R3TmvN","https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN","Black Panther The Album Music From And Inspired By","B","minor","B minor","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.706,0.775,1,-6.819,1,0.335,0.152,3.32e-05,0.416,0.847,127.929,"7bUcBztfGqO7cSI2gMZeCI","https://api.spotify.com/v1/audio-analysis/7bUcBztfGqO7cSI2gMZeCI",4,1,180893,TRUE,"https://api.spotify.com/v1/tracks/7bUcBztfGqO7cSI2gMZeCI",FALSE,"Opps (with Yugen Blakrok)",NA,5,"track","spotify:track:7bUcBztfGqO7cSI2gMZeCI","https://open.spotify.com/track/7bUcBztfGqO7cSI2gMZeCI","Black Panther The Album Music From And Inspired By","C#","major","C# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.601,0.583,8,-5.725,0,0.263,0.144,9.73e-05,0.183,0.32,148.785,"0DJBgBiYeSn6n1AXAkFVE8","https://api.spotify.com/v1/audio-analysis/0DJBgBiYeSn6n1AXAkFVE8",4,1,208760,TRUE,"https://api.spotify.com/v1/tracks/0DJBgBiYeSn6n1AXAkFVE8",FALSE,"I Am",NA,6,"track","spotify:track:0DJBgBiYeSn6n1AXAkFVE8","https://open.spotify.com/track/0DJBgBiYeSn6n1AXAkFVE8","Black Panther The Album Music From And Inspired By","G#","minor","G# minor","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.856,0.652,1,-5.324,1,0.143,0.177,0,0.193,0.471,97.017,"2tPcTFiQF9MbVUyjZ3zDhA","https://api.spotify.com/v1/audio-analysis/2tPcTFiQF9MbVUyjZ3zDhA",4,1,219306,TRUE,"https://api.spotify.com/v1/tracks/2tPcTFiQF9MbVUyjZ3zDhA",FALSE,"Paramedic!",NA,7,"track","spotify:track:2tPcTFiQF9MbVUyjZ3zDhA","https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA","Black Panther The Album Music From And Inspired By","C#","major","C# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.507,0.606,8,-8.758,1,0.452,0.185,0,0.174,0.202,180.607,"4KXwFI9pgJLpUIAc9oSL8j","https://api.spotify.com/v1/audio-analysis/4KXwFI9pgJLpUIAc9oSL8j",4,1,272306,TRUE,"https://api.spotify.com/v1/tracks/4KXwFI9pgJLpUIAc9oSL8j",FALSE,"Bloody Waters (with Anderson .Paak & James Blake)",NA,8,"track","spotify:track:4KXwFI9pgJLpUIAc9oSL8j","https://open.spotify.com/track/4KXwFI9pgJLpUIAc9oSL8j","Black Panther The Album Music From And Inspired By","G#","major","G# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.566,0.724,1,-4.574,1,0.323,0.00102,0,0.158,0.407,81.774,"1eLSF6HfrRA0AsNmTkUlKx","https://api.spotify.com/v1/audio-analysis/1eLSF6HfrRA0AsNmTkUlKx",4,1,225266,TRUE,"https://api.spotify.com/v1/tracks/1eLSF6HfrRA0AsNmTkUlKx",FALSE,"King's Dead (with Kendrick Lamar, Future & James Blake)",NA,9,"track","spotify:track:1eLSF6HfrRA0AsNmTkUlKx","https://open.spotify.com/track/1eLSF6HfrRA0AsNmTkUlKx","Black Panther The Album Music From And Inspired By","C#","major","C# major","rap"
"Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","3pLdWdkj83EYfDN6H2N8MR","album","2018-02-09",2018,"day",0.549,0.449,9,-13.645,0,0.104,0.662,4.88e-05,0.0866,0.223,121.164,"4FpfU1O7WCLBnmwu5XAFk4","https://api.spotify.com/v1/audio-analysis/4FpfU1O7WCLBnmwu5XAFk4",4,1,85266,TRUE,"https://api.spotify.com/v1/tracks/4FpfU1O7WCLBnmwu5XAFk4",FALSE,"Redemption Interlude",NA,10,"track","spotify:track:4FpfU1O7WCLBnmwu5XAFk4","https://open.spotify.com/track/4FpfU1O7WCLBnmwu5XAFk4","Black Panther The Album Music From And Inspired By","A","minor","A minor","rap"
