"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.331,0.513,11,-15.392,0,0.632,0.972,0.953,0.882,0.42,133.971,"4IIuCotvqijraSdnVLaFnM","https://api.spotify.com/v1/audio-analysis/4IIuCotvqijraSdnVLaFnM",4,1,37013,FALSE,"https://api.spotify.com/v1/tracks/4IIuCotvqijraSdnVLaFnM",FALSE,"Beautiful Trip",NA,1,"track","spotify:track:4IIuCotvqijraSdnVLaFnM","https://open.spotify.com/track/4IIuCotvqijraSdnVLaFnM","Man On The Moon III: The Chosen","B","minor","B minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,"30KctD1WsHKTIYczXjip5a","https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a",4,1,193293,TRUE,"https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a",FALSE,"Tequila Shots",NA,2,"track","spotify:track:30KctD1WsHKTIYczXjip5a","https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a","Man On The Moon III: The Chosen","F","minor","F minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.646,0.758,4,-7.75,0,0.0708,0.556,0.00316,0.335,0.0642,172.995,"6myUpr3GDR80Dg3zqNTmmG","https://api.spotify.com/v1/audio-analysis/6myUpr3GDR80Dg3zqNTmmG",4,1,199786,TRUE,"https://api.spotify.com/v1/tracks/6myUpr3GDR80Dg3zqNTmmG",FALSE,"Another Day",NA,3,"track","spotify:track:6myUpr3GDR80Dg3zqNTmmG","https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG","Man On The Moon III: The Chosen","E","minor","E minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.39,0.724,6,-7.607,0,0.0889,0.162,0,0.393,0.312,165.945,"1xzUQMiCoY5pdego0pHMeV","https://api.spotify.com/v1/audio-analysis/1xzUQMiCoY5pdego0pHMeV",4,1,216560,TRUE,"https://api.spotify.com/v1/tracks/1xzUQMiCoY5pdego0pHMeV",FALSE,"She Knows This",NA,4,"track","spotify:track:1xzUQMiCoY5pdego0pHMeV","https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV","Man On The Moon III: The Chosen","F#","minor","F# minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.64,0.621,9,-8.269,0,0.0679,0.67,0,0.36,0.332,123.105,"7Hc3YL8oDiAzbiAW32KXrw","https://api.spotify.com/v1/audio-analysis/7Hc3YL8oDiAzbiAW32KXrw",4,1,148706,TRUE,"https://api.spotify.com/v1/tracks/7Hc3YL8oDiAzbiAW32KXrw",FALSE,"Dive",NA,5,"track","spotify:track:7Hc3YL8oDiAzbiAW32KXrw","https://open.spotify.com/track/7Hc3YL8oDiAzbiAW32KXrw","Man On The Moon III: The Chosen","A","minor","A minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.625,0.581,8,-7.1,1,0.0316,0.553,0.00111,0.254,0.267,142.04,"2n7Ao4nyESBa5ti8gcAbBt","https://api.spotify.com/v1/audio-analysis/2n7Ao4nyESBa5ti8gcAbBt",4,1,150853,TRUE,"https://api.spotify.com/v1/tracks/2n7Ao4nyESBa5ti8gcAbBt",FALSE,"Damaged",NA,6,"track","spotify:track:2n7Ao4nyESBa5ti8gcAbBt","https://open.spotify.com/track/2n7Ao4nyESBa5ti8gcAbBt","Man On The Moon III: The Chosen","G#","major","G# major","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.786,0.61,0,-6.736,1,0.0558,0.379,0.00082,0.0765,0.228,130.036,"2koUj1Fn5TKFEkChSmBPIb","https://api.spotify.com/v1/audio-analysis/2koUj1Fn5TKFEkChSmBPIb",4,1,201093,TRUE,"https://api.spotify.com/v1/tracks/2koUj1Fn5TKFEkChSmBPIb",FALSE,"Heaven On Earth",NA,7,"track","spotify:track:2koUj1Fn5TKFEkChSmBPIb","https://open.spotify.com/track/2koUj1Fn5TKFEkChSmBPIb","Man On The Moon III: The Chosen","C","major","C major","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.619,0.589,1,-6.531,1,0.124,0.43,0.000392,0.378,0.158,143.896,"5CFJRZRq6sdKKtRwNPWbYv","https://api.spotify.com/v1/audio-analysis/5CFJRZRq6sdKKtRwNPWbYv",4,1,174960,TRUE,"https://api.spotify.com/v1/tracks/5CFJRZRq6sdKKtRwNPWbYv",FALSE,"Show Out (with Skepta & Pop Smoke)",NA,8,"track","spotify:track:5CFJRZRq6sdKKtRwNPWbYv","https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv","Man On The Moon III: The Chosen","C#","major","C# major","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.589,0.727,10,-6.907,0,0.0866,0.239,0.0277,0.164,0.52,152.058,"27oVCAziETRbNuo5A8LNpg","https://api.spotify.com/v1/audio-analysis/27oVCAziETRbNuo5A8LNpg",4,1,242266,TRUE,"https://api.spotify.com/v1/tracks/27oVCAziETRbNuo5A8LNpg",FALSE,"Solo Dolo, Pt. III",NA,9,"track","spotify:track:27oVCAziETRbNuo5A8LNpg","https://open.spotify.com/track/27oVCAziETRbNuo5A8LNpg","Man On The Moon III: The Chosen","A#","minor","A# minor","rap"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","64nbgEEIcY4g1ElVLONJ0w","album","2020-12-11",2020,"day",0.636,0.647,5,-6.971,0,0.0381,0.247,0.00123,0.113,0.416,158.073,"4nuAslShoN77tq12fzwjUq","https://api.spotify.com/v1/audio-analysis/4nuAslShoN77tq12fzwjUq",4,1,176026,TRUE,"https://api.spotify.com/v1/tracks/4nuAslShoN77tq12fzwjUq",FALSE,"Sad People",NA,10,"track","spotify:track:4nuAslShoN77tq12fzwjUq","https://open.spotify.com/track/4nuAslShoN77tq12fzwjUq","Man On The Moon III: The Chosen","F","minor","F minor","rap"
