"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.696,0.592,1,-6.281,1,0.319,0.152,0,0.127,0.232,188.051,"2297mxrYLBAC4XkhXs39If","https://api.spotify.com/v1/audio-analysis/2297mxrYLBAC4XkhXs39If",4,1,122680,TRUE,"https://api.spotify.com/v1/tracks/2297mxrYLBAC4XkhXs39If",FALSE,"Armed & Dangerous","https://p.scdn.co/mp3-preview/62ef6a0ed330c1c1f9cc80695e8707341ea29592?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2297mxrYLBAC4XkhXs39If","https://open.spotify.com/track/2297mxrYLBAC4XkhXs39If","Welcome to O'Block","C#","major","C# major","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.922,0.641,11,-8.042,0,0.332,0.085,0,0.124,0.519,141.854,"6zterLoa172wvnZgaeUJ8Y","https://api.spotify.com/v1/audio-analysis/6zterLoa172wvnZgaeUJ8Y",4,1,121386,TRUE,"https://api.spotify.com/v1/tracks/6zterLoa172wvnZgaeUJ8Y",FALSE,"GTA","https://p.scdn.co/mp3-preview/279e7c1400e808184a646d967d48989d86b2d5d4?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6zterLoa172wvnZgaeUJ8Y","https://open.spotify.com/track/6zterLoa172wvnZgaeUJ8Y","Welcome to O'Block","B","minor","B minor","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.792,0.687,8,-7.506,1,0.25,0.16,0,0.168,0.356,140.008,"3oD8cDM3m7cl3Zc38uxyK4","https://api.spotify.com/v1/audio-analysis/3oD8cDM3m7cl3Zc38uxyK4",4,1,133933,TRUE,"https://api.spotify.com/v1/tracks/3oD8cDM3m7cl3Zc38uxyK4",FALSE,"Demon","https://p.scdn.co/mp3-preview/6bab352231bf499faed7f22949f01587b84c4652?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3oD8cDM3m7cl3Zc38uxyK4","https://open.spotify.com/track/3oD8cDM3m7cl3Zc38uxyK4","Welcome to O'Block","G#","major","G# major","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.795,0.69,6,-7.689,0,0.385,0.0809,0,0.0794,0.822,153.986,"3ZWfkUYDt2SzVLgoNGPgbI","https://api.spotify.com/v1/audio-analysis/3ZWfkUYDt2SzVLgoNGPgbI",4,1,174666,TRUE,"https://api.spotify.com/v1/tracks/3ZWfkUYDt2SzVLgoNGPgbI",FALSE,"Mine Too","https://p.scdn.co/mp3-preview/76541af20e5c612bdcaba69546b00f4bdb2ac911?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3ZWfkUYDt2SzVLgoNGPgbI","https://open.spotify.com/track/3ZWfkUYDt2SzVLgoNGPgbI","Welcome to O'Block","F#","minor","F# minor","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.831,0.62,6,-8.397,0,0.338,0.0582,0,0.119,0.568,133.17,"5NOUjBikzECEJyZMTxtErD","https://api.spotify.com/v1/audio-analysis/5NOUjBikzECEJyZMTxtErD",4,1,202413,TRUE,"https://api.spotify.com/v1/tracks/5NOUjBikzECEJyZMTxtErD",FALSE,"The Code (feat. Polo G)","https://p.scdn.co/mp3-preview/c6ac7c944c3407458fc15eff5790eb91c63635eb?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:5NOUjBikzECEJyZMTxtErD","https://open.spotify.com/track/5NOUjBikzECEJyZMTxtErD","Welcome to O'Block","F#","minor","F# minor","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.831,0.683,10,-7.696,0,0.251,0.0619,0,0.0767,0.317,145.963,"6bS4tKhTqHBc1UEjVz4tUF","https://api.spotify.com/v1/audio-analysis/6bS4tKhTqHBc1UEjVz4tUF",4,1,188160,TRUE,"https://api.spotify.com/v1/tracks/6bS4tKhTqHBc1UEjVz4tUF",FALSE,"Why He Told","https://p.scdn.co/mp3-preview/d517e688639d145bd5f6bb9fa5c90d6d924cd87b?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6bS4tKhTqHBc1UEjVz4tUF","https://open.spotify.com/track/6bS4tKhTqHBc1UEjVz4tUF","Welcome to O'Block","A#","minor","A# minor","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.87,0.563,5,-8.373,1,0.451,0.0173,0,0.119,0.725,159.931,"0rk2IHFiHFnO7t0jvAeHW9","https://api.spotify.com/v1/audio-analysis/0rk2IHFiHFnO7t0jvAeHW9",4,1,151000,TRUE,"https://api.spotify.com/v1/tracks/0rk2IHFiHFnO7t0jvAeHW9",FALSE,"Back Again (feat. Lil Durk)","https://p.scdn.co/mp3-preview/0ff9755027f7ed708acb65f282c56672ba63cc2b?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:0rk2IHFiHFnO7t0jvAeHW9","https://open.spotify.com/track/0rk2IHFiHFnO7t0jvAeHW9","Welcome to O'Block","F","major","F major","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.834,0.47,6,-7.583,1,0.507,0.00217,1.25e-05,0.149,0.418,161.083,"2GoduKuMYSTvNR8gNPV1yN","https://api.spotify.com/v1/audio-analysis/2GoduKuMYSTvNR8gNPV1yN",4,1,94946,TRUE,"https://api.spotify.com/v1/tracks/2GoduKuMYSTvNR8gNPV1yN",FALSE,"Gleesh Place","https://p.scdn.co/mp3-preview/51949cc8d008b2f218494c91016f34544d925311?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:2GoduKuMYSTvNR8gNPV1yN","https://open.spotify.com/track/2GoduKuMYSTvNR8gNPV1yN","Welcome to O'Block","F#","major","F# major","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.793,0.462,5,-7.495,0,0.119,0.00522,0,0.191,0.356,145.962,"4g27tVPyGHi38dczFoJZZy","https://api.spotify.com/v1/audio-analysis/4g27tVPyGHi38dczFoJZZy",4,1,144786,TRUE,"https://api.spotify.com/v1/tracks/4g27tVPyGHi38dczFoJZZy",FALSE,"All These Niggas (feat. Lil Durk)","https://p.scdn.co/mp3-preview/10cfd9f93aa7e003e11efcce802e31d07001cefa?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:4g27tVPyGHi38dczFoJZZy","https://open.spotify.com/track/4g27tVPyGHi38dczFoJZZy","Welcome to O'Block","F","minor","F minor","rap"
"King Von","6QtgPSJPSzcnn7dPZ4VINp","7gGJ9rNtigRF53dsFo48Wp","album","2020-10-30",2020,"day",0.87,0.764,1,-7.891,1,0.267,0.00294,0,0.259,0.252,155.988,"7ueAzFpkUwrLePgFwEevFN","https://api.spotify.com/v1/audio-analysis/7ueAzFpkUwrLePgFwEevFN",4,1,160293,TRUE,"https://api.spotify.com/v1/tracks/7ueAzFpkUwrLePgFwEevFN",FALSE,"Can't Relate","https://p.scdn.co/mp3-preview/3f5492bdfae738a48e4ed0df70f7b537c4305330?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:7ueAzFpkUwrLePgFwEevFN","https://open.spotify.com/track/7ueAzFpkUwrLePgFwEevFN","Welcome to O'Block","C#","major","C# major","rap"
