"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.353,0.659,9,-8.663,0,0.0299,0.00723,0.649,0.123,0.0962,123.341,"28Yg22uFFB7x5Y2R8tacnh","https://api.spotify.com/v1/audio-analysis/28Yg22uFFB7x5Y2R8tacnh",4,1,347653,FALSE,"https://api.spotify.com/v1/tracks/28Yg22uFFB7x5Y2R8tacnh",FALSE,"When You See Yourself, Are You Far Away","https://p.scdn.co/mp3-preview/fbfc938f20483ef1e9332220169c0626362c7c54?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:28Yg22uFFB7x5Y2R8tacnh","https://open.spotify.com/track/28Yg22uFFB7x5Y2R8tacnh","When You See Yourself","A","minor","A minor","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.39,0.823,0,-5.172,1,0.0418,0.00907,0.772,0.105,0.385,145.049,"7aYBo6hxjhJc8ECkbKAqnR","https://api.spotify.com/v1/audio-analysis/7aYBo6hxjhJc8ECkbKAqnR",4,1,250973,FALSE,"https://api.spotify.com/v1/tracks/7aYBo6hxjhJc8ECkbKAqnR",FALSE,"The Bandit","https://p.scdn.co/mp3-preview/bbab5b1fdcf5807436d454d9c67dcfd3fb42e8b7?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7aYBo6hxjhJc8ECkbKAqnR","https://open.spotify.com/track/7aYBo6hxjhJc8ECkbKAqnR","When You See Yourself","C","major","C major","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.42,0.466,0,-8.67,1,0.0323,0.322,0.133,0.0839,0.107,78.015,"2wuxCm6QikYr215FwRMF1I","https://api.spotify.com/v1/audio-analysis/2wuxCm6QikYr215FwRMF1I",1,1,344013,FALSE,"https://api.spotify.com/v1/tracks/2wuxCm6QikYr215FwRMF1I",FALSE,"100,000 People","https://p.scdn.co/mp3-preview/349a167c90adf1ace623055e2f07e4ff57f9384d?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:2wuxCm6QikYr215FwRMF1I","https://open.spotify.com/track/2wuxCm6QikYr215FwRMF1I","When You See Yourself","C","major","C major","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.5,0.814,2,-5.47,1,0.0409,0.022,0.77,0.0677,0.465,125.441,"2GJ8aSnidsI7oMHuG6idE2","https://api.spotify.com/v1/audio-analysis/2GJ8aSnidsI7oMHuG6idE2",4,1,222266,FALSE,"https://api.spotify.com/v1/tracks/2GJ8aSnidsI7oMHuG6idE2",FALSE,"Stormy Weather","https://p.scdn.co/mp3-preview/0706918e9a82d2f3ebbadb7a3b4321bb234fbd61?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2GJ8aSnidsI7oMHuG6idE2","https://open.spotify.com/track/2GJ8aSnidsI7oMHuG6idE2","When You See Yourself","D","major","D major","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.349,0.616,8,-8.502,1,0.0326,0.231,0.751,0.106,0.0623,158.029,"4FtVUd9vTgYcV6GxkhQsU4","https://api.spotify.com/v1/audio-analysis/4FtVUd9vTgYcV6GxkhQsU4",4,1,323440,FALSE,"https://api.spotify.com/v1/tracks/4FtVUd9vTgYcV6GxkhQsU4",FALSE,"A Wave","https://p.scdn.co/mp3-preview/f933e587eaedd3606d669e30108f677944eb3620?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4FtVUd9vTgYcV6GxkhQsU4","https://open.spotify.com/track/4FtVUd9vTgYcV6GxkhQsU4","When You See Yourself","G#","major","G# major","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.523,0.847,9,-5.714,1,0.0296,0.029,0.798,0.0804,0.476,138.066,"2xGuCRUULWXmaY6lVkcl8f","https://api.spotify.com/v1/audio-analysis/2xGuCRUULWXmaY6lVkcl8f",4,1,273133,FALSE,"https://api.spotify.com/v1/tracks/2xGuCRUULWXmaY6lVkcl8f",FALSE,"Golden Restless Age","https://p.scdn.co/mp3-preview/d69a6bbe314126af34be3c1aec156e37c3b63aad?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:2xGuCRUULWXmaY6lVkcl8f","https://open.spotify.com/track/2xGuCRUULWXmaY6lVkcl8f","When You See Yourself","A","major","A major","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.604,0.567,8,-8.673,0,0.0275,0.288,0.186,0.0992,0.345,123.934,"35OVbqhT8KWwfIip7fKJbw","https://api.spotify.com/v1/audio-analysis/35OVbqhT8KWwfIip7fKJbw",4,1,285640,FALSE,"https://api.spotify.com/v1/tracks/35OVbqhT8KWwfIip7fKJbw",FALSE,"Time in Disguise","https://p.scdn.co/mp3-preview/effd8fb6eec738bde78a681ec6bf80b99a0c324d?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:35OVbqhT8KWwfIip7fKJbw","https://open.spotify.com/track/35OVbqhT8KWwfIip7fKJbw","When You See Yourself","G#","minor","G# minor","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.666,0.424,4,-12.826,0,0.0278,0.754,0.896,0.103,0.724,112.002,"4Sh40z8GyoeljvpSwZIcPs","https://api.spotify.com/v1/audio-analysis/4Sh40z8GyoeljvpSwZIcPs",4,1,298186,FALSE,"https://api.spotify.com/v1/tracks/4Sh40z8GyoeljvpSwZIcPs",FALSE,"Supermarket","https://p.scdn.co/mp3-preview/54b96033eade3d031dad0b4fda5ec26c88592942?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4Sh40z8GyoeljvpSwZIcPs","https://open.spotify.com/track/4Sh40z8GyoeljvpSwZIcPs","When You See Yourself","E","minor","E minor","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.475,0.681,1,-9.348,0,0.0318,0.411,0.795,0.128,0.276,107.785,"3ekGfRV0wfqDOFKww6CCKs","https://api.spotify.com/v1/audio-analysis/3ekGfRV0wfqDOFKww6CCKs",4,1,292506,FALSE,"https://api.spotify.com/v1/tracks/3ekGfRV0wfqDOFKww6CCKs",FALSE,"Claire & Eddie","https://p.scdn.co/mp3-preview/e478e5add60a9c73a3c8c2a7dec603f807637b38?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:3ekGfRV0wfqDOFKww6CCKs","https://open.spotify.com/track/3ekGfRV0wfqDOFKww6CCKs","When You See Yourself","C#","minor","C# minor","rock"
"Kings of Leon","2qk9voo8llSGYcZ6xrBzKx","5mi6IbVDNVKpOO702ejPn6","album","2021-03-05",2021,"day",0.293,0.778,0,-5.581,1,0.034,0.0147,0.227,0.102,0.24,147.882,"2S9gFihm9UoDV9bywR4p9a","https://api.spotify.com/v1/audio-analysis/2S9gFihm9UoDV9bywR4p9a",4,1,217346,FALSE,"https://api.spotify.com/v1/tracks/2S9gFihm9UoDV9bywR4p9a",FALSE,"Echoing","https://p.scdn.co/mp3-preview/1d645d3ab17eefba2c252ab318d609dcdae4d62b?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2S9gFihm9UoDV9bywR4p9a","https://open.spotify.com/track/2S9gFihm9UoDV9bywR4p9a","When You See Yourself","C","major","C major","rock"
