"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.779,0.706,11,-3.557,0,0.0528,0.146,0,0.346,0.0901,135.008,"2ZDaMPDvDz6bPkZtMwZFku","https://api.spotify.com/v1/audio-analysis/2ZDaMPDvDz6bPkZtMwZFku",4,1,203891,TRUE,"https://api.spotify.com/v1/tracks/2ZDaMPDvDz6bPkZtMwZFku",FALSE,"Remember The Times","https://p.scdn.co/mp3-preview/d6d13b1bbfb90345150a50ea507c5ac06cda01dc?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2ZDaMPDvDz6bPkZtMwZFku","https://open.spotify.com/track/2ZDaMPDvDz6bPkZtMwZFku","Bill Israel","B","minor","B minor","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.762,0.825,10,-4.692,1,0.231,0.0381,0,0.329,0.563,173.939,"5eHbNMZ45Jku4GBADsUQGx","https://api.spotify.com/v1/audio-analysis/5eHbNMZ45Jku4GBADsUQGx",4,1,112813,TRUE,"https://api.spotify.com/v1/tracks/5eHbNMZ45Jku4GBADsUQGx",FALSE,"I Wanna Live","https://p.scdn.co/mp3-preview/b3c6bcde1605891dae0749a6d5428964fa97aec2?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5eHbNMZ45Jku4GBADsUQGx","https://open.spotify.com/track/5eHbNMZ45Jku4GBADsUQGx","Bill Israel","A#","major","A# major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.855,0.635,2,-5.883,1,0.162,0.101,0,0.234,0.503,129.916,"1stxfmSEhZSBiSs6g8An4D","https://api.spotify.com/v1/audio-analysis/1stxfmSEhZSBiSs6g8An4D",4,1,219596,TRUE,"https://api.spotify.com/v1/tracks/1stxfmSEhZSBiSs6g8An4D",FALSE,"Eeny, Meeny, Miny, Moe","https://p.scdn.co/mp3-preview/92565216b285b0c855db31259b1d913380615002?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1stxfmSEhZSBiSs6g8An4D","https://open.spotify.com/track/1stxfmSEhZSBiSs6g8An4D","Bill Israel","D","major","D major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.882,0.644,5,-7.721,1,0.117,0.0306,0,0.0956,0.155,133.031,"4UM5mQPf6WKvmlSa1UwFrR","https://api.spotify.com/v1/audio-analysis/4UM5mQPf6WKvmlSa1UwFrR",4,1,285530,TRUE,"https://api.spotify.com/v1/tracks/4UM5mQPf6WKvmlSa1UwFrR",FALSE,"Spain (feat. Tory Lanez and Jackboy)","https://p.scdn.co/mp3-preview/09aef885ad884c1af1dfb7170896c1d67f75a4b3?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:4UM5mQPf6WKvmlSa1UwFrR","https://open.spotify.com/track/4UM5mQPf6WKvmlSa1UwFrR","Bill Israel","F","major","F major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.791,0.716,9,-5.441,0,0.103,0.322,4.98e-06,0.116,0.0663,133.026,"5tmUTxxg72j4VPO5uJG5P0","https://api.spotify.com/v1/audio-analysis/5tmUTxxg72j4VPO5uJG5P0",4,1,158796,TRUE,"https://api.spotify.com/v1/tracks/5tmUTxxg72j4VPO5uJG5P0",FALSE,"The Fire","https://p.scdn.co/mp3-preview/5bff7fb1714d268fae6864edde13bcf9bdb88fa7?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:5tmUTxxg72j4VPO5uJG5P0","https://open.spotify.com/track/5tmUTxxg72j4VPO5uJG5P0","Bill Israel","A","minor","A minor","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.644,0.501,0,-8.959,1,0.491,0.311,0,0.106,0.173,129.828,"67Sr4xrGip66CqSOD7fGfO","https://api.spotify.com/v1/audio-analysis/67Sr4xrGip66CqSOD7fGfO",4,1,177000,TRUE,"https://api.spotify.com/v1/tracks/67Sr4xrGip66CqSOD7fGfO",FALSE,"Pimpin Ain't Eazy","https://p.scdn.co/mp3-preview/39d2763cd19e751a7a0717f6ea0eff208b5a30c0?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:67Sr4xrGip66CqSOD7fGfO","https://open.spotify.com/track/67Sr4xrGip66CqSOD7fGfO","Bill Israel","C","major","C major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.63,0.77,7,-5.322,1,0.283,0.145,0,0.105,0.332,172.007,"4mr0vRAzsQmWE9oTTfkme2","https://api.spotify.com/v1/audio-analysis/4mr0vRAzsQmWE9oTTfkme2",4,1,133644,TRUE,"https://api.spotify.com/v1/tracks/4mr0vRAzsQmWE9oTTfkme2",FALSE,"I Knew It (feat. Gucci Mane & CBE)","https://p.scdn.co/mp3-preview/10a34770072c8177239f5d738ff947e60efb472b?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:4mr0vRAzsQmWE9oTTfkme2","https://open.spotify.com/track/4mr0vRAzsQmWE9oTTfkme2","Bill Israel","G","major","G major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.873,0.497,7,-7.145,1,0.0899,0.0369,0.0324,0.119,0.746,145.013,"5dABkHkvA7ud5nmDUArJ4r","https://api.spotify.com/v1/audio-analysis/5dABkHkvA7ud5nmDUArJ4r",4,1,188074,TRUE,"https://api.spotify.com/v1/tracks/5dABkHkvA7ud5nmDUArJ4r",FALSE,"Feeling Myself Today","https://p.scdn.co/mp3-preview/fcf8d6e372290d8b7d980cfc8019fdad8b5b55d4?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5dABkHkvA7ud5nmDUArJ4r","https://open.spotify.com/track/5dABkHkvA7ud5nmDUArJ4r","Bill Israel","G","major","G major","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.828,0.564,6,-5.861,0,0.065,0.309,0,0.0763,0.463,124.965,"1qlws3Bwvo2AFYG9Ez6OCQ","https://api.spotify.com/v1/audio-analysis/1qlws3Bwvo2AFYG9Ez6OCQ",4,1,215040,TRUE,"https://api.spotify.com/v1/tracks/1qlws3Bwvo2AFYG9Ez6OCQ",FALSE,"Serene","https://p.scdn.co/mp3-preview/c660ff393563c9d33658be45c8415ba5ed6eca0c?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:1qlws3Bwvo2AFYG9Ez6OCQ","https://open.spotify.com/track/1qlws3Bwvo2AFYG9Ez6OCQ","Bill Israel","F#","minor","F# minor","rap"
"Kodak Black","46SHBwWsqBkxI7EeeBEQG7","051k93izd0reEjp85OgEo6","album","2020-11-11",2020,"day",0.745,0.591,1,-5.928,1,0.189,0.0235,0,0.12,0.456,154.014,"6EjbqmKlrYawjNB9BTccbh","https://api.spotify.com/v1/audio-analysis/6EjbqmKlrYawjNB9BTccbh",4,1,211948,TRUE,"https://api.spotify.com/v1/tracks/6EjbqmKlrYawjNB9BTccbh",FALSE,"Make A Hit (feat. Lil Yachty)","https://p.scdn.co/mp3-preview/89ce7c31df7402f7ba6c4d0156aa0d61b5529174?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:6EjbqmKlrYawjNB9BTccbh","https://open.spotify.com/track/6EjbqmKlrYawjNB9BTccbh","Bill Israel","C#","major","C# major","rap"
