"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.69,0.664,1,-6.488,1,0.0562,0.00753,0.00762,0.0496,0.383,164.145,"5lE2EFXt4muvLFMGQg4hZN","https://api.spotify.com/v1/audio-analysis/5lE2EFXt4muvLFMGQg4hZN",4,1,230178,FALSE,"https://api.spotify.com/v1/tracks/5lE2EFXt4muvLFMGQg4hZN",FALSE,"Hypotheticals","https://p.scdn.co/mp3-preview/71a4433a835ff849cfe436ae9a318ee54fabcff2?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:5lE2EFXt4muvLFMGQg4hZN","https://open.spotify.com/track/5lE2EFXt4muvLFMGQg4hZN","Obviously","C#","major","C# major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.682,0.739,1,-4.369,1,0.0455,0.03,0.0314,0.113,0.563,80.965,"2sA5szzJViCyKsqeXZFuzz","https://api.spotify.com/v1/audio-analysis/2sA5szzJViCyKsqeXZFuzz",4,1,168353,FALSE,"https://api.spotify.com/v1/tracks/2sA5szzJViCyKsqeXZFuzz",FALSE,"Hush Money","https://p.scdn.co/mp3-preview/4ac046ee3f6e9e735a5b685d8e1d6d47d36325bd?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2sA5szzJViCyKsqeXZFuzz","https://open.spotify.com/track/2sA5szzJViCyKsqeXZFuzz","Obviously","C#","major","C# major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.76,0.816,1,-4.644,1,0.0582,0.0479,0.002,0.0947,0.476,98.076,"0juDkd1zAXxKwrUdnF1WPb","https://api.spotify.com/v1/audio-analysis/0juDkd1zAXxKwrUdnF1WPb",4,1,276623,FALSE,"https://api.spotify.com/v1/tracks/0juDkd1zAXxKwrUdnF1WPb",FALSE,"Same Old News","https://p.scdn.co/mp3-preview/ad9f124beaeeb0bbebbab95120d73ccfafffc2f6?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0juDkd1zAXxKwrUdnF1WPb","https://open.spotify.com/track/0juDkd1zAXxKwrUdnF1WPb","Obviously","C#","major","C# major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.808,0.411,9,-8.17,1,0.0598,0.0276,1.73e-05,0.102,0.542,141.971,"3LQASjzUVNkquf6sCxax7i","https://api.spotify.com/v1/audio-analysis/3LQASjzUVNkquf6sCxax7i",4,1,169856,FALSE,"https://api.spotify.com/v1/tracks/3LQASjzUVNkquf6sCxax7i",FALSE,"Being a Woman","https://p.scdn.co/mp3-preview/33a5bd2c361c3b104cfa8acc8bfe1c64d9008ffe?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3LQASjzUVNkquf6sCxax7i","https://open.spotify.com/track/3LQASjzUVNkquf6sCxax7i","Obviously","A","major","A major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.749,0.439,5,-6.838,1,0.0422,0.0362,0.000389,0.103,0.288,176.002,"1ID7FIrnDFtAoRebVRBhlO","https://api.spotify.com/v1/audio-analysis/1ID7FIrnDFtAoRebVRBhlO",4,1,214150,FALSE,"https://api.spotify.com/v1/tracks/1ID7FIrnDFtAoRebVRBhlO",FALSE,"Making Do","https://p.scdn.co/mp3-preview/31085177d15928c757e4f2c849cbfa7adaa4c650?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1ID7FIrnDFtAoRebVRBhlO","https://open.spotify.com/track/1ID7FIrnDFtAoRebVRBhlO","Obviously","F","major","F major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.482,0.517,11,-5.807,1,0.0305,0.201,0.00437,0.201,0.106,159.735,"0j1ldNL5THYosPxuhYZ5NY","https://api.spotify.com/v1/audio-analysis/0j1ldNL5THYosPxuhYZ5NY",4,1,227812,FALSE,"https://api.spotify.com/v1/tracks/0j1ldNL5THYosPxuhYZ5NY",FALSE,"Nobody's Stopping You Now","https://p.scdn.co/mp3-preview/6da8d01a305bbe24f28ae37a574c4ae3944293f3?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:0j1ldNL5THYosPxuhYZ5NY","https://open.spotify.com/track/0j1ldNL5THYosPxuhYZ5NY","Obviously","B","major","B major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.718,0.638,2,-4.64,1,0.0356,0.185,0.000358,0.132,0.423,93.994,"4XHYJpbZL8ytyoZ5olW4nP","https://api.spotify.com/v1/audio-analysis/4XHYJpbZL8ytyoZ5olW4nP",4,1,242809,FALSE,"https://api.spotify.com/v1/tracks/4XHYJpbZL8ytyoZ5olW4nP",FALSE,"Know That I Know","https://p.scdn.co/mp3-preview/682eeebdb0d3e9490724aeb935bdf730e7c8bc5b?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:4XHYJpbZL8ytyoZ5olW4nP","https://open.spotify.com/track/4XHYJpbZL8ytyoZ5olW4nP","Obviously","D","major","D major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.762,0.439,5,-6.914,1,0.0431,0.074,6.54e-06,0.401,0.565,130.02,"5YrsZNKb28ejX20pYmZgQ3","https://api.spotify.com/v1/audio-analysis/5YrsZNKb28ejX20pYmZgQ3",4,1,209662,FALSE,"https://api.spotify.com/v1/tracks/5YrsZNKb28ejX20pYmZgQ3",FALSE,"Lackluster Lover","https://p.scdn.co/mp3-preview/8101699b757da11b5d55108f6d5e56d8c276275b?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5YrsZNKb28ejX20pYmZgQ3","https://open.spotify.com/track/5YrsZNKb28ejX20pYmZgQ3","Obviously","F","major","F major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.739,0.28,0,-9.235,1,0.0347,0.394,0.000192,0.115,0.229,141.935,"11uDkfcnZnSINxQfdLyYfm","https://api.spotify.com/v1/audio-analysis/11uDkfcnZnSINxQfdLyYfm",4,1,250934,FALSE,"https://api.spotify.com/v1/tracks/11uDkfcnZnSINxQfdLyYfm",FALSE,"Anymore","https://p.scdn.co/mp3-preview/790fded0bbce69df432d3636cacfd093bf59071c?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:11uDkfcnZnSINxQfdLyYfm","https://open.spotify.com/track/11uDkfcnZnSINxQfdLyYfm","Obviously","C","major","C major","folk"
"Lake Street Dive","3nuc29fYGlQbIrwh4yrNWd","2Zi7uv234eNZJfLPGUIkSD","album","2021-03-12",2021,"day",0.649,0.676,0,-7.191,1,0.0606,0.334,2.46e-05,0.356,0.622,136.875,"5b6TkuGbeaimxaJB9Vu2BD","https://api.spotify.com/v1/audio-analysis/5b6TkuGbeaimxaJB9Vu2BD",4,1,199303,FALSE,"https://api.spotify.com/v1/tracks/5b6TkuGbeaimxaJB9Vu2BD",FALSE,"Feels Like the Last Time","https://p.scdn.co/mp3-preview/5f4396df5914b5bf68cade0367484b27a4f9f474?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5b6TkuGbeaimxaJB9Vu2BD","https://open.spotify.com/track/5b6TkuGbeaimxaJB9Vu2BD","Obviously","C","major","C major","folk"
