"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.414,0.49,4,-8.576,1,0.0545,0.127,0.0999,0.472,0.67,130.761,"4AIJz1t4ysqOT1c5BLSRQQ","https://api.spotify.com/v1/audio-analysis/4AIJz1t4ysqOT1c5BLSRQQ",3,1,314013,FALSE,"https://api.spotify.com/v1/tracks/4AIJz1t4ysqOT1c5BLSRQQ",FALSE,"You Shook Me - 23/3/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/88a78d18120ed0790cc1b4fe899dc3211e4b1f0c?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4AIJz1t4ysqOT1c5BLSRQQ","https://open.spotify.com/track/4AIJz1t4ysqOT1c5BLSRQQ","The Complete BBC Sessions","E","major","E major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.411,0.442,2,-12.276,1,0.262,0.023,0.0266,0.198,0.367,145.973,"5QRD5sNh0aaWMyjTzQ0QIn","https://api.spotify.com/v1/audio-analysis/5QRD5sNh0aaWMyjTzQ0QIn",3,1,263626,FALSE,"https://api.spotify.com/v1/tracks/5QRD5sNh0aaWMyjTzQ0QIn",FALSE,"I Can't Quit You Baby - 23/3/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/435bfca6feccbfe0c20bb26504827bc2ee1ff9da?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5QRD5sNh0aaWMyjTzQ0QIn","https://open.spotify.com/track/5QRD5sNh0aaWMyjTzQ0QIn","The Complete BBC Sessions","D","major","D major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.367,0.779,9,-8.334,1,0.0488,0.00574,0.00708,0.288,0.794,90.354,"0RR8wuHHc5NqSFxhPDDBNV","https://api.spotify.com/v1/audio-analysis/0RR8wuHHc5NqSFxhPDDBNV",4,1,191826,FALSE,"https://api.spotify.com/v1/tracks/0RR8wuHHc5NqSFxhPDDBNV",FALSE,"Communication Breakdown - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster","https://p.scdn.co/mp3-preview/401384cd8569b5853eb60c151ca41778292f8ae5?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0RR8wuHHc5NqSFxhPDDBNV","https://open.spotify.com/track/0RR8wuHHc5NqSFxhPDDBNV","The Complete BBC Sessions","A","major","A major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.303,0.571,11,-11.521,0,0.0958,0.00882,0.0757,0.114,0.422,152.001,"3vDA1z8UmHtVLQV7McvhEj","https://api.spotify.com/v1/audio-analysis/3vDA1z8UmHtVLQV7McvhEj",3,1,399586,FALSE,"https://api.spotify.com/v1/tracks/3vDA1z8UmHtVLQV7McvhEj",FALSE,"Dazed and Confused - 3/23/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/9370494b025fd3c2a5e4f77918b645d06126c8b4?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3vDA1z8UmHtVLQV7McvhEj","https://open.spotify.com/track/3vDA1z8UmHtVLQV7McvhEj","The Complete BBC Sessions","B","minor","B minor","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.264,0.609,9,-10.992,0,0.0655,0.111,0.311,0.322,0.862,185.875,"7ecVrUYlhj6OrKTAK0oDzo","https://api.spotify.com/v1/audio-analysis/7ecVrUYlhj6OrKTAK0oDzo",4,1,183226,FALSE,"https://api.spotify.com/v1/tracks/7ecVrUYlhj6OrKTAK0oDzo",FALSE,"The Girl I Love She Got Long Black Wavy Hair - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster","https://p.scdn.co/mp3-preview/64d6983bd5f31bcec3e4e8a67a99a58cf37f2b72?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:7ecVrUYlhj6OrKTAK0oDzo","https://open.spotify.com/track/7ecVrUYlhj6OrKTAK0oDzo","The Complete BBC Sessions","A","minor","A minor","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.304,0.559,9,-9.793,1,0.0403,0.73,0.000149,0.134,0.618,82.927,"7oI0UewzZ7PS0ljPxDqh5g","https://api.spotify.com/v1/audio-analysis/7oI0UewzZ7PS0ljPxDqh5g",4,1,260013,FALSE,"https://api.spotify.com/v1/tracks/7oI0UewzZ7PS0ljPxDqh5g",FALSE,"What Is and What Should Never Be - 29/6/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/b62236c09126fa3d451098cf69976afe90bcd257?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:7oI0UewzZ7PS0ljPxDqh5g","https://open.spotify.com/track/7oI0UewzZ7PS0ljPxDqh5g","The Complete BBC Sessions","A","major","A major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.403,0.809,2,-7.658,1,0.0506,0.18,0.0371,0.799,0.779,91.323,"2MoEFJIvt1huvOB16ggVVV","https://api.spotify.com/v1/audio-analysis/2MoEFJIvt1huvOB16ggVVV",4,1,160266,FALSE,"https://api.spotify.com/v1/tracks/2MoEFJIvt1huvOB16ggVVV",FALSE,"Communication Breakdown - 29/6/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/4e38a6ec20edf05fabe12978e3675340487bfc8a?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2MoEFJIvt1huvOB16ggVVV","https://open.spotify.com/track/2MoEFJIvt1huvOB16ggVVV","The Complete BBC Sessions","D","major","D major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.476,0.78,7,-9.009,1,0.0564,0.177,0.00308,0.26,0.634,91.609,"5cWIRgigrzjTjDBNXQxhAR","https://api.spotify.com/v1/audio-analysis/5cWIRgigrzjTjDBNXQxhAR",4,1,310906,FALSE,"https://api.spotify.com/v1/tracks/5cWIRgigrzjTjDBNXQxhAR",FALSE,"Travelling Riverside Blues - 29/6/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/99d887c54c5f2d55c35b8d18145a9964791f8a9a?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5cWIRgigrzjTjDBNXQxhAR","https://open.spotify.com/track/5cWIRgigrzjTjDBNXQxhAR","The Complete BBC Sessions","G","major","G major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.332,0.742,9,-10.63,1,0.0917,0.51,0.188,0.106,0.55,87.335,"03ybzRUwX9zWK69fSAAROH","https://api.spotify.com/v1/audio-analysis/03ybzRUwX9zWK69fSAAROH",4,1,370733,FALSE,"https://api.spotify.com/v1/tracks/03ybzRUwX9zWK69fSAAROH",FALSE,"Whole Lotta Love - 29/6/69 Top Gear; 2016 Remaster","https://p.scdn.co/mp3-preview/547df5251cac493876aecdd8822e11562d75b17f?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:03ybzRUwX9zWK69fSAAROH","https://open.spotify.com/track/03ybzRUwX9zWK69fSAAROH","The Complete BBC Sessions","A","major","A major","rock"
"Led Zeppelin","36QJpDe2go2KgaRleHCDTp","6VH2op0GKIl3WNTbZmmcmI","album","2016-09-16",2016,"day",0.324,0.736,4,-9.1,1,0.0307,0.0566,2.6e-05,0.344,0.85,156.903,"4AX9BMMXAZmXKRmfLSYFVD","https://api.spotify.com/v1/audio-analysis/4AX9BMMXAZmXKRmfLSYFVD",3,1,126493,FALSE,"https://api.spotify.com/v1/tracks/4AX9BMMXAZmXKRmfLSYFVD",FALSE,"Somethin' Else - Live on Tasty Pop Sundae from BBC Sessions; 2016 Remaster","https://p.scdn.co/mp3-preview/5c726192e1a42a7fd04fad1874facaa0055827e3?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4AX9BMMXAZmXKRmfLSYFVD","https://open.spotify.com/track/4AX9BMMXAZmXKRmfLSYFVD","The Complete BBC Sessions","E","major","E major","rock"
