"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.74,0.511,9,-10.507,0,0.262,0.481,0,0.12,0.841,160.017,"6ryWmFIfWRxIuqmUPtKIDh","https://api.spotify.com/v1/audio-analysis/6ryWmFIfWRxIuqmUPtKIDh",4,1,95914,TRUE,"https://api.spotify.com/v1/tracks/6ryWmFIfWRxIuqmUPtKIDh",FALSE,"Redman",NA,1,"track","spotify:track:6ryWmFIfWRxIuqmUPtKIDh","https://open.spotify.com/track/6ryWmFIfWRxIuqmUPtKIDh","The Voice","A","minor","A minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.857,0.355,1,-10.142,1,0.28,0.4,0,0.12,0.502,150.021,"0h5j92ZxFHprrZjRVwI5Uu","https://api.spotify.com/v1/audio-analysis/0h5j92ZxFHprrZjRVwI5Uu",4,1,116800,TRUE,"https://api.spotify.com/v1/tracks/0h5j92ZxFHprrZjRVwI5Uu",FALSE,"Refugee",NA,2,"track","spotify:track:0h5j92ZxFHprrZjRVwI5Uu","https://open.spotify.com/track/0h5j92ZxFHprrZjRVwI5Uu","The Voice","C#","major","C# major","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.793,0.549,1,-9.96,1,0.285,0.042,0,0.118,0.55,90.014,"6Op06b1puMDN89u3o224CQ","https://api.spotify.com/v1/audio-analysis/6Op06b1puMDN89u3o224CQ",4,1,192052,TRUE,"https://api.spotify.com/v1/tracks/6Op06b1puMDN89u3o224CQ",FALSE,"Death Ain't Easy",NA,3,"track","spotify:track:6Op06b1puMDN89u3o224CQ","https://open.spotify.com/track/6Op06b1puMDN89u3o224CQ","The Voice","C#","major","C# major","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.534,0.816,5,-2.113,0,0.106,0.0255,0,0.123,0.131,116.745,"622TKIcDU1QeXoMKxIYBDH","https://api.spotify.com/v1/audio-analysis/622TKIcDU1QeXoMKxIYBDH",5,1,179724,TRUE,"https://api.spotify.com/v1/tracks/622TKIcDU1QeXoMKxIYBDH",FALSE,"The Voice",NA,4,"track","spotify:track:622TKIcDU1QeXoMKxIYBDH","https://open.spotify.com/track/622TKIcDU1QeXoMKxIYBDH","The Voice","F","minor","F minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.675,0.548,4,-7.597,0,0.311,0.107,3.91e-06,0.271,0.248,82.262,"56MHJngdSUYD1XL2deCvZQ","https://api.spotify.com/v1/audio-analysis/56MHJngdSUYD1XL2deCvZQ",4,1,200000,TRUE,"https://api.spotify.com/v1/tracks/56MHJngdSUYD1XL2deCvZQ",FALSE,"Backdoor",NA,5,"track","spotify:track:56MHJngdSUYD1XL2deCvZQ","https://open.spotify.com/track/56MHJngdSUYD1XL2deCvZQ","The Voice","E","minor","E minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.877,0.677,5,-4.969,0,0.356,0.0439,0,0.0986,0.627,144.941,"43BlKpJcSrC9AsJ3F1DKg9","https://api.spotify.com/v1/audio-analysis/43BlKpJcSrC9AsJ3F1DKg9",4,1,172185,TRUE,"https://api.spotify.com/v1/tracks/43BlKpJcSrC9AsJ3F1DKg9",FALSE,"Still Trappin' (with King Von)",NA,6,"track","spotify:track:43BlKpJcSrC9AsJ3F1DKg9","https://open.spotify.com/track/43BlKpJcSrC9AsJ3F1DKg9","The Voice","F","minor","F minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.813,0.57,3,-8.409,0,0.265,0.0909,0,0.0982,0.676,109.07,"4GusQlLtyqBYSMjkodJY6K","https://api.spotify.com/v1/audio-analysis/4GusQlLtyqBYSMjkodJY6K",4,1,169330,TRUE,"https://api.spotify.com/v1/tracks/4GusQlLtyqBYSMjkodJY6K",FALSE,"Stay Down (with 6LACK & Young Thug)",NA,7,"track","spotify:track:4GusQlLtyqBYSMjkodJY6K","https://open.spotify.com/track/4GusQlLtyqBYSMjkodJY6K","The Voice","D#","minor","D# minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.849,0.737,8,-5.705,0,0.121,0.00573,0,0.116,0.663,149.988,"04UbVgVCVbvz0IslfkZRFh","https://api.spotify.com/v1/audio-analysis/04UbVgVCVbvz0IslfkZRFh",4,1,220838,TRUE,"https://api.spotify.com/v1/tracks/04UbVgVCVbvz0IslfkZRFh",FALSE,"Free Jamell (with YNW Melly)",NA,8,"track","spotify:track:04UbVgVCVbvz0IslfkZRFh","https://open.spotify.com/track/04UbVgVCVbvz0IslfkZRFh","The Voice","G#","minor","G# minor","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.817,0.724,2,-6.927,1,0.298,0.0213,1.52e-05,0.103,0.283,158.982,"5zKXlRoqUs1mT4Oa6LUmPw","https://api.spotify.com/v1/audio-analysis/5zKXlRoqUs1mT4Oa6LUmPw",4,1,135849,TRUE,"https://api.spotify.com/v1/tracks/5zKXlRoqUs1mT4Oa6LUmPw",FALSE,"Misunderstood",NA,9,"track","spotify:track:5zKXlRoqUs1mT4Oa6LUmPw","https://open.spotify.com/track/5zKXlRoqUs1mT4Oa6LUmPw","The Voice","D","major","D major","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.713,0.624,0,-6.716,1,0.145,0.0604,0,0.12,0.509,180.013,"6EPCtwXjzce4Dfe5gm5rGL","https://api.spotify.com/v1/audio-analysis/6EPCtwXjzce4Dfe5gm5rGL",4,1,149674,TRUE,"https://api.spotify.com/v1/tracks/6EPCtwXjzce4Dfe5gm5rGL",FALSE,"Not The Same",NA,10,"track","spotify:track:6EPCtwXjzce4Dfe5gm5rGL","https://open.spotify.com/track/6EPCtwXjzce4Dfe5gm5rGL","The Voice","C","major","C major","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.655,0.529,9,-12.974,1,0.505,0.202,0,0.122,0.433,159.931,"2ceQGHR8InHg4PxiN563XT","https://api.spotify.com/v1/audio-analysis/2ceQGHR8InHg4PxiN563XT",4,1,129000,TRUE,"https://api.spotify.com/v1/tracks/2ceQGHR8InHg4PxiN563XT",FALSE,"India Pt. 3",NA,11,"track","spotify:track:2ceQGHR8InHg4PxiN563XT","https://open.spotify.com/track/2ceQGHR8InHg4PxiN563XT","The Voice","A","major","A major","rap"
"Lil Durk","3hcs9uc56yIGFCSy9leWe7","12TuxCWI6BzfSXaZMKMrPn","album","2020-12-24",2020,"day",0.768,0.48,8,-10.421,1,0.389,0.254,0,0.13,0.535,140.015,"429orHam54wb4cGvvJrvQo","https://api.spotify.com/v1/audio-analysis/429orHam54wb4cGvvJrvQo",4,1,148906,TRUE,"https://api.spotify.com/v1/tracks/429orHam54wb4cGvvJrvQo",FALSE,"Coming Clean",NA,12,"track","spotify:track:429orHam54wb4cGvvJrvQo","https://open.spotify.com/track/429orHam54wb4cGvvJrvQo","The Voice","G#","major","G# major","rap"
