"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.598,0.683,4,-6.588,0,0.054,0.0152,0,0.319,0.122,135.982,"2YGHCHkWTbtCUTjL0LUXtx","https://api.spotify.com/v1/audio-analysis/2YGHCHkWTbtCUTjL0LUXtx",5,1,177160,TRUE,"https://api.spotify.com/v1/tracks/2YGHCHkWTbtCUTjL0LUXtx",FALSE,"hellboy","https://p.scdn.co/mp3-preview/8b749157c6280a205f4775abf65c2b244069c510?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2YGHCHkWTbtCUTjL0LUXtx","https://open.spotify.com/track/2YGHCHkWTbtCUTjL0LUXtx","HELLBOY","E","minor","E minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.517,0.675,10,-7.676,0,0.0477,0.000813,5.18e-05,0.112,0.469,133.962,"0AAPdx9ewxMxetyBYqwcfL","https://api.spotify.com/v1/audio-analysis/0AAPdx9ewxMxetyBYqwcfL",4,1,175333,TRUE,"https://api.spotify.com/v1/tracks/0AAPdx9ewxMxetyBYqwcfL",FALSE,"drive by","https://p.scdn.co/mp3-preview/d2564da755c043bc1bfa1e423db05dc693cf0345?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0AAPdx9ewxMxetyBYqwcfL","https://open.spotify.com/track/0AAPdx9ewxMxetyBYqwcfL","HELLBOY","A#","minor","A# minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.576,0.702,8,-5.968,1,0.0534,0.24,1.82e-06,0.114,0.458,146.122,"0EPLdgfGTsdcf7ygd8ChoZ","https://api.spotify.com/v1/audio-analysis/0EPLdgfGTsdcf7ygd8ChoZ",4,1,197853,TRUE,"https://api.spotify.com/v1/tracks/0EPLdgfGTsdcf7ygd8ChoZ",FALSE,"OMFG","https://p.scdn.co/mp3-preview/d00a5c9604e43d17fdac1b8e7c1063a7553500d5?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0EPLdgfGTsdcf7ygd8ChoZ","https://open.spotify.com/track/0EPLdgfGTsdcf7ygd8ChoZ","HELLBOY","G#","major","G# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.528,0.829,7,-5.258,1,0.101,0.0227,0,0.182,0.602,144.892,"2D27mEHstGhdGONAhcEU6q","https://api.spotify.com/v1/audio-analysis/2D27mEHstGhdGONAhcEU6q",4,1,135306,TRUE,"https://api.spotify.com/v1/tracks/2D27mEHstGhdGONAhcEU6q",FALSE,"the song they played (when i crashed into the wall)","https://p.scdn.co/mp3-preview/ac0371c99d3c1fd2de8acbfd5f5dc5f1ee425dd9?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2D27mEHstGhdGONAhcEU6q","https://open.spotify.com/track/2D27mEHstGhdGONAhcEU6q","HELLBOY","G","major","G major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.532,0.72,8,-7.532,0,0.351,0.00898,0,0.0969,0.226,171.854,"2MUCuQaEVEHW1wKkAiwgmo","https://api.spotify.com/v1/audio-analysis/2MUCuQaEVEHW1wKkAiwgmo",4,1,156466,TRUE,"https://api.spotify.com/v1/tracks/2MUCuQaEVEHW1wKkAiwgmo",FALSE,"fucked up","https://p.scdn.co/mp3-preview/0bdcdef200213730da1833b84f0e0f6916c06769?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2MUCuQaEVEHW1wKkAiwgmo","https://open.spotify.com/track/2MUCuQaEVEHW1wKkAiwgmo","HELLBOY","G#","minor","G# minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.609,0.661,10,-7.179,1,0.0417,0.0151,0,0.077,0.435,141.981,"375l2qnEfCpeY6AaoFOsjb","https://api.spotify.com/v1/audio-analysis/375l2qnEfCpeY6AaoFOsjb",4,1,150160,TRUE,"https://api.spotify.com/v1/tracks/375l2qnEfCpeY6AaoFOsjb",FALSE,"cobain","https://p.scdn.co/mp3-preview/1bb9e760a2f63ca3b8453d64b84b518be558acb0?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:375l2qnEfCpeY6AaoFOsjb","https://open.spotify.com/track/375l2qnEfCpeY6AaoFOsjb","HELLBOY","A#","major","A# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.289,0.555,10,-8.862,1,0.0958,0.0208,3.71e-06,0.251,0.274,73.532,"2pMIZmMCkqEboAQB5j72jp","https://api.spotify.com/v1/audio-analysis/2pMIZmMCkqEboAQB5j72jp",4,1,138333,TRUE,"https://api.spotify.com/v1/tracks/2pMIZmMCkqEboAQB5j72jp",FALSE,"gucci mane","https://p.scdn.co/mp3-preview/a1987b3df0e01d6c7fbb41361efcffd55f994e01?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2pMIZmMCkqEboAQB5j72jp","https://open.spotify.com/track/2pMIZmMCkqEboAQB5j72jp","HELLBOY","A#","major","A# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.344,0.636,9,-9.07,1,0.0666,0.00881,5.35e-06,0.327,0.0666,139.931,"1s1PXYN7SuNOeiugoJOejC","https://api.spotify.com/v1/audio-analysis/1s1PXYN7SuNOeiugoJOejC",4,1,199893,TRUE,"https://api.spotify.com/v1/tracks/1s1PXYN7SuNOeiugoJOejC",FALSE,"interlude","https://p.scdn.co/mp3-preview/01bec42b806123212a28caedad0996551b109039?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:1s1PXYN7SuNOeiugoJOejC","https://open.spotify.com/track/1s1PXYN7SuNOeiugoJOejC","HELLBOY","A","major","A major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.646,0.647,1,-4.476,1,0.0837,5.79e-05,0,0.0417,0.758,155.111,"2JfV8E7wsD7eVY5wr69teC","https://api.spotify.com/v1/audio-analysis/2JfV8E7wsD7eVY5wr69teC",4,1,126826,TRUE,"https://api.spotify.com/v1/tracks/2JfV8E7wsD7eVY5wr69teC",FALSE,"worlds away","https://p.scdn.co/mp3-preview/7e7a5accc6362e4afc560cb8a47358f401663b35?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2JfV8E7wsD7eVY5wr69teC","https://open.spotify.com/track/2JfV8E7wsD7eVY5wr69teC","HELLBOY","C#","major","C# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.687,0.56,0,-7.17,0,0.103,0.0824,0,0.103,0.362,139.922,"3pm3nUvCGJQHCAj8E56CfQ","https://api.spotify.com/v1/audio-analysis/3pm3nUvCGJQHCAj8E56CfQ",4,1,165120,TRUE,"https://api.spotify.com/v1/tracks/3pm3nUvCGJQHCAj8E56CfQ",FALSE,"red drop shawty","https://p.scdn.co/mp3-preview/ae579f770b5c29205d32b293e8f5ca59574ce061?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3pm3nUvCGJQHCAj8E56CfQ","https://open.spotify.com/track/3pm3nUvCGJQHCAj8E56CfQ","HELLBOY","C","minor","C minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.645,0.698,0,-6.063,0,0.0543,0.557,0,0.111,0.259,120.048,"1XDOGk0XzrBIZboUMvfRNr","https://api.spotify.com/v1/audio-analysis/1XDOGk0XzrBIZboUMvfRNr",4,1,240440,TRUE,"https://api.spotify.com/v1/tracks/1XDOGk0XzrBIZboUMvfRNr",FALSE,"girls","https://p.scdn.co/mp3-preview/060393db9a7857c88e0247c1591732a3dfbe9e31?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:1XDOGk0XzrBIZboUMvfRNr","https://open.spotify.com/track/1XDOGk0XzrBIZboUMvfRNr","HELLBOY","C","minor","C minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.58,0.603,1,-4.467,1,0.0445,0.00156,0,0.137,0.0856,117.931,"1qINv30cwO8WCJeo4F7YTR","https://api.spotify.com/v1/audio-analysis/1qINv30cwO8WCJeo4F7YTR",3,1,169800,TRUE,"https://api.spotify.com/v1/tracks/1qINv30cwO8WCJeo4F7YTR",FALSE,"nose ring","https://p.scdn.co/mp3-preview/aa29a51ad68ecb39c730f22892c447e02909c942?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:1qINv30cwO8WCJeo4F7YTR","https://open.spotify.com/track/1qINv30cwO8WCJeo4F7YTR","HELLBOY","C#","major","C# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.532,0.422,10,-8.512,1,0.0443,0.0964,0.000251,0.0955,0.114,125.013,"5tlKygvcLAJr1dfQ94OsTs","https://api.spotify.com/v1/audio-analysis/5tlKygvcLAJr1dfQ94OsTs",4,1,198626,TRUE,"https://api.spotify.com/v1/tracks/5tlKygvcLAJr1dfQ94OsTs",FALSE,"we think too much","https://p.scdn.co/mp3-preview/cdb576988490b54ce408b3dc3d362749bfb3b5d6?cid=c22575ce003a46ba95e4590c10b3acb1",13,"track","spotify:track:5tlKygvcLAJr1dfQ94OsTs","https://open.spotify.com/track/5tlKygvcLAJr1dfQ94OsTs","HELLBOY","A#","major","A# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.536,0.837,9,-5.869,1,0.147,0.00414,0,0.13,0.443,145.067,"5VVjWtq1H0z42RQfZlnwaT","https://api.spotify.com/v1/audio-analysis/5VVjWtq1H0z42RQfZlnwaT",4,1,147186,TRUE,"https://api.spotify.com/v1/tracks/5VVjWtq1H0z42RQfZlnwaT",FALSE,"the last thing i wanna do","https://p.scdn.co/mp3-preview/504bb3bf8feb45ef78ebffd9c23de171620ca2e6?cid=c22575ce003a46ba95e4590c10b3acb1",14,"track","spotify:track:5VVjWtq1H0z42RQfZlnwaT","https://open.spotify.com/track/5VVjWtq1H0z42RQfZlnwaT","HELLBOY","A","major","A major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.553,0.572,1,-6.703,1,0.039,0.000115,0,0.115,0.168,135.036,"5vJMWciCIDG0R5gLZLF8DC","https://api.spotify.com/v1/audio-analysis/5vJMWciCIDG0R5gLZLF8DC",3,1,160560,TRUE,"https://api.spotify.com/v1/tracks/5vJMWciCIDG0R5gLZLF8DC",FALSE,"walk away as the door slams","https://p.scdn.co/mp3-preview/21f29711e1dbbddfa19a1775be75445a8cb6c4cf?cid=c22575ce003a46ba95e4590c10b3acb1",15,"track","spotify:track:5vJMWciCIDG0R5gLZLF8DC","https://open.spotify.com/track/5vJMWciCIDG0R5gLZLF8DC","HELLBOY","C#","major","C# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3PGFdp8MUJ25eJjUl0O58X","album","2020-09-25",2020,"day",0.569,0.749,1,-7.294,1,0.224,0.000161,0,0.0503,0.126,142.97,"6lVLuu0k5LKLB5Zmqg12iH","https://api.spotify.com/v1/audio-analysis/6lVLuu0k5LKLB5Zmqg12iH",4,1,121920,TRUE,"https://api.spotify.com/v1/tracks/6lVLuu0k5LKLB5Zmqg12iH",FALSE,"move on, be strong","https://p.scdn.co/mp3-preview/f81d6ca06320cc758e2c0459268aee7475becd73?cid=c22575ce003a46ba95e4590c10b3acb1",16,"track","spotify:track:6lVLuu0k5LKLB5Zmqg12iH","https://open.spotify.com/track/6lVLuu0k5LKLB5Zmqg12iH","HELLBOY","C#","major","C# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","6ay4qFjg5VgZFqJmiGcIIm","album","2020-06-10",2020,"day",0.522,0.546,3,-9.528,1,0.0514,0.297,0,0.7,0.234,96.957,"6w1k5KDajzJSqPJzMYsQhA","https://api.spotify.com/v1/audio-analysis/6w1k5KDajzJSqPJzMYsQhA",4,1,247453,TRUE,"https://api.spotify.com/v1/tracks/6w1k5KDajzJSqPJzMYsQhA",FALSE,"crybaby","https://p.scdn.co/mp3-preview/95a10dc6e736058928072323b43554aca92fdc57?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6w1k5KDajzJSqPJzMYsQhA","https://open.spotify.com/track/6w1k5KDajzJSqPJzMYsQhA","crybaby","D#","major","D# major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","6ay4qFjg5VgZFqJmiGcIIm","album","2020-06-10",2020,"day",0.744,0.357,10,-6.544,0,0.0971,0.0206,1.69e-05,0.132,0.114,78.03,"5OXPfNGyUDTMOSaGhbAvOr","https://api.spotify.com/v1/audio-analysis/5OXPfNGyUDTMOSaGhbAvOr",4,1,203026,TRUE,"https://api.spotify.com/v1/tracks/5OXPfNGyUDTMOSaGhbAvOr",FALSE,"lil jeep","https://p.scdn.co/mp3-preview/767c6027d0437b8b4e68d6785e5d800aeec7aeeb?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:5OXPfNGyUDTMOSaGhbAvOr","https://open.spotify.com/track/5OXPfNGyUDTMOSaGhbAvOr","crybaby","A#","minor","A# minor","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","6ay4qFjg5VgZFqJmiGcIIm","album","2020-06-10",2020,"day",0.583,0.573,2,-7.396,1,0.0348,0.00214,0,0.152,0.129,87.922,"1oZX407PWkU5ETtmRy3zL8","https://api.spotify.com/v1/audio-analysis/1oZX407PWkU5ETtmRy3zL8",4,1,112520,TRUE,"https://api.spotify.com/v1/tracks/1oZX407PWkU5ETtmRy3zL8",FALSE,"yesterday","https://p.scdn.co/mp3-preview/55a1839cb85a64d9738079d12ff9fd1a9099d061?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1oZX407PWkU5ETtmRy3zL8","https://open.spotify.com/track/1oZX407PWkU5ETtmRy3zL8","crybaby","D","major","D major","rap"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","6ay4qFjg5VgZFqJmiGcIIm","album","2020-06-10",2020,"day",0.733,0.655,4,-7.574,0,0.0472,0.0246,0,0.156,0.265,138.023,"1tf1CVuAsK3X1s42riww5u","https://api.spotify.com/v1/audio-analysis/1tf1CVuAsK3X1s42riww5u",4,1,227066,TRUE,"https://api.spotify.com/v1/tracks/1tf1CVuAsK3X1s42riww5u",FALSE,"absolute in doubt","https://p.scdn.co/mp3-preview/001d3af900f8a07b3da8fa8c14db3e988e20ed95?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1tf1CVuAsK3X1s42riww5u","https://open.spotify.com/track/1tf1CVuAsK3X1s42riww5u","crybaby","E","minor","E minor","rap"
