"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.758,0.574,9,-7.833,0,0.217,0.216,0,0.144,0.706,144.081,"6lt8iodSkYWEV0ifKCSlfg","https://api.spotify.com/v1/audio-analysis/6lt8iodSkYWEV0ifKCSlfg",4,1,274313,TRUE,"https://api.spotify.com/v1/tracks/6lt8iodSkYWEV0ifKCSlfg",FALSE,"Stripes Like Burberry","https://p.scdn.co/mp3-preview/72e8d939e66ab958aa4046169bbd16368d7c9b8d?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6lt8iodSkYWEV0ifKCSlfg","https://open.spotify.com/track/6lt8iodSkYWEV0ifKCSlfg","Pluto x Baby Pluto","A","minor","A minor","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.759,0.52,2,-7.042,1,0.447,0.0187,0,0.313,0.116,123.189,"6NaVCCFGylOLZAgk5eTTid","https://api.spotify.com/v1/audio-analysis/6NaVCCFGylOLZAgk5eTTid",4,1,133170,TRUE,"https://api.spotify.com/v1/tracks/6NaVCCFGylOLZAgk5eTTid",FALSE,"Marni On Me","https://p.scdn.co/mp3-preview/f9ac58b33ff76e07d31dc6f25b772ad0a2d61653?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6NaVCCFGylOLZAgk5eTTid","https://open.spotify.com/track/6NaVCCFGylOLZAgk5eTTid","Pluto x Baby Pluto","D","major","D major","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.851,0.621,11,-6.679,1,0.362,0.0233,0,0.161,0.532,150.969,"0DUHmrwC8ZviGGC2o2JBy1","https://api.spotify.com/v1/audio-analysis/0DUHmrwC8ZviGGC2o2JBy1",4,1,167397,TRUE,"https://api.spotify.com/v1/tracks/0DUHmrwC8ZviGGC2o2JBy1",FALSE,"Sleeping On The Floor","https://p.scdn.co/mp3-preview/9ce589ba1ea945c76f4c4f7b29dee05d880c0644?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0DUHmrwC8ZviGGC2o2JBy1","https://open.spotify.com/track/0DUHmrwC8ZviGGC2o2JBy1","Pluto x Baby Pluto","B","major","B major","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.898,0.567,1,-6.446,1,0.302,0.0165,0,0.109,0.602,141.973,"1rP5gAqMlm8d6UnfseuzSm","https://api.spotify.com/v1/audio-analysis/1rP5gAqMlm8d6UnfseuzSm",4,1,196636,TRUE,"https://api.spotify.com/v1/tracks/1rP5gAqMlm8d6UnfseuzSm",FALSE,"Real Baby Pluto","https://p.scdn.co/mp3-preview/6ff6c4ce8293f15620302ed87485a0e7fe4ae357?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1rP5gAqMlm8d6UnfseuzSm","https://open.spotify.com/track/1rP5gAqMlm8d6UnfseuzSm","Pluto x Baby Pluto","C#","major","C# major","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.752,0.658,0,-6.297,1,0.342,0.0421,0,0.0927,0.387,151.951,"0k7wmahjkn389wAZdz19Cv","https://api.spotify.com/v1/audio-analysis/0k7wmahjkn389wAZdz19Cv",4,1,213520,TRUE,"https://api.spotify.com/v1/tracks/0k7wmahjkn389wAZdz19Cv",FALSE,"Drankin N Smokin","https://p.scdn.co/mp3-preview/a85ca9dcc67348b2dd9041330b72432caf21f9d4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:0k7wmahjkn389wAZdz19Cv","https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv","Pluto x Baby Pluto","C","major","C major","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.839,0.502,0,-5.886,0,0.398,0.11,0,0.115,0.585,150.07,"7liO3TEHfUqLnIlN54CW1D","https://api.spotify.com/v1/audio-analysis/7liO3TEHfUqLnIlN54CW1D",4,1,166636,TRUE,"https://api.spotify.com/v1/tracks/7liO3TEHfUqLnIlN54CW1D",FALSE,"Million Dollar Play","https://p.scdn.co/mp3-preview/6f04ec43441af01b9c78f8c37929d1662ab427f8?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:7liO3TEHfUqLnIlN54CW1D","https://open.spotify.com/track/7liO3TEHfUqLnIlN54CW1D","Pluto x Baby Pluto","C","minor","C minor","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.773,0.505,5,-5.716,0,0.061,0.0485,0,0.158,0.142,160.031,"6GK5du9ndZ7ZwMBrTRTGMH","https://api.spotify.com/v1/audio-analysis/6GK5du9ndZ7ZwMBrTRTGMH",4,1,193858,TRUE,"https://api.spotify.com/v1/tracks/6GK5du9ndZ7ZwMBrTRTGMH",FALSE,"Plastic","https://p.scdn.co/mp3-preview/ecf879901def6daa8821f17de3b346876f094caa?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6GK5du9ndZ7ZwMBrTRTGMH","https://open.spotify.com/track/6GK5du9ndZ7ZwMBrTRTGMH","Pluto x Baby Pluto","F","minor","F minor","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.94,0.532,11,-5.998,0,0.358,0.12,0,0.0925,0.599,123.043,"5n6gBhdEjCuj3obgCoTEFD","https://api.spotify.com/v1/audio-analysis/5n6gBhdEjCuj3obgCoTEFD",4,1,228796,TRUE,"https://api.spotify.com/v1/tracks/5n6gBhdEjCuj3obgCoTEFD",FALSE,"That’s It","https://p.scdn.co/mp3-preview/fda992b5f9f70194a3320cb4743ff559a4e97040?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5n6gBhdEjCuj3obgCoTEFD","https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD","Pluto x Baby Pluto","B","minor","B minor","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.866,0.72,7,-6.641,0,0.0646,0.112,0,0.172,0.785,136.077,"5syD6f38Jhckk5g9DgoCta","https://api.spotify.com/v1/audio-analysis/5syD6f38Jhckk5g9DgoCta",4,1,210175,TRUE,"https://api.spotify.com/v1/tracks/5syD6f38Jhckk5g9DgoCta",FALSE,"Bought A Bad Bitch","https://p.scdn.co/mp3-preview/4a2f38014068dce9a544541da26e13cb5130be38?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:5syD6f38Jhckk5g9DgoCta","https://open.spotify.com/track/5syD6f38Jhckk5g9DgoCta","Pluto x Baby Pluto","G","minor","G minor","rap"
"Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","48xpWR8K6CGpy3ETAym3pt","album","2020-11-13",2020,"day",0.867,0.517,2,-6.914,1,0.307,0.0116,0,0.31,0.271,143.043,"0NXeZp31dd0cJ9t8FdKsTg","https://api.spotify.com/v1/audio-analysis/0NXeZp31dd0cJ9t8FdKsTg",4,1,181040,TRUE,"https://api.spotify.com/v1/tracks/0NXeZp31dd0cJ9t8FdKsTg",FALSE,"Rockstar Chainz","https://p.scdn.co/mp3-preview/d00410becafa02b8b0f57c22b408cb15f65f2ad7?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:0NXeZp31dd0cJ9t8FdKsTg","https://open.spotify.com/track/0NXeZp31dd0cJ9t8FdKsTg","Pluto x Baby Pluto","D","major","D major","rap"
