"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.238,0.606,4,-6.419,1,0.0364,0.697,0.813,0.264,0.0771,122.796,"6BqmgqzgKNxPszu1I6gOpn","https://api.spotify.com/v1/audio-analysis/6BqmgqzgKNxPszu1I6gOpn",4,1,284706,FALSE,"https://api.spotify.com/v1/tracks/6BqmgqzgKNxPszu1I6gOpn",FALSE,"Lost in Time and Space",NA,1,"track","spotify:track:6BqmgqzgKNxPszu1I6gOpn","https://open.spotify.com/track/6BqmgqzgKNxPszu1I6gOpn","Vide Noir","E","major","E major","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.353,0.959,4,-2.323,1,0.0459,0.000594,0.93,0.281,0.506,155.12,"5UQKkiYuxg0oe21ACerQ7u","https://api.spotify.com/v1/audio-analysis/5UQKkiYuxg0oe21ACerQ7u",4,1,172546,FALSE,"https://api.spotify.com/v1/tracks/5UQKkiYuxg0oe21ACerQ7u",FALSE,"Never Ever",NA,2,"track","spotify:track:5UQKkiYuxg0oe21ACerQ7u","https://open.spotify.com/track/5UQKkiYuxg0oe21ACerQ7u","Vide Noir","E","major","E major","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.251,0.912,9,-4.517,0,0.126,0.345,0.0977,0.123,0.172,152.995,"6YrnbbmCTE5423w3qBdxqA","https://api.spotify.com/v1/audio-analysis/6YrnbbmCTE5423w3qBdxqA",4,1,362333,FALSE,"https://api.spotify.com/v1/tracks/6YrnbbmCTE5423w3qBdxqA",FALSE,"Ancient Names (Part I)",NA,3,"track","spotify:track:6YrnbbmCTE5423w3qBdxqA","https://open.spotify.com/track/6YrnbbmCTE5423w3qBdxqA","Vide Noir","A","minor","A minor","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.479,0.97,2,-3.92,1,0.0699,0.00738,0.474,0.354,0.587,90.014,"6m4p3NyVyVPTkyPj59UhZH","https://api.spotify.com/v1/audio-analysis/6m4p3NyVyVPTkyPj59UhZH",4,1,125893,FALSE,"https://api.spotify.com/v1/tracks/6m4p3NyVyVPTkyPj59UhZH",FALSE,"Ancient Names (Part II)",NA,4,"track","spotify:track:6m4p3NyVyVPTkyPj59UhZH","https://open.spotify.com/track/6m4p3NyVyVPTkyPj59UhZH","Vide Noir","D","major","D major","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.476,0.543,0,-5.158,1,0.0287,0.151,0.0633,0.0982,0.342,163.942,"2g9LXMNIBCqmngHpH9nXv0","https://api.spotify.com/v1/audio-analysis/2g9LXMNIBCqmngHpH9nXv0",3,1,191306,FALSE,"https://api.spotify.com/v1/tracks/2g9LXMNIBCqmngHpH9nXv0",FALSE,"Wait by the River",NA,5,"track","spotify:track:2g9LXMNIBCqmngHpH9nXv0","https://open.spotify.com/track/2g9LXMNIBCqmngHpH9nXv0","Vide Noir","C","major","C major","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.538,0.917,11,-4.257,0,0.0392,0.0245,0.0474,0.0845,0.809,162.05,"7bUgWgmd1yTYu351xFBLDL","https://api.spotify.com/v1/audio-analysis/7bUgWgmd1yTYu351xFBLDL",4,1,230533,FALSE,"https://api.spotify.com/v1/tracks/7bUgWgmd1yTYu351xFBLDL",FALSE,"Secret of Life",NA,6,"track","spotify:track:7bUgWgmd1yTYu351xFBLDL","https://open.spotify.com/track/7bUgWgmd1yTYu351xFBLDL","Vide Noir","B","minor","B minor","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.393,0.758,9,-3.45,1,0.0294,0.0439,0.125,0.367,0.57,169.873,"5exRDB26w6vi10fagGtgJS","https://api.spotify.com/v1/audio-analysis/5exRDB26w6vi10fagGtgJS",3,1,183866,FALSE,"https://api.spotify.com/v1/tracks/5exRDB26w6vi10fagGtgJS",FALSE,"Back from the Edge",NA,7,"track","spotify:track:5exRDB26w6vi10fagGtgJS","https://open.spotify.com/track/5exRDB26w6vi10fagGtgJS","Vide Noir","A","major","A major","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.532,0.873,0,-4.03,0,0.0503,0.0203,0.00541,0.0941,0.356,119.023,"6CCjbWdVB3BvHcSbjRaHwS","https://api.spotify.com/v1/audio-analysis/6CCjbWdVB3BvHcSbjRaHwS",4,1,269426,FALSE,"https://api.spotify.com/v1/tracks/6CCjbWdVB3BvHcSbjRaHwS",FALSE,"The Balancer's Eye",NA,8,"track","spotify:track:6CCjbWdVB3BvHcSbjRaHwS","https://open.spotify.com/track/6CCjbWdVB3BvHcSbjRaHwS","Vide Noir","C","minor","C minor","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.686,0.413,6,-6.332,0,0.0263,0.103,0.115,0.122,0.595,95.989,"4FE9SgxcOoCNuGnaaU8TXz","https://api.spotify.com/v1/audio-analysis/4FE9SgxcOoCNuGnaaU8TXz",3,1,311226,FALSE,"https://api.spotify.com/v1/tracks/4FE9SgxcOoCNuGnaaU8TXz",FALSE,"When the Night is Over",NA,9,"track","spotify:track:4FE9SgxcOoCNuGnaaU8TXz","https://open.spotify.com/track/4FE9SgxcOoCNuGnaaU8TXz","Vide Noir","F#","minor","F# minor","folk"
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","2oiJM8vFGpxrtGtFfJWhJv","album","2018-04-20",2018,"day",0.535,0.928,7,-5.222,1,0.032,0.0613,0.0626,0.13,0.761,119.016,"4DiOjM4E8MVKKdlO5jkimt","https://api.spotify.com/v1/audio-analysis/4DiOjM4E8MVKKdlO5jkimt",4,1,259533,FALSE,"https://api.spotify.com/v1/tracks/4DiOjM4E8MVKKdlO5jkimt",FALSE,"Moonbeam",NA,10,"track","spotify:track:4DiOjM4E8MVKKdlO5jkimt","https://open.spotify.com/track/4DiOjM4E8MVKKdlO5jkimt","Vide Noir","G","major","G major","folk"
