"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.503,0.587,10,-12.49,1,0.457,0.9,0,0.759,0.481,88.081,"3QqULjI03Ela9WLaC1XixH","https://api.spotify.com/v1/audio-analysis/3QqULjI03Ela9WLaC1XixH",4,1,277928,FALSE,"https://api.spotify.com/v1/tracks/3QqULjI03Ela9WLaC1XixH",FALSE,"I love Jazz","https://p.scdn.co/mp3-preview/82239f982fdf4d7ff12192d6e39dd0657ad24bc4?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3QqULjI03Ela9WLaC1XixH","https://open.spotify.com/track/3QqULjI03Ela9WLaC1XixH","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","A#","major","A# major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.594,0.561,10,-12.154,1,0.836,0.877,0,0.969,0.509,133.1,"2TewQKMbU25HFnHLrJjoK3","https://api.spotify.com/v1/audio-analysis/2TewQKMbU25HFnHLrJjoK3",4,1,191626,FALSE,"https://api.spotify.com/v1/tracks/2TewQKMbU25HFnHLrJjoK3",FALSE,"High Society Calypso","https://p.scdn.co/mp3-preview/08ec5b10a2a0c3fd351d57e864937f6138c00508?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2TewQKMbU25HFnHLrJjoK3","https://open.spotify.com/track/2TewQKMbU25HFnHLrJjoK3","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","A#","major","A# major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.528,0.608,1,-17.61,1,0.136,0.901,0.128,0.959,0.756,110.764,"0J4JToONfJ98S3WT5BwUSN","https://api.spotify.com/v1/audio-analysis/0J4JToONfJ98S3WT5BwUSN",4,1,283147,FALSE,"https://api.spotify.com/v1/tracks/0J4JToONfJ98S3WT5BwUSN",FALSE,"Ole Miss Rag","https://p.scdn.co/mp3-preview/e6ba5b8110a757e656d9739c51353004ef671a82?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0J4JToONfJ98S3WT5BwUSN","https://open.spotify.com/track/0J4JToONfJ98S3WT5BwUSN","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","C#","major","C# major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.49,0.513,5,-12.592,1,0.047,0.98,0.81,0.736,0.595,116.848,"3nWKbfJfIlKgov5bWTN8y4","https://api.spotify.com/v1/audio-analysis/3nWKbfJfIlKgov5bWTN8y4",4,1,247336,FALSE,"https://api.spotify.com/v1/tracks/3nWKbfJfIlKgov5bWTN8y4",FALSE,"Blue Moon","https://p.scdn.co/mp3-preview/994034821e0fd038d580b123cb681b8688dabb45?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3nWKbfJfIlKgov5bWTN8y4","https://open.spotify.com/track/3nWKbfJfIlKgov5bWTN8y4","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","F","major","F major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.571,0.712,7,-11.164,0,0.232,0.986,0.872,0.344,0.456,113.923,"4Bkstz279muHMYxfcE3paE","https://api.spotify.com/v1/audio-analysis/4Bkstz279muHMYxfcE3paE",4,1,109075,FALSE,"https://api.spotify.com/v1/tracks/4Bkstz279muHMYxfcE3paE",FALSE,"Blues","https://p.scdn.co/mp3-preview/12215a1985813a3280df32efd30612a8fb16661e?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4Bkstz279muHMYxfcE3paE","https://open.spotify.com/track/4Bkstz279muHMYxfcE3paE","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","G","minor","G minor","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.613,0.743,8,-10.353,1,0.476,0.959,0.753,0.78,0.839,135.956,"4FJXZaqVcmBxV3AVYo4IRA","https://api.spotify.com/v1/audio-analysis/4FJXZaqVcmBxV3AVYo4IRA",4,1,255796,FALSE,"https://api.spotify.com/v1/tracks/4FJXZaqVcmBxV3AVYo4IRA",FALSE,"Sweet Georgia Brown","https://p.scdn.co/mp3-preview/97f7374b64bb927ccf19fb10b9c948d1b61b91a1?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4FJXZaqVcmBxV3AVYo4IRA","https://open.spotify.com/track/4FJXZaqVcmBxV3AVYo4IRA","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","G#","major","G# major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.687,0.278,3,-15.936,1,0.34,0.968,0.9,0.689,0.66,109.696,"5l7mjIefT375vLoc1SM3N9","https://api.spotify.com/v1/audio-analysis/5l7mjIefT375vLoc1SM3N9",4,1,175683,FALSE,"https://api.spotify.com/v1/tracks/5l7mjIefT375vLoc1SM3N9",FALSE,"Tenderly","https://p.scdn.co/mp3-preview/ccc7caf3ab6a8bcdb04dd6142ce03990fc9ec3f2?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5l7mjIefT375vLoc1SM3N9","https://open.spotify.com/track/5l7mjIefT375vLoc1SM3N9","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","D#","major","D# major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.503,0.428,9,-12.078,0,0.236,0.98,0.00428,0.847,0.619,88.952,"0ZAFM8NDy1OpeiArwlS1JI","https://api.spotify.com/v1/audio-analysis/0ZAFM8NDy1OpeiArwlS1JI",4,1,210186,FALSE,"https://api.spotify.com/v1/tracks/0ZAFM8NDy1OpeiArwlS1JI",FALSE,"Mack the Knife","https://p.scdn.co/mp3-preview/bd5039be2236161b1164000dfe269b6fab2e8b19?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0ZAFM8NDy1OpeiArwlS1JI","https://open.spotify.com/track/0ZAFM8NDy1OpeiArwlS1JI","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","A","minor","A minor","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.322,0.229,0,-16.993,1,0.0406,0.983,0.879,0.18,0.208,145.927,"350eXiKV9F6ykrsNSgbhM1","https://api.spotify.com/v1/audio-analysis/350eXiKV9F6ykrsNSgbhM1",3,1,190000,FALSE,"https://api.spotify.com/v1/tracks/350eXiKV9F6ykrsNSgbhM1",FALSE,"You'll never walk alone","https://p.scdn.co/mp3-preview/40074f1c02109227ce5dfca1adca4f96d3f165ec?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:350eXiKV9F6ykrsNSgbhM1","https://open.spotify.com/track/350eXiKV9F6ykrsNSgbhM1","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","C","major","C major","jazz"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","41TcEAFU5yEXxRtinO2EUR","album","2021-03-05",2021,"day",0.411,0.405,10,-14.785,0,0.708,0.984,0.000152,0.22,0.432,76.625,"2IPI2wWLPsPfrQxbPv30gg","https://api.spotify.com/v1/audio-analysis/2IPI2wWLPsPfrQxbPv30gg",4,1,340080,FALSE,"https://api.spotify.com/v1/tracks/2IPI2wWLPsPfrQxbPv30gg",FALSE,"Baby, It Is cold outside","https://p.scdn.co/mp3-preview/756022239235319096104f419ad678a1cd6ba76d?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:2IPI2wWLPsPfrQxbPv30gg","https://open.spotify.com/track/2IPI2wWLPsPfrQxbPv30gg","Louis Armstrong: Live at the Orpheum Theater, Los Angeles (2021 Remaster)","A#","minor","A# minor","jazz"
