"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.554,0.656,1,-9.368,1,0.372,0.742,3.03e-06,0.786,0.812,129.244,"7jp5ZOm6EI9cayxynj5hCT","https://api.spotify.com/v1/audio-analysis/7jp5ZOm6EI9cayxynj5hCT",4,1,261720,FALSE,"https://api.spotify.com/v1/tracks/7jp5ZOm6EI9cayxynj5hCT",FALSE,"Angelina / Zooma Zooma - Live / Medley / Remastered 1999",NA,1,"track","spotify:track:7jp5ZOm6EI9cayxynj5hCT","https://open.spotify.com/track/7jp5ZOm6EI9cayxynj5hCT","Jump, Jive An' Wail: The Essential","C#","major","C# major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.642,0.647,5,-9.598,0,0.0737,0.75,1.11e-05,0.0474,0.898,102.278,"1avf1M4btPbNGiIUXeNSvt","https://api.spotify.com/v1/audio-analysis/1avf1M4btPbNGiIUXeNSvt",4,1,209413,FALSE,"https://api.spotify.com/v1/tracks/1avf1M4btPbNGiIUXeNSvt",FALSE,"Jump, Jive, An' Wail - Remastered",NA,2,"track","spotify:track:1avf1M4btPbNGiIUXeNSvt","https://open.spotify.com/track/1avf1M4btPbNGiIUXeNSvt","Jump, Jive An' Wail: The Essential","F","minor","F minor","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.637,0.397,2,-12.149,0,0.134,0.251,4.85e-06,0.255,0.713,124.206,"7sWMlm3IHmRYtNb3cq5uam","https://api.spotify.com/v1/audio-analysis/7sWMlm3IHmRYtNb3cq5uam",4,1,177493,FALSE,"https://api.spotify.com/v1/tracks/7sWMlm3IHmRYtNb3cq5uam",FALSE,"That Old Black Magic - Remastered",NA,3,"track","spotify:track:7sWMlm3IHmRYtNb3cq5uam","https://open.spotify.com/track/7sWMlm3IHmRYtNb3cq5uam","Jump, Jive An' Wail: The Essential","D","minor","D minor","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.646,0.626,0,-10.973,1,0.222,0.404,1.11e-05,0.0806,0.87,120.551,"0Lq8wSEe8OgjWIn34VUcF6","https://api.spotify.com/v1/audio-analysis/0Lq8wSEe8OgjWIn34VUcF6",4,1,144760,FALSE,"https://api.spotify.com/v1/tracks/0Lq8wSEe8OgjWIn34VUcF6",FALSE,"Oh, Marie - Remastered 1999",NA,4,"track","spotify:track:0Lq8wSEe8OgjWIn34VUcF6","https://open.spotify.com/track/0Lq8wSEe8OgjWIn34VUcF6","Jump, Jive An' Wail: The Essential","C","major","C major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.684,0.352,0,-13.13,1,0.254,0.804,0,0.0859,0.709,142.195,"2WF1rx7C3cV9X2zA5gaSer","https://api.spotify.com/v1/audio-analysis/2WF1rx7C3cV9X2zA5gaSer",4,1,139026,FALSE,"https://api.spotify.com/v1/tracks/2WF1rx7C3cV9X2zA5gaSer",FALSE,"The Lip - Remastered 1999",NA,5,"track","spotify:track:2WF1rx7C3cV9X2zA5gaSer","https://open.spotify.com/track/2WF1rx7C3cV9X2zA5gaSer","Jump, Jive An' Wail: The Essential","C","major","C major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.889,0.24,8,-13.499,1,0.0634,0.489,0,0.13,0.904,108.287,"6gtXlDdTGGzx687iGAmzZ0","https://api.spotify.com/v1/audio-analysis/6gtXlDdTGGzx687iGAmzZ0",4,1,134840,FALSE,"https://api.spotify.com/v1/tracks/6gtXlDdTGGzx687iGAmzZ0",FALSE,"Bourbon Street Blues",NA,6,"track","spotify:track:6gtXlDdTGGzx687iGAmzZ0","https://open.spotify.com/track/6gtXlDdTGGzx687iGAmzZ0","Jump, Jive An' Wail: The Essential","G#","major","G# major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.598,0.37,0,-12.459,0,0.098,0.295,0,0.256,0.8,135.78,"3vjSMrqKTBS3VE8jVh79d9","https://api.spotify.com/v1/audio-analysis/3vjSMrqKTBS3VE8jVh79d9",4,1,159546,FALSE,"https://api.spotify.com/v1/tracks/3vjSMrqKTBS3VE8jVh79d9",FALSE,"I've Got You Under My Skin - Remastered",NA,7,"track","spotify:track:3vjSMrqKTBS3VE8jVh79d9","https://open.spotify.com/track/3vjSMrqKTBS3VE8jVh79d9","Jump, Jive An' Wail: The Essential","C","minor","C minor","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.529,0.481,8,-9.469,1,0.12,0.625,0,0.0803,0.93,185.718,"36NyMay4unnjLeNsYTGcQH","https://api.spotify.com/v1/audio-analysis/36NyMay4unnjLeNsYTGcQH",4,1,141973,FALSE,"https://api.spotify.com/v1/tracks/36NyMay4unnjLeNsYTGcQH",FALSE,"Pennies From Heaven - Remastered 1999",NA,8,"track","spotify:track:36NyMay4unnjLeNsYTGcQH","https://open.spotify.com/track/36NyMay4unnjLeNsYTGcQH","Jump, Jive An' Wail: The Essential","G#","major","G# major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.756,0.417,8,-11.991,1,0.119,0.474,0,0.1,0.957,110.298,"1BbZcZrkDh7eoufIwNZQi3","https://api.spotify.com/v1/audio-analysis/1BbZcZrkDh7eoufIwNZQi3",4,1,162653,FALSE,"https://api.spotify.com/v1/tracks/1BbZcZrkDh7eoufIwNZQi3",FALSE,"Hey, Boy! Hey, Girl! - Remastered 1999",NA,9,"track","spotify:track:1BbZcZrkDh7eoufIwNZQi3","https://open.spotify.com/track/1BbZcZrkDh7eoufIwNZQi3","Jump, Jive An' Wail: The Essential","G#","major","G# major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.7,0.53,8,-9.731,1,0.192,0.814,0,0.0656,0.961,124.279,"7vNvEpYHphxivQG384ZRfI","https://api.spotify.com/v1/audio-analysis/7vNvEpYHphxivQG384ZRfI",4,1,165706,FALSE,"https://api.spotify.com/v1/tracks/7vNvEpYHphxivQG384ZRfI",FALSE,"Luigi",NA,10,"track","spotify:track:7vNvEpYHphxivQG384ZRfI","https://open.spotify.com/track/7vNvEpYHphxivQG384ZRfI","Jump, Jive An' Wail: The Essential","G#","major","G# major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.595,0.388,7,-10.835,1,0.629,0.755,0,0.0717,0.635,112.843,"5MWo6tVlIZ4VFmsolnSBg0","https://api.spotify.com/v1/audio-analysis/5MWo6tVlIZ4VFmsolnSBg0",4,1,208866,FALSE,"https://api.spotify.com/v1/tracks/5MWo6tVlIZ4VFmsolnSBg0",FALSE,"(Up A) Lazy River - Remastered 1999",NA,11,"track","spotify:track:5MWo6tVlIZ4VFmsolnSBg0","https://open.spotify.com/track/5MWo6tVlIZ4VFmsolnSBg0","Jump, Jive An' Wail: The Essential","G","major","G major","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.594,0.724,0,-9.799,0,0.066,0.417,0,0.0894,0.894,117.828,"68mNgK7XoX0J7uUgR8tIQc","https://api.spotify.com/v1/audio-analysis/68mNgK7XoX0J7uUgR8tIQc",4,1,240626,FALSE,"https://api.spotify.com/v1/tracks/68mNgK7XoX0J7uUgR8tIQc",FALSE,"Medley: When You're Smiling (The Whole World Smiles With You)/The Sheik Of Araby - Remastered 1999",NA,12,"track","spotify:track:68mNgK7XoX0J7uUgR8tIQc","https://open.spotify.com/track/68mNgK7XoX0J7uUgR8tIQc","Jump, Jive An' Wail: The Essential","C","minor","C minor","jazz"
"Louis Prima","52lBOxCxbJg0ttXEW9CQpW","2FIAcPHPr2NHqszrKQXj8w","album","2007-07-17",2007,"day",0.607,0.424,5,-10.043,1,0.124,0.563,0,0.101,0.74,104.543,"1lTVnCT5k6C8VsmNclIqIt","https://api.spotify.com/v1/audio-analysis/1lTVnCT5k6C8VsmNclIqIt",4,1,147933,FALSE,"https://api.spotify.com/v1/tracks/1lTVnCT5k6C8VsmNclIqIt",FALSE,"I've Got The World On A String - Remastered",NA,13,"track","spotify:track:1lTVnCT5k6C8VsmNclIqIt","https://open.spotify.com/track/1lTVnCT5k6C8VsmNclIqIt","Jump, Jive An' Wail: The Essential","F","major","F major","jazz"
