"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,"4jXl6VtkFFKIt3ycUQc5LT","https://api.spotify.com/v1/audio-analysis/4jXl6VtkFFKIt3ycUQc5LT",4,1,170360,FALSE,"https://api.spotify.com/v1/tracks/4jXl6VtkFFKIt3ycUQc5LT",FALSE,"Circles","https://p.scdn.co/mp3-preview/54e25fcb70b997c57b112c74fc0e5505382a96e9?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4jXl6VtkFFKIt3ycUQc5LT","https://open.spotify.com/track/4jXl6VtkFFKIt3ycUQc5LT","Circles","A","major","A major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,"3WfSNAoj2D8C9noPSGZZFM","https://api.spotify.com/v1/audio-analysis/3WfSNAoj2D8C9noPSGZZFM",4,1,232211,FALSE,"https://api.spotify.com/v1/tracks/3WfSNAoj2D8C9noPSGZZFM",FALSE,"Complicated","https://p.scdn.co/mp3-preview/646e24b96778a40e8aa39b5344fc52437a832fac?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:3WfSNAoj2D8C9noPSGZZFM","https://open.spotify.com/track/3WfSNAoj2D8C9noPSGZZFM","Circles","C","major","C major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,"2hwOoMtWPtTSSn6WHV7Vp5","https://api.spotify.com/v1/audio-analysis/2hwOoMtWPtTSSn6WHV7Vp5",4,1,209440,TRUE,"https://api.spotify.com/v1/tracks/2hwOoMtWPtTSSn6WHV7Vp5",FALSE,"Blue World","https://p.scdn.co/mp3-preview/3fe6ac844ff30952202dd30e5e980ffe5810cf32?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:2hwOoMtWPtTSSn6WHV7Vp5","https://open.spotify.com/track/2hwOoMtWPtTSSn6WHV7Vp5","Circles","G#","major","G# major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,"1DWZUa5Mzf2BwzpHtgbHPY","https://api.spotify.com/v1/audio-analysis/1DWZUa5Mzf2BwzpHtgbHPY",4,1,342040,FALSE,"https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY",FALSE,"Good News","https://p.scdn.co/mp3-preview/82d28d6eb7f77b2fb4e51e0fcc0fa76d71edaff4?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1DWZUa5Mzf2BwzpHtgbHPY","https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY","Circles","C#","minor","C# minor","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.699,0.503,5,-9.922,0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,"3R8CyhJfVjvgIROd5RSGhQ","https://api.spotify.com/v1/audio-analysis/3R8CyhJfVjvgIROd5RSGhQ",4,1,220853,FALSE,"https://api.spotify.com/v1/tracks/3R8CyhJfVjvgIROd5RSGhQ",FALSE,"I Can See","https://p.scdn.co/mp3-preview/b1f850feea03048535e65b109c316839079dedca?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:3R8CyhJfVjvgIROd5RSGhQ","https://open.spotify.com/track/3R8CyhJfVjvgIROd5RSGhQ","Circles","F","minor","F minor","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061,"1OuN92HcVG6NVpWbeESNB3","https://api.spotify.com/v1/audio-analysis/1OuN92HcVG6NVpWbeESNB3",4,1,256506,FALSE,"https://api.spotify.com/v1/tracks/1OuN92HcVG6NVpWbeESNB3",FALSE,"Everybody","https://p.scdn.co/mp3-preview/503d662e4acec2d2a84b1867e0983fd7b745303f?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1OuN92HcVG6NVpWbeESNB3","https://open.spotify.com/track/1OuN92HcVG6NVpWbeESNB3","Circles","A","minor","A minor","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,"3Qa944OTMZkg8DHjET8JQv","https://api.spotify.com/v1/audio-analysis/3Qa944OTMZkg8DHjET8JQv",4,1,286386,FALSE,"https://api.spotify.com/v1/tracks/3Qa944OTMZkg8DHjET8JQv",FALSE,"Woods","https://p.scdn.co/mp3-preview/3fb306e16ccba696036c6263e955530f8d836c12?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:3Qa944OTMZkg8DHjET8JQv","https://open.spotify.com/track/3Qa944OTMZkg8DHjET8JQv","Circles","C","major","C major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,"2Yv2mHzr5AQavVdwQjEokV","https://api.spotify.com/v1/audio-analysis/2Yv2mHzr5AQavVdwQjEokV",4,1,298440,FALSE,"https://api.spotify.com/v1/tracks/2Yv2mHzr5AQavVdwQjEokV",FALSE,"Hand Me Downs","https://p.scdn.co/mp3-preview/91d443cf46b9574e40dad9306625958ee5d2357d?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:2Yv2mHzr5AQavVdwQjEokV","https://open.spotify.com/track/2Yv2mHzr5AQavVdwQjEokV","Circles","D","major","D major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.583,0.499,10,-10.086,1,0.0261,0.591,0.0104,0.33,0.342,155.199,"0udOCZp7yk0Ml92C0k8H8D","https://api.spotify.com/v1/audio-analysis/0udOCZp7yk0Ml92C0k8H8D",3,1,217868,FALSE,"https://api.spotify.com/v1/tracks/0udOCZp7yk0Ml92C0k8H8D",FALSE,"That's On Me","https://p.scdn.co/mp3-preview/c0ee1625d64833e34eb8ee100911f406c30757c1?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0udOCZp7yk0Ml92C0k8H8D","https://open.spotify.com/track/0udOCZp7yk0Ml92C0k8H8D","Circles","A#","major","A# major","rap"
"Mac Miller","4LLpKhyESsyAXpc4laK94U","5sY6UIQ32GqwMLAfSNEaXb","album","2020-01-17",2020,"day",0.739,0.627,0,-8.608,1,0.171,0.0459,0,0.159,0.542,74.962,"6CrnvqCxBKVWahSiQwOesM","https://api.spotify.com/v1/audio-analysis/6CrnvqCxBKVWahSiQwOesM",4,1,199981,TRUE,"https://api.spotify.com/v1/tracks/6CrnvqCxBKVWahSiQwOesM",FALSE,"Hands","https://p.scdn.co/mp3-preview/f5faace62b9c7ee8c61364fd8ef365605a781b2b?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:6CrnvqCxBKVWahSiQwOesM","https://open.spotify.com/track/6CrnvqCxBKVWahSiQwOesM","Circles","C","major","C major","rap"
