"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.268,0.829,7,-5.17,1,0.101,0.00107,0,0.157,0.351,199.886,"4kDgnKgZTX6puRz9EoNjle","https://api.spotify.com/v1/audio-analysis/4kDgnKgZTX6puRz9EoNjle",4,1,165967,TRUE,"https://api.spotify.com/v1/tracks/4kDgnKgZTX6puRz9EoNjle",FALSE,"title track",NA,1,"track","spotify:track:4kDgnKgZTX6puRz9EoNjle","https://open.spotify.com/track/4kDgnKgZTX6puRz9EoNjle","Tickets To My Downfall","G","major","G major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.569,0.85,1,-5.134,1,0.055,0.000279,0,0.337,0.769,162.061,"69LvvkHnFFnX3d5eNObtMo","https://api.spotify.com/v1/audio-analysis/69LvvkHnFFnX3d5eNObtMo",4,1,138097,TRUE,"https://api.spotify.com/v1/tracks/69LvvkHnFFnX3d5eNObtMo",FALSE,"kiss kiss",NA,2,"track","spotify:track:69LvvkHnFFnX3d5eNObtMo","https://open.spotify.com/track/69LvvkHnFFnX3d5eNObtMo","Tickets To My Downfall","C#","major","C# major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.691,0.77,7,-4.578,0,0.0367,0.0282,0,0.497,0.344,90.024,"3k0YJnqMKRZb8swo86vCkq","https://api.spotify.com/v1/audio-analysis/3k0YJnqMKRZb8swo86vCkq",4,1,143900,TRUE,"https://api.spotify.com/v1/tracks/3k0YJnqMKRZb8swo86vCkq",FALSE,"drunk face",NA,3,"track","spotify:track:3k0YJnqMKRZb8swo86vCkq","https://open.spotify.com/track/3k0YJnqMKRZb8swo86vCkq","Tickets To My Downfall","G","minor","G minor","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.533,0.858,2,-4.212,1,0.0766,0.00021,0,0.148,0.506,160.057,"6mADjHs6FXdroPzEGW6KVJ","https://api.spotify.com/v1/audio-analysis/6mADjHs6FXdroPzEGW6KVJ",4,1,205158,TRUE,"https://api.spotify.com/v1/tracks/6mADjHs6FXdroPzEGW6KVJ",FALSE,"bloody valentine",NA,4,"track","spotify:track:6mADjHs6FXdroPzEGW6KVJ","https://open.spotify.com/track/6mADjHs6FXdroPzEGW6KVJ","Tickets To My Downfall","D","major","D major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,"1VSuFS7PahCN3SWbOcQ98m","https://api.spotify.com/v1/audio-analysis/1VSuFS7PahCN3SWbOcQ98m",4,1,171620,TRUE,"https://api.spotify.com/v1/tracks/1VSuFS7PahCN3SWbOcQ98m",FALSE,"forget me too (feat. Halsey)",NA,5,"track","spotify:track:1VSuFS7PahCN3SWbOcQ98m","https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m","Tickets To My Downfall","C#","major","C# major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.712,0.624,9,-6.911,1,0.067,0.0342,4.91e-05,0.0919,0.335,77.471,"1vuUbnY82fCNjfzqjLmblw","https://api.spotify.com/v1/audio-analysis/1vuUbnY82fCNjfzqjLmblw",4,1,129142,TRUE,"https://api.spotify.com/v1/tracks/1vuUbnY82fCNjfzqjLmblw",FALSE,"all I know (feat. Trippie Redd)",NA,6,"track","spotify:track:1vuUbnY82fCNjfzqjLmblw","https://open.spotify.com/track/1vuUbnY82fCNjfzqjLmblw","Tickets To My Downfall","A","major","A major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.455,0.728,6,-6.62,0,0.0749,0.015,4.74e-05,0.111,0.461,165.948,"6EPxapAlha7pEyn5kXgW3R","https://api.spotify.com/v1/audio-analysis/6EPxapAlha7pEyn5kXgW3R",3,1,190142,TRUE,"https://api.spotify.com/v1/tracks/6EPxapAlha7pEyn5kXgW3R",FALSE,"lonely",NA,7,"track","spotify:track:6EPxapAlha7pEyn5kXgW3R","https://open.spotify.com/track/6EPxapAlha7pEyn5kXgW3R","Tickets To My Downfall","F#","minor","F# minor","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.435,0.932,4,-3.652,1,0.148,7.47e-05,1.31e-06,0.12,0.812,160.084,"41ltleYVuvEjnqiygy2rQ3","https://api.spotify.com/v1/audio-analysis/41ltleYVuvEjnqiygy2rQ3",4,1,59739,TRUE,"https://api.spotify.com/v1/tracks/41ltleYVuvEjnqiygy2rQ3",FALSE,"WWIII",NA,8,"track","spotify:track:41ltleYVuvEjnqiygy2rQ3","https://open.spotify.com/track/41ltleYVuvEjnqiygy2rQ3","Tickets To My Downfall","E","major","E major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.603,0.626,7,-12.27,1,0.947,0.887,2.67e-06,0.733,0.226,181.151,"7Ct4wK3Fpp8vvZGcWy4NCP","https://api.spotify.com/v1/audio-analysis/7Ct4wK3Fpp8vvZGcWy4NCP",1,1,83297,TRUE,"https://api.spotify.com/v1/tracks/7Ct4wK3Fpp8vvZGcWy4NCP",FALSE,"kevin and barracuda - interlude",NA,9,"track","spotify:track:7Ct4wK3Fpp8vvZGcWy4NCP","https://open.spotify.com/track/7Ct4wK3Fpp8vvZGcWy4NCP","Tickets To My Downfall","G","major","G major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.507,0.951,11,-2.999,1,0.0586,0.00032,0,0.33,0.692,95.016,"7os53rdrgA0OU6xC5xJruX","https://api.spotify.com/v1/audio-analysis/7os53rdrgA0OU6xC5xJruX",4,1,160222,TRUE,"https://api.spotify.com/v1/tracks/7os53rdrgA0OU6xC5xJruX",FALSE,"concert for aliens",NA,10,"track","spotify:track:7os53rdrgA0OU6xC5xJruX","https://open.spotify.com/track/7os53rdrgA0OU6xC5xJruX","Tickets To My Downfall","B","major","B major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,"7kDUspsoYfLkWnZR7qwHZl","https://api.spotify.com/v1/audio-analysis/7kDUspsoYfLkWnZR7qwHZl",4,1,139460,TRUE,"https://api.spotify.com/v1/tracks/7kDUspsoYfLkWnZR7qwHZl",FALSE,"my ex's best friend (with blackbear)",NA,11,"track","spotify:track:7kDUspsoYfLkWnZR7qwHZl","https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl","Tickets To My Downfall","F","minor","F minor","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.707,0.576,2,-5.665,1,0.0364,0.000615,0,0.405,0.632,128.08,"2iVsPIS2yjS4xhs5Rdy65O","https://api.spotify.com/v1/audio-analysis/2iVsPIS2yjS4xhs5Rdy65O",4,1,117579,TRUE,"https://api.spotify.com/v1/tracks/2iVsPIS2yjS4xhs5Rdy65O",FALSE,"jawbreaker",NA,12,"track","spotify:track:2iVsPIS2yjS4xhs5Rdy65O","https://open.spotify.com/track/2iVsPIS2yjS4xhs5Rdy65O","Tickets To My Downfall","D","major","D major","rap"
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","57lgFncHBYu5E3igZnuCJK","album","2020-09-25",2020,"day",0.561,0.81,8,-4.754,0,0.0461,0.00047,0,0.157,0.508,87.5,"1eTdTVIxLlhHwwA50vEzZa","https://api.spotify.com/v1/audio-analysis/1eTdTVIxLlhHwwA50vEzZa",4,1,172234,TRUE,"https://api.spotify.com/v1/tracks/1eTdTVIxLlhHwwA50vEzZa",FALSE,"nothing inside (feat. iann dior)",NA,13,"track","spotify:track:1eTdTVIxLlhHwwA50vEzZa","https://open.spotify.com/track/1eTdTVIxLlhHwwA50vEzZa","Tickets To My Downfall","G#","minor","G# minor","rap"
