"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.526,0.608,10,-5.776,0,0.169,0.127,0,0.113,0.372,93.311,"1mimxOfJyT9LHzI5Y5XB2F","https://api.spotify.com/v1/audio-analysis/1mimxOfJyT9LHzI5Y5XB2F",4,1,239760,FALSE,"https://api.spotify.com/v1/tracks/1mimxOfJyT9LHzI5Y5XB2F",FALSE,"Best 4 U",NA,1,"track","spotify:track:1mimxOfJyT9LHzI5Y5XB2F","https://open.spotify.com/track/1mimxOfJyT9LHzI5Y5XB2F","Red Pill Blues + (Deluxe)","A#","minor","A# minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.796,0.608,5,-5.124,0,0.0568,0.0834,3.54e-06,0.125,0.425,110.025,"5BvcK5Cns4owVBSswDArJG","https://api.spotify.com/v1/audio-analysis/5BvcK5Cns4owVBSswDArJG",4,1,199853,FALSE,"https://api.spotify.com/v1/tracks/5BvcK5Cns4owVBSswDArJG",FALSE,"What Lovers Do",NA,2,"track","spotify:track:5BvcK5Cns4owVBSswDArJG","https://open.spotify.com/track/5BvcK5Cns4owVBSswDArJG","Red Pill Blues + (Deluxe)","F","minor","F minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.654,0.589,8,-5.009,1,0.0582,0.0986,0,0.103,0.455,126.13,"0nvU7ZwJHNPOJODxwxSR8C","https://api.spotify.com/v1/audio-analysis/0nvU7ZwJHNPOJODxwxSR8C",4,1,190640,FALSE,"https://api.spotify.com/v1/tracks/0nvU7ZwJHNPOJODxwxSR8C",FALSE,"Wait",NA,3,"track","spotify:track:0nvU7ZwJHNPOJODxwxSR8C","https://open.spotify.com/track/0nvU7ZwJHNPOJODxwxSR8C","Red Pill Blues + (Deluxe)","G#","major","G# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.653,0.547,9,-6.631,1,0.0329,0.144,4.49e-06,0.088,0.118,103.047,"6X0pyufTQG5EFVXEeLhBfq","https://api.spotify.com/v1/audio-analysis/6X0pyufTQG5EFVXEeLhBfq",4,1,216933,FALSE,"https://api.spotify.com/v1/tracks/6X0pyufTQG5EFVXEeLhBfq",FALSE,"Lips On You",NA,4,"track","spotify:track:6X0pyufTQG5EFVXEeLhBfq","https://open.spotify.com/track/6X0pyufTQG5EFVXEeLhBfq","Red Pill Blues + (Deluxe)","A","major","A major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.764,0.591,8,-6.669,0,0.0514,0.126,0,0.156,0.422,121.109,"7kjT4UbmDA6kEN5omfBitu","https://api.spotify.com/v1/audio-analysis/7kjT4UbmDA6kEN5omfBitu",4,1,196120,FALSE,"https://api.spotify.com/v1/tracks/7kjT4UbmDA6kEN5omfBitu",FALSE,"Bet My Heart",NA,5,"track","spotify:track:7kjT4UbmDA6kEN5omfBitu","https://open.spotify.com/track/7kjT4UbmDA6kEN5omfBitu","Red Pill Blues + (Deluxe)","G#","minor","G# minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.935,0.565,11,-4.796,1,0.0628,0.447,2.54e-05,0.0998,0.529,115.082,"2WTAN36QVHH2x4LRO9ky5F","https://api.spotify.com/v1/audio-analysis/2WTAN36QVHH2x4LRO9ky5F",4,1,193600,FALSE,"https://api.spotify.com/v1/tracks/2WTAN36QVHH2x4LRO9ky5F",FALSE,"Help Me Out",NA,6,"track","spotify:track:2WTAN36QVHH2x4LRO9ky5F","https://open.spotify.com/track/2WTAN36QVHH2x4LRO9ky5F","Red Pill Blues + (Deluxe)","B","major","B major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.793,0.676,5,-4.009,1,0.0962,0.165,1.1e-05,0.244,0.667,125.037,"7vuwqUPpwYMfaCrACzN81P","https://api.spotify.com/v1/audio-analysis/7vuwqUPpwYMfaCrACzN81P",4,1,183426,FALSE,"https://api.spotify.com/v1/tracks/7vuwqUPpwYMfaCrACzN81P",FALSE,"Who I Am",NA,7,"track","spotify:track:7vuwqUPpwYMfaCrACzN81P","https://open.spotify.com/track/7vuwqUPpwYMfaCrACzN81P","Red Pill Blues + (Deluxe)","F","major","F major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.592,0.409,7,-8.277,0,0.0541,0.774,0,0.109,0.0827,103.221,"3EP0XUbQ0z0ucfm4TUUhBx","https://api.spotify.com/v1/audio-analysis/3EP0XUbQ0z0ucfm4TUUhBx",4,1,210426,FALSE,"https://api.spotify.com/v1/tracks/3EP0XUbQ0z0ucfm4TUUhBx",FALSE,"Whiskey",NA,8,"track","spotify:track:3EP0XUbQ0z0ucfm4TUUhBx","https://open.spotify.com/track/3EP0XUbQ0z0ucfm4TUUhBx","Red Pill Blues + (Deluxe)","G","minor","G minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.624,0.468,0,-7.065,1,0.0585,0.555,0,0.131,0.375,60.349,"7ubVJJZQhmW7ckP1fJhQA4","https://api.spotify.com/v1/audio-analysis/7ubVJJZQhmW7ckP1fJhQA4",4,1,215226,FALSE,"https://api.spotify.com/v1/tracks/7ubVJJZQhmW7ckP1fJhQA4",FALSE,"Girls Like You",NA,9,"track","spotify:track:7ubVJJZQhmW7ckP1fJhQA4","https://open.spotify.com/track/7ubVJJZQhmW7ckP1fJhQA4","Red Pill Blues + (Deluxe)","C","major","C major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.796,0.812,0,-6.689,0,0.0571,0.188,0.0517,0.417,0.441,116.977,"60wk9sGnbJtGgEBsr4bSPv","https://api.spotify.com/v1/audio-analysis/60wk9sGnbJtGgEBsr4bSPv",4,1,688733,FALSE,"https://api.spotify.com/v1/tracks/60wk9sGnbJtGgEBsr4bSPv",FALSE,"Closure",NA,10,"track","spotify:track:60wk9sGnbJtGgEBsr4bSPv","https://open.spotify.com/track/60wk9sGnbJtGgEBsr4bSPv","Red Pill Blues + (Deluxe)","C","minor","C minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.782,0.625,1,-5.34,1,0.0685,0.148,0,0.0956,0.314,118.025,"04N5FTf5GZ5qcvvZeLw9bL","https://api.spotify.com/v1/audio-analysis/04N5FTf5GZ5qcvvZeLw9bL",4,1,232560,TRUE,"https://api.spotify.com/v1/tracks/04N5FTf5GZ5qcvvZeLw9bL",FALSE,"Denim Jacket",NA,11,"track","spotify:track:04N5FTf5GZ5qcvvZeLw9bL","https://open.spotify.com/track/04N5FTf5GZ5qcvvZeLw9bL","Red Pill Blues + (Deluxe)","C#","major","C# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.6,0.752,0,-5.389,1,0.0581,0.0694,0,0.124,0.628,155.015,"5QuVy6mYOJrA8CAxdSQA8H","https://api.spotify.com/v1/audio-analysis/5QuVy6mYOJrA8CAxdSQA8H",4,1,230720,FALSE,"https://api.spotify.com/v1/tracks/5QuVy6mYOJrA8CAxdSQA8H",FALSE,"Visions",NA,12,"track","spotify:track:5QuVy6mYOJrA8CAxdSQA8H","https://open.spotify.com/track/5QuVy6mYOJrA8CAxdSQA8H","Red Pill Blues + (Deluxe)","C","major","C major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.664,0.742,11,-5.346,0,0.141,0.00468,0,0.058,0.462,110.423,"7rgwulQt0TxOuTnjYZ5Uol","https://api.spotify.com/v1/audio-analysis/7rgwulQt0TxOuTnjYZ5Uol",4,1,222893,FALSE,"https://api.spotify.com/v1/tracks/7rgwulQt0TxOuTnjYZ5Uol",FALSE,"Plastic Rose",NA,13,"track","spotify:track:7rgwulQt0TxOuTnjYZ5Uol","https://open.spotify.com/track/7rgwulQt0TxOuTnjYZ5Uol","Red Pill Blues + (Deluxe)","B","minor","B minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.781,0.623,7,-6.098,1,0.0807,0.377,0,0.0989,0.428,100.079,"7xJanmgQtqOVOupf8QdjEj","https://api.spotify.com/v1/audio-analysis/7xJanmgQtqOVOupf8QdjEj",4,1,214266,FALSE,"https://api.spotify.com/v1/tracks/7xJanmgQtqOVOupf8QdjEj",FALSE,"Don't Wanna Know",NA,14,"track","spotify:track:7xJanmgQtqOVOupf8QdjEj","https://open.spotify.com/track/7xJanmgQtqOVOupf8QdjEj","Red Pill Blues + (Deluxe)","G","major","G major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.697,0.712,9,-6.305,0,0.109,0.119,0,0.0468,0.432,100.054,"7nba4Xvzh1F8MNNHWdNUdh","https://api.spotify.com/v1/audio-analysis/7nba4Xvzh1F8MNNHWdNUdh",4,1,234306,TRUE,"https://api.spotify.com/v1/tracks/7nba4Xvzh1F8MNNHWdNUdh",FALSE,"Cold",NA,15,"track","spotify:track:7nba4Xvzh1F8MNNHWdNUdh","https://open.spotify.com/track/7nba4Xvzh1F8MNNHWdNUdh","Red Pill Blues + (Deluxe)","A","minor","A minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.641,0.53,0,-6.859,1,0.103,0.545,0,0.127,0.475,60.082,"5j5VsdmqacSs6XcZIsKkcx","https://api.spotify.com/v1/audio-analysis/5j5VsdmqacSs6XcZIsKkcx",4,1,235680,TRUE,"https://api.spotify.com/v1/tracks/5j5VsdmqacSs6XcZIsKkcx",FALSE,"Girls Like You",NA,16,"track","spotify:track:5j5VsdmqacSs6XcZIsKkcx","https://open.spotify.com/track/5j5VsdmqacSs6XcZIsKkcx","Red Pill Blues + (Deluxe)","C","major","C major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.739,0.802,1,-7.109,1,0.0424,0.0116,0,0.0859,0.647,120.04,"3ZmB5q79iRyZc5mFTVqigI","https://api.spotify.com/v1/audio-analysis/3ZmB5q79iRyZc5mFTVqigI",4,1,235480,FALSE,"https://api.spotify.com/v1/tracks/3ZmB5q79iRyZc5mFTVqigI",FALSE,"Sugar - Remix",NA,17,"track","spotify:track:3ZmB5q79iRyZc5mFTVqigI","https://open.spotify.com/track/3ZmB5q79iRyZc5mFTVqigI","Red Pill Blues + (Deluxe)","C#","major","C# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.621,0.903,1,-3.499,0,0.112,0.0936,0,0.0786,0.921,89.237,"0EBEgnRLPTEAmofirXu4hQ","https://api.spotify.com/v1/audio-analysis/0EBEgnRLPTEAmofirXu4hQ",4,1,191920,FALSE,"https://api.spotify.com/v1/tracks/0EBEgnRLPTEAmofirXu4hQ",FALSE,"Wake Up Call - Mark Ronson Remix",NA,18,"track","spotify:track:0EBEgnRLPTEAmofirXu4hQ","https://open.spotify.com/track/0EBEgnRLPTEAmofirXu4hQ","Red Pill Blues + (Deluxe)","C#","minor","C# minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.768,0.795,6,-3.047,1,0.0366,0.00334,1.15e-06,0.11,0.922,106.005,"5uZr1d2CPHznf39x0c2Zc1","https://api.spotify.com/v1/audio-analysis/5uZr1d2CPHznf39x0c2Zc1",4,1,198413,FALSE,"https://api.spotify.com/v1/tracks/5uZr1d2CPHznf39x0c2Zc1",FALSE,"If I Never See Your Face Again",NA,19,"track","spotify:track:5uZr1d2CPHznf39x0c2Zc1","https://open.spotify.com/track/5uZr1d2CPHznf39x0c2Zc1","Red Pill Blues + (Deluxe)","F#","major","F# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.719,0.764,11,-4.514,0,0.0445,0.0117,0,0.307,0.609,128.042,"5Ku5Qg4TJxlfxu1gDaKll8","https://api.spotify.com/v1/audio-analysis/5Ku5Qg4TJxlfxu1gDaKll8",4,1,201240,FALSE,"https://api.spotify.com/v1/tracks/5Ku5Qg4TJxlfxu1gDaKll8",FALSE,"Moves Like Jagger - Studio Recording From The Voice Performance",NA,20,"track","spotify:track:5Ku5Qg4TJxlfxu1gDaKll8","https://open.spotify.com/track/5Ku5Qg4TJxlfxu1gDaKll8","Red Pill Blues + (Deluxe)","B","minor","B minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.316,0.324,1,-7.71,1,0.0323,0.558,0,0.0793,0.302,102.077,"1EgdFxPAbZGr4IzDTPhBNs","https://api.spotify.com/v1/audio-analysis/1EgdFxPAbZGr4IzDTPhBNs",4,1,236866,FALSE,"https://api.spotify.com/v1/tracks/1EgdFxPAbZGr4IzDTPhBNs",FALSE,"My Heart Is Open",NA,21,"track","spotify:track:1EgdFxPAbZGr4IzDTPhBNs","https://open.spotify.com/track/1EgdFxPAbZGr4IzDTPhBNs","Red Pill Blues + (Deluxe)","C#","major","C# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.812,0.545,9,-9.289,0,0.0622,0.0871,0.000301,0.0834,0.306,99.978,"6Sd0lFzRT3NAJburRwvi07","https://api.spotify.com/v1/audio-analysis/6Sd0lFzRT3NAJburRwvi07",4,1,237600,TRUE,"https://api.spotify.com/v1/tracks/6Sd0lFzRT3NAJburRwvi07",FALSE,"Girls Like You - CRAY Remix",NA,22,"track","spotify:track:6Sd0lFzRT3NAJburRwvi07","https://open.spotify.com/track/6Sd0lFzRT3NAJburRwvi07","Red Pill Blues + (Deluxe)","A","minor","A minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","3mAaCQNqRARBgzS3BFWwH0","album","2018-11-21",2018,"day",0.757,0.701,10,-6.175,1,0.0741,0.221,1.39e-05,0.103,0.635,109.96,"5qBzWB8dBHGBlV4e8Ok6VV","https://api.spotify.com/v1/audio-analysis/5qBzWB8dBHGBlV4e8Ok6VV",4,1,215026,FALSE,"https://api.spotify.com/v1/tracks/5qBzWB8dBHGBlV4e8Ok6VV",FALSE,"What Lovers Do - A-Trak Remix",NA,23,"track","spotify:track:5qBzWB8dBHGBlV4e8Ok6VV","https://open.spotify.com/track/5qBzWB8dBHGBlV4e8Ok6VV","Red Pill Blues + (Deluxe)","A#","major","A# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,"50zyadvo49CwFsb222eeNQ","https://api.spotify.com/v1/audio-analysis/50zyadvo49CwFsb222eeNQ",4,1,189960,FALSE,"https://api.spotify.com/v1/tracks/50zyadvo49CwFsb222eeNQ",FALSE,"Maps",NA,1,"track","spotify:track:50zyadvo49CwFsb222eeNQ","https://open.spotify.com/track/50zyadvo49CwFsb222eeNQ","V Japan Special Edition","C#","minor","C# minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,"74YqGwJ58HtMcye5ZD1gfp","https://api.spotify.com/v1/audio-analysis/74YqGwJ58HtMcye5ZD1gfp",4,1,231013,FALSE,"https://api.spotify.com/v1/tracks/74YqGwJ58HtMcye5ZD1gfp",FALSE,"Animals",NA,2,"track","spotify:track:74YqGwJ58HtMcye5ZD1gfp","https://open.spotify.com/track/74YqGwJ58HtMcye5ZD1gfp","V Japan Special Edition","E","minor","E minor","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.613,0.765,11,-6.582,1,0.0441,0.082,1.25e-06,0.092,0.299,103.951,"29UoWtSDJva5uagct4HgAc","https://api.spotify.com/v1/audio-analysis/29UoWtSDJva5uagct4HgAc",4,1,239920,FALSE,"https://api.spotify.com/v1/tracks/29UoWtSDJva5uagct4HgAc",FALSE,"It Was Always You",NA,3,"track","spotify:track:29UoWtSDJva5uagct4HgAc","https://open.spotify.com/track/29UoWtSDJva5uagct4HgAc","V Japan Special Edition","B","major","B major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.532,0.599,6,-6.543,1,0.0333,0.00784,0,0.14,0.113,130.019,"5k8tDyErPDBkS8j6sPikLu","https://api.spotify.com/v1/audio-analysis/5k8tDyErPDBkS8j6sPikLu",4,1,238200,FALSE,"https://api.spotify.com/v1/tracks/5k8tDyErPDBkS8j6sPikLu",FALSE,"Unkiss Me",NA,4,"track","spotify:track:5k8tDyErPDBkS8j6sPikLu","https://open.spotify.com/track/5k8tDyErPDBkS8j6sPikLu","V Japan Special Edition","F#","major","F# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,"6eV7eK07znOHcKz3bzEmpS","https://api.spotify.com/v1/audio-analysis/6eV7eK07znOHcKz3bzEmpS",4,1,235493,TRUE,"https://api.spotify.com/v1/tracks/6eV7eK07znOHcKz3bzEmpS",FALSE,"Sugar",NA,5,"track","spotify:track:6eV7eK07znOHcKz3bzEmpS","https://open.spotify.com/track/6eV7eK07znOHcKz3bzEmpS","V Japan Special Edition","C#","major","C# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.501,0.704,3,-5.64,1,0.0326,0.284,0,0.155,0.27,97.039,"3x4TEFa7MRy0tNXAMcAT5w","https://api.spotify.com/v1/audio-analysis/3x4TEFa7MRy0tNXAMcAT5w",4,1,203453,FALSE,"https://api.spotify.com/v1/tracks/3x4TEFa7MRy0tNXAMcAT5w",FALSE,"Leaving California",NA,6,"track","spotify:track:3x4TEFa7MRy0tNXAMcAT5w","https://open.spotify.com/track/3x4TEFa7MRy0tNXAMcAT5w","V Japan Special Edition","D#","major","D# major","rock"
"Maroon 5","04gDigrS5kc9YWfZHwBETP","1O9WSLw5TKAGqpu71k7qvX","album","2015-07-22",2015,"day",0.618,0.837,6,-6.142,0,0.0515,0.032,0,0.0475,0.434,126.082,"7nLpWcpScYJxiUozUS9Eri","https://api.spotify.com/v1/audio-analysis/7nLpWcpScYJxiUozUS9Eri",4,1,219493,TRUE,"https://api.spotify.com/v1/tracks/7nLpWcpScYJxiUozUS9Eri",FALSE,"In Your Pocket",NA,7,"track","spotify:track:7nLpWcpScYJxiUozUS9Eri","https://open.spotify.com/track/7nLpWcpScYJxiUozUS9Eri","V Japan Special Edition","F#","minor","F# minor","rock"
