"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.6,0.421,3,-8.539,1,0.0232,0.843,0.184,0.139,0.359,76.463,"3PBdjqFUZ0lIG9fcqsDall","https://api.spotify.com/v1/audio-analysis/3PBdjqFUZ0lIG9fcqsDall",4,1,205836,TRUE,"https://api.spotify.com/v1/tracks/3PBdjqFUZ0lIG9fcqsDall",FALSE,"Rom-Com Gone Wrong","https://p.scdn.co/mp3-preview/c4c08e88123d844f3fb93b6a7fd182949574c4b6?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3PBdjqFUZ0lIG9fcqsDall","https://open.spotify.com/track/3PBdjqFUZ0lIG9fcqsDall","Krystal","D#","major","D# major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.586,0.419,10,-7.776,1,0.027,0.778,0.568,0.172,0.21,114.646,"6bcVXBLGUwg2qQbgzGlmnH","https://api.spotify.com/v1/audio-analysis/6bcVXBLGUwg2qQbgzGlmnH",4,1,188642,FALSE,"https://api.spotify.com/v1/tracks/6bcVXBLGUwg2qQbgzGlmnH",FALSE,"Tall Buildings","https://p.scdn.co/mp3-preview/571dd4280db736fa36f3925e685af2fdbec40f52?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6bcVXBLGUwg2qQbgzGlmnH","https://open.spotify.com/track/6bcVXBLGUwg2qQbgzGlmnH","Krystal","A#","major","A# major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.457,0.681,7,-6.795,1,0.0421,0.849,0.0622,0.337,0.616,133.72,"32d2oEBsYXp4DLKwOTxN41","https://api.spotify.com/v1/audio-analysis/32d2oEBsYXp4DLKwOTxN41",4,1,184522,FALSE,"https://api.spotify.com/v1/tracks/32d2oEBsYXp4DLKwOTxN41",FALSE,"Tokyo","https://p.scdn.co/mp3-preview/c3081a844fa9691eca35d3846b44dae10aa42d88?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:32d2oEBsYXp4DLKwOTxN41","https://open.spotify.com/track/32d2oEBsYXp4DLKwOTxN41","Krystal","G","major","G major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.382,0.372,3,-10.816,1,0.042,0.912,0.0807,0.0817,0.175,114.989,"5MCWGlxsEbPbpoL8yZ7vc4","https://api.spotify.com/v1/audio-analysis/5MCWGlxsEbPbpoL8yZ7vc4",4,1,179157,FALSE,"https://api.spotify.com/v1/tracks/5MCWGlxsEbPbpoL8yZ7vc4",FALSE,"Wish You'd Ask Me","https://p.scdn.co/mp3-preview/8cbff1146a71d3ec5d00adb5353647be50dac19b?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:5MCWGlxsEbPbpoL8yZ7vc4","https://open.spotify.com/track/5MCWGlxsEbPbpoL8yZ7vc4","Krystal","D#","major","D# major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.497,0.547,7,-7.822,1,0.0284,0.393,0.029,0.617,0.46,179.876,"4rPLA6BP20ylMOTWOKg0PB","https://api.spotify.com/v1/audio-analysis/4rPLA6BP20ylMOTWOKg0PB",4,1,168852,FALSE,"https://api.spotify.com/v1/tracks/4rPLA6BP20ylMOTWOKg0PB",FALSE,"Jupiter","https://p.scdn.co/mp3-preview/65d15d1db2e9b549b783ae837e0e58c0025d143e?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4rPLA6BP20ylMOTWOKg0PB","https://open.spotify.com/track/4rPLA6BP20ylMOTWOKg0PB","Krystal","G","major","G major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.76,0.205,7,-16.991,0,0.0396,0.907,0.123,0.1,0.611,85.09,"1DISvj8arBIauojWwQOZgY","https://api.spotify.com/v1/audio-analysis/1DISvj8arBIauojWwQOZgY",4,1,79989,FALSE,"https://api.spotify.com/v1/tracks/1DISvj8arBIauojWwQOZgY",FALSE,"Intolewd","https://p.scdn.co/mp3-preview/7d6afefa824f7df91bf3ed5a08e8c6643b2c48c2?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1DISvj8arBIauojWwQOZgY","https://open.spotify.com/track/1DISvj8arBIauojWwQOZgY","Krystal","G","minor","G minor","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.515,0.508,3,-8.073,1,0.0278,0.735,0.753,0.119,0.368,153.629,"7IqLiGw7PhgQy95uju4sC6","https://api.spotify.com/v1/audio-analysis/7IqLiGw7PhgQy95uju4sC6",4,1,220244,FALSE,"https://api.spotify.com/v1/tracks/7IqLiGw7PhgQy95uju4sC6",FALSE,"Krystal","https://p.scdn.co/mp3-preview/90ef334ecdc43fb3b1d18fcd0521190fb38e4583?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:7IqLiGw7PhgQy95uju4sC6","https://open.spotify.com/track/7IqLiGw7PhgQy95uju4sC6","Krystal","D#","major","D# major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.617,0.279,11,-8.483,1,0.0271,0.875,0.567,0.109,0.247,131.979,"6BXjxTBPl3zDFSj82w6ZNf","https://api.spotify.com/v1/audio-analysis/6BXjxTBPl3zDFSj82w6ZNf",3,1,202022,FALSE,"https://api.spotify.com/v1/tracks/6BXjxTBPl3zDFSj82w6ZNf",FALSE,"Curl up & Die","https://p.scdn.co/mp3-preview/c984c9d91f4a2454438c6345341922ace114c391?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:6BXjxTBPl3zDFSj82w6ZNf","https://open.spotify.com/track/6BXjxTBPl3zDFSj82w6ZNf","Krystal","B","major","B major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.342,0.343,6,-9.036,1,0.0308,0.598,0.133,0.131,0.121,135.93,"2ojpCmD2DITYpEabhpsud8","https://api.spotify.com/v1/audio-analysis/2ojpCmD2DITYpEabhpsud8",4,1,168396,FALSE,"https://api.spotify.com/v1/tracks/2ojpCmD2DITYpEabhpsud8",FALSE,"Human Remains","https://p.scdn.co/mp3-preview/88de340d579011376515a7917f3685462fe9bda6?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2ojpCmD2DITYpEabhpsud8","https://open.spotify.com/track/2ojpCmD2DITYpEabhpsud8","Krystal","F#","major","F# major","folk"
"Matt Maltese","12j6dJrPXanCBwY599pZxf","5rLB5rBJ1TbmqqGUED3WLZ","album","2019-11-08",2019,"day",0.464,0.0498,0,-16.715,1,0.0484,0.977,0.00229,0.159,0.0652,117.132,"7s6bsvLGVFQ25JPgDjT0v7","https://api.spotify.com/v1/audio-analysis/7s6bsvLGVFQ25JPgDjT0v7",4,1,192648,FALSE,"https://api.spotify.com/v1/tracks/7s6bsvLGVFQ25JPgDjT0v7",FALSE,"When You Wash Your Hair","https://p.scdn.co/mp3-preview/df2f61f66d8130e0d3674685e75d54ea0fe1af88?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:7s6bsvLGVFQ25JPgDjT0v7","https://open.spotify.com/track/7s6bsvLGVFQ25JPgDjT0v7","Krystal","C","major","C major","folk"
