"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.385,0.124,9,-11.263,0,0.0335,0.958,0.95,0.205,0.155,70.399,"5zFSAeumpGKhKLgax4LBvA","https://api.spotify.com/v1/audio-analysis/5zFSAeumpGKhKLgax4LBvA",4,1,169200,FALSE,"https://api.spotify.com/v1/tracks/5zFSAeumpGKhKLgax4LBvA",FALSE,"Générique - BOF ""Ascenseur pour l'échafaud""",NA,1,"track","spotify:track:5zFSAeumpGKhKLgax4LBvA","https://open.spotify.com/track/5zFSAeumpGKhKLgax4LBvA","Jazz & Cinéma","A","minor","A minor","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.277,0.059,2,-17.256,0,0.0416,0.922,7.99e-05,0.1,0.142,117.725,"7GI5RNqJRv5I0VhArMb6v1","https://api.spotify.com/v1/audio-analysis/7GI5RNqJRv5I0VhArMb6v1",4,1,129860,FALSE,"https://api.spotify.com/v1/tracks/7GI5RNqJRv5I0VhArMb6v1",FALSE,"L'assassinat de Carala - BOF ""Ascenseur pour l'échafaud""",NA,2,"track","spotify:track:7GI5RNqJRv5I0VhArMb6v1","https://open.spotify.com/track/7GI5RNqJRv5I0VhArMb6v1","Jazz & Cinéma","D","minor","D minor","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.485,0.61,8,-9.574,1,0.301,0.388,0.0128,0.216,0.714,172.394,"2bTLBs0YFFiewaTcORwejY","https://api.spotify.com/v1/audio-analysis/2bTLBs0YFFiewaTcORwejY",4,1,138490,FALSE,"https://api.spotify.com/v1/tracks/2bTLBs0YFFiewaTcORwejY",FALSE,"Sur l'autoroute - BOF ""Ascenseur pour l'échafaud""",NA,3,"track","spotify:track:2bTLBs0YFFiewaTcORwejY","https://open.spotify.com/track/2bTLBs0YFFiewaTcORwejY","Jazz & Cinéma","G#","major","G# major","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.251,0.0133,7,-20.374,0,0.0444,0.906,0.0665,0.134,0.0376,77.59,"3j37ALiv4ZWeLQ7qBAhpPZ","https://api.spotify.com/v1/audio-analysis/3j37ALiv4ZWeLQ7qBAhpPZ",3,1,129679,FALSE,"https://api.spotify.com/v1/tracks/3j37ALiv4ZWeLQ7qBAhpPZ",FALSE,"Julien dans l'ascenseur - BOF ""Ascenseur pour l'échafaud""",NA,4,"track","spotify:track:3j37ALiv4ZWeLQ7qBAhpPZ","https://open.spotify.com/track/3j37ALiv4ZWeLQ7qBAhpPZ","Jazz & Cinéma","G","minor","G minor","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.499,0.128,2,-10.923,0,0.0327,0.954,0.801,0.202,0.372,109.282,"2bLzgPyXqVNd3mwAxnGqC2","https://api.spotify.com/v1/audio-analysis/2bLzgPyXqVNd3mwAxnGqC2",4,1,172026,FALSE,"https://api.spotify.com/v1/tracks/2bLzgPyXqVNd3mwAxnGqC2",FALSE,"Florence sur les Champs-Élysées - BOF ""Ascenseur pour l'échafaud""",NA,5,"track","spotify:track:2bLzgPyXqVNd3mwAxnGqC2","https://open.spotify.com/track/2bLzgPyXqVNd3mwAxnGqC2","Jazz & Cinéma","D","minor","D minor","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.657,0.445,8,-10.282,1,0.139,0.141,4.52e-05,0.435,0.63,76.952,"1oBqjTMHTrj2SasTZqSqyT","https://api.spotify.com/v1/audio-analysis/1oBqjTMHTrj2SasTZqSqyT",4,1,237050,FALSE,"https://api.spotify.com/v1/tracks/1oBqjTMHTrj2SasTZqSqyT",FALSE,"Dîner au motel - BOF ""Ascenseur pour l'échafaud""",NA,6,"track","spotify:track:1oBqjTMHTrj2SasTZqSqyT","https://open.spotify.com/track/1oBqjTMHTrj2SasTZqSqyT","Jazz & Cinéma","G#","major","G# major","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.713,0.0388,7,-34.428,1,0.0786,0.929,0.971,0.107,0.752,60.766,"0F9hDjlUu2Mhem50oAfTt2","https://api.spotify.com/v1/audio-analysis/0F9hDjlUu2Mhem50oAfTt2",4,1,53189,FALSE,"https://api.spotify.com/v1/tracks/0F9hDjlUu2Mhem50oAfTt2",FALSE,"Évasion de Julien - BOF ""Ascenseur pour l'échafaud""",NA,7,"track","spotify:track:0F9hDjlUu2Mhem50oAfTt2","https://open.spotify.com/track/0F9hDjlUu2Mhem50oAfTt2","Jazz & Cinéma","G","major","G major","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.371,0.00863,7,-27.51,1,0.0927,0.945,0.95,0.104,0.205,182.593,"7Ie0KIyqv4axcDSOCqBcP8","https://api.spotify.com/v1/audio-analysis/7Ie0KIyqv4axcDSOCqBcP8",3,1,123168,FALSE,"https://api.spotify.com/v1/tracks/7Ie0KIyqv4axcDSOCqBcP8",FALSE,"Visite du vigile - BOF ""Ascenseur pour l'échafaud""",NA,8,"track","spotify:track:7Ie0KIyqv4axcDSOCqBcP8","https://open.spotify.com/track/7Ie0KIyqv4axcDSOCqBcP8","Jazz & Cinéma","G","major","G major","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.467,0.321,2,-10.64,0,0.0367,0.819,0.959,0.131,0.458,126.504,"4PhkgCRnvpZ93of98OkIQB","https://api.spotify.com/v1/audio-analysis/4PhkgCRnvpZ93of98OkIQB",4,1,172330,FALSE,"https://api.spotify.com/v1/tracks/4PhkgCRnvpZ93of98OkIQB",FALSE,"Au bar du Petit Bac - BOF ""Ascenseur pour l'échafaud""",NA,9,"track","spotify:track:4PhkgCRnvpZ93of98OkIQB","https://open.spotify.com/track/4PhkgCRnvpZ93of98OkIQB","Jazz & Cinéma","D","minor","D minor","jazz"
"Miles Davis","0kbYTNQb4Pb1rPbbaF0pT4","3bJj9qcC4DkbUx2rLLRilV","album","2021-01-21",2021,"day",0.543,0.0763,2,-12.029,0,0.0339,0.882,0.000722,0.0945,0.234,63.389,"5zqUjP8miFVC43YSScgKMJ","https://api.spotify.com/v1/audio-analysis/5zqUjP8miFVC43YSScgKMJ",4,1,230690,FALSE,"https://api.spotify.com/v1/tracks/5zqUjP8miFVC43YSScgKMJ",FALSE,"Chez le photographe du motel - BOF ""Ascenseur pour l'échafaud""",NA,10,"track","spotify:track:5zqUjP8miFVC43YSScgKMJ","https://open.spotify.com/track/5zqUjP8miFVC43YSScgKMJ","Jazz & Cinéma","D","minor","D minor","jazz"
