"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.524,0.515,2,-6.023,1,0.0347,0.657,5.82e-06,0.0782,0.545,115.997,"79KaapVeE2Ufw4weybP8gs","https://api.spotify.com/v1/audio-analysis/79KaapVeE2Ufw4weybP8gs",4,1,204746,FALSE,"https://api.spotify.com/v1/tracks/79KaapVeE2Ufw4weybP8gs",FALSE,"Frenesi",NA,1,"track","spotify:track:79KaapVeE2Ufw4weybP8gs","https://open.spotify.com/track/79KaapVeE2Ufw4weybP8gs","Natalie Cole En Español","D","major","D major","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.47,0.548,6,-7.435,0,0.0274,0.629,3.49e-05,0.442,0.391,80.167,"4l2ReKJBc8vnPa13Evgvsg","https://api.spotify.com/v1/audio-analysis/4l2ReKJBc8vnPa13Evgvsg",4,1,246586,FALSE,"https://api.spotify.com/v1/tracks/4l2ReKJBc8vnPa13Evgvsg",FALSE,"Voy A Apagar La Luz / Contigo Aprendi - Medley",NA,2,"track","spotify:track:4l2ReKJBc8vnPa13Evgvsg","https://open.spotify.com/track/4l2ReKJBc8vnPa13Evgvsg","Natalie Cole En Español","F#","minor","F# minor","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.734,0.443,3,-8.613,1,0.0249,0.669,1.58e-05,0.098,0.728,99.994,"1BNW55FOn5MAJupFk6iuLj","https://api.spotify.com/v1/audio-analysis/1BNW55FOn5MAJupFk6iuLj",4,1,166720,FALSE,"https://api.spotify.com/v1/tracks/1BNW55FOn5MAJupFk6iuLj",FALSE,"Acércate Más",NA,3,"track","spotify:track:1BNW55FOn5MAJupFk6iuLj","https://open.spotify.com/track/1BNW55FOn5MAJupFk6iuLj","Natalie Cole En Español","D#","major","D# major","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.689,0.468,5,-10.655,0,0.0256,0.465,0.0188,0.248,0.366,104.973,"46Sd8QbK8IF3WZME0Kh951","https://api.spotify.com/v1/audio-analysis/46Sd8QbK8IF3WZME0Kh951",4,1,188253,FALSE,"https://api.spotify.com/v1/tracks/46Sd8QbK8IF3WZME0Kh951",FALSE,"Mañana De Carnaval",NA,4,"track","spotify:track:46Sd8QbK8IF3WZME0Kh951","https://open.spotify.com/track/46Sd8QbK8IF3WZME0Kh951","Natalie Cole En Español","F","minor","F minor","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.563,0.426,5,-9.078,0,0.0277,0.907,0.000846,0.101,0.361,94.927,"61b52Y1CtwRQW36S1Y6FaC","https://api.spotify.com/v1/audio-analysis/61b52Y1CtwRQW36S1Y6FaC",4,1,242333,FALSE,"https://api.spotify.com/v1/tracks/61b52Y1CtwRQW36S1Y6FaC",FALSE,"Bésame Mucho",NA,5,"track","spotify:track:61b52Y1CtwRQW36S1Y6FaC","https://open.spotify.com/track/61b52Y1CtwRQW36S1Y6FaC","Natalie Cole En Español","F","minor","F minor","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.851,0.622,11,-7.996,0,0.0283,0.418,0.00145,0.0736,0.889,109.992,"17PYhpX3pHxZ55NpaVhp6p","https://api.spotify.com/v1/audio-analysis/17PYhpX3pHxZ55NpaVhp6p",4,1,147826,FALSE,"https://api.spotify.com/v1/tracks/17PYhpX3pHxZ55NpaVhp6p",FALSE,"Quizás, Quizás, Quizás",NA,6,"track","spotify:track:17PYhpX3pHxZ55NpaVhp6p","https://open.spotify.com/track/17PYhpX3pHxZ55NpaVhp6p","Natalie Cole En Español","B","minor","B minor","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.688,0.49,10,-7.716,1,0.0268,0.663,0.000136,0.181,0.665,100.019,"6v37DSJSCT9CYo5SaTSDyf","https://api.spotify.com/v1/audio-analysis/6v37DSJSCT9CYo5SaTSDyf",4,1,150573,FALSE,"https://api.spotify.com/v1/tracks/6v37DSJSCT9CYo5SaTSDyf",FALSE,"Solamente Una Vez",NA,7,"track","spotify:track:6v37DSJSCT9CYo5SaTSDyf","https://open.spotify.com/track/6v37DSJSCT9CYo5SaTSDyf","Natalie Cole En Español","A#","major","A# major","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.785,0.838,2,-5.228,1,0.0356,0.168,0,0.819,0.911,124.99,"45x1HO6psLcV27VEaC2FRg","https://api.spotify.com/v1/audio-analysis/45x1HO6psLcV27VEaC2FRg",4,1,299333,FALSE,"https://api.spotify.com/v1/tracks/45x1HO6psLcV27VEaC2FRg",FALSE,"Oye Como Va",NA,8,"track","spotify:track:45x1HO6psLcV27VEaC2FRg","https://open.spotify.com/track/45x1HO6psLcV27VEaC2FRg","Natalie Cole En Español","D","major","D major","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.522,0.487,4,-7.187,0,0.0248,0.648,0.027,0.157,0.322,72.981,"743GMIm4unUpBrmbPdZAPp","https://api.spotify.com/v1/audio-analysis/743GMIm4unUpBrmbPdZAPp",4,1,265666,FALSE,"https://api.spotify.com/v1/tracks/743GMIm4unUpBrmbPdZAPp",FALSE,"Yo Lo Amo (And I Love Him)",NA,9,"track","spotify:track:743GMIm4unUpBrmbPdZAPp","https://open.spotify.com/track/743GMIm4unUpBrmbPdZAPp","Natalie Cole En Español","E","minor","E minor","jazz"
"Natalie Cole","5tTsrGPwQRWUsHR2Xf7Ke9","7rPxzjqXsyGT4dq2xCqaRw","album","2013-01-01",2013,"day",0.469,0.421,7,-10.272,0,0.0268,0.701,0.000448,0.113,0.186,80.02,"4keiB3ZT4KtVjvBYTXL2yD","https://api.spotify.com/v1/audio-analysis/4keiB3ZT4KtVjvBYTXL2yD",4,1,268226,FALSE,"https://api.spotify.com/v1/tracks/4keiB3ZT4KtVjvBYTXL2yD",FALSE,"El Día Que Me Quieras",NA,10,"track","spotify:track:4keiB3ZT4KtVjvBYTXL2yD","https://open.spotify.com/track/4keiB3ZT4KtVjvBYTXL2yD","Natalie Cole En Español","G","minor","G minor","jazz"
