"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.754,0.903,1,-2.835,0,0.0628,0.158,0.00203,0.124,0.761,108.996,"6H0hAVBtCU4hfioYhK7Dl2","https://api.spotify.com/v1/audio-analysis/6H0hAVBtCU4hfioYhK7Dl2",4,1,294186,TRUE,"https://api.spotify.com/v1/tracks/6H0hAVBtCU4hfioYhK7Dl2",FALSE,"Ganja Burn",NA,1,"track","spotify:track:6H0hAVBtCU4hfioYhK7Dl2","https://open.spotify.com/track/6H0hAVBtCU4hfioYhK7Dl2","Queen","C#","minor","C# minor","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.837,0.731,11,-5.209,0,0.18,0.31,0,0.105,0.566,78.533,"6sXS3TEx8Rw61z2oW0Mn12","https://api.spotify.com/v1/audio-analysis/6sXS3TEx8Rw61z2oW0Mn12",4,1,295653,TRUE,"https://api.spotify.com/v1/tracks/6sXS3TEx8Rw61z2oW0Mn12",FALSE,"Majesty (with Labrinth & feat. Eminem)",NA,2,"track","spotify:track:6sXS3TEx8Rw61z2oW0Mn12","https://open.spotify.com/track/6sXS3TEx8Rw61z2oW0Mn12","Queen","B","minor","B minor","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.852,0.787,8,-4.134,0,0.334,0.315,0,0.194,0.701,87.976,"4K34wkUKqd7leweceYqPFM","https://api.spotify.com/v1/audio-analysis/4K34wkUKqd7leweceYqPFM",4,1,279866,TRUE,"https://api.spotify.com/v1/tracks/4K34wkUKqd7leweceYqPFM",FALSE,"Barbie Dreams",NA,3,"track","spotify:track:4K34wkUKqd7leweceYqPFM","https://open.spotify.com/track/4K34wkUKqd7leweceYqPFM","Queen","G#","minor","G# minor","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.878,0.634,9,-5.098,1,0.259,0.0522,0,0.0785,0.567,146.976,"3fCkG786ipL3aUc8KoLTvh","https://api.spotify.com/v1/audio-analysis/3fCkG786ipL3aUc8KoLTvh",4,1,192600,TRUE,"https://api.spotify.com/v1/tracks/3fCkG786ipL3aUc8KoLTvh",FALSE,"Rich Sex (feat. Lil Wayne)",NA,4,"track","spotify:track:3fCkG786ipL3aUc8KoLTvh","https://open.spotify.com/track/3fCkG786ipL3aUc8KoLTvh","Queen","A","major","A major","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.763,0.737,2,-3.403,1,0.21,0.0786,0.0283,0.141,0.273,174.004,"0PziG2rFTotS4TBnV0t3qN","https://api.spotify.com/v1/audio-analysis/0PziG2rFTotS4TBnV0t3qN",4,1,193893,TRUE,"https://api.spotify.com/v1/tracks/0PziG2rFTotS4TBnV0t3qN",FALSE,"Hard White",NA,5,"track","spotify:track:0PziG2rFTotS4TBnV0t3qN","https://open.spotify.com/track/0PziG2rFTotS4TBnV0t3qN","Queen","D","major","D major","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.769,0.73,7,-6.293,1,0.179,0.0337,6.09e-05,0.125,0.448,89.981,"2Gyfmw1w1RpMyjBFe1784y","https://api.spotify.com/v1/audio-analysis/2Gyfmw1w1RpMyjBFe1784y",4,1,189533,TRUE,"https://api.spotify.com/v1/tracks/2Gyfmw1w1RpMyjBFe1784y",FALSE,"Bed (feat. Ariana Grande)",NA,6,"track","spotify:track:2Gyfmw1w1RpMyjBFe1784y","https://open.spotify.com/track/2Gyfmw1w1RpMyjBFe1784y","Queen","G","major","G major","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.771,0.714,1,-5.903,1,0.0449,0.0349,0.00196,0.0862,0.466,150.021,"7sSwnQc7LTQ8u74axzYndn","https://api.spotify.com/v1/audio-analysis/7sSwnQc7LTQ8u74axzYndn",4,1,198280,TRUE,"https://api.spotify.com/v1/tracks/7sSwnQc7LTQ8u74axzYndn",FALSE,"Thought I Knew You (feat. The Weeknd)",NA,7,"track","spotify:track:7sSwnQc7LTQ8u74axzYndn","https://open.spotify.com/track/7sSwnQc7LTQ8u74axzYndn","Queen","C#","major","C# major","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.806,0.414,4,-8.043,0,0.484,0.0945,0.194,0.108,0.331,173.913,"5u04AumwgKbXHuzp4tTQc0","https://api.spotify.com/v1/audio-analysis/5u04AumwgKbXHuzp4tTQc0",4,1,154600,TRUE,"https://api.spotify.com/v1/tracks/5u04AumwgKbXHuzp4tTQc0",FALSE,"Run & Hide",NA,8,"track","spotify:track:5u04AumwgKbXHuzp4tTQc0","https://open.spotify.com/track/5u04AumwgKbXHuzp4tTQc0","Queen","E","minor","E minor","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.848,0.422,10,-8.019,0,0.0651,0.0651,0.00145,0.137,0.212,141.008,"05epy7jdJjubwYxMfEq81w","https://api.spotify.com/v1/audio-analysis/05epy7jdJjubwYxMfEq81w",4,1,370440,TRUE,"https://api.spotify.com/v1/tracks/05epy7jdJjubwYxMfEq81w",FALSE,"Chun Swae (feat. Swae Lee)",NA,9,"track","spotify:track:05epy7jdJjubwYxMfEq81w","https://open.spotify.com/track/05epy7jdJjubwYxMfEq81w","Queen","A#","minor","A# minor","rap"
"Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","4Rh57STD18rbjXbBrx2X65","album","2018-08-10",2018,"day",0.686,0.728,6,-5.083,0,0.376,0.276,4.66e-05,0.106,0.473,128.972,"0kCakXs4r2adpGE43JXsFg","https://api.spotify.com/v1/audio-analysis/0kCakXs4r2adpGE43JXsFg",5,1,191600,TRUE,"https://api.spotify.com/v1/tracks/0kCakXs4r2adpGE43JXsFg",FALSE,"Chun-Li",NA,10,"track","spotify:track:0kCakXs4r2adpGE43JXsFg","https://open.spotify.com/track/0kCakXs4r2adpGE43JXsFg","Queen","F#","minor","F# minor","rap"
