"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.123,0.988,1,-6.528,1,0.207,9.19e-06,0.199,0.874,0.0631,155.963,"0YsDqHWbLScrzFAvmSGyOd","https://api.spotify.com/v1/audio-analysis/0YsDqHWbLScrzFAvmSGyOd",4,1,270680,FALSE,"https://api.spotify.com/v1/tracks/0YsDqHWbLScrzFAvmSGyOd",FALSE,"Radio Friendly Unit Shifter - Live & Loud",NA,1,"track","spotify:track:0YsDqHWbLScrzFAvmSGyOd","https://open.spotify.com/track/0YsDqHWbLScrzFAvmSGyOd","Live And Loud","C#","major","C# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.272,0.958,8,-6.677,1,0.082,1.72e-05,0.363,0.418,0.152,137.001,"2iWFFQdRV4YOlJwEMK4ukY","https://api.spotify.com/v1/audio-analysis/2iWFFQdRV4YOlJwEMK4ukY",4,1,222049,FALSE,"https://api.spotify.com/v1/tracks/2iWFFQdRV4YOlJwEMK4ukY",FALSE,"Drain You - Live & Loud",NA,2,"track","spotify:track:2iWFFQdRV4YOlJwEMK4ukY","https://open.spotify.com/track/2iWFFQdRV4YOlJwEMK4ukY","Live And Loud","G#","major","G# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.167,0.955,8,-6.384,1,0.128,1.78e-06,0.441,0.883,0.149,164.252,"3jhXPqmG7XXebz1ZjecpDF","https://api.spotify.com/v1/audio-analysis/3jhXPqmG7XXebz1ZjecpDF",4,1,193707,FALSE,"https://api.spotify.com/v1/tracks/3jhXPqmG7XXebz1ZjecpDF",FALSE,"Breed - Live & Loud",NA,3,"track","spotify:track:3jhXPqmG7XXebz1ZjecpDF","https://open.spotify.com/track/3jhXPqmG7XXebz1ZjecpDF","Live And Loud","G#","major","G# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.269,0.951,8,-6.586,1,0.078,4.52e-06,0.672,0.782,0.208,131.047,"6mrYsSzOI4nDnTcIXGhXTG","https://api.spotify.com/v1/audio-analysis/6mrYsSzOI4nDnTcIXGhXTG",4,1,203272,FALSE,"https://api.spotify.com/v1/tracks/6mrYsSzOI4nDnTcIXGhXTG",FALSE,"Serve The Servants - Live & Loud",NA,4,"track","spotify:track:6mrYsSzOI4nDnTcIXGhXTG","https://open.spotify.com/track/6mrYsSzOI4nDnTcIXGhXTG","Live And Loud","G#","major","G# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.255,0.918,1,-6.576,1,0.0696,0.000643,0.242,0.937,0.333,117.297,"0zk5N2l5c8YracLr5Zg0qk","https://api.spotify.com/v1/audio-analysis/0zk5N2l5c8YracLr5Zg0qk",4,1,159241,FALSE,"https://api.spotify.com/v1/tracks/0zk5N2l5c8YracLr5Zg0qk",FALSE,"Rape Me - Live & Loud",NA,5,"track","spotify:track:0zk5N2l5c8YracLr5Zg0qk","https://open.spotify.com/track/0zk5N2l5c8YracLr5Zg0qk","Live And Loud","C#","major","C# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.363,0.952,11,-6.69,1,0.0941,5.37e-05,0.0182,0.11,0.369,149.36,"3LNvv5DoUSINrYioh5uq0G","https://api.spotify.com/v1/audio-analysis/3LNvv5DoUSINrYioh5uq0G",4,1,125629,FALSE,"https://api.spotify.com/v1/tracks/3LNvv5DoUSINrYioh5uq0G",FALSE,"Sliver - Live & Loud",NA,6,"track","spotify:track:3LNvv5DoUSINrYioh5uq0G","https://open.spotify.com/track/3LNvv5DoUSINrYioh5uq0G","Live And Loud","B","major","B major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.277,0.869,1,-7.276,1,0.0764,0.000112,0.215,0.694,0.109,122.224,"3TZeISSt8QpEhcip2OUvS3","https://api.spotify.com/v1/audio-analysis/3TZeISSt8QpEhcip2OUvS3",4,1,221309,FALSE,"https://api.spotify.com/v1/tracks/3TZeISSt8QpEhcip2OUvS3",FALSE,"Pennyroyal Tea - Live & Loud",NA,7,"track","spotify:track:3TZeISSt8QpEhcip2OUvS3","https://open.spotify.com/track/3TZeISSt8QpEhcip2OUvS3","Live And Loud","C#","major","C# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.351,0.869,1,-7.093,1,0.0631,3.05e-06,0.874,0.308,0.0989,93.393,"4FmXp4wBQRtuq2z9T4MSA7","https://api.spotify.com/v1/audio-analysis/4FmXp4wBQRtuq2z9T4MSA7",4,1,233926,FALSE,"https://api.spotify.com/v1/tracks/4FmXp4wBQRtuq2z9T4MSA7",FALSE,"Scentless Apprentice - Live & Loud",NA,8,"track","spotify:track:4FmXp4wBQRtuq2z9T4MSA7","https://open.spotify.com/track/4FmXp4wBQRtuq2z9T4MSA7","Live And Loud","C#","major","C# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.341,0.695,1,-8.599,1,0.037,0.00884,0.0928,0.738,0.139,114.49,"7MjPAdHoRmRoiTKi1PXyMk","https://api.spotify.com/v1/audio-analysis/7MjPAdHoRmRoiTKi1PXyMk",4,1,218663,FALSE,"https://api.spotify.com/v1/tracks/7MjPAdHoRmRoiTKi1PXyMk",FALSE,"All Apologies - Live & Loud",NA,9,"track","spotify:track:7MjPAdHoRmRoiTKi1PXyMk","https://open.spotify.com/track/7MjPAdHoRmRoiTKi1PXyMk","Live And Loud","C#","major","C# major","rock"
"Nirvana","6olE6TJLqED3rqDCT0FyPh","4Sdfp3NL90GZoYYwLmhk0H","album","2019-07-26",2019,"day",0.371,0.801,1,-7.179,1,0.0376,0.000292,0.0394,0.346,0.254,105.418,"5GgfA1Cel00rtzU2mNCuaL","https://api.spotify.com/v1/audio-analysis/5GgfA1Cel00rtzU2mNCuaL",4,1,269254,FALSE,"https://api.spotify.com/v1/tracks/5GgfA1Cel00rtzU2mNCuaL",FALSE,"Heart Shaped Box - Live & Loud",NA,10,"track","spotify:track:5GgfA1Cel00rtzU2mNCuaL","https://open.spotify.com/track/5GgfA1Cel00rtzU2mNCuaL","Live And Loud","C#","major","C# major","rock"
