"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.477,0.0994,7,-13.819,0,0.029,0.891,0.000534,0.105,0.395,93.319,"0z0gEC3Iz6Jd1oodFuCAzB","https://api.spotify.com/v1/audio-analysis/0z0gEC3Iz6Jd1oodFuCAzB",4,1,281973,FALSE,"https://api.spotify.com/v1/tracks/0z0gEC3Iz6Jd1oodFuCAzB",FALSE,"How I Weep",NA,1,"track","spotify:track:0z0gEC3Iz6Jd1oodFuCAzB","https://open.spotify.com/track/0z0gEC3Iz6Jd1oodFuCAzB","Pick Me Up Off The Floor","G","minor","G minor","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.736,0.376,4,-7.892,0,0.028,0.744,0.152,0.108,0.31,105.265,"5pPWsSBURmhZ9VKcMMIlkV","https://api.spotify.com/v1/audio-analysis/5pPWsSBURmhZ9VKcMMIlkV",4,1,201213,FALSE,"https://api.spotify.com/v1/tracks/5pPWsSBURmhZ9VKcMMIlkV",FALSE,"Flame Twin",NA,2,"track","spotify:track:5pPWsSBURmhZ9VKcMMIlkV","https://open.spotify.com/track/5pPWsSBURmhZ9VKcMMIlkV","Pick Me Up Off The Floor","E","minor","E minor","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.67,0.398,0,-11.308,1,0.0312,0.741,0.0884,0.0894,0.368,117.427,"6YgsfUoznBbeT2cmEojsUf","https://api.spotify.com/v1/audio-analysis/6YgsfUoznBbeT2cmEojsUf",4,1,205933,FALSE,"https://api.spotify.com/v1/tracks/6YgsfUoznBbeT2cmEojsUf",FALSE,"Hurts To Be Alone",NA,3,"track","spotify:track:6YgsfUoznBbeT2cmEojsUf","https://open.spotify.com/track/6YgsfUoznBbeT2cmEojsUf","Pick Me Up Off The Floor","C","major","C major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.367,0.293,10,-9.607,1,0.0312,0.959,0.0317,0.0844,0.145,87.706,"37E7XNvTdU4s5Pw1AjEpuA","https://api.spotify.com/v1/audio-analysis/37E7XNvTdU4s5Pw1AjEpuA",3,1,252360,FALSE,"https://api.spotify.com/v1/tracks/37E7XNvTdU4s5Pw1AjEpuA",FALSE,"Heartbroken, Day After",NA,4,"track","spotify:track:37E7XNvTdU4s5Pw1AjEpuA","https://open.spotify.com/track/37E7XNvTdU4s5Pw1AjEpuA","Pick Me Up Off The Floor","A#","major","A# major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.476,0.402,0,-10.371,1,0.0317,0.598,0.126,0.118,0.435,154.769,"0zrnI9k3CqIMJ9vVpKpK6Y","https://api.spotify.com/v1/audio-analysis/0zrnI9k3CqIMJ9vVpKpK6Y",4,1,298173,FALSE,"https://api.spotify.com/v1/tracks/0zrnI9k3CqIMJ9vVpKpK6Y",FALSE,"Say No More",NA,5,"track","spotify:track:0zrnI9k3CqIMJ9vVpKpK6Y","https://open.spotify.com/track/0zrnI9k3CqIMJ9vVpKpK6Y","Pick Me Up Off The Floor","C","major","C major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.548,0.223,0,-11.445,0,0.0356,0.944,0.000123,0.101,0.229,119.261,"5lmHJIiKZVu43BCxPNWdP3","https://api.spotify.com/v1/audio-analysis/5lmHJIiKZVu43BCxPNWdP3",4,1,158026,FALSE,"https://api.spotify.com/v1/tracks/5lmHJIiKZVu43BCxPNWdP3",FALSE,"This Life",NA,6,"track","spotify:track:5lmHJIiKZVu43BCxPNWdP3","https://open.spotify.com/track/5lmHJIiKZVu43BCxPNWdP3","Pick Me Up Off The Floor","C","minor","C minor","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.575,0.263,5,-9.729,1,0.0275,0.805,0.015,0.109,0.432,116.903,"6OTx5lgBBpUAshc23JQ89X","https://api.spotify.com/v1/audio-analysis/6OTx5lgBBpUAshc23JQ89X",4,1,268600,FALSE,"https://api.spotify.com/v1/tracks/6OTx5lgBBpUAshc23JQ89X",FALSE,"To Live",NA,7,"track","spotify:track:6OTx5lgBBpUAshc23JQ89X","https://open.spotify.com/track/6OTx5lgBBpUAshc23JQ89X","Pick Me Up Off The Floor","F","major","F major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.729,0.443,2,-9.85,1,0.0328,0.58,0.038,0.183,0.345,120.44,"19mP8Y7e3HFlMz1BngJZan","https://api.spotify.com/v1/audio-analysis/19mP8Y7e3HFlMz1BngJZan",4,1,256800,FALSE,"https://api.spotify.com/v1/tracks/19mP8Y7e3HFlMz1BngJZan",FALSE,"I'm Alive",NA,8,"track","spotify:track:19mP8Y7e3HFlMz1BngJZan","https://open.spotify.com/track/19mP8Y7e3HFlMz1BngJZan","Pick Me Up Off The Floor","D","major","D major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.39,0.26,7,-10.928,1,0.0284,0.881,0.554,0.0981,0.32,140.124,"6NQb9z2vYgirQJxfoSKEpO","https://api.spotify.com/v1/audio-analysis/6NQb9z2vYgirQJxfoSKEpO",3,1,316853,FALSE,"https://api.spotify.com/v1/tracks/6NQb9z2vYgirQJxfoSKEpO",FALSE,"Were You Watching?",NA,9,"track","spotify:track:6NQb9z2vYgirQJxfoSKEpO","https://open.spotify.com/track/6NQb9z2vYgirQJxfoSKEpO","Pick Me Up Off The Floor","G","major","G major","jazz"
"Norah Jones","2Kx7MNY7cI1ENniW7vT30N","3pi6NXntLETosIkAuaZEhW","album","2020-06-12",2020,"day",0.577,0.121,10,-13.495,1,0.0301,0.841,0.323,0.0877,0.195,95.601,"784RUMnX5PSuSQTwfWxVY8","https://api.spotify.com/v1/audio-analysis/784RUMnX5PSuSQTwfWxVY8",4,1,233346,FALSE,"https://api.spotify.com/v1/tracks/784RUMnX5PSuSQTwfWxVY8",FALSE,"Stumble On My Way",NA,10,"track","spotify:track:784RUMnX5PSuSQTwfWxVY8","https://open.spotify.com/track/784RUMnX5PSuSQTwfWxVY8","Pick Me Up Off The Floor","A#","major","A# major","jazz"
