"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.581,0.934,8,-5.511,1,0.0547,0.000169,0.00297,0.0901,0.391,120.024,"797qMUoU74C6xc45n2vAMK","https://api.spotify.com/v1/audio-analysis/797qMUoU74C6xc45n2vAMK",4,1,184026,FALSE,"https://api.spotify.com/v1/tracks/797qMUoU74C6xc45n2vAMK",FALSE,"Alligator",NA,1,"track","spotify:track:797qMUoU74C6xc45n2vAMK","https://open.spotify.com/track/797qMUoU74C6xc45n2vAMK","FEVER DREAM","G#","major","G# major","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.533,0.697,8,-7.655,1,0.057,0.0123,0.000333,0.0999,0.396,168.153,"24eQ0KNvk3JVnmfvTOhCdF","https://api.spotify.com/v1/audio-analysis/24eQ0KNvk3JVnmfvTOhCdF",4,1,176186,FALSE,"https://api.spotify.com/v1/tracks/24eQ0KNvk3JVnmfvTOhCdF",FALSE,"Ahay",NA,2,"track","spotify:track:24eQ0KNvk3JVnmfvTOhCdF","https://open.spotify.com/track/24eQ0KNvk3JVnmfvTOhCdF","FEVER DREAM","G#","major","G# major","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.64,0.691,6,-6.062,0,0.025,0.0185,0.00103,0.0914,0.603,95.002,"2AqCyqDUkb4090o1jnbL0N","https://api.spotify.com/v1/audio-analysis/2AqCyqDUkb4090o1jnbL0N",4,1,261333,FALSE,"https://api.spotify.com/v1/tracks/2AqCyqDUkb4090o1jnbL0N",FALSE,"Róróró",NA,3,"track","spotify:track:2AqCyqDUkb4090o1jnbL0N","https://open.spotify.com/track/2AqCyqDUkb4090o1jnbL0N","FEVER DREAM","F#","minor","F# minor","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.453,0.17,1,-13.082,1,0.0319,0.92,0,0.094,0.175,80.814,"4HJf5RWQVUGxTViTQciKYr","https://api.spotify.com/v1/audio-analysis/4HJf5RWQVUGxTViTQciKYr",4,1,223346,FALSE,"https://api.spotify.com/v1/tracks/4HJf5RWQVUGxTViTQciKYr",FALSE,"Waiting For The Snow",NA,4,"track","spotify:track:4HJf5RWQVUGxTViTQciKYr","https://open.spotify.com/track/4HJf5RWQVUGxTViTQciKYr","FEVER DREAM","C#","major","C# major","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.65,0.801,2,-5.352,0,0.0349,0.00316,1.79e-06,0.09,0.376,106.066,"5gWMhSFunyD3WmH1lrPzWM","https://api.spotify.com/v1/audio-analysis/5gWMhSFunyD3WmH1lrPzWM",4,1,176666,FALSE,"https://api.spotify.com/v1/tracks/5gWMhSFunyD3WmH1lrPzWM",FALSE,"Vulture, Vulture",NA,5,"track","spotify:track:5gWMhSFunyD3WmH1lrPzWM","https://open.spotify.com/track/5gWMhSFunyD3WmH1lrPzWM","FEVER DREAM","D","minor","D minor","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.629,0.784,6,-6.377,0,0.0362,0.00904,5.43e-05,0.233,0.356,116.021,"7f8iBUiwio1oX5lAFwC5xI","https://api.spotify.com/v1/audio-analysis/7f8iBUiwio1oX5lAFwC5xI",4,1,242760,FALSE,"https://api.spotify.com/v1/tracks/7f8iBUiwio1oX5lAFwC5xI",FALSE,"Wild Roses",NA,6,"track","spotify:track:7f8iBUiwio1oX5lAFwC5xI","https://open.spotify.com/track/7f8iBUiwio1oX5lAFwC5xI","FEVER DREAM","F#","minor","F# minor","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.495,0.546,11,-8.878,1,0.0422,0.0182,5.26e-06,0.067,0.205,90.067,"3AF6JW5zzVmSkQWIKMVYqh","https://api.spotify.com/v1/audio-analysis/3AF6JW5zzVmSkQWIKMVYqh",4,1,264226,FALSE,"https://api.spotify.com/v1/tracks/3AF6JW5zzVmSkQWIKMVYqh",FALSE,"Stuck In Gravity",NA,7,"track","spotify:track:3AF6JW5zzVmSkQWIKMVYqh","https://open.spotify.com/track/3AF6JW5zzVmSkQWIKMVYqh","FEVER DREAM","B","major","B major","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.608,0.742,2,-6.111,1,0.0386,0.0266,0.000674,0.376,0.672,80.01,"12o5Dx6tvMTxyhqWO3BcRj","https://api.spotify.com/v1/audio-analysis/12o5Dx6tvMTxyhqWO3BcRj",4,1,199040,FALSE,"https://api.spotify.com/v1/tracks/12o5Dx6tvMTxyhqWO3BcRj",FALSE,"Sleepwalker",NA,8,"track","spotify:track:12o5Dx6tvMTxyhqWO3BcRj","https://open.spotify.com/track/12o5Dx6tvMTxyhqWO3BcRj","FEVER DREAM","D","major","D major","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.564,0.879,6,-6.242,0,0.0348,0.00594,0.000213,0.351,0.601,111.992,"6DZ5EOzz715nW5UIovhIWD","https://api.spotify.com/v1/audio-analysis/6DZ5EOzz715nW5UIovhIWD",4,1,217120,FALSE,"https://api.spotify.com/v1/tracks/6DZ5EOzz715nW5UIovhIWD",FALSE,"Wars",NA,9,"track","spotify:track:6DZ5EOzz715nW5UIovhIWD","https://open.spotify.com/track/6DZ5EOzz715nW5UIovhIWD","FEVER DREAM","F#","minor","F# minor","folk"
"Of Monsters and Men","4dwdTW1Lfiq0cM8nBAqIIz","3jk6oyfKCny48ZYb1CPjLa","album","2019-07-26",2019,"day",0.568,0.673,7,-9.383,0,0.0373,0.00259,0.732,0.0929,0.303,120.026,"1fecRRkMZD01gF3ARh8el0","https://api.spotify.com/v1/audio-analysis/1fecRRkMZD01gF3ARh8el0",4,1,273840,TRUE,"https://api.spotify.com/v1/tracks/1fecRRkMZD01gF3ARh8el0",FALSE,"Under A Dome",NA,10,"track","spotify:track:1fecRRkMZD01gF3ARh8el0","https://open.spotify.com/track/1fecRRkMZD01gF3ARh8el0","FEVER DREAM","G","minor","G minor","folk"
