"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.437,0.493,5,-18.77,1,0.0645,0.574,0.618,0.516,0.648,110.764,"5vGRxMv25cNaJFJUj17lsi","https://api.spotify.com/v1/audio-analysis/5vGRxMv25cNaJFJUj17lsi",4,1,437960,FALSE,"https://api.spotify.com/v1/tracks/5vGRxMv25cNaJFJUj17lsi",FALSE,"Reunion Blues - Live","https://p.scdn.co/mp3-preview/74f60bb295f57a5ad83f6c1139371a2e75175b2d?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:5vGRxMv25cNaJFJUj17lsi","https://open.spotify.com/track/5vGRxMv25cNaJFJUj17lsi","Reunion Blues Live","F","major","F major","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.35,0.424,5,-22.657,1,0.062,0.471,0.0469,0.971,0.651,89.86,"6ABdcNDokeP9WumvAd65jy","https://api.spotify.com/v1/audio-analysis/6ABdcNDokeP9WumvAd65jy",4,1,266466,FALSE,"https://api.spotify.com/v1/tracks/6ABdcNDokeP9WumvAd65jy",FALSE,"The Lamp Is Low - Live","https://p.scdn.co/mp3-preview/314f39a01d8445edee18867806d5a1cfe684f649?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6ABdcNDokeP9WumvAd65jy","https://open.spotify.com/track/6ABdcNDokeP9WumvAd65jy","Reunion Blues Live","F","major","F major","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.548,0.262,5,-21.84,0,0.0757,0.787,0.246,0.958,0.535,95.62,"6EuxYARgH9Dwzeq3uCp3sX","https://api.spotify.com/v1/audio-analysis/6EuxYARgH9Dwzeq3uCp3sX",4,1,295000,FALSE,"https://api.spotify.com/v1/tracks/6EuxYARgH9Dwzeq3uCp3sX",FALSE,"Someday My Prince Will Come - Live","https://p.scdn.co/mp3-preview/22b687dfa9060fc8d176b8d0591f66efcb80d2cd?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6EuxYARgH9Dwzeq3uCp3sX","https://open.spotify.com/track/6EuxYARgH9Dwzeq3uCp3sX","Reunion Blues Live","F","minor","F minor","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.468,0.181,2,-23.333,0,0.0589,0.918,0.856,0.715,0.158,116.992,"47fK1jKX1nstzyoVZv8Ssi","https://api.spotify.com/v1/audio-analysis/47fK1jKX1nstzyoVZv8Ssi",4,1,423440,FALSE,"https://api.spotify.com/v1/tracks/47fK1jKX1nstzyoVZv8Ssi",FALSE,"Con Alma - Live","https://p.scdn.co/mp3-preview/fbce6447957bfbd58a4ef7f81c15d9a159ac5a75?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:47fK1jKX1nstzyoVZv8Ssi","https://open.spotify.com/track/47fK1jKX1nstzyoVZv8Ssi","Reunion Blues Live","D","minor","D minor","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.432,0.363,5,-19.636,1,0.0504,0.803,0.00566,0.886,0.551,90.128,"4EYH8fVUhU8LbEdqY0cK2U","https://api.spotify.com/v1/audio-analysis/4EYH8fVUhU8LbEdqY0cK2U",4,1,295933,FALSE,"https://api.spotify.com/v1/tracks/4EYH8fVUhU8LbEdqY0cK2U",FALSE,"Tangerine - Live","https://p.scdn.co/mp3-preview/27f0d793a4926ad530a838d04ceb39d455d13e50?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4EYH8fVUhU8LbEdqY0cK2U","https://open.spotify.com/track/4EYH8fVUhU8LbEdqY0cK2U","Reunion Blues Live","F","major","F major","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.303,0.111,5,-26.824,0,0.042,0.982,0.829,0.945,0.146,70.261,"5PxiAk4MOL9ynV4T1LJtod","https://api.spotify.com/v1/audio-analysis/5PxiAk4MOL9ynV4T1LJtod",4,1,316733,FALSE,"https://api.spotify.com/v1/tracks/5PxiAk4MOL9ynV4T1LJtod",FALSE,"Like Someone in Love - Live","https://p.scdn.co/mp3-preview/835bd86535d6130057af0996bdec124891092b76?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5PxiAk4MOL9ynV4T1LJtod","https://open.spotify.com/track/5PxiAk4MOL9ynV4T1LJtod","Reunion Blues Live","F","minor","F minor","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.553,0.279,7,-16.61,0,0.0309,0.842,0.254,0.174,0.352,113.191,"5FBMIhVs3qx6Mo1axyIPJ7","https://api.spotify.com/v1/audio-analysis/5FBMIhVs3qx6Mo1axyIPJ7",4,1,456200,FALSE,"https://api.spotify.com/v1/tracks/5FBMIhVs3qx6Mo1axyIPJ7",FALSE,"Satin Doll - Live","https://p.scdn.co/mp3-preview/50393205580ce8a523c1c1cec08ec2ceb851e2e6?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5FBMIhVs3qx6Mo1axyIPJ7","https://open.spotify.com/track/5FBMIhVs3qx6Mo1axyIPJ7","Reunion Blues Live","G","minor","G minor","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.384,0.315,1,-17.882,1,0.0343,0.754,0.0351,0.564,0.547,90.754,"0Coog5Fc59xQeDhmoVSGhm","https://api.spotify.com/v1/audio-analysis/0Coog5Fc59xQeDhmoVSGhm",4,1,399093,FALSE,"https://api.spotify.com/v1/tracks/0Coog5Fc59xQeDhmoVSGhm",FALSE,"All Right - Live","https://p.scdn.co/mp3-preview/421131cb7f56ed3b82bd36f454978185daf345e8?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0Coog5Fc59xQeDhmoVSGhm","https://open.spotify.com/track/0Coog5Fc59xQeDhmoVSGhm","Reunion Blues Live","C#","major","C# major","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.359,0.492,6,-11.97,1,0.034,0.738,0.0022,0.906,0.539,84.251,"3lDCtj0xkZ7yedCVXUq9Uc","https://api.spotify.com/v1/audio-analysis/3lDCtj0xkZ7yedCVXUq9Uc",4,1,534533,FALSE,"https://api.spotify.com/v1/tracks/3lDCtj0xkZ7yedCVXUq9Uc",FALSE,"Waltz for Debby - Live","https://p.scdn.co/mp3-preview/f12cc0cd564fe3a2938e5342025d14808faedb38?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:3lDCtj0xkZ7yedCVXUq9Uc","https://open.spotify.com/track/3lDCtj0xkZ7yedCVXUq9Uc","Reunion Blues Live","F#","major","F# major","jazz"
"Oscar Peterson Trio","0ldU0QJm31y0d6f57R1G2A","1fpqvtYdfleeqn8a2kedUS","album","2020-05-05",2020,"day",0.307,0.685,8,-11.687,0,0.0548,0.394,5.86e-05,0.908,0.711,86.098,"1lW2BthoeCwT7495oXR2aL","https://api.spotify.com/v1/audio-analysis/1lW2BthoeCwT7495oXR2aL",4,1,275200,FALSE,"https://api.spotify.com/v1/tracks/1lW2BthoeCwT7495oXR2aL",FALSE,"Noreen's Nocturne - Live","https://p.scdn.co/mp3-preview/bea215bf9505b206e12a8cf4fd15b372cfe26a79?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:1lW2BthoeCwT7495oXR2aL","https://open.spotify.com/track/1lW2BthoeCwT7495oXR2aL","Reunion Blues Live","G#","minor","G# minor","jazz"
