"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.618,0.454,0,-9.328,0,0.0348,0.587,4.78e-05,0.136,0.42,79.934,"2CtJDDZiXVryDNAlsGyK5W","https://api.spotify.com/v1/audio-analysis/2CtJDDZiXVryDNAlsGyK5W",4,1,201720,FALSE,"https://api.spotify.com/v1/tracks/2CtJDDZiXVryDNAlsGyK5W",FALSE,"Sword from the Stone","https://p.scdn.co/mp3-preview/bea6eff57ea2c3f88bf706b9d9e6b29b3dba15a5?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2CtJDDZiXVryDNAlsGyK5W","https://open.spotify.com/track/2CtJDDZiXVryDNAlsGyK5W","Songs for the Drunk and Broken Hearted","C","minor","C minor","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.628,0.652,8,-9.077,1,0.0263,0.202,4.89e-05,0.093,0.814,124.866,"54T14Kp8Uf9hr2LnS4bE0Z","https://api.spotify.com/v1/audio-analysis/54T14Kp8Uf9hr2LnS4bE0Z",4,1,181853,FALSE,"https://api.spotify.com/v1/tracks/54T14Kp8Uf9hr2LnS4bE0Z",FALSE,"Tip of My Tongue","https://p.scdn.co/mp3-preview/c5d69e9f9762c61864703e8e2f2aef820d6bb11f?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:54T14Kp8Uf9hr2LnS4bE0Z","https://open.spotify.com/track/54T14Kp8Uf9hr2LnS4bE0Z","Songs for the Drunk and Broken Hearted","G#","major","G# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.571,0.718,6,-8.84,1,0.0355,0.239,6.96e-05,0.188,0.873,143.124,"44P3wLMPNfzrnoELvwLEji","https://api.spotify.com/v1/audio-analysis/44P3wLMPNfzrnoELvwLEji",4,1,157240,FALSE,"https://api.spotify.com/v1/tracks/44P3wLMPNfzrnoELvwLEji",FALSE,"What You're Waiting For","https://p.scdn.co/mp3-preview/cb965e0806a30558f6191355b1689827b471f9e1?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:44P3wLMPNfzrnoELvwLEji","https://open.spotify.com/track/44P3wLMPNfzrnoELvwLEji","Songs for the Drunk and Broken Hearted","F#","major","F# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.507,0.299,1,-12.72,1,0.0352,0.776,6.05e-06,0.126,0.394,121.269,"74Pl68PfFPHEvpubZarKIc","https://api.spotify.com/v1/audio-analysis/74Pl68PfFPHEvpubZarKIc",4,1,159413,FALSE,"https://api.spotify.com/v1/tracks/74Pl68PfFPHEvpubZarKIc",FALSE,"The Way That I Love You","https://p.scdn.co/mp3-preview/fc15ef01614c0c726724906b0a06ac608ecb78e0?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:74Pl68PfFPHEvpubZarKIc","https://open.spotify.com/track/74Pl68PfFPHEvpubZarKIc","Songs for the Drunk and Broken Hearted","C#","major","C# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.603,0.569,1,-10.071,1,0.04,0.203,0.000285,0.167,0.593,73.778,"45qmnt4689JPKNaZUafyB8","https://api.spotify.com/v1/audio-analysis/45qmnt4689JPKNaZUafyB8",4,1,218666,TRUE,"https://api.spotify.com/v1/tracks/45qmnt4689JPKNaZUafyB8",FALSE,"Remember to Forget","https://p.scdn.co/mp3-preview/24ae3ff7a732df1eca48f3cb0d4e4ed0eef699f5?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:45qmnt4689JPKNaZUafyB8","https://open.spotify.com/track/45qmnt4689JPKNaZUafyB8","Songs for the Drunk and Broken Hearted","C#","major","C# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.503,0.28,0,-15.633,0,0.0302,0.507,0.081,0.081,0.186,115.079,"4uSrFF0ogbAEMtshGLfl8b","https://api.spotify.com/v1/audio-analysis/4uSrFF0ogbAEMtshGLfl8b",4,1,301266,FALSE,"https://api.spotify.com/v1/tracks/4uSrFF0ogbAEMtshGLfl8b",FALSE,"Sandstorm","https://p.scdn.co/mp3-preview/7a3501597b4d563e2681f872d974bba7581418eb?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4uSrFF0ogbAEMtshGLfl8b","https://open.spotify.com/track/4uSrFF0ogbAEMtshGLfl8b","Songs for the Drunk and Broken Hearted","C","minor","C minor","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.567,0.735,2,-8.939,1,0.0293,0.224,0.00463,0.146,0.767,136.318,"4IGkaNvjUAqVfl23dSAmVU","https://api.spotify.com/v1/audio-analysis/4IGkaNvjUAqVfl23dSAmVU",4,1,239240,FALSE,"https://api.spotify.com/v1/tracks/4IGkaNvjUAqVfl23dSAmVU",FALSE,"A Song for the Drunk and Broken Hearted","https://p.scdn.co/mp3-preview/f636127931dcbe0b9415b7c2b330037b6261b27b?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:4IGkaNvjUAqVfl23dSAmVU","https://open.spotify.com/track/4IGkaNvjUAqVfl23dSAmVU","Songs for the Drunk and Broken Hearted","D","major","D major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.457,0.248,6,-13.884,1,0.045,0.66,1.03e-06,0.0958,0.232,112.936,"56DLkPs6EzfxvCzPLAQhQI","https://api.spotify.com/v1/audio-analysis/56DLkPs6EzfxvCzPLAQhQI",4,1,255360,FALSE,"https://api.spotify.com/v1/tracks/56DLkPs6EzfxvCzPLAQhQI",FALSE,"Suzanne","https://p.scdn.co/mp3-preview/6961ded457e3474f7257fec1a3739cb651572a41?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:56DLkPs6EzfxvCzPLAQhQI","https://open.spotify.com/track/56DLkPs6EzfxvCzPLAQhQI","Songs for the Drunk and Broken Hearted","F#","major","F# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.657,0.446,5,-9.847,1,0.0256,0.288,8.78e-05,0.154,0.522,134.853,"7mn5tfCk6iNSnilYrtLgKQ","https://api.spotify.com/v1/audio-analysis/7mn5tfCk6iNSnilYrtLgKQ",4,1,256252,FALSE,"https://api.spotify.com/v1/tracks/7mn5tfCk6iNSnilYrtLgKQ",FALSE,"Nothing Aches Like a Broken Heart","https://p.scdn.co/mp3-preview/e516195973e9b4da2373ac6b4bda8776b82f36ab?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:7mn5tfCk6iNSnilYrtLgKQ","https://open.spotify.com/track/7mn5tfCk6iNSnilYrtLgKQ","Songs for the Drunk and Broken Hearted","F","major","F major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.337,0.245,4,-14.054,1,0.0801,0.655,1.25e-05,0.0946,0.385,76.341,"1G4XTY4jsHvspGADr21KAP","https://api.spotify.com/v1/audio-analysis/1G4XTY4jsHvspGADr21KAP",4,1,181840,FALSE,"https://api.spotify.com/v1/tracks/1G4XTY4jsHvspGADr21KAP",FALSE,"London in the Spring","https://p.scdn.co/mp3-preview/7e508f92505eb0c31f19d736237c6079dba4b791?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:1G4XTY4jsHvspGADr21KAP","https://open.spotify.com/track/1G4XTY4jsHvspGADr21KAP","Songs for the Drunk and Broken Hearted","E","major","E major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.491,0.167,4,-14.937,1,0.047,0.872,0,0.105,0.271,82.285,"4x8d3uMTRl383lKrPkDkxo","https://api.spotify.com/v1/audio-analysis/4x8d3uMTRl383lKrPkDkxo",4,1,176093,FALSE,"https://api.spotify.com/v1/tracks/4x8d3uMTRl383lKrPkDkxo",FALSE,"London in the Spring - Acoustic","https://p.scdn.co/mp3-preview/73531a857e155ec7e16c3b7e5119b0b3801ebe83?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:4x8d3uMTRl383lKrPkDkxo","https://open.spotify.com/track/4x8d3uMTRl383lKrPkDkxo","Songs for the Drunk and Broken Hearted","E","major","E major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.668,0.156,4,-14.761,1,0.0411,0.881,0,0.0919,0.273,134.659,"3g3xq72rZWvHAu5lRNVaHu","https://api.spotify.com/v1/audio-analysis/3g3xq72rZWvHAu5lRNVaHu",4,1,197693,FALSE,"https://api.spotify.com/v1/tracks/3g3xq72rZWvHAu5lRNVaHu",FALSE,"Nothing Aches Like a Broken Heart - Acoustic","https://p.scdn.co/mp3-preview/1860d3efa37c833be62e4686d5e6e44de41cb5af?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:3g3xq72rZWvHAu5lRNVaHu","https://open.spotify.com/track/3g3xq72rZWvHAu5lRNVaHu","Songs for the Drunk and Broken Hearted","E","major","E major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.613,0.125,6,-14.408,1,0.0555,0.883,0,0.0956,0.281,114.076,"77XAZ0wseJRvvDPGRg4BMU","https://api.spotify.com/v1/audio-analysis/77XAZ0wseJRvvDPGRg4BMU",5,1,245600,FALSE,"https://api.spotify.com/v1/tracks/77XAZ0wseJRvvDPGRg4BMU",FALSE,"Suzanne - Acoustic","https://p.scdn.co/mp3-preview/29f0fc26f8877ccab11450cc0dfded9bf8d34115?cid=c22575ce003a46ba95e4590c10b3acb1",13,"track","spotify:track:77XAZ0wseJRvvDPGRg4BMU","https://open.spotify.com/track/77XAZ0wseJRvvDPGRg4BMU","Songs for the Drunk and Broken Hearted","F#","major","F# major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.639,0.305,2,-12.211,1,0.0333,0.828,0,0.128,0.397,135.252,"1apEBta4kMejsxTpLqEybL","https://api.spotify.com/v1/audio-analysis/1apEBta4kMejsxTpLqEybL",4,1,236266,FALSE,"https://api.spotify.com/v1/tracks/1apEBta4kMejsxTpLqEybL",FALSE,"A Song for the Drunk and Broken Hearted - Acoustic","https://p.scdn.co/mp3-preview/6ce0b12d9d91a3277c382f6cb78ffc4f22db591d?cid=c22575ce003a46ba95e4590c10b3acb1",14,"track","spotify:track:1apEBta4kMejsxTpLqEybL","https://open.spotify.com/track/1apEBta4kMejsxTpLqEybL","Songs for the Drunk and Broken Hearted","D","major","D major","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.696,0.137,0,-15.523,0,0.0311,0.901,0.000119,0.108,0.132,115.494,"4hJsPMBy4WUD1hxvCmQDMU","https://api.spotify.com/v1/audio-analysis/4hJsPMBy4WUD1hxvCmQDMU",4,1,250413,FALSE,"https://api.spotify.com/v1/tracks/4hJsPMBy4WUD1hxvCmQDMU",FALSE,"Sandstorm - Acoustic","https://p.scdn.co/mp3-preview/a3f89147168a4c47cec595aa0c4003f9297dcc16?cid=c22575ce003a46ba95e4590c10b3acb1",15,"track","spotify:track:4hJsPMBy4WUD1hxvCmQDMU","https://open.spotify.com/track/4hJsPMBy4WUD1hxvCmQDMU","Songs for the Drunk and Broken Hearted","C","minor","C minor","folk"
"Passenger","0gadJ2b9A4SKsB1RFkBb66","0LjVT3fUFE8bBh3gjQdzOo","album","2021-01-08",2021,"day",0.612,0.141,1,-14.949,1,0.0401,0.87,0,0.108,0.252,145.838,"1P0ID1Vhme3sBHBWCxzGGb","https://api.spotify.com/v1/audio-analysis/1P0ID1Vhme3sBHBWCxzGGb",4,1,216613,TRUE,"https://api.spotify.com/v1/tracks/1P0ID1Vhme3sBHBWCxzGGb",FALSE,"Remember to Forget - Acoustic","https://p.scdn.co/mp3-preview/6e7c89246550fee5888ce71c8e9c3e30e43d9e8a?cid=c22575ce003a46ba95e4590c10b3acb1",16,"track","spotify:track:1P0ID1Vhme3sBHBWCxzGGb","https://open.spotify.com/track/1P0ID1Vhme3sBHBWCxzGGb","Songs for the Drunk and Broken Hearted","C#","major","C# major","folk"
