"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.472,0.391,2,-12.526,0,0.0579,0.72,2.41e-05,0.135,0.255,112.111,"2N9LsBQMtLyMZL0LeydiLW","https://api.spotify.com/v1/audio-analysis/2N9LsBQMtLyMZL0LeydiLW",3,1,240693,FALSE,"https://api.spotify.com/v1/tracks/2N9LsBQMtLyMZL0LeydiLW",FALSE,"One Man's Ceiling Is Another Man's Floor","https://p.scdn.co/mp3-preview/e36ff0b9b0cef68699d7061af55ac23b48402382?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2N9LsBQMtLyMZL0LeydiLW","https://open.spotify.com/track/2N9LsBQMtLyMZL0LeydiLW","In the Blue Light","D","minor","D minor","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.628,0.276,0,-14.437,0,0.0279,0.874,0.000448,0.119,0.301,106.029,"2aWWgc8NPwlDd2dZAJuB1h","https://api.spotify.com/v1/audio-analysis/2aWWgc8NPwlDd2dZAJuB1h",4,1,250213,FALSE,"https://api.spotify.com/v1/tracks/2aWWgc8NPwlDd2dZAJuB1h",FALSE,"Love","https://p.scdn.co/mp3-preview/635321f531193b3e3462e796f4e8b2c1c038cddf?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2aWWgc8NPwlDd2dZAJuB1h","https://open.spotify.com/track/2aWWgc8NPwlDd2dZAJuB1h","In the Blue Light","C","minor","C minor","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.792,0.28,4,-13.059,0,0.0778,0.9,0.00388,0.119,0.961,154.007,"0bRshP34vAHgzgFfz5DjOp","https://api.spotify.com/v1/audio-analysis/0bRshP34vAHgzgFfz5DjOp",4,1,209213,FALSE,"https://api.spotify.com/v1/tracks/0bRshP34vAHgzgFfz5DjOp",FALSE,"Can't Run But","https://p.scdn.co/mp3-preview/3bf7a80fb262111bd85b5e2a22f4b2cf360dcd3a?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0bRshP34vAHgzgFfz5DjOp","https://open.spotify.com/track/0bRshP34vAHgzgFfz5DjOp","In the Blue Light","E","minor","E minor","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.478,0.163,2,-16.843,1,0.047,0.82,0.00115,0.11,0.22,135.998,"2XWXFuJp5OVG6fiOzAYrRb","https://api.spotify.com/v1/audio-analysis/2XWXFuJp5OVG6fiOzAYrRb",5,1,270226,FALSE,"https://api.spotify.com/v1/tracks/2XWXFuJp5OVG6fiOzAYrRb",FALSE,"How the Heart Approaches What It Yearns","https://p.scdn.co/mp3-preview/4ab75e60ccef40498e2a814e599eedaf07ff9726?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2XWXFuJp5OVG6fiOzAYrRb","https://open.spotify.com/track/2XWXFuJp5OVG6fiOzAYrRb","In the Blue Light","D","major","D major","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.67,0.518,5,-10.498,1,0.196,0.292,0,0.165,0.656,90.597,"46Slgg6qOASdxlwkhWLbSL","https://api.spotify.com/v1/audio-analysis/46Slgg6qOASdxlwkhWLbSL",3,1,240413,FALSE,"https://api.spotify.com/v1/tracks/46Slgg6qOASdxlwkhWLbSL",FALSE,"Pigs, Sheep and Wolves","https://p.scdn.co/mp3-preview/a42ce802703d04519a355bbcead3b6fdb6dd70cf?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:46Slgg6qOASdxlwkhWLbSL","https://open.spotify.com/track/46Slgg6qOASdxlwkhWLbSL","In the Blue Light","F","major","F major","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.324,0.0784,4,-18.397,1,0.038,0.965,0.00219,0.107,0.221,106.945,"2ngP1nI1hQepXw4Zke4ODi","https://api.spotify.com/v1/audio-analysis/2ngP1nI1hQepXw4Zke4ODi",4,1,283920,FALSE,"https://api.spotify.com/v1/tracks/2ngP1nI1hQepXw4Zke4ODi",FALSE,"René and Georgette Magritte with Their Dog After the War","https://p.scdn.co/mp3-preview/05cbab47f6ab1cd659acdb4236887ad8867886ab?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:2ngP1nI1hQepXw4Zke4ODi","https://open.spotify.com/track/2ngP1nI1hQepXw4Zke4ODi","In the Blue Light","E","major","E major","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.407,0.282,5,-14.9,0,0.0351,0.954,0.0065,0.109,0.341,158.141,"5Sc9YVtlAQ6PbrB7BmU2VU","https://api.spotify.com/v1/audio-analysis/5Sc9YVtlAQ6PbrB7BmU2VU",5,1,224906,FALSE,"https://api.spotify.com/v1/tracks/5Sc9YVtlAQ6PbrB7BmU2VU",FALSE,"The Teacher","https://p.scdn.co/mp3-preview/62f3f726ee86c3e7d0e07f8fecf2ba679b7960d6?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5Sc9YVtlAQ6PbrB7BmU2VU","https://open.spotify.com/track/5Sc9YVtlAQ6PbrB7BmU2VU","In the Blue Light","F","minor","F minor","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.434,0.233,0,-13.928,1,0.0376,0.811,0.000295,0.162,0.374,105.924,"0oGPVK8SMOXinOPHTN5swT","https://api.spotify.com/v1/audio-analysis/0oGPVK8SMOXinOPHTN5swT",4,1,433413,FALSE,"https://api.spotify.com/v1/tracks/0oGPVK8SMOXinOPHTN5swT",FALSE,"Darling Lorraine","https://p.scdn.co/mp3-preview/7b04e7e7c783bd7c4179eea560e41e12480af4ac?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0oGPVK8SMOXinOPHTN5swT","https://open.spotify.com/track/0oGPVK8SMOXinOPHTN5swT","In the Blue Light","C","major","C major","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.383,0.145,9,-16.565,0,0.0356,0.959,0.00898,0.0763,0.127,134.19,"01pGEjK3SaATMtjt9jqlTp","https://api.spotify.com/v1/audio-analysis/01pGEjK3SaATMtjt9jqlTp",4,1,239106,FALSE,"https://api.spotify.com/v1/tracks/01pGEjK3SaATMtjt9jqlTp",FALSE,"Some Folks' Lives Roll Easy","https://p.scdn.co/mp3-preview/10f95ba0723965fcacce564bc5f32cc5f744aa93?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:01pGEjK3SaATMtjt9jqlTp","https://open.spotify.com/track/01pGEjK3SaATMtjt9jqlTp","In the Blue Light","A","minor","A minor","folk"
"Paul Simon","2CvCyf1gEVhI0mX6aFXmVI","3PQQXqRozROVS6q2Db5vvY","album","2018-09-07",2018,"day",0.397,0.15,2,-17.937,1,0.0371,0.889,2.54e-06,0.0929,0.204,112.034,"39NezLhze6fDQULVmoeMCp","https://api.spotify.com/v1/audio-analysis/39NezLhze6fDQULVmoeMCp",3,1,241013,FALSE,"https://api.spotify.com/v1/tracks/39NezLhze6fDQULVmoeMCp",FALSE,"Questions for the Angels","https://p.scdn.co/mp3-preview/5ddd1c771aa108f2769d1e6e329cce6256cad575?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:39NezLhze6fDQULVmoeMCp","https://open.spotify.com/track/39NezLhze6fDQULVmoeMCp","In the Blue Light","D","major","D major","folk"
