"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.622,0.679,10,-6.183,0,0.29,0.0802,0,0.112,0.418,160.059,"3TciLI5wo7RddPtAFhiU9V","https://api.spotify.com/v1/audio-analysis/3TciLI5wo7RddPtAFhiU9V",4,1,174968,TRUE,"https://api.spotify.com/v1/tracks/3TciLI5wo7RddPtAFhiU9V",FALSE,"Don't Believe The Hype","https://p.scdn.co/mp3-preview/b199669c38de4d059a23652936f5b886a31fb668?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3TciLI5wo7RddPtAFhiU9V","https://open.spotify.com/track/3TciLI5wo7RddPtAFhiU9V","THE GOAT","A#","minor","A# minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.776,0.64,7,-8.058,1,0.184,0.149,0,0.101,0.326,160.038,"2iP3unJbxZvRuqyrS0ocZy","https://api.spotify.com/v1/audio-analysis/2iP3unJbxZvRuqyrS0ocZy",4,1,204000,TRUE,"https://api.spotify.com/v1/tracks/2iP3unJbxZvRuqyrS0ocZy",FALSE,"Heartless (feat. Mustard)","https://p.scdn.co/mp3-preview/ee51be6ed449f07089dbe0c0c1accad5329ade5f?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2iP3unJbxZvRuqyrS0ocZy","https://open.spotify.com/track/2iP3unJbxZvRuqyrS0ocZy","THE GOAT","G","major","G major","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.832,0.534,1,-7.813,0,0.253,0.345,0,0.165,0.116,93.924,"1VLtjHwRWOVJiE5Py7JxoQ","https://api.spotify.com/v1/audio-analysis/1VLtjHwRWOVJiE5Py7JxoQ",4,1,132832,TRUE,"https://api.spotify.com/v1/tracks/1VLtjHwRWOVJiE5Py7JxoQ",FALSE,"Martin & Gina","https://p.scdn.co/mp3-preview/c3a29031fae3d7ec39e63efa734da8595be6a916?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1VLtjHwRWOVJiE5Py7JxoQ","https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ","THE GOAT","C#","minor","C# minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.752,0.673,10,-5.792,0,0.153,0.0538,0,0.133,0.35,164.009,"2QqJTIlGKRLJC3onkavYEz","https://api.spotify.com/v1/audio-analysis/2QqJTIlGKRLJC3onkavYEz",4,1,163902,TRUE,"https://api.spotify.com/v1/tracks/2QqJTIlGKRLJC3onkavYEz",FALSE,"Flex (feat. Juice WRLD)","https://p.scdn.co/mp3-preview/d77be6d1c00000c41d21a17034078a30d92ba4fe?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2QqJTIlGKRLJC3onkavYEz","https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz","THE GOAT","A#","minor","A# minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.92,0.833,1,-3.18,1,0.253,0.0277,0,0.0596,0.645,141.034,"4PklAHGXT5ityno3IA8SKd","https://api.spotify.com/v1/audio-analysis/4PklAHGXT5ityno3IA8SKd",4,1,165726,TRUE,"https://api.spotify.com/v1/tracks/4PklAHGXT5ityno3IA8SKd",FALSE,"Go Stupid","https://p.scdn.co/mp3-preview/a9e86608fb989e3d5360aa612b0b9cbd286c620f?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4PklAHGXT5ityno3IA8SKd","https://open.spotify.com/track/4PklAHGXT5ityno3IA8SKd","THE GOAT","C#","major","C# major","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.783,0.479,7,-10.646,1,0.541,0.149,0,0.101,0.533,176.027,"3JKgcAa7r07ocVWcV8bS0H","https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H",4,1,163797,TRUE,"https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H",FALSE,"21","https://p.scdn.co/mp3-preview/f0b39635838ecaaed12aaca593133ffabb348b05?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:3JKgcAa7r07ocVWcV8bS0H","https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H","THE GOAT","G","major","G major","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.732,0.462,5,-10.191,0,0.406,0.126,0,0.12,0.117,180.067,"2iW6Hb6kfrz2K7EhPibFiq","https://api.spotify.com/v1/audio-analysis/2iW6Hb6kfrz2K7EhPibFiq",4,1,170057,TRUE,"https://api.spotify.com/v1/tracks/2iW6Hb6kfrz2K7EhPibFiq",FALSE,"33","https://p.scdn.co/mp3-preview/2e8183310ea663c1b2a019ec3a36bd81e64928cd?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2iW6Hb6kfrz2K7EhPibFiq","https://open.spotify.com/track/2iW6Hb6kfrz2K7EhPibFiq","THE GOAT","F","minor","F minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.807,0.665,5,-5.249,0,0.276,0.0919,0,0.0788,0.557,164.964,"40j4RoqmLiivqzRObbQ4BF","https://api.spotify.com/v1/audio-analysis/40j4RoqmLiivqzRObbQ4BF",4,1,176574,TRUE,"https://api.spotify.com/v1/tracks/40j4RoqmLiivqzRObbQ4BF",FALSE,"I Know","https://p.scdn.co/mp3-preview/ecb6376b05cfc08ee2e0d8a4125c5564feca6bb2?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:40j4RoqmLiivqzRObbQ4BF","https://open.spotify.com/track/40j4RoqmLiivqzRObbQ4BF","THE GOAT","F","minor","F minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.597,0.477,1,-9.638,0,0.642,0.137,0,0.113,0.512,80.382,"4SIB2yxKoFOrbkjA4zfQbB","https://api.spotify.com/v1/audio-analysis/4SIB2yxKoFOrbkjA4zfQbB",4,1,171441,TRUE,"https://api.spotify.com/v1/tracks/4SIB2yxKoFOrbkjA4zfQbB",FALSE,"Beautiful Pain (Losin My Mind)","https://p.scdn.co/mp3-preview/7c99353c8295cc04df2f999d68a5f866a29dfccb?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:4SIB2yxKoFOrbkjA4zfQbB","https://open.spotify.com/track/4SIB2yxKoFOrbkjA4zfQbB","THE GOAT","C#","minor","C# minor","rap"
"Polo G","6AgTAQt8XS6jRWi4sX7w49","39xhYyNNDatQtgKw2KdXMz","album","2020-05-15",2020,"day",0.539,0.705,11,-6.89,1,0.284,0.111,0,0.093,0.456,83.367,"4dKe8YJZg545pXqWBksYIe","https://api.spotify.com/v1/audio-analysis/4dKe8YJZg545pXqWBksYIe",4,1,199458,TRUE,"https://api.spotify.com/v1/tracks/4dKe8YJZg545pXqWBksYIe",FALSE,"No Matter What","https://p.scdn.co/mp3-preview/b3b32f10eb5ae320c827805eb1e1fa8576532be4?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4dKe8YJZg545pXqWBksYIe","https://open.spotify.com/track/4dKe8YJZg545pXqWBksYIe","THE GOAT","B","major","B major","rap"
