"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.821,0.259,5,-10.231,1,0.0403,0.907,0,0.115,0.759,90.073,"032emyJs5KZ6OquJnZKTEe","https://api.spotify.com/v1/audio-analysis/032emyJs5KZ6OquJnZKTEe",4,1,173021,FALSE,"https://api.spotify.com/v1/tracks/032emyJs5KZ6OquJnZKTEe",FALSE,"Wave Of Democracy",NA,1,"track","spotify:track:032emyJs5KZ6OquJnZKTEe","https://open.spotify.com/track/032emyJs5KZ6OquJnZKTEe","Motivational Songs","F","major","F major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.717,0.606,9,-7.836,1,0.0325,0.693,5.09e-06,0.402,0.793,95.554,"6gS9mPB0R508Yz0f5mpfmR","https://api.spotify.com/v1/audio-analysis/6gS9mPB0R508Yz0f5mpfmR",4,1,237858,FALSE,"https://api.spotify.com/v1/tracks/6gS9mPB0R508Yz0f5mpfmR",FALSE,"COOL IT",NA,2,"track","spotify:track:6gS9mPB0R508Yz0f5mpfmR","https://open.spotify.com/track/6gS9mPB0R508Yz0f5mpfmR","Motivational Songs","A","major","A major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.643,0.331,4,-7.068,1,0.0492,0.759,0,0.292,0.675,174.165,"39gIz21O3T3n563EylZd4x","https://api.spotify.com/v1/audio-analysis/39gIz21O3T3n563EylZd4x",4,1,162997,FALSE,"https://api.spotify.com/v1/tracks/39gIz21O3T3n563EylZd4x",FALSE,"Count With Me",NA,3,"track","spotify:track:39gIz21O3T3n563EylZd4x","https://open.spotify.com/track/39gIz21O3T3n563EylZd4x","Motivational Songs","E","major","E major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.649,0.235,2,-8.188,1,0.0279,0.737,2.58e-05,0.111,0.308,109.985,"4T80ClAw0jOqMt5vDE7vx1","https://api.spotify.com/v1/audio-analysis/4T80ClAw0jOqMt5vDE7vx1",4,1,215677,FALSE,"https://api.spotify.com/v1/tracks/4T80ClAw0jOqMt5vDE7vx1",FALSE,"Letter To A Nation",NA,4,"track","spotify:track:4T80ClAw0jOqMt5vDE7vx1","https://open.spotify.com/track/4T80ClAw0jOqMt5vDE7vx1","Motivational Songs","D","major","D major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.7,0.425,7,-7.675,1,0.0386,0.614,8.67e-06,0.0763,0.726,88.519,"5PS2BefsooLSddxdASScK9","https://api.spotify.com/v1/audio-analysis/5PS2BefsooLSddxdASScK9",4,1,282066,FALSE,"https://api.spotify.com/v1/tracks/5PS2BefsooLSddxdASScK9",FALSE,"SustainABILITY",NA,5,"track","spotify:track:5PS2BefsooLSddxdASScK9","https://open.spotify.com/track/5PS2BefsooLSddxdASScK9","Motivational Songs","G","major","G major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.599,0.284,2,-10.644,1,0.0278,0.853,2e-05,0.135,0.394,90.028,"6g6pHP52DFeVz98i0oNd4P","https://api.spotify.com/v1/audio-analysis/6g6pHP52DFeVz98i0oNd4P",4,1,273828,FALSE,"https://api.spotify.com/v1/tracks/6g6pHP52DFeVz98i0oNd4P",FALSE,"Communion",NA,6,"track","spotify:track:6g6pHP52DFeVz98i0oNd4P","https://open.spotify.com/track/6g6pHP52DFeVz98i0oNd4P","Motivational Songs","D","major","D major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.607,0.2,7,-12.449,1,0.0321,0.781,0,0.113,0.546,107.239,"3jodNfmzU322YfTR2LgtDp","https://api.spotify.com/v1/audio-analysis/3jodNfmzU322YfTR2LgtDp",4,1,195485,FALSE,"https://api.spotify.com/v1/tracks/3jodNfmzU322YfTR2LgtDp",FALSE,"Countng On You",NA,7,"track","spotify:track:3jodNfmzU322YfTR2LgtDp","https://open.spotify.com/track/3jodNfmzU322YfTR2LgtDp","Motivational Songs","G","major","G major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.688,0.489,9,-6.495,1,0.0325,0.709,0,0.057,0.647,90.106,"1OnLXOSMSIenfiFGxw5n7q","https://api.spotify.com/v1/audio-analysis/1OnLXOSMSIenfiFGxw5n7q",4,1,245506,FALSE,"https://api.spotify.com/v1/tracks/1OnLXOSMSIenfiFGxw5n7q",FALSE,"Human Child",NA,8,"track","spotify:track:1OnLXOSMSIenfiFGxw5n7q","https://open.spotify.com/track/1OnLXOSMSIenfiFGxw5n7q","Motivational Songs","A","major","A major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.705,0.417,7,-9.136,1,0.0576,0.443,0,0.235,0.596,80.342,"5m1p1kYx8BCwoSwplCpS22","https://api.spotify.com/v1/audio-analysis/5m1p1kYx8BCwoSwplCpS22",4,1,197059,FALSE,"https://api.spotify.com/v1/tracks/5m1p1kYx8BCwoSwplCpS22",FALSE,"It Takes A Village",NA,9,"track","spotify:track:5m1p1kYx8BCwoSwplCpS22","https://open.spotify.com/track/5m1p1kYx8BCwoSwplCpS22","Motivational Songs","G","major","G major","folk"
"Raffi","7oWSqrgMuIEyH9qp5nu2e5","0ksy7jOOe2aYg9F7aTqH9i","album","2019-02-22",2019,"day",0.596,0.334,7,-9.727,1,0.0286,0.493,0.00011,0.0837,0.711,82.053,"4TVSj2Qemr8abNWeiy7CrL","https://api.spotify.com/v1/audio-analysis/4TVSj2Qemr8abNWeiy7CrL",4,1,252155,FALSE,"https://api.spotify.com/v1/tracks/4TVSj2Qemr8abNWeiy7CrL",FALSE,"Green Dream",NA,10,"track","spotify:track:4TVSj2Qemr8abNWeiy7CrL","https://open.spotify.com/track/4TVSj2Qemr8abNWeiy7CrL","Motivational Songs","G","major","G major","folk"
