"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.349,0.16,1,-16.57,1,0.0566,0.983,0,0.785,0.561,154.943,"2hYeasyqa59VNYlsSSCmq4","https://api.spotify.com/v1/audio-analysis/2hYeasyqa59VNYlsSSCmq4",3,1,23746,FALSE,"https://api.spotify.com/v1/tracks/2hYeasyqa59VNYlsSSCmq4",FALSE,"Pacific Love",NA,1,"track","spotify:track:2hYeasyqa59VNYlsSSCmq4","https://open.spotify.com/track/2hYeasyqa59VNYlsSSCmq4","How to: Friend, Love, Freefall","C#","major","C# major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.691,0.482,7,-10.954,1,0.201,0.623,0.00671,0.208,0.433,160.072,"1TDdYSYLIXMJ4EiKO6ZCYk","https://api.spotify.com/v1/audio-analysis/1TDdYSYLIXMJ4EiKO6ZCYk",4,1,154213,TRUE,"https://api.spotify.com/v1/tracks/1TDdYSYLIXMJ4EiKO6ZCYk",FALSE,"Mission to Mars","https://p.scdn.co/mp3-preview/0864f07e8586100b964b461fce6bc9c83f1ecdcf?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:1TDdYSYLIXMJ4EiKO6ZCYk","https://open.spotify.com/track/1TDdYSYLIXMJ4EiKO6ZCYk","How to: Friend, Love, Freefall","G","major","G major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.789,0.593,5,-7.877,0,0.0582,0.383,1.29e-06,0.191,0.293,109.952,"5vyt44455ipNNVSYq8fYY7","https://api.spotify.com/v1/audio-analysis/5vyt44455ipNNVSYq8fYY7",4,1,163746,FALSE,"https://api.spotify.com/v1/tracks/5vyt44455ipNNVSYq8fYY7",FALSE,"Fever Pitch","https://p.scdn.co/mp3-preview/aff7ef16e74f15017385e02f19b24079d1a6d360?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5vyt44455ipNNVSYq8fYY7","https://open.spotify.com/track/5vyt44455ipNNVSYq8fYY7","How to: Friend, Love, Freefall","F","minor","F minor","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,"474uVhyGgK5MtY9gMcDgGl","https://api.spotify.com/v1/audio-analysis/474uVhyGgK5MtY9gMcDgGl",4,1,152293,TRUE,"https://api.spotify.com/v1/tracks/474uVhyGgK5MtY9gMcDgGl",FALSE,"It's Called: Freefall","https://p.scdn.co/mp3-preview/d8ddc6c5b63f24f04e23f89cb6f8844a17e4810a?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:474uVhyGgK5MtY9gMcDgGl","https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl","How to: Friend, Love, Freefall","D","major","D major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.564,0.294,7,-8.885,0,0.0349,0.636,0,0.0982,0.213,149.98,"1zkkvSLk5Nh4uoyKWwuie9","https://api.spotify.com/v1/audio-analysis/1zkkvSLk5Nh4uoyKWwuie9",4,1,174386,TRUE,"https://api.spotify.com/v1/tracks/1zkkvSLk5Nh4uoyKWwuie9",FALSE,"Holy War","https://p.scdn.co/mp3-preview/69bd556456688ac3c1ba5f0d84a97e1e59e478b2?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1zkkvSLk5Nh4uoyKWwuie9","https://open.spotify.com/track/1zkkvSLk5Nh4uoyKWwuie9","How to: Friend, Love, Freefall","G","minor","G minor","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.678,0.81,7,-5.665,1,0.279,0.0635,3.8e-06,0.0343,0.804,74.964,"41xaZ4WLlKD95U5PknoJrV","https://api.spotify.com/v1/audio-analysis/41xaZ4WLlKD95U5PknoJrV",4,1,172466,FALSE,"https://api.spotify.com/v1/tracks/41xaZ4WLlKD95U5PknoJrV",FALSE,"Matchbox","https://p.scdn.co/mp3-preview/d61995a04b611fdf766608f479cf6c8209e8a5da?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:41xaZ4WLlKD95U5PknoJrV","https://open.spotify.com/track/41xaZ4WLlKD95U5PknoJrV","How to: Friend, Love, Freefall","G","major","G major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.621,0.427,11,-11.464,0,0.0733,0.79,0,0.189,0.275,150.037,"1k7aPYyAnNTjVbjw1YDNp1","https://api.spotify.com/v1/audio-analysis/1k7aPYyAnNTjVbjw1YDNp1",4,1,196573,TRUE,"https://api.spotify.com/v1/tracks/1k7aPYyAnNTjVbjw1YDNp1",FALSE,"Moody Orange","https://p.scdn.co/mp3-preview/ec3def5a88cd9ede6b6f2dd796c03fc410f37deb?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:1k7aPYyAnNTjVbjw1YDNp1","https://open.spotify.com/track/1k7aPYyAnNTjVbjw1YDNp1","How to: Friend, Love, Freefall","B","minor","B minor","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.799,0.497,4,-6.57,1,0.141,0.0745,1.28e-05,0.174,0.488,115.157,"0hJS3EHWC4uL9sJ52ErpoN","https://api.spotify.com/v1/audio-analysis/0hJS3EHWC4uL9sJ52ErpoN",4,1,192013,FALSE,"https://api.spotify.com/v1/tracks/0hJS3EHWC4uL9sJ52ErpoN",FALSE,"Hide","https://p.scdn.co/mp3-preview/2a5209b52fd83e3448f2f7234322d12e75ce35b0?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0hJS3EHWC4uL9sJ52ErpoN","https://open.spotify.com/track/0hJS3EHWC4uL9sJ52ErpoN","How to: Friend, Love, Freefall","E","major","E major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.727,0.48,5,-9.278,0,0.0987,0.444,0,0.118,0.369,120.025,"16ro1is6DmDKkarlJMBbzV","https://api.spotify.com/v1/audio-analysis/16ro1is6DmDKkarlJMBbzV",4,1,269053,FALSE,"https://api.spotify.com/v1/tracks/16ro1is6DmDKkarlJMBbzV",FALSE,"When It Lands","https://p.scdn.co/mp3-preview/f91d6864b6af6117056d75b130299edcb9997747?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:16ro1is6DmDKkarlJMBbzV","https://open.spotify.com/track/16ro1is6DmDKkarlJMBbzV","How to: Friend, Love, Freefall","F","minor","F minor","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,"6fc51JZVE0Yijdi6RuoLFv","https://api.spotify.com/v1/audio-analysis/6fc51JZVE0Yijdi6RuoLFv",4,1,213973,FALSE,"https://api.spotify.com/v1/tracks/6fc51JZVE0Yijdi6RuoLFv",FALSE,"Painkillers","https://p.scdn.co/mp3-preview/41fd840c7cb524dcb94733e8df0beef6a91c2725?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:6fc51JZVE0Yijdi6RuoLFv","https://open.spotify.com/track/6fc51JZVE0Yijdi6RuoLFv","How to: Friend, Love, Freefall","G","major","G major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.758,0.551,0,-8.879,1,0.0732,0.604,0.000663,0.104,0.365,114.892,"33vFhGNZa44VJ0I21AOGYe","https://api.spotify.com/v1/audio-analysis/33vFhGNZa44VJ0I21AOGYe",4,1,109226,FALSE,"https://api.spotify.com/v1/tracks/33vFhGNZa44VJ0I21AOGYe",FALSE,"Recktify","https://p.scdn.co/mp3-preview/1fd946c6b83d58c99b40d0cc3d12876e4a7a7aff?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:33vFhGNZa44VJ0I21AOGYe","https://open.spotify.com/track/33vFhGNZa44VJ0I21AOGYe","How to: Friend, Love, Freefall","C","major","C major","folk"
"Rainbow Kitten Surprise","4hz8tIajF2INpgM0qzPJz2","7vXiklrUeffx5o2F8VYwm3","album","2018-04-06",2018,"day",0.501,0.477,6,-9.507,1,0.217,0.987,0.803,0.154,0.0897,106.595,"1RzgWAFlI6KOenjOxJYcH0","https://api.spotify.com/v1/audio-analysis/1RzgWAFlI6KOenjOxJYcH0",3,1,127640,FALSE,"https://api.spotify.com/v1/tracks/1RzgWAFlI6KOenjOxJYcH0",FALSE,"Possum Queen","https://p.scdn.co/mp3-preview/7bf7680d7fe18bf5e814a9aafa25ce1eefcf6616?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:1RzgWAFlI6KOenjOxJYcH0","https://open.spotify.com/track/1RzgWAFlI6KOenjOxJYcH0","How to: Friend, Love, Freefall","F#","major","F# major","folk"
