"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.606,0.407,9,-9.128,1,0.243,0.8,0,0.232,0.654,198.773,"3Z2roouK8msGtMXAS7xWCJ","https://api.spotify.com/v1/audio-analysis/3Z2roouK8msGtMXAS7xWCJ",4,1,171186,FALSE,"https://api.spotify.com/v1/tracks/3Z2roouK8msGtMXAS7xWCJ",FALSE,"I Got a Woman (Single Version)","https://p.scdn.co/mp3-preview/e0f9224f3e8b8df64ae639d9bc9258d5aefc02e8?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3Z2roouK8msGtMXAS7xWCJ","https://open.spotify.com/track/3Z2roouK8msGtMXAS7xWCJ","The Atlantic Hits","A","major","A major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.752,0.494,3,-6.641,1,0.194,0.772,0,0.138,0.626,72.921,"2OAsFRAmucWOnnJLTV72C1","https://api.spotify.com/v1/audio-analysis/2OAsFRAmucWOnnJLTV72C1",4,1,155520,FALSE,"https://api.spotify.com/v1/tracks/2OAsFRAmucWOnnJLTV72C1",FALSE,"Hallelujah I Love Her So","https://p.scdn.co/mp3-preview/c709d87246d66f8ccb6672ce4eb07d5ac8d33c03?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2OAsFRAmucWOnnJLTV72C1","https://open.spotify.com/track/2OAsFRAmucWOnnJLTV72C1","The Atlantic Hits","D#","major","D# major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,"5t4jCQRoGMwygy7uPpCxfp","https://api.spotify.com/v1/audio-analysis/5t4jCQRoGMwygy7uPpCxfp",4,1,160226,FALSE,"https://api.spotify.com/v1/tracks/5t4jCQRoGMwygy7uPpCxfp",FALSE,"Mess Around","https://p.scdn.co/mp3-preview/39f4c8fcddca2044721ae2e1b6d0151211533f5e?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5t4jCQRoGMwygy7uPpCxfp","https://open.spotify.com/track/5t4jCQRoGMwygy7uPpCxfp","The Atlantic Hits","G#","major","G# major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385,"2KQD84JGzWu8bibaWHytjP","https://api.spotify.com/v1/audio-analysis/2KQD84JGzWu8bibaWHytjP",4,1,307053,FALSE,"https://api.spotify.com/v1/tracks/2KQD84JGzWu8bibaWHytjP",FALSE,"What'd I Say, Pt. 1 & 2","https://p.scdn.co/mp3-preview/f1ba866a9dae60ca159fec52aac4ad36bce32d57?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2KQD84JGzWu8bibaWHytjP","https://open.spotify.com/track/2KQD84JGzWu8bibaWHytjP","The Atlantic Hits","E","major","E major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.26,0.171,3,-13.921,1,0.0343,0.764,1.17e-05,0.554,0.251,182.509,"5zJgpPfTCLdrbDSwviV4nl","https://api.spotify.com/v1/audio-analysis/5zJgpPfTCLdrbDSwviV4nl",3,1,221906,FALSE,"https://api.spotify.com/v1/tracks/5zJgpPfTCLdrbDSwviV4nl",FALSE,"Come Rain or Come Shine","https://p.scdn.co/mp3-preview/fa5d62b777f5b5c44bb2c428a93e5c188fa2dba1?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:5zJgpPfTCLdrbDSwviV4nl","https://open.spotify.com/track/5zJgpPfTCLdrbDSwviV4nl","The Atlantic Hits","D#","major","D# major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.413,0.38,1,-6.769,1,0.0303,0.636,0,0.248,0.513,135.96,"5401fY7y1GQvv6wUaC2zuF","https://api.spotify.com/v1/audio-analysis/5401fY7y1GQvv6wUaC2zuF",3,1,198453,FALSE,"https://api.spotify.com/v1/tracks/5401fY7y1GQvv6wUaC2zuF",FALSE,"Drown In My Own Tears","https://p.scdn.co/mp3-preview/2229f1c895918d46a039533a9a7a79b6ac54b638?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5401fY7y1GQvv6wUaC2zuF","https://open.spotify.com/track/5401fY7y1GQvv6wUaC2zuF","The Atlantic Hits","C#","major","C# major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.575,0.532,7,-7.316,1,0.308,0.665,0,0.639,0.602,104.039,"4lIxNH2QaElQAbyiK4UH2Q","https://api.spotify.com/v1/audio-analysis/4lIxNH2QaElQAbyiK4UH2Q",4,1,172253,FALSE,"https://api.spotify.com/v1/tracks/4lIxNH2QaElQAbyiK4UH2Q",FALSE,"Let the Good Times Roll","https://p.scdn.co/mp3-preview/eeced5552fdfb046f7734a118ab66d524e3d3431?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:4lIxNH2QaElQAbyiK4UH2Q","https://open.spotify.com/track/4lIxNH2QaElQAbyiK4UH2Q","The Atlantic Hits","G","major","G major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.736,0.595,5,-6.076,1,0.188,0.243,0,0.0798,0.758,118.609,"0jwf5GEWzbyC4VMYq43grl","https://api.spotify.com/v1/audio-analysis/0jwf5GEWzbyC4VMYq43grl",4,1,171146,FALSE,"https://api.spotify.com/v1/tracks/0jwf5GEWzbyC4VMYq43grl",FALSE,"Ain't That Love","https://p.scdn.co/mp3-preview/7b8fbfadd1d2fdb84432f907041275f18d2b7e75?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0jwf5GEWzbyC4VMYq43grl","https://open.spotify.com/track/0jwf5GEWzbyC4VMYq43grl","The Atlantic Hits","F","major","F major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.579,0.236,3,-6.897,1,0.0378,0.865,7.07e-06,0.277,0.386,132.426,"3bJB5VgadWmQOr9bCQMZ4g","https://api.spotify.com/v1/audio-analysis/3bJB5VgadWmQOr9bCQMZ4g",3,1,184706,FALSE,"https://api.spotify.com/v1/tracks/3bJB5VgadWmQOr9bCQMZ4g",FALSE,"Come Back Baby","https://p.scdn.co/mp3-preview/6b08cb1e324f613ace302f57709c857faf6494d9?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:3bJB5VgadWmQOr9bCQMZ4g","https://open.spotify.com/track/3bJB5VgadWmQOr9bCQMZ4g","The Atlantic Hits","D#","major","D# major","jazz"
"Ray Charles","1eYhYunlNJlDoQhtYBvPsi","6vbwAQCAYy8Vj7bXAPq5bz","album","2019-02-08",2019,"day",0.6,0.155,10,-12.325,1,0.0377,0.862,8.21e-05,0.0793,0.549,132.255,"4M11fyjoNF8aOdSAhyQ3AS","https://api.spotify.com/v1/audio-analysis/4M11fyjoNF8aOdSAhyQ3AS",3,1,182893,FALSE,"https://api.spotify.com/v1/tracks/4M11fyjoNF8aOdSAhyQ3AS",FALSE,"A Fool for You","https://p.scdn.co/mp3-preview/c7a615ded45b42750f646fcde03a7500c9171b05?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4M11fyjoNF8aOdSAhyQ3AS","https://open.spotify.com/track/4M11fyjoNF8aOdSAhyQ3AS","The Atlantic Hits","A#","major","A# major","jazz"
