"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.597,0.316,5,-12.896,1,0.0325,0.824,0.128,0.125,0.266,92.922,"51HHXLUtSXbRZQMzqOFXl3","https://api.spotify.com/v1/audio-analysis/51HHXLUtSXbRZQMzqOFXl3",4,1,244920,FALSE,"https://api.spotify.com/v1/tracks/51HHXLUtSXbRZQMzqOFXl3",FALSE,"Roll Me Mama, Roll Me","https://p.scdn.co/mp3-preview/6b12fcb82c060c7ff957483695d85eab06d0ffc3?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:51HHXLUtSXbRZQMzqOFXl3","https://open.spotify.com/track/51HHXLUtSXbRZQMzqOFXl3","MONOVISION","F","major","F major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.659,0.236,9,-12.56,1,0.0304,0.84,6.32e-05,0.206,0.216,78.088,"3YllcvA3PW1DUwjckCVjIw","https://api.spotify.com/v1/audio-analysis/3YllcvA3PW1DUwjckCVjIw",4,1,251933,FALSE,"https://api.spotify.com/v1/tracks/3YllcvA3PW1DUwjckCVjIw",FALSE,"I Was Born To Love You","https://p.scdn.co/mp3-preview/31b5c955d58022d09a56bfcc86e49e2a12781af1?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:3YllcvA3PW1DUwjckCVjIw","https://open.spotify.com/track/3YllcvA3PW1DUwjckCVjIw","MONOVISION","A","major","A major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.717,0.706,2,-8.612,1,0.0278,0.116,1.51e-05,0.184,0.967,130.543,"1M1xjg2N1i5EKosEPtx2T7","https://api.spotify.com/v1/audio-analysis/1M1xjg2N1i5EKosEPtx2T7",4,1,214653,FALSE,"https://api.spotify.com/v1/tracks/1M1xjg2N1i5EKosEPtx2T7",FALSE,"Strong Enough","https://p.scdn.co/mp3-preview/5a8c67e0cddc97cde8bfe7a046f05e400861007e?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1M1xjg2N1i5EKosEPtx2T7","https://open.spotify.com/track/1M1xjg2N1i5EKosEPtx2T7","MONOVISION","D","major","D major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.376,0.163,5,-13.972,1,0.0306,0.831,0.18,0.116,0.152,78.39,"3uRrrHMcDP5hpDvBZHjp30","https://api.spotify.com/v1/audio-analysis/3uRrrHMcDP5hpDvBZHjp30",4,1,264720,FALSE,"https://api.spotify.com/v1/tracks/3uRrrHMcDP5hpDvBZHjp30",FALSE,"Summer Clouds","https://p.scdn.co/mp3-preview/839395ac5c0e8a83bf7cac42138887d661683e6b?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3uRrrHMcDP5hpDvBZHjp30","https://open.spotify.com/track/3uRrrHMcDP5hpDvBZHjp30","MONOVISION","F","major","F major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.502,0.309,5,-12.12,1,0.0308,0.575,0.000894,0.0953,0.273,119.236,"4WzQEkUYTBzo0DRnJfYPls","https://api.spotify.com/v1/audio-analysis/4WzQEkUYTBzo0DRnJfYPls",4,1,361013,FALSE,"https://api.spotify.com/v1/tracks/4WzQEkUYTBzo0DRnJfYPls",FALSE,"We'll Make It Through","https://p.scdn.co/mp3-preview/8c35ba4be31e2008d87e2fe77aced687a77a2818?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4WzQEkUYTBzo0DRnJfYPls","https://open.spotify.com/track/4WzQEkUYTBzo0DRnJfYPls","MONOVISION","F","major","F major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.556,0.517,8,-9.877,1,0.03,0.628,8.8e-05,0.132,0.664,90.246,"3n1BKstju6qaEOU4M2Zy9r","https://api.spotify.com/v1/audio-analysis/3n1BKstju6qaEOU4M2Zy9r",3,1,339840,FALSE,"https://api.spotify.com/v1/tracks/3n1BKstju6qaEOU4M2Zy9r",FALSE,"Misty Morning Rain","https://p.scdn.co/mp3-preview/6f04c2398fea9eb32b1496d84192f5c6bcdfcb1a?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:3n1BKstju6qaEOU4M2Zy9r","https://open.spotify.com/track/3n1BKstju6qaEOU4M2Zy9r","MONOVISION","G#","major","G# major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.483,0.371,7,-9.548,1,0.0269,0.403,0.0153,0.0979,0.473,75.023,"2D94yEvImYfXTpRcX0yA6x","https://api.spotify.com/v1/audio-analysis/2D94yEvImYfXTpRcX0yA6x",4,1,255693,FALSE,"https://api.spotify.com/v1/tracks/2D94yEvImYfXTpRcX0yA6x",FALSE,"Rocky Mountain Healin'","https://p.scdn.co/mp3-preview/ebff3819899830db17ce7ff475c33b302177d8e9?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2D94yEvImYfXTpRcX0yA6x","https://open.spotify.com/track/2D94yEvImYfXTpRcX0yA6x","MONOVISION","G","major","G major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.534,0.358,9,-12.101,1,0.0276,0.731,1.92e-05,0.233,0.497,131.054,"3GwySmxckxZQvQzJNGyMob","https://api.spotify.com/v1/audio-analysis/3GwySmxckxZQvQzJNGyMob",4,1,202653,FALSE,"https://api.spotify.com/v1/tracks/3GwySmxckxZQvQzJNGyMob",FALSE,"Weeping Willow","https://p.scdn.co/mp3-preview/b592ce034a0fe275c8114ff514afda1b35ca3089?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:3GwySmxckxZQvQzJNGyMob","https://open.spotify.com/track/3GwySmxckxZQvQzJNGyMob","MONOVISION","A","major","A major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.42,0.3,10,-12.299,1,0.0288,0.882,0.0793,0.112,0.477,77.895,"7xKWgEFRnctGF6R9Yl2EK3","https://api.spotify.com/v1/audio-analysis/7xKWgEFRnctGF6R9Yl2EK3",4,1,238253,FALSE,"https://api.spotify.com/v1/tracks/7xKWgEFRnctGF6R9Yl2EK3",FALSE,"Morning Comes Wearing Diamonds","https://p.scdn.co/mp3-preview/7e31ca7c4cf9f28dd7dc73ec2b388302742045ed?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:7xKWgEFRnctGF6R9Yl2EK3","https://open.spotify.com/track/7xKWgEFRnctGF6R9Yl2EK3","MONOVISION","A#","major","A# major","folk"
"Ray LaMontagne","6DoH7ywD5BcQvjloe9OcIj","4yzBq7tSsGjnQS0GPmbWcE","album","2020-06-26",2020,"day",0.459,0.385,0,-11.11,1,0.0263,0.632,0.000631,0.109,0.22,145.129,"4yqs26DeIseczNFLIpwHVq","https://api.spotify.com/v1/audio-analysis/4yqs26DeIseczNFLIpwHVq",4,1,331160,FALSE,"https://api.spotify.com/v1/tracks/4yqs26DeIseczNFLIpwHVq",FALSE,"Highway to the Sun","https://p.scdn.co/mp3-preview/2ef6c8bdfd26706fcf08f211d5a8da39dab2b92e?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4yqs26DeIseczNFLIpwHVq","https://open.spotify.com/track/4yqs26DeIseczNFLIpwHVq","MONOVISION","C","major","C major","folk"
