"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.797,0.642,0,-8.082,1,0.0725,0.0799,1.19e-05,0.371,0.667,113.999,"3bIQIx7hveYPQDdhjZ1kcq","https://api.spotify.com/v1/audio-analysis/3bIQIx7hveYPQDdhjZ1kcq",4,1,250386,FALSE,"https://api.spotify.com/v1/tracks/3bIQIx7hveYPQDdhjZ1kcq",FALSE,"The Getaway","https://p.scdn.co/mp3-preview/72fb1fa491d3aed91157ae58a7ea294572d1f4b6?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3bIQIx7hveYPQDdhjZ1kcq","https://open.spotify.com/track/3bIQIx7hveYPQDdhjZ1kcq","The Getaway","C","major","C major","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,"2oaK4JLVnmRGIO9ytBE1bt","https://api.spotify.com/v1/audio-analysis/2oaK4JLVnmRGIO9ytBE1bt",4,1,302000,FALSE,"https://api.spotify.com/v1/tracks/2oaK4JLVnmRGIO9ytBE1bt",FALSE,"Dark Necessities","https://p.scdn.co/mp3-preview/603321bf69cb0fd27c44ae875ff73c6dfc856311?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2oaK4JLVnmRGIO9ytBE1bt","https://open.spotify.com/track/2oaK4JLVnmRGIO9ytBE1bt","The Getaway","F","minor","F minor","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.61,0.872,2,-5.428,0,0.0422,0.116,0.147,0.152,0.842,164.038,"0cv2LgkvEoQiGgFWcZaAMA","https://api.spotify.com/v1/audio-analysis/0cv2LgkvEoQiGgFWcZaAMA",4,1,200466,FALSE,"https://api.spotify.com/v1/tracks/0cv2LgkvEoQiGgFWcZaAMA",FALSE,"We Turn Red","https://p.scdn.co/mp3-preview/7401884887b72bf4a2f0309cdef1b3f1ad0bd5e7?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0cv2LgkvEoQiGgFWcZaAMA","https://open.spotify.com/track/0cv2LgkvEoQiGgFWcZaAMA","The Getaway","D","minor","D minor","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.476,0.511,8,-6.25,1,0.0324,0.319,0.000129,0.119,0.339,148.158,"0pjCkLjbgSLn5c0Ilwuv8z","https://api.spotify.com/v1/audio-analysis/0pjCkLjbgSLn5c0Ilwuv8z",4,1,211520,FALSE,"https://api.spotify.com/v1/tracks/0pjCkLjbgSLn5c0Ilwuv8z",FALSE,"The Longest Wave","https://p.scdn.co/mp3-preview/0800193b0d8994cfed84ce91c112718cdcca230b?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:0pjCkLjbgSLn5c0Ilwuv8z","https://open.spotify.com/track/0pjCkLjbgSLn5c0Ilwuv8z","The Getaway","G#","major","G# major","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.365,0.804,9,-5.922,0,0.105,0.104,6.58e-05,0.15,0.577,171.597,"2XTkpF9T2PKvcLgamGJGx1","https://api.spotify.com/v1/audio-analysis/2XTkpF9T2PKvcLgamGJGx1",4,1,268733,FALSE,"https://api.spotify.com/v1/tracks/2XTkpF9T2PKvcLgamGJGx1",FALSE,"Goodbye Angels","https://p.scdn.co/mp3-preview/69191d42691a7605cd25270fb2aca0e888a7f0f2?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2XTkpF9T2PKvcLgamGJGx1","https://open.spotify.com/track/2XTkpF9T2PKvcLgamGJGx1","The Getaway","A","minor","A minor","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.591,0.794,4,-5.935,0,0.069,0.183,0,0.292,0.875,147.974,"6GsP3uMCd0Dn5T37C93waZ","https://api.spotify.com/v1/audio-analysis/6GsP3uMCd0Dn5T37C93waZ",4,1,221440,FALSE,"https://api.spotify.com/v1/tracks/6GsP3uMCd0Dn5T37C93waZ",FALSE,"Sick Love","https://p.scdn.co/mp3-preview/cc7db96c4aef501af2f087e4de5573f82fcb64c1?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6GsP3uMCd0Dn5T37C93waZ","https://open.spotify.com/track/6GsP3uMCd0Dn5T37C93waZ","The Getaway","E","minor","E minor","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.852,0.651,8,-6.254,1,0.0411,0.0432,0.0192,0.158,0.96,131.01,"5m578MgxuEC956dulprCe8","https://api.spotify.com/v1/audio-analysis/5m578MgxuEC956dulprCe8",4,1,263800,FALSE,"https://api.spotify.com/v1/tracks/5m578MgxuEC956dulprCe8",FALSE,"Go Robot","https://p.scdn.co/mp3-preview/e6c44098fc6b638676450abc9854804b05c3a682?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:5m578MgxuEC956dulprCe8","https://open.spotify.com/track/5m578MgxuEC956dulprCe8","The Getaway","G#","major","G# major","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.67,0.75,6,-5.502,0,0.0583,0.137,3.53e-06,0.197,0.88,82.041,"0SMzXgUFqcAt0WNCsGm3tM","https://api.spotify.com/v1/audio-analysis/0SMzXgUFqcAt0WNCsGm3tM",4,1,202933,FALSE,"https://api.spotify.com/v1/tracks/0SMzXgUFqcAt0WNCsGm3tM",FALSE,"Feasting on the Flowers","https://p.scdn.co/mp3-preview/ecdacb03bb20ae479d1915f5fd8f89c1be618163?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0SMzXgUFqcAt0WNCsGm3tM","https://open.spotify.com/track/0SMzXgUFqcAt0WNCsGm3tM","The Getaway","F#","minor","F# minor","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.439,0.885,4,-4.679,1,0.0625,0.000277,0.00367,0.372,0.495,92.738,"5y7IfSDhBHFVnlGj1UrlA1","https://api.spotify.com/v1/audio-analysis/5y7IfSDhBHFVnlGj1UrlA1",4,1,226640,FALSE,"https://api.spotify.com/v1/tracks/5y7IfSDhBHFVnlGj1UrlA1",FALSE,"Detroit","https://p.scdn.co/mp3-preview/27a598035cc529caca667e3f31043fdbdd7e1190?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:5y7IfSDhBHFVnlGj1UrlA1","https://open.spotify.com/track/5y7IfSDhBHFVnlGj1UrlA1","The Getaway","E","major","E major","rock"
"Red Hot Chili Peppers","0L8ExT028jH3ddEcZwqJJ5","43otFXrY0bgaq5fB3GrZj6","album","2016-06-17",2016,"day",0.238,0.949,8,-4.575,1,0.247,0.016,0,0.0864,0.405,87.843,"3iXNy7VaY9OqJFBwzhmbOh","https://api.spotify.com/v1/audio-analysis/3iXNy7VaY9OqJFBwzhmbOh",4,1,215200,FALSE,"https://api.spotify.com/v1/tracks/3iXNy7VaY9OqJFBwzhmbOh",FALSE,"This Ticonderoga","https://p.scdn.co/mp3-preview/7df34cc3c61c8e101f1a6297104a0d3c8a03f0ee?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3iXNy7VaY9OqJFBwzhmbOh","https://open.spotify.com/track/3iXNy7VaY9OqJFBwzhmbOh","The Getaway","G#","major","G# major","rock"
