"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.599,0.81,10,-4.062,0,0.126,0.0133,0,0.35,0.441,157.856,"045JWx32CaSDOpUACXaxWE","https://api.spotify.com/v1/audio-analysis/045JWx32CaSDOpUACXaxWE",4,1,286213,TRUE,"https://api.spotify.com/v1/tracks/045JWx32CaSDOpUACXaxWE",FALSE,"Act a Fool (feat. Wale)","https://p.scdn.co/mp3-preview/e91ae267d47b8280e68011e7827678171448c26e?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:045JWx32CaSDOpUACXaxWE","https://open.spotify.com/track/045JWx32CaSDOpUACXaxWE","Port of Miami 2","A#","minor","A# minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.44,0.764,0,-4.426,0,0.374,0.0193,0,0.204,0.127,80.049,"12NFbnTFq0EvxPsstNBSrE","https://api.spotify.com/v1/audio-analysis/12NFbnTFq0EvxPsstNBSrE",1,1,260413,TRUE,"https://api.spotify.com/v1/tracks/12NFbnTFq0EvxPsstNBSrE",FALSE,"Turnpike Ike","https://p.scdn.co/mp3-preview/627791fcfe15582694fb8b3210cef85cf7c4ab43?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:12NFbnTFq0EvxPsstNBSrE","https://open.spotify.com/track/12NFbnTFq0EvxPsstNBSrE","Port of Miami 2","C","minor","C minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.762,0.666,1,-6.203,1,0.401,0.000676,0,0.15,0.362,157.104,"3ZZkSBbBOXi1NFzPbY7Lxb","https://api.spotify.com/v1/audio-analysis/3ZZkSBbBOXi1NFzPbY7Lxb",4,1,245240,TRUE,"https://api.spotify.com/v1/tracks/3ZZkSBbBOXi1NFzPbY7Lxb",FALSE,"Nobody's Favorite (feat. Gunplay)","https://p.scdn.co/mp3-preview/4cbbe56fae95f6c832a62cda13de19755f48b078?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3ZZkSBbBOXi1NFzPbY7Lxb","https://open.spotify.com/track/3ZZkSBbBOXi1NFzPbY7Lxb","Port of Miami 2","C#","major","C# major","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.517,0.541,0,-6.844,1,0.235,0.0394,0,0.678,0.123,139.076,"14geRrYSRz73sBbtPD4iPQ","https://api.spotify.com/v1/audio-analysis/14geRrYSRz73sBbtPD4iPQ",4,1,226480,TRUE,"https://api.spotify.com/v1/tracks/14geRrYSRz73sBbtPD4iPQ",FALSE,"Summer Reign (feat. Summer Walker)","https://p.scdn.co/mp3-preview/2e9825470b9ecde4f4e7b62c0dbf2186d5f5c522?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:14geRrYSRz73sBbtPD4iPQ","https://open.spotify.com/track/14geRrYSRz73sBbtPD4iPQ","Port of Miami 2","C","major","C major","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.412,0.928,11,-5.5,0,0.397,0.0525,0,0.0964,0.607,159.475,"1EW1ApmkymvxOyJSpkqrZV","https://api.spotify.com/v1/audio-analysis/1EW1ApmkymvxOyJSpkqrZV",4,1,199306,TRUE,"https://api.spotify.com/v1/tracks/1EW1ApmkymvxOyJSpkqrZV",FALSE,"White Lines (feat. DeJ Loaf)","https://p.scdn.co/mp3-preview/46fae60fd644da76b8650bc218cea373510188c0?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1EW1ApmkymvxOyJSpkqrZV","https://open.spotify.com/track/1EW1ApmkymvxOyJSpkqrZV","Port of Miami 2","B","minor","B minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.56,0.767,1,-4.328,1,0.125,0.000729,4.22e-06,0.342,0.169,83.907,"1ZnLtcV93kvm5Mz7wXVQ3z","https://api.spotify.com/v1/audio-analysis/1ZnLtcV93kvm5Mz7wXVQ3z",4,1,242853,TRUE,"https://api.spotify.com/v1/tracks/1ZnLtcV93kvm5Mz7wXVQ3z",FALSE,"BIG TYME (feat. Swizz Beatz)","https://p.scdn.co/mp3-preview/39ccdcc60cd7991e8ecde7afc84fbf9852bed217?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1ZnLtcV93kvm5Mz7wXVQ3z","https://open.spotify.com/track/1ZnLtcV93kvm5Mz7wXVQ3z","Port of Miami 2","C#","major","C# major","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.53,0.655,1,-7.384,0,0.143,0.53,0,0.117,0.131,87.498,"3va2EAQNqHBDkJiuWEU3XW","https://api.spotify.com/v1/audio-analysis/3va2EAQNqHBDkJiuWEU3XW",4,1,241453,TRUE,"https://api.spotify.com/v1/tracks/3va2EAQNqHBDkJiuWEU3XW",FALSE,"Bogus Charms (feat. Meek Mill)","https://p.scdn.co/mp3-preview/fa678e57f7ee0f2bef494cad965fd5799bc4af52?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:3va2EAQNqHBDkJiuWEU3XW","https://open.spotify.com/track/3va2EAQNqHBDkJiuWEU3XW","Port of Miami 2","C#","minor","C# minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.428,0.916,8,-2.998,0,0.42,0.158,0,0.321,0.482,88.13,"5FwKBU61DSOW89d23NUzI0","https://api.spotify.com/v1/audio-analysis/5FwKBU61DSOW89d23NUzI0",4,1,249253,TRUE,"https://api.spotify.com/v1/tracks/5FwKBU61DSOW89d23NUzI0",FALSE,"Rich Nigga Lifestyle (feat. Nipsey Hussle & Teyana Taylor)","https://p.scdn.co/mp3-preview/5e05e26394ddba70656d62970f6bdc3e9e86ca11?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5FwKBU61DSOW89d23NUzI0","https://open.spotify.com/track/5FwKBU61DSOW89d23NUzI0","Port of Miami 2","G#","minor","G# minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.742,0.605,10,-7.209,0,0.339,0.107,0,0.101,0.459,80.556,"0tCzx4i4gFMCVM7ikdBAgw","https://api.spotify.com/v1/audio-analysis/0tCzx4i4gFMCVM7ikdBAgw",4,1,280933,TRUE,"https://api.spotify.com/v1/tracks/0tCzx4i4gFMCVM7ikdBAgw",FALSE,"Born to Kill (feat. Jeezy)","https://p.scdn.co/mp3-preview/b52303666c8a4cc99146271aec4e594bcc65749a?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0tCzx4i4gFMCVM7ikdBAgw","https://open.spotify.com/track/0tCzx4i4gFMCVM7ikdBAgw","Port of Miami 2","A#","minor","A# minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.538,0.875,11,-4.595,0,0.329,0.0422,0,0.137,0.678,142.432,"5DmnClezRpxmk4tnDGNDcd","https://api.spotify.com/v1/audio-analysis/5DmnClezRpxmk4tnDGNDcd",4,1,325760,TRUE,"https://api.spotify.com/v1/tracks/5DmnClezRpxmk4tnDGNDcd",FALSE,"Fascinated","https://p.scdn.co/mp3-preview/c1b365ee90c2ed05f1292921daf7b34b22aa698d?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5DmnClezRpxmk4tnDGNDcd","https://open.spotify.com/track/5DmnClezRpxmk4tnDGNDcd","Port of Miami 2","B","minor","B minor","rap"
"Rick Ross","1sBkRIssrMs1AbVkOJbc7a","1mgw5rbUS94uif2ce9QCf0","album","2019-08-15",2019,"day",0.331,0.716,7,-4.912,1,0.196,0.0331,0,0.4,0.306,81.852,"29OIRNDUGLfk8sQ5PZBXGZ","https://api.spotify.com/v1/audio-analysis/29OIRNDUGLfk8sQ5PZBXGZ",4,1,296666,TRUE,"https://api.spotify.com/v1/tracks/29OIRNDUGLfk8sQ5PZBXGZ",FALSE,"I Still Pray (feat. YFN Lucci & Ball Greezy)","https://p.scdn.co/mp3-preview/f2411c13f25812346d1fb949a6e1059a1fe3d903?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:29OIRNDUGLfk8sQ5PZBXGZ","https://open.spotify.com/track/29OIRNDUGLfk8sQ5PZBXGZ","Port of Miami 2","G","major","G major","rap"
