"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.544,0.665,8,-7.857,1,0.199,0.556,1.16e-06,0.507,0.48,91.31,"4ImbwgGOqvNnKJADZSI8lP","https://api.spotify.com/v1/audio-analysis/4ImbwgGOqvNnKJADZSI8lP",4,1,239020,TRUE,"https://api.spotify.com/v1/tracks/4ImbwgGOqvNnKJADZSI8lP",FALSE,"Sleepless Nights (feat. Buddy, Reuben Vincent & Phoelix)","https://p.scdn.co/mp3-preview/e0245b8f044fe0c7d3776eb6090bbb1b970c5b91?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4ImbwgGOqvNnKJADZSI8lP","https://open.spotify.com/track/4ImbwgGOqvNnKJADZSI8lP","Dinner Party: Dessert","G#","major","G# major","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.394,0.641,2,-6.767,1,0.378,0.0551,0.000171,0.254,0.445,176.462,"4bZ7AZNl13T2t5VI6Dzn1m","https://api.spotify.com/v1/audio-analysis/4bZ7AZNl13T2t5VI6Dzn1m",4,1,135160,TRUE,"https://api.spotify.com/v1/tracks/4bZ7AZNl13T2t5VI6Dzn1m",FALSE,"Love You Bad (feat. Malaya & Phoelix)","https://p.scdn.co/mp3-preview/4db020a9aa1ebc14594c1d73ffda799e041efd06?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4bZ7AZNl13T2t5VI6Dzn1m","https://open.spotify.com/track/4bZ7AZNl13T2t5VI6Dzn1m","Dinner Party: Dessert","D","major","D major","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.616,0.532,11,-9.675,0,0.0789,0.389,5.61e-06,0.124,0.458,92.9,"1G3T5V2s3fKF0jhSjr2ZjQ","https://api.spotify.com/v1/audio-analysis/1G3T5V2s3fKF0jhSjr2ZjQ",4,1,152113,TRUE,"https://api.spotify.com/v1/tracks/1G3T5V2s3fKF0jhSjr2ZjQ",FALSE,"From My Heart And My Soul (feat. Tarriona Tank Ball & Phoelix)","https://p.scdn.co/mp3-preview/204fbb51e74564cbc32628b61a9214502162a111?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1G3T5V2s3fKF0jhSjr2ZjQ","https://open.spotify.com/track/1G3T5V2s3fKF0jhSjr2ZjQ","Dinner Party: Dessert","B","minor","B minor","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.559,0.523,6,-7.749,1,0.329,0.0254,0.000841,0.151,0.606,163.15,"6oplbouOXAVc1EFKadVUuZ","https://api.spotify.com/v1/audio-analysis/6oplbouOXAVc1EFKadVUuZ",4,1,182397,TRUE,"https://api.spotify.com/v1/tracks/6oplbouOXAVc1EFKadVUuZ",FALSE,"First Responders (feat. Punch & Bilal)","https://p.scdn.co/mp3-preview/24b2efdede4dd0ee90ab992df49a1491a236f44e?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:6oplbouOXAVc1EFKadVUuZ","https://open.spotify.com/track/6oplbouOXAVc1EFKadVUuZ","Dinner Party: Dessert","F#","major","F# major","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.512,0.769,6,-7.979,0,0.456,0.468,0,0.407,0.392,175.39,"2nPLlVPGNgmWYc0ovCUa10","https://api.spotify.com/v1/audio-analysis/2nPLlVPGNgmWYc0ovCUa10",4,1,136749,TRUE,"https://api.spotify.com/v1/tracks/2nPLlVPGNgmWYc0ovCUa10",FALSE,"The Mighty Tree (feat. Herbie Hancock, Rapsody & Kamasi Washington)","https://p.scdn.co/mp3-preview/0587c91fcaef55a9c48a5523f6482ff421ab6ed9?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2nPLlVPGNgmWYc0ovCUa10","https://open.spotify.com/track/2nPLlVPGNgmWYc0ovCUa10","Dinner Party: Dessert","F#","minor","F# minor","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.68,0.592,1,-7.669,1,0.443,0.282,0,0.192,0.111,83.129,"0rjvlFcg4QVi9dDzctDDGD","https://api.spotify.com/v1/audio-analysis/0rjvlFcg4QVi9dDzctDDGD",4,1,191375,TRUE,"https://api.spotify.com/v1/tracks/0rjvlFcg4QVi9dDzctDDGD",FALSE,"Freeze Tag (feat. Cordae & Phoelix)","https://p.scdn.co/mp3-preview/e74a9010c749d7a7cf78fc8da5d1ae7ee57a5516?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:0rjvlFcg4QVi9dDzctDDGD","https://open.spotify.com/track/0rjvlFcg4QVi9dDzctDDGD","Dinner Party: Dessert","C#","major","C# major","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.385,0.381,8,-7.173,0,0.132,0.31,0,0.106,0.486,81.872,"2o39xu5iPPwLutKnKW3Nzp","https://api.spotify.com/v1/audio-analysis/2o39xu5iPPwLutKnKW3Nzp",4,1,198119,TRUE,"https://api.spotify.com/v1/tracks/2o39xu5iPPwLutKnKW3Nzp",FALSE,"LUV U (feat. Snoop Dogg & Alex Isley)","https://p.scdn.co/mp3-preview/20aeb40576e56a0c98184f7831cfd9a347fb621e?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2o39xu5iPPwLutKnKW3Nzp","https://open.spotify.com/track/2o39xu5iPPwLutKnKW3Nzp","Dinner Party: Dessert","G#","minor","G# minor","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","4Wq9dC08uEtSuGc8mFwC3r","album","2020-07-10",2020,"day",0.652,0.671,8,-7.254,1,0.0446,0.492,0.0863,0.0873,0.249,91.518,"6h7jn2jE2EqJadOkDXsDJh","https://api.spotify.com/v1/audio-analysis/6h7jn2jE2EqJadOkDXsDJh",4,1,179226,FALSE,"https://api.spotify.com/v1/tracks/6h7jn2jE2EqJadOkDXsDJh",FALSE,"Sleepless Nights (feat. Phoelix)","https://p.scdn.co/mp3-preview/369549d135e9c7b049a7869d9df3a9ec45aaafbe?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6h7jn2jE2EqJadOkDXsDJh","https://open.spotify.com/track/6h7jn2jE2EqJadOkDXsDJh","Dinner Party","G#","major","G# major","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","4Wq9dC08uEtSuGc8mFwC3r","album","2020-07-10",2020,"day",0.775,0.767,6,-6.545,0,0.1,0.0201,0.18,0.171,0.646,89.553,"1BkK2fQUGALz7AaOSo7Swh","https://api.spotify.com/v1/audio-analysis/1BkK2fQUGALz7AaOSo7Swh",4,1,168203,FALSE,"https://api.spotify.com/v1/tracks/1BkK2fQUGALz7AaOSo7Swh",FALSE,"Love You Bad (feat. Phoelix)","https://p.scdn.co/mp3-preview/f85d15e1f3f3456e34d8f775565382d5d1b0f4e9?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:1BkK2fQUGALz7AaOSo7Swh","https://open.spotify.com/track/1BkK2fQUGALz7AaOSo7Swh","Dinner Party","F#","minor","F# minor","jazz"
"Robert Glasper","5cM1PvItlR21WUyBnsdMcn","4Wq9dC08uEtSuGc8mFwC3r","album","2020-07-10",2020,"day",0.696,0.538,11,-6.808,0,0.0904,0.117,0.157,0.108,0.615,93.07,"3Czw867MbvBiyEd1QCvjmq","https://api.spotify.com/v1/audio-analysis/3Czw867MbvBiyEd1QCvjmq",4,1,150496,FALSE,"https://api.spotify.com/v1/tracks/3Czw867MbvBiyEd1QCvjmq",FALSE,"From My Heart and My Soul (feat. Phoelix)","https://p.scdn.co/mp3-preview/9592fe7b64abf00a4e5e95333456ef91dfb15c56?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3Czw867MbvBiyEd1QCvjmq","https://open.spotify.com/track/3Czw867MbvBiyEd1QCvjmq","Dinner Party","B","minor","B minor","jazz"
